region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
ad		0	0	-			
ad		0	0	Not allocated	s		
ad		8300	8300	-			Lightning detection systems
ad		8300	8300	METEOROLOGICAL AIDS 	p	5.54A	
ad		9000	9000	-			Lightning detection systems,  Inductive applications,  Active medical implants,  ISM
ad		9000	9000	RADIONAVIGATION	p		
ad		9000	9000	METEOROLOGICAL AIDS 	p	5.54A	
ad		11300	11300	-			Active medical implants,  Inductive applications,  ISM
ad		11300	11300	RADIONAVIGATION	p		
ad		14000	14000	-			Defence systems,  Inductive applications,  Active medical implants
ad		14000	14000	FIXED	p		
ad		14000	14000	MARITIME MOBILE 	p	5.57	
ad		19950	19950	-			
ad		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL (20 KHZ)	p		
ad		20050	20050	-			Active medical implants,  Defence systems,  Inductive applications
ad		20050	20050	FIXED	p		
ad		20050	20050	MARITIME MOBILE 	p	5.57	
ad		70000	70000	-			Inductive applications,  Active medical implants
ad		70000	70000	RADIONAVIGATION	p		
ad		72000	72000	-			Active medical implants,  Standard frequency and time signal,  Defence systems,  Inductive applications
ad		72000	72000	FIXED	p		
ad		72000	72000	MARITIME MOBILE 	p	5.57	
ad		72000	72000	RADIONAVIGATION 	p	5.60	
ad		84000	84000	-			Defence systems,  Inductive applications,  Active medical implants
ad		84000	84000	RADIONAVIGATION 	p	5.60	
ad		86000	86000	-			Active medical implants,  Defence systems,  Inductive applications
ad		86000	86000	FIXED	p		
ad		86000	86000	MARITIME MOBILE 	p	5.57	
ad		86000	86000	RADIONAVIGATION	p		
ad		90000	90000	-			Defence systems,  Inductive applications,  Active medical implants
ad		90000	90000	RADIONAVIGATION 	p	5.62	
ad		90000	90000	Fixed	s		
ad		110000	110000	-			Active medical implants,  Defence systems,  Inductive applications
ad		110000	110000	FIXED	p		
ad		110000	110000	MARITIME MOBILE	p		
ad		110000	110000	RADIONAVIGATION	p		
ad		112000	112000	-			Defence systems,  Inductive applications,  Active medical implants
ad		112000	112000	RADIONAVIGATION 	p	5.60	
ad		115000	115000	-			Active medical implants,  Defence systems,  Inductive applications
ad		115000	115000	RADIONAVIGATION 	p	5.60	
ad		115000	115000	Fixed	s		
ad		115000	115000	Maritime Mobile	s		
ad		117600	117600	-			Defence systems,  Inductive applications,  Active medical implants
ad		117600	117600	FIXED	p		
ad		117600	117600	MARITIME MOBILE	p		
ad		117600	117600	RADIONAVIGATION 	p	5.60	
ad		126000	126000	-			Active medical implants,  Defence systems,  Inductive applications
ad		126000	126000	RADIONAVIGATION 	p	5.60	
ad		129000	129000	-			Defence systems,  Inductive applications,  Active medical implants
ad		129000	129000	FIXED	p		
ad		129000	129000	MARITIME MOBILE	p		
ad		129000	129000	RADIONAVIGATION 	p	5.60	
ad		130000	130000	-			Active medical implants,  Defence systems,  Inductive applications
ad		130000	130000	FIXED	p		
ad		130000	130000	MARITIME MOBILE	p		
ad		135700	135700	-			Active medical implants,  Amateur,  Defence systems,  Inductive applications
ad		135700	135700	Amateur 	s	5.67A	
ad		135700	135700	FIXED	p		
ad		135700	135700	MARITIME MOBILE	p		
ad		137800	137800	-			Defence systems,  Inductive applications,  Active medical implants
ad		137800	137800	FIXED	p		
ad		137800	137800	MARITIME MOBILE	p		
ad		148500	148500	-			Active medical implants,  Broadcasting,  Inductive applications
ad		148500	148500	BROADCASTING	p		
ad		255000	255000	-			Inductive applications,  Beacons (aeronautical),  Broadcasting,  Active medical implants
ad		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
ad		255000	255000	BROADCASTING	p		
ad		283500	283500	-			Active medical implants,  Beacons (maritime),  Beacons (aeronautical),  Inductive applications
ad		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
ad		283500	283500	MARITIME RADIONAVIGATION (RADIOBEACONS) 	p	5.73	
ad		315000	315000	-			Inductive applications,  Beacons (aeronautical),  Beacons (maritime),  Active medical implants
ad		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
ad		315000	315000	Maritime Radionavigation (radiobeacons) 	s	5.73	
ad		325000	325000	-			Active medical implants,  Beacons (aeronautical),  Inductive applications
ad		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
ad		405000	405000	-			Inductive applications,  Beacons (aeronautical),  Active medical implants,  Beacons (maritime)
ad		405000	405000	RADIONAVIGATION 	p	5.76	
ad		415000	415000	-			Active medical implants,  Beacons (aeronautical),  Maritime communications,  Inductive applications
ad		415000	415000	Aeronautical Radionavigation	s		
ad		415000	415000	MARITIME MOBILE 	p	5.79	
ad		435000	435000	-			Inductive applications,  Active medical implants,  Emergency detection,  Maritime communications
ad		435000	435000	MARITIME MOBILE 	p	5.79	
ad		435000	435000	Aeronautical Radionavigation	s		
ad		472000	472000	-			Inductive applications,  Maritime communications,  Active medical implants
ad		472000	472000	MARITIME MOBILE 	p	5.79	
ad		472000	472000	Amateur 	s	5.80A	
ad		472000	472000	Aeronautical Radionavigation	s		
ad		479000	479000	-			Inductive applications,  Maritime communications,  NAVTEX,  Active medical implants
ad		479000	479000	Aeronautical Radionavigation	s		
ad		479000	479000	MARITIME MOBILE 	p	5.79, 5.79A	
ad		495000	495000	-			Active medical implants,  Inductive applications
ad		495000	495000	MOBILE	p		
ad		505000	505000	-			Inductive applications,  Active medical implants,  Beacons (aeronautical),  Maritime communications,  NAVTEX
ad		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
ad		505000	505000	MARITIME MOBILE 	p	5.79, 5.79A, 5.84	
ad		526500	526500	-			Broadcasting,  Active medical implants,  Inductive applications
ad		526500	526500	BROADCASTING	p		
ad		1606500	1606500	-			Inductive applications,  Radiodetermination applications,  Defence systems,  Maritime communications
ad		1606500	1606500	FIXED	p		
ad		1606500	1606500	LAND MOBILE	p		
ad		1606500	1606500	MARITIME MOBILE 	p	5.90	
ad		1606500	1606500	Radiolocation	s		
ad		1625000	1625000	-			Radiodetermination applications,  Inductive applications
ad		1625000	1625000	RADIOLOCATION	p		
ad		1635000	1635000	-			Inductive applications,  Radiodetermination applications,  Defence systems,  Maritime communications
ad		1635000	1635000	FIXED	p		
ad		1635000	1635000	LAND MOBILE	p		
