region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
al		9000	9000	-			
al		9000	9000	RADIONAVIGATION	p		
al		14000	14000	-			
al		14000	14000	FIXED	p		
al		14000	14000	MARITIME MOBILE	p		
al		19950	19950	-			
al		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
al		20050	20050	-			
al		20050	20050	MARITIME MOBILE	p		
al		20050	20050	FIXED	p		
al		70000	70000	-			
al		70000	70000	RADIONAVIGATION	p		
al		72000	72000	-			
al		72000	72000	FIXED	p		
al		72000	72000	MARITIME MOBILE	p		
al		72000	72000	RADIONAVIGATION	p		
al		84000	84000	-			
al		84000	84000	RADIONAVIGATION	p		
al		86000	86000	-			
al		86000	86000	FIXED	p		
al		86000	86000	MARITIME MOBILE	p		
al		86000	86000	RADIONAVIGATION	p		
al		90000	90000	-			
al		90000	90000	Fixed	s		
al		90000	90000	RADIONAVIGATION	p		
al		110000	110000	-			
al		110000	110000	FIXED	p		
al		110000	110000	MARITIME MOBILE	p		
al		110000	110000	RADIONAVIGATION	p		
al		112000	112000	-			
al		112000	112000	RADIONAVIGATION	p		
al		115000	115000	-			
al		115000	115000	Fixed	s		
al		115000	115000	RADIONAVIGATION	p		
al		115000	115000	MARITIME MOBILE	p		
al		117600	117600	-			
al		117600	117600	FIXED	p		
al		117600	117600	MARITIME MOBILE	p		
al		117600	117600	RADIONAVIGATION	p		
al		126000	126000	-			
al		126000	126000	RADIONAVIGATION	p		
al		129000	129000	-			
al		129000	129000	MARITIME MOBILE	p		
al		129000	129000	FIXED	p		
al		129000	129000	RADIONAVIGATION	p		
al		130000	130000	-			
al		130000	130000	MARITIME MOBILE	p		
al		130000	130000	FIXED	p		
al		135700	135700	-			
al		135700	135700	MARITIME MOBILE	p		
al		135700	135700	AMATEUR	p		
al		135700	135700	FIXED	p		
al		137800	137800	-			
al		137800	137800	MARITIME MOBILE	p		
al		137800	137800	FIXED	p		
al		148500	148500	-			
al		148500	148500	BROADCASTING	p		
al		255000	255000	-			
al		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
al		255000	255000	BROADCASTING	p		
al		283500	283500	-			
al		283500	283500	Maritime Radionavigation (radiobeacons)	s		
al		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
al		315000	315000	-			
al		315000	315000	MARITIME RADIONAVIGATION (RADIOBEACONS)	p		
al		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
al		325000	325000	-			
al		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
al		405000	405000	-			
al		405000	405000	RADIONAVIGATION	p		
al		415000	415000	-			
al		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
al		415000	415000	MARITIME MOBILE	p		
al		435000	435000	-			
al		435000	435000	AERONAUTICAL RADIONAVIGATION	p		
al		435000	435000	MARITIME MOBILE	p		
al		495000	495000	-			
al		495000	495000	MOBILE	p		
al		505000	505000	-			
al		505000	505000	MARITIME MOBILE	p		
al		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
al		526500	526500	-			
al		526500	526500	BROADCASTING	p		
al		1606500	1606500	-			
al		1606500	1606500	LAND MOBILE	p		
al		1606500	1606500	MARITIME MOBILE	p		
al		1606500	1606500	Radiolocation	s		
al		1606500	1606500	FIXED	p		
