region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
bg		0	0	-			
bg		0	0	NOT ALLOCATED	p		
bg		8300	8300	-			UWB applications
bg		8300	8300		p		
bg		8300	8300	-			Meteorological aids (military),  UWB applications,  BMA,  Material Sensing
bg		8300	8300	METEOROLOGICAL AIDS	p		
bg		9000	9000	-			UWB applications,  BMA,  Material Sensing,  Inductive applications,  Defence systems,  Active medical implants
bg		9000	9000	METEOROLOGICAL AIDS	p		
bg		9000	9000	RADIONAVIGATION	p		
bg		11300	11300	-			Inductive applications,  Active medical implants,  UWB applications,  BMA,  Material Sensing
bg		11300	11300	RADIONAVIGATION	p		
bg		14000	14000	-			UWB applications,  BMA,  Material Sensing,  Inductive applications,  Active medical implants,  Defence systems
bg		14000	14000	FIXED	p		
bg		14000	14000	MARITIME MOBILE	p		
bg		19950	19950	-			Active medical implants,  Inductive applications,  Standard frequency and time signal,  UWB applications,  BMA,  Material Sensing
bg		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
bg		20010	20010	-			Material Sensing
bg		20010	20010		p		
bg		20050	20050	-			UWB applications,  BMA,  Material Sensing,  Inductive applications,  Active medical implants,  Defence systems
bg		20050	20050	FIXED	p		
bg		20050	20050	MARITIME MOBILE	p		
bg		70000	70000	-			Defence systems,  Active medical implants,  Inductive applications,  UWB applications,  BMA,  Material Sensing
bg		70000	70000	RADIONAVIGATION	p		
bg		72000	72000	-			UWB applications,  BMA,  Material Sensing,  Inductive applications,  Active medical implants,  Defence systems
bg		72000	72000	FIXED	p		
bg		72000	72000	MARITIME MOBILE	p		
bg		72000	72000	RADIONAVIGATION	p		
bg		84000	84000	-			Defence systems,  Active medical implants,  Inductive applications,  UWB applications,  Material Sensing,  BMA
bg		84000	84000	RADIONAVIGATION	p		
bg		86000	86000	-			UWB applications,  Material Sensing,  BMA,  Inductive applications,  Active medical implants,  Defence systems
bg		86000	86000	FIXED	p		
bg		86000	86000	MARITIME MOBILE	p		
bg		86000	86000	RADIONAVIGATION	p		
bg		90000	90000	-			Defence systems,  Active medical implants,  Inductive applications,  UWB applications,  BMA,  Material Sensing
bg		90000	90000	Fixed	s		
bg		90000	90000	RADIONAVIGATION	p		
bg		110000	110000	-			UWB applications,  Material Sensing,  BMA,  Inductive applications,  Active medical implants,  Defence systems
bg		110000	110000	FIXED	p		
bg		110000	110000	MARITIME MOBILE	p		
bg		110000	110000	RADIONAVIGATION	p		
bg		112000	112000	-			Defence systems,  Active medical implants,  Inductive applications,  UWB applications,  BMA,  Material Sensing
bg		112000	112000	RADIONAVIGATION	p		
bg		115000	115000	-			UWB applications,  BMA,  Material Sensing,  Inductive applications,  Active medical implants,  Defence systems
bg		115000	115000	Fixed	s		
bg		115000	115000	Maritime Mobile	s		
bg		115000	115000	RADIONAVIGATION	p		
bg		117600	117600	-			Defence systems,  Active medical implants,  Inductive applications,  UWB applications,  BMA,  Material Sensing
bg		117600	117600	FIXED	p		
bg		117600	117600	MARITIME MOBILE	p		
bg		117600	117600	RADIONAVIGATION	p		
bg		126000	126000	-			UWB applications,  Material Sensing,  BMA,  Inductive applications,  Active medical implants,  Defence systems
bg		126000	126000	RADIONAVIGATION	p		
bg		129000	129000	-			Defence systems,  Active medical implants,  Inductive applications,  UWB applications,  BMA,  Material Sensing
bg		129000	129000	FIXED	p		
bg		129000	129000	MARITIME MOBILE	p		
bg		129000	129000	RADIONAVIGATION	p		
bg		130000	130000	-			UWB applications,  BMA,  Material Sensing,  Defence systems,  Inductive applications,  Active medical implants
bg		130000	130000	FIXED	p		
bg		130000	130000	MARITIME MOBILE	p		
bg		135700	135700	-			Active medical implants,  Inductive applications,  Defence systems,  UWB applications,  BMA,  Material Sensing,  Amateur
bg		135700	135700	FIXED	p		
bg		135700	135700	MARITIME MOBILE	p		
