region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
bo		0	0	-			
bo		0	0	NOT ALLOCATED	p		
bo		9000	9000	-			Active medical implants,  Inductive applications,  ISM
bo		9000	9000	RADIONAVIGATION	p		
bo		14000	14000	-			Active medical implants,  Defence systems,  Inductive applications
bo		14000	14000	FIXED	p		
bo		14000	14000	MARITIME MOBILE	p		
bo		19950	19950	-			
bo		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
bo		20050	20050	-			Active medical implants,  Defence systems,  Inductive applications
bo		20050	20050	FIXED	p		
bo		20050	20050	MARITIME MOBILE	p		
bo		70000	70000	-			Active medical implants,  Inductive applications
bo		70000	70000	RADIONAVIGATION	p		
bo		72000	72000	-			Active medical implants,  Defence systems,  Inductive applications,  Standard frequency and time signal
bo		72000	72000	FIXED	p		
bo		72000	72000	MARITIME MOBILE	p		
bo		72000	72000	RADIONAVIGATION	p		
bo		84000	84000	-			Active medical implants,  Defence systems,  Inductive applications
bo		84000	84000	RADIONAVIGATION	p		
bo		86000	86000	-			Active medical implants,  Defence systems,  Inductive applications
bo		86000	86000	FIXED	p		
bo		86000	86000	MARITIME MOBILE	p		
bo		86000	86000	RADIONAVIGATION	p		
bo		90000	90000	-			Active medical implants,  Defence systems,  Inductive applications
bo		90000	90000	Fixed	s		
bo		90000	90000	RADIONAVIGATION	p		
bo		110000	110000	-			Active medical implants,  Defence systems,  Inductive applications
bo		110000	110000	FIXED	p		
bo		110000	110000	MARITIME MOBILE	p		
bo		110000	110000	RADIONAVIGATION	p		
bo		112000	112000	-			Active medical implants,  Defence systems,  Inductive applications
bo		112000	112000	RADIONAVIGATION	p		
bo		115000	115000	-			Active medical implants,  Defence systems,  Inductive applications
bo		115000	115000	Fixed	s		
bo		115000	115000	Maritime Mobile	s		
bo		115000	115000	RADIONAVIGATION	p		
bo		117600	117600	-			Active medical implants,  Defence systems,  Inductive applications
bo		117600	117600	FIXED	p		
bo		117600	117600	MARITIME MOBILE	p		
bo		117600	117600	RADIONAVIGATION	p		
bo		126000	126000	-			Active medical implants,  Defence systems,  Inductive applications
bo		126000	126000	RADIONAVIGATION	p		
bo		129000	129000	-			Active medical implants,  Defence systems,  Inductive applications
bo		129000	129000	FIXED	p		
bo		129000	129000	MARITIME MOBILE	p		
bo		129000	129000	RADIONAVIGATION	p		
bo		130000	130000	-			Active medical implants,  Defence systems,  Inductive applications
bo		130000	130000	FIXED	p		
bo		130000	130000	MARITIME MOBILE	p		
bo		135700	135700	-			Active medical implants,  Amateur,  Defence systems,  Inductive applications
bo		135700	135700	Amateur	s		
bo		135700	135700	FIXED	p		
bo		135700	135700	MARITIME MOBILE	p		
bo		137800	137800	-			Active medical implants,  Defence systems,  Inductive applications
bo		137800	137800	FIXED	p		
bo		137800	137800	MARITIME MOBILE	p		
bo		148500	148500	-			Active medical implants,  Broadcasting,  Inductive applications
bo		148500	148500	BROADCASTING	p		
bo		255000	255000	-			Active medical implants,  Beacons (aeronautical),  Broadcasting,  Inductive applications
bo		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
bo		255000	255000	BROADCASTING	p		
bo		283500	283500	-			Active medical implants,  Beacons (aeronautical),  Beacons (maritime),  Inductive applications
bo		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
bo		283500	283500	Maritime Radionavigation (radiobeacons)	s		
bo		315000	315000	-			Active medical implants,  Beacons (aeronautical),  Beacons (maritime),  Inductive applications
bo		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
bo		315000	315000	Maritime Radionavigation (radiobeacons)	s		
bo		325000	325000	-			Active medical implants,  Beacons (aeronautical),  Inductive applications
bo		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
bo		405000	405000	-			Active medical implants,  Beacons (aeronautical),  Beacons (maritime),  Inductive applications
bo		405000	405000	RADIONAVIGATION	p		
bo		415000	415000	-			Active medical implants,  Beacons (aeronautical),  Inductive applications,  Maritime
bo		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
bo		415000	415000	MARITIME MOBILE	p		
bo		435000	435000	-			Active medical implants,  Emergency detection,  Inductive applications,  Maritime,  NAVTEX
bo		435000	435000	AERONAUTICAL RADIONAVIGATION	p		
bo		435000	435000	MARITIME MOBILE	p		
bo		495000	495000	-			Active medical implants,  Inductive applications
bo		495000	495000	MOBILE	p		
bo		500000	500000	-			Amateur,  On-board communications,  Radiolocation (military)
bo		500000	500000	FIXED	p		
bo		500000	500000	INTER-SATELLITE	p		
bo		505000	505000	-			Active medical implants,  Beacons (aeronautical),  Inductive applications,  Maritime,  NAVTEX
bo		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
bo		505000	505000	MARITIME MOBILE	p		
bo		526500	526500	-			Active medical implants,  Broadcasting,  Inductive applications
bo		526500	526500	BROADCASTING	p		
bo		1606500	1606500	-			Defence systems,  Inductive applications,  Maritime,  Radiodetermination applications
bo		1606500	1606500	FIXED	p		
bo		1606500	1606500	LAND MOBILE	p		
bo		1606500	1606500	MARITIME MOBILE	p		
bo		1606500	1606500	Radiolocation	s		
bo		1625000	1625000	-			Inductive applications,  Radiodetermination applications
bo		1625000	1625000	RADIOLOCATION	p		
bo		1635000	1635000	-			Defence systems,  Inductive applications,  Maritime,  Radiodetermination applications
bo		1635000	1635000	FIXED	p		
bo		1635000	1635000	LAND MOBILE	p		
bo		1635000	1635000	MARITIME MOBILE	p		
bo		1800000	1800000	-			Inductive applications,  Radiodetermination applications
bo		1800000	1800000	RADIOLOCATION	p		
bo		1810000	1810000	-			Amateur,  Inductive applications
bo		1810000	1810000	Amateur	s		
bo		1850000	1850000	-			Amateur,  Defence systems,  Inductive applications,  Maritime,  Radiodetermination applications
bo		1850000	1850000	Amateur	s		
bo		1850000	1850000	FIXED	p		
bo		1850000	1850000	Mobile except aeronautical mobile	s		
bo		2000000	2000000	-			Defence systems,  Inductive applications,  Maritime,  Radiodetermination applications
bo		2000000	2000000	FIXED	p		
