region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
by		0	0	-			
by		0	0	NOT ALLOCATED 	p	5.54, 5.53	
by		8300	8300	-			
by		8300	8300	METEOROLOGICAL AIDS 	p	5.54A	
by		9000	9000	-			
by		9000	9000	RADIONAVIGATION	p		
by		9000	9000	METEOROLOGICAL AIDS	p		
by		11300	11300	-			
by		11300	11300	RADIONAVIGATION	p		
by		14000	14000	-			
by		14000	14000	FIXED 	p	5.56	
by		14000	14000	MARITIME MOBILE 	p	5.57	
by		19950	19950	-			
by		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL (20 KHZ)	p		
by		20050	20050	-			
by		20050	20050	FIXED 	p	5.56	
by		20050	20050	MARITIME MOBILE 	p	5.57	
by		70000	70000	-			
by		70000	70000	RADIONAVIGATION 	p	5.60	
by		72000	72000	-			
by		72000	72000	FIXED 	p	5.56	
by		72000	72000	MARITIME MOBILE 	p	5.57	
by		72000	72000	RADIONAVIGATION 	p	5.60	
by		84000	84000	-			
by		84000	84000	RADIONAVIGATION 	p	5.60	
by		86000	86000	-			
by		86000	86000	FIXED 	p	5.56	
by		86000	86000	MARITIME MOBILE 	p	5.57	
by		86000	86000	RADIONAVIGATION	p		
by		90000	90000	-			
by		90000	90000	RADIONAVIGATION 	p	5.62	
by		90000	90000	Fixed 	s	5.64	
by		110000	110000	-			
by		110000	110000	FIXED 	p	5.64	
by		110000	110000	MARITIME MOBILE 	p	5.64	
by		110000	110000	RADIONAVIGATION	p		
by		112000	112000	-			
by		112000	112000	RADIONAVIGATION 	p	5.60	
by		115000	115000	-			
by		115000	115000	RADIONAVIGATION 	p	5.60	
by		115000	115000	Fixed 	s	5.64	
by		115000	115000	Maritime Mobile 	s	5.64	
by		117600	117600	-			
by		117600	117600	FIXED 	p	5.64	
by		117600	117600	MARITIME MOBILE 	p	5.64	
by		117600	117600	RADIONAVIGATION 	p	5.60	
by		126000	126000	-			
by		126000	126000	RADIONAVIGATION 	p	5.60	
by		129000	129000	-			
by		129000	129000	FIXED 	p	5.64	
by		129000	129000	MARITIME MOBILE 	p	5.64	
by		129000	129000	RADIONAVIGATION 	p	5.60	
by		130000	130000	-			
by		130000	130000	FIXED 	p	5.64	
by		130000	130000	MARITIME MOBILE 	p	5.64	
by		135700	135700	-			
by		135700	135700	Amateur 	s	5.67A	
by		135700	135700	FIXED 	p	5.64	
by		135700	135700	MARITIME MOBILE 	p	5.64	
by		137800	137800	-			
by		137800	137800	FIXED 	p	5.64	
by		137800	137800	MARITIME MOBILE 	p	5.64	
by		148500	148500	-			
by		148500	148500	BROADCASTING	p		
by		255000	255000	-			
by		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
by		255000	255000	BROADCASTING	p		
by		283500	283500	-			
by		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
by		283500	283500	MARITIME RADIONAVIGATION (RADIOBEACONS) 	p	5.73	
by		285300	285300	-			
by		285300	285300	AERONAUTICAL RADIONAVIGATION 	p	5.74	
by		285700	285700	-			
by		285700	285700	AERONAUTICAL RADIONAVIGATION	p		
by		285700	285700	MARITIME RADIONAVIGATION (RADIOBEACONS) 	p	5.73	
by		315000	315000	-			
by		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
by		315000	315000	MARITIME RADIONAVIGATION (RADIOBEACONS) 	p	5.75, 5.73	
by		325000	325000	-			
