Region	Sub-table	lower_frequency	upper_frequency	Category	Service	Footnotes
ca		0	8300		-	C1,C2
ca		0	8300		(not allocated)	
ca		8300	9000	p	Meteorological Aids	5.54A
ca		9000	11300	p	Meteorological Aids	5.54A
ca		9000	11300	p	Radionavigation 	
ca		11300	14000	p	Radionavigation 	
ca		14000	19950		-	5.56
ca		14000	19950	p	Fixed	
ca		14000	19950	p	Maritime Mobile	5.57
ca		19950	20050	p	Standard Frequency And Time Signal (20 kHz)	
ca		20050	70000		-	5.56
ca		20050	70000	p	Fixed	
ca		20050	70000	p	Maritime Mobile	5.57
ca		70000	90000		-	5.61
ca		70000	90000	p	Fixed	
ca		70000	90000	p	Maritime Mobile	5.57
ca		70000	90000	p	Radionavigation	5.60
ca		70000	90000	s	Radiolocation	
ca		90000	110000		-	5.64
ca		90000	110000	p	Radionavigation	
ca		90000	110000	s	Fixed	
ca		110000	130000		-	5.61,5.64
ca		110000	130000	p	Fixed	
ca		110000	130000	p	Maritime Mobile	
ca		110000	130000	p	Maritime Radionavigation	5.60
ca		110000	130000	s	Radiolocation	
ca		130000	135700		-	5.64
ca		130000	135700	p	Fixed	
ca		130000	135700	p	Maritime Mobile	
ca		135700	137800		-	5.64
ca		135700	137800	p	Fixed	
ca		135700	137800	p	Maritime Mobile	
ca		135700	137800	s	Amateur	5.67A
ca		137800	160000		-	5.64
ca		137800	160000	p	Fixed	
ca		137800	160000	p	Maritime Mobile	
ca		160000	190000	p	Fixed 	
ca		190000	200000	p	Aeronautical Radionavigation 	
ca		200000	285000	p	Aeronautical Radionavigation	
ca		200000	285000	s	Aeronautical Mobile	
ca		285000	315000	p	Aeronautical Radionavigation	
ca		285000	315000	p	Maritime Radionavigation (radiobeacons)	5.73
ca		315000	325000	p	Maritime Radionavigation (radiobeacons)	5.73
ca		315000	325000	s	Aeronautical Radionavigation	
ca		325000	335000	p	Aeronautical Radionavigation	
ca		325000	335000	s	Aeronautical Mobile	
ca		325000	335000	s	Maritime Radionavigation (radiobeacons)	
ca		335000	405000	p	Aeronautical Radionavigation	
ca		335000	405000	s	Aeronautical Mobile	
ca		405000	415000	p	Radionavigation	5.76
ca		405000	415000	s	Aeronautical Mobile	
ca		415000	472000		-	5.82
ca		415000	472000	p	Maritime Mobile	5.79
ca		472000	479000		-	5.82
ca		472000	479000	p	Maritime Mobile	5.79
ca		472000	479000	s	Amateur	5.80A
ca		479000	495000		-	5.82
ca		479000	495000	p	Maritime Mobile	5.79,5.79A
ca		495000	505000	p	Maritime Mobile 	
ca		505000	510000	p	Maritime Mobile	5.79
ca		510000	525000	p	Aeronautical Radionavigation	
ca		510000	525000	p	Maritime Mobile	5.79A,5.84
ca		525000	535000	p	Aeronautical Radionavigation	
ca		525000	535000	p	Broadcasting	5.86
ca		535000	1605000	p	Broadcasting 	
ca		1605000	1705000		-	5.90
ca		1605000	1705000	p	Broadcasting	5.89
ca		1705000	1800000	p	Aeronautical Radionavigation	
ca		1705000	1800000	p	Fixed	
ca		1705000	1800000	p	Mobile	
ca		1705000	1800000	p	Radiolocation 	
ca		1800000	1850000	p	Amateur 	
ca		1850000	2000000	p	Amateur	
ca		1850000	2000000	p	Radiolocation	
ca		1850000	2000000	p	Radionavigation 	
ca		2000000	2065000	p	Fixed	
ca		2000000	2065000	p	Mobile 	
ca		2065000	2107000		-	C3
ca		2065000	2107000	p	Maritime Mobile	5.105
ca		2107000	2170000	p	Fixed	
ca		2107000	2170000	p	Mobile 	
ca		2170000	2173500	p	Maritime Mobile 	
ca		2173500	2190500		-	5.108,5.109,5.110,5.111
ca		2173500	2190500	p	Mobile (distress and calling)	
ca		2190500	2194000	p	Maritime Mobile 	
ca		2194000	2495000	p	Fixed	
ca		2194000	2495000	p	Mobile 	
ca		2495000	2501000	p	Standard Frequency And Time Signal (2 500 kHz)	
ca		2501000	2502000	p	Standard Frequency And Time Signal	
ca		2501000	2502000	s	Space Research	
ca		2502000	2505000	p	Standard Frequency And Time Signal 	
ca		2505000	2850000	p	Fixed	
ca		2505000	2850000	p	Mobile 	
ca		2850000	3025000		-	5.111,5.115
ca		2850000	3025000	p	Aeronautical Mobile (R)	
ca		3025000	3155000		-	C5
ca		3025000	3155000	p	Aeronautical Mobile ( OR )	
ca		3155000	3230000		-	5.116
ca		3155000	3230000	p	Fixed	
ca		3155000	3230000	p	Mobile except aeronautical mobile (R)	
ca		3230000	3400000		-	5.116
ca		3230000	3400000	p	Fixed	
ca		3230000	3400000	p	Mobile except aeronautical mobile	
ca		3230000	3400000	s	Radiolocation	
ca		3400000	3500000	p	Aeronautical Mobile (R)	
ca		3500000	4000000	p	Amateur 	
ca		4000000	4063000	p	Fixed	
ca		4000000	4063000	p	Maritime Mobile	5.127
ca		4063000	4438000		-	5.128
ca		4063000	4438000	p	Maritime Mobile	5.79A,5.109,5.110,5.130,5.131,5.132
ca		4438000	4488000	p	Fixed	
ca		4438000	4488000	p	Mobile except aeronautical mobile (R)	
ca		4438000	4488000	p	Radiolocation	5.132A
ca		4488000	4650000	p	Fixed	
ca		4488000	4650000	p	Mobile except aeronautical mobile (R)	
ca		4650000	4700000	p	Aeronautical Mobile (R)	
ca		4700000	4750000		-	C5
ca		4700000	4750000	p	Aeronautical Mobile ( OR )	
ca		4750000	4850000	p	Fixed	
ca		4750000	4850000	p	Mobile except aeronautical mobile (R)	
ca		4850000	4995000	p	Fixed	
ca		4850000	4995000	p	Land Mobile 	
ca		4995000	5003000	p	Standard Frequency And Time Signal (5 000 kHz)	
ca		5003000	5005000	p	Standard Frequency And Time Signal	
ca		5003000	5005000	s	Space Research	
ca		5005000	5060000	p	Fixed 	
ca		5060000	5250000	p	Fixed	
ca		5060000	5250000	s	Mobile except aeronautical mobile	
ca		5250000	5275000	p	Fixed	
ca		5250000	5275000	p	Mobile except aeronautical mobile	
ca		5250000	5275000	p	Radiolocation	5.132A
ca		5275000	5450000		-	C21
ca		5275000	5450000	p	Fixed	
ca		5275000	5450000	p	Mobile except aeronautical mobile	
ca		5450000	5480000	p	Aeronautical Mobile (R)	
ca		5480000	5680000		-	5.111,5.115
ca		5480000	5680000	p	Aeronautical Mobile (R)	
ca		5680000	5730000		-	5.111,5.115,C5
ca		5680000	5730000	p	Aeronautical Mobile ( OR )	
ca		5730000	5900000	p	Fixed	
ca		5730000	5900000	p	Mobile except aeronautical mobile (R)	
ca		5900000	5950000		-	5.136,C9
ca		5900000	5950000	p	Broadcasting	5.134
ca		5900000	5950000	p	Fixed	
ca		5900000	5950000	p	Mobile except aeronautical mobile (R)	
ca		5950000	6200000	p	Broadcasting 	
ca		6200000	6525000		-	C4
ca		6200000	6525000	p	Maritime Mobile	5.109,5.110,5.130,5.132
ca		6525000	6685000	p	Aeronautical Mobile (R)	
ca		6685000	6765000	p	Aeronautical Mobile (R)	
ca		6765000	7000000		-	5.138
ca		6765000	7000000	p	Fixed	
ca		6765000	7000000	p	Mobile except aeronautical mobile (R)	
ca		7000000	7100000	p	Amateur	
ca		7000000	7100000	p	Amateur-Satellite 	
ca		7100000	7300000		-	5.142
ca		7100000	7300000	p	Amateur	
ca		7300000	7400000		-	5.143,5.143D,C9
ca		7300000	7400000	p	Broadcasting	5.134
ca		7300000	7400000	p	Fixed	
ca		7300000	7400000	p	Mobile except aeronautical mobile (R)	
ca		7400000	8100000	p	Fixed	
ca		7400000	8100000	p	Mobile except aeronautical mobile (R)	
ca		8100000	8195000	p	Fixed	
ca		8100000	8195000	p	Maritime Mobile 	
ca		8195000	8815000		-	5.111
ca		8195000	8815000	p	Maritime Mobile	5.109,5.110,5.132,5.145
