region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
ch		0	0	-			
ch		0	0	Not allocated	s		
ch		8300	8300	-			Lightning detection systems
ch		8300	8300	METEOROLOGICAL AIDS	p		
ch		9000	9000	-			Inductive applications,  ULP-AMI,  Lightning detection systems
ch		9000	9000	METEOROLOGICAL AIDS	p		
ch		9000	9000	RADIONAVIGATION	p		
ch		11300	11300	-			Inductive applications,  ULP-AMI
ch		11300	11300		p		
ch		11300	11300	-			
ch		11300	11300	RADIONAVIGATION	p		
ch		14000	14000	-			
ch		14000	14000	FIXED	p		
ch		16000	16000	-			Inductive applications,  ULP-AMI,  On-site paging
ch		16000	16000		p		
ch		19950	19950	-			Inductive applications,  ULP-AMI,  On-site paging
ch		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL (20 KHZ)	p		
ch		20050	20050	-			
ch		20050	20050	FIXED	p		
ch		20050	20050	-			Inductive applications,  ULP-AMI,  On-site paging
ch		20050	20050		p		
ch		40000	40000	-			Inductive applications,  ULP-AMI
ch		40000	40000		p		
ch		70000	70000	-			
ch		70000	70000	RADIONAVIGATION	p		
ch		72000	72000	-			
ch		72000	72000	FIXED	p		
ch		72000	72000	RADIONAVIGATION	p		
ch		72000	72000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ch		72000	72000	-			Inductive applications,  ULP-AMI
ch		72000	72000		p		
ch		74950	74950	-			Inductive applications,  ULP-AMI
ch		74950	74950		p		
ch		75050	75050	-			Inductive applications,  ULP-AMI
ch		75050	75050		p		
ch		84000	84000	-			Inductive applications,  ULP-AMI
ch		84000	84000		p		
ch		84000	84000	-			
ch		84000	84000	RADIONAVIGATION	p		
ch		86000	86000	-			
ch		86000	86000	FIXED	p		
ch		86000	86000	RADIONAVIGATION	p		
ch		90000	90000	-			
ch		90000	90000	RADIONAVIGATION	p		
ch		90000	90000	Fixed	s		
ch		110000	110000	-			
ch		110000	110000	FIXED	p		
ch		110000	110000	RADIONAVIGATION	p		
ch		112000	112000	-			
ch		112000	112000	RADIONAVIGATION	p		
ch		115000	115000	-			
ch		115000	115000	RADIONAVIGATION	p		
ch		115000	115000	Fixed	s		
ch		117600	117600	-			
ch		117600	117600	FIXED	p		
ch		117600	117600	RADIONAVIGATION	p		
ch		126000	126000	-			
ch		126000	126000	RADIONAVIGATION	p		
ch		129000	129000	-			
ch		129000	129000	FIXED	p		
ch		129000	129000	RADIONAVIGATION	p		
ch		130000	130000	-			
ch		130000	130000	FIXED	p		
ch		135000	135000	-			Inductive applications,  ULP-AMI
ch		135000	135000		p		
ch		135700	135700	-			Amateur,  Inductive applications,  ULP-AMI
ch		135700	135700	Amateur	s		
ch		135700	135700	FIXED	p		
ch		137800	137800	-			Inductive applications,  ULP-AMI
ch		137800	137800	FIXED	p		
ch		148500	148500	-			Inductive applications,  ULP-AMI
ch		148500	148500	BROADCASTING	p		
ch		255000	255000	-			Inductive applications,  ULP-AMI
ch		255000	255000	BROADCASTING	p		
ch		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
ch		283500	283500	-			
ch		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
ch		283500	283500	-			Inductive applications,  ULP-AMI
ch		283500	283500		p		
ch		300000	300000	-			Beacons (aeronautical),  Inductive applications,  ULP-AMI
