region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
ci		9000	9000	-			Lightning detection systems,  ISM,  Active medical implants,  Inductive applications
ci		9000	9000	RADIONAVIGATION	p		
ci		9000	9000	METEOROLOGICAL AIDS	p		
ci		11300	11300	-			Inductive applications,  ISM,  Active medical implants
ci		11300	11300	RADIONAVIGATION	p		
ci		14000	14000	-			Inductive applications,  Active medical implants
ci		14000	14000	MARITIME MOBILE	p		
ci		14000	14000	FIXED	p		
ci		19950	19950	-			Standard frequency and time signal
ci		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
ci		20050	20050	-			Inductive applications,  Active medical implants
ci		20050	20050	FIXED	p		
ci		20050	20050	MARITIME MOBILE	p		
ci		70000	70000	-			Active medical implants,  Inductive applications
ci		70000	70000	RADIONAVIGATION	p		
ci		72000	72000	-			Inductive applications,  Standard frequency and time signal,  Active medical implants
ci		72000	72000	MARITIME MOBILE	p		
ci		72000	72000	FIXED	p		
ci		72000	72000	RADIONAVIGATION	p		
ci		84000	84000	-			Active medical implants,  Inductive applications
ci		84000	84000	RADIONAVIGATION	p		
ci		86000	86000	-			Active medical implants,  Inductive applications
ci		86000	86000	RADIONAVIGATION	p		
ci		86000	86000	MARITIME MOBILE	p		
ci		86000	86000	FIXED	p		
ci		90000	90000	-			Inductive applications,  Active medical implants
ci		90000	90000	RADIONAVIGATION	p		
ci		90000	90000	Fixed	s		
ci		110000	110000	-			Active medical implants,  Inductive applications
ci		110000	110000	RADIONAVIGATION	p		
ci		110000	110000	MARITIME MOBILE	p		
ci		110000	110000	FIXED	p		
ci		112000	112000	-			Active medical implants,  Inductive applications
ci		112000	112000	RADIONAVIGATION	p		
ci		115000	115000	-			Active medical implants,  Inductive applications
ci		115000	115000	Fixed	s		
ci		115000	115000	Maritime Mobile	s		
ci		115000	115000	RADIONAVIGATION	p		
ci		117600	117600	-			Inductive applications,  Active medical implants,  Point-to-Multipoint
ci		117600	117600	FIXED	p		
ci		117600	117600	MARITIME MOBILE	p		
ci		117600	117600	RADIONAVIGATION	p		
ci		126000	126000	-			Point-to-Multipoint,  Inductive applications,  Active medical implants
ci		126000	126000	RADIONAVIGATION	p		
ci		129000	129000	-			Point-to-Multipoint,  Inductive applications,  Active medical implants
ci		129000	129000	MARITIME MOBILE	p		
ci		129000	129000	FIXED	p		
ci		129000	129000	RADIONAVIGATION	p		
ci		130000	130000	-			Inductive applications,  Active medical implants,  Point-to-Multipoint
ci		130000	130000	FIXED	p		
ci		130000	130000	MARITIME MOBILE	p		
ci		135700	135700	-			Amateur,  Inductive applications,  Active medical implants,  Point-to-Multipoint
ci		135700	135700	MARITIME MOBILE	p		
ci		135700	135700	Amateur	s		
ci		135700	135700	FIXED	p		
ci		137800	137800	-			Point-to-Multipoint,  Maritime communications,  Active medical implants,  Inductive applications
ci		137800	137800	FIXED	p		
ci		137800	137800	MARITIME MOBILE	p		
ci		148500	148500	-			Inductive applications,  Active medical implants,  Broadcasting
ci		148500	148500	BROADCASTING	p		
ci		255000	255000	-			Active medical implants,  Inductive applications,  Broadcasting,  Beacons (aeronautical)
ci		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
ci		255000	255000	BROADCASTING	p		
ci		283500	283500	-			Beacons (aeronautical),  Beacons (maritime),  Active medical implants,  Inductive applications
ci		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
ci		283500	283500	MARITIME RADIONAVIGATION	p		
ci		315000	315000	-			Active medical implants,  Beacons (aeronautical),  Beacons (maritime),  Inductive applications
ci		315000	315000	Maritime Radionavigation	s		
ci		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
ci		325000	325000	-			Inductive applications,  Active medical implants,  Beacons (aeronautical)
ci		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
ci		405000	405000	-			Beacons (aeronautical),  Beacons (maritime),  Inductive applications,  Active medical implants
ci		405000	405000	RADIONAVIGATION	p		
ci		415000	415000	-			Maritime communications,  Beacons (aeronautical),  Inductive applications,  Active medical implants
ci		415000	415000	MARITIME MOBILE	p		
ci		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
ci		435000	435000	-			Inductive applications,  Active medical implants,  Emergency detection,  Maritime communications
ci		435000	435000	Aeronautical Radionavigation	s		
ci		435000	435000	MARITIME MOBILE	p		
ci		472000	472000	-			Active medical implants,  Inductive applications,  Amateur,  Maritime communications
ci		472000	472000	Aeronautical Radionavigation	s		
ci		472000	472000	Amateur	s		
ci		472000	472000	MARITIME MOBILE	p		
ci		479000	479000	-			Maritime communications,  Inductive applications,  Active medical implants,  NAVTEX
ci		479000	479000	Aeronautical Radionavigation	s		
ci		479000	479000	MARITIME MOBILE	p		
ci		495000	495000	-			Active medical implants,  Inductive applications
ci		495000	495000	MOBILE	p		
ci		505000	505000	-			NAVTEX,  Inductive applications,  Maritime communications,  Beacons (aeronautical),  Active medical implants
ci		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
ci		505000	505000	MARITIME MOBILE	p		
ci		526500	526500	-			Active medical implants,  Inductive applications,  Broadcasting (terrestrial)
ci		526500	526500	BROADCASTING	p		
ci		1606500	1606500	-			Maritime communications,  Inductive applications,  Radiodetermination applications
ci		1606500	1606500	Radiolocation	s		
ci		1606500	1606500	MARITIME MOBILE	p		
ci		1606500	1606500	FIXED	p		
ci		1606500	1606500	LAND MOBILE	p		
ci		1625000	1625000	-			Radiodetermination applications,  Inductive applications
ci		1625000	1625000	RADIOLOCATION	p		
ci		1635000	1635000	-			Radiodetermination applications,  Maritime communications,  Inductive applications
ci		1635000	1635000	FIXED	p		
ci		1635000	1635000	LAND MOBILE	p		
ci		1635000	1635000	MARITIME MOBILE	p		
ci		1800000	1800000	-			Inductive applications,  Radiodetermination applications
ci		1800000	1800000	RADIOLOCATION	p		
ci		1810000	1810000	-			Amateur,  Inductive applications
ci		1810000	1810000	AMATEUR	p		
ci		1850000	1850000	-			Maritime communications,  Inductive applications,  Radiodetermination applications
ci		1850000	1850000	FIXED	p		
ci		1850000	1850000	MOBILE	p		
ci		2000000	2000000	-			Maritime communications,  Inductive applications,  Radiodetermination applications
ci		2000000	2000000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ci		2000000	2000000	FIXED	p		
ci		2025000	2025000	-			Maritime communications,  Inductive applications,  Radiodetermination applications
ci		2025000	2025000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ci		2025000	2025000	FIXED	p		
ci		2045000	2045000	-			Maritime communications,  Inductive applications
ci		2045000	2045000	LAND MOBILE	p		
ci		2045000	2045000	FIXED	p		
ci		2045000	2045000	MARITIME MOBILE	p		
ci		2160000	2160000	-			Inductive applications,  Radiodetermination applications
ci		2160000	2160000	RADIOLOCATION	p		
ci		2170000	2170000	-			Inductive applications,  Maritime communications
ci		2170000	2170000	MARITIME MOBILE	p		
ci		2173500	2173500	-			Inductive applications,  DSC,  Maritime communications
ci		2173500	2173500	MOBILE (DISTRESS AND CALLING)	p		
ci		2190500	2190500	-			Maritime communications,  Inductive applications
ci		2190500	2190500	MARITIME MOBILE	p		
ci		2194000	2194000	-			Inductive applications
ci		2194000	2194000	FIXED	p		
ci		2194000	2194000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ci		2300000	2300000	-			Inductive applications
ci		2300000	2300000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ci		2300000	2300000	FIXED	p		
ci		2498000	2498000	-			Inductive applications
ci		2498000	2498000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ci		2501000	2501000	-			Inductive applications
ci		2501000	2501000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ci		2502000	2502000	-			Inductive applications
ci		2502000	2502000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ci		2502000	2502000	FIXED	p		
ci		2625000	2625000	-			Maritime communications,  Inductive applications
ci		2625000	2625000	MARITIME RADIONAVIGATION	p		
ci		2625000	2625000	MARITIME MOBILE	p		
ci		2650000	2650000	-			Inductive applications
ci		2650000	2650000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ci		2650000	2650000	FIXED	p		
ci		2850000	2850000	-			Aeronautical communications,  Inductive applications
ci		2850000	2850000	AERONAUTICAL MOBILE (R)	p		
ci		3025000	3025000	-			Aeronautical communications,  Inductive applications
ci		3025000	3025000	AERONAUTICAL MOBILE (OR)	p		
ci		3155000	3155000	-			Maritime communications,  Inductive applications
ci		3155000	3155000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ci		3155000	3155000	FIXED	p		
ci		3200000	3200000	-			Inductive applications,  Maritime communications
ci		3200000	3200000	FIXED	p		
ci		3200000	3200000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ci		3230000	3230000	-			Inductive applications,  Maritime communications
ci		3230000	3230000	FIXED	p		
ci		3230000	3230000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ci		3400000	3400000	-			Aeronautical communications,  Inductive applications
ci		3400000	3400000	AERONAUTICAL MOBILE (R)	p		
ci		3500000	3500000	-			Amateur,  Inductive applications
ci		3500000	3500000	AMATEUR	p		
ci		3500000	3500000	FIXED	p		
ci		3500000	3500000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ci		3800000	3800000	-			Inductive applications,  Aeronautical communications
ci		3800000	3800000	AERONAUTICAL MOBILE (OR)	p		
ci		3800000	3800000	FIXED	p		
ci		3800000	3800000	LAND MOBILE	p		
ci		3900000	3900000	-			Aeronautical communications,  Inductive applications
ci		3900000	3900000	AERONAUTICAL MOBILE (OR)	p		
ci		3950000	3950000	-			Broadcasting,  Inductive applications
ci		3950000	3950000	BROADCASTING	p		
ci		3950000	3950000	FIXED	p		
ci		4000000	4000000	-			Inductive applications,  Maritime communications
ci		4000000	4000000	FIXED	p		
ci		4000000	4000000	MARITIME MOBILE	p		
ci		4063000	4063000	-			Maritime communications,  Railway applications,  Inductive applications,  DSC,  MSI
ci		4063000	4063000	MARITIME MOBILE	p		
ci		4438000	4438000	-			Railway applications,  Inductive applications
ci		4438000	4438000	FIXED	p		
ci		4438000	4438000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ci		4650000	4650000	-			Aeronautical communications,  Inductive applications
ci		4650000	4650000	AERONAUTICAL MOBILE (R)	p		
ci		4700000	4700000	-			Inductive applications,  Aeronautical communications
ci		4700000	4700000	AERONAUTICAL MOBILE (OR)	p		
ci		4750000	4750000	-			Aeronautical communications,  Inductive applications
ci		4750000	4750000	LAND MOBILE	p		
ci		4750000	4750000	FIXED	p		
ci		4750000	4750000	AERONAUTICAL MOBILE (OR)	p		
ci		4850000	4850000	-			Inductive applications
ci		4850000	4850000	LAND MOBILE	p		
ci		4850000	4850000	FIXED	p		
ci		4995000	4995000	-			Inductive applications
ci		4995000	4995000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ci		5003000	5003000	-			Inductive applications
ci		5003000	5003000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ci		5005000	5005000	-			Inductive applications
ci		5005000	5005000	FIXED	p		
ci		5060000	5060000	-			Inductive applications
ci		5060000	5060000	FIXED	p		
ci		5250000	5250000	-			Inductive applications
ci		5250000	5250000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ci		5250000	5250000	FIXED	p		
ci		5450000	5450000	-			Aeronautical communications,  Inductive applications
ci		5450000	5450000	AERONAUTICAL MOBILE (OR)	p		
ci		5450000	5450000	FIXED	p		
ci		5450000	5450000	LAND MOBILE	p		
ci		5480000	5480000	-			Inductive applications,  Aeronautical communications
ci		5480000	5480000	AERONAUTICAL MOBILE (R)	p		
ci		5680000	5680000	-			Inductive applications,  Aeronautical communications
ci		5680000	5680000	AERONAUTICAL MOBILE (OR)	p		
ci		5730000	5730000	-			Inductive applications
ci		5730000	5730000	FIXED	p		
ci		5730000	5730000	LAND MOBILE	p		
ci		5900000	5900000	-			Broadcasting (terrestrial),  Inductive applications
ci		5900000	5900000	BROADCASTING	p		
ci		5950000	5950000	-			Inductive applications,  Broadcasting (terrestrial)
ci		5950000	5950000	BROADCASTING	p		
ci		6200000	6200000	-			Inductive applications,  MSI,  Maritime communications,  DSC
ci		6200000	6200000	MARITIME MOBILE	p		
ci		6525000	6525000	-			Aeronautical communications,  Inductive applications
ci		6525000	6525000	AERONAUTICAL MOBILE (R)	p		
ci		6685000	6685000	-			Aeronautical communications,  Inductive applications
ci		6685000	6685000	AERONAUTICAL MOBILE (OR)	p		
ci		6765000	6765000	-			Non-specific SRDs,  Inductive applications,  ISM
ci		6765000	6765000	FIXED	p		
ci		6765000	6765000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ci		7000000	7000000	-			Amateur,  Inductive applications
ci		7000000	7000000	AMATEUR-SATELLITE	p		
ci		7000000	7000000	AMATEUR	p		
ci		7100000	7100000	-			Amateur,  Inductive applications
ci		7100000	7100000	AMATEUR	p		
ci		7200000	7200000	-			Inductive applications,  Broadcasting (terrestrial)
ci		7200000	7200000	BROADCASTING	p		
ci		7300000	7300000	-			Inductive applications,  Broadcasting (terrestrial)
ci		7300000	7300000	BROADCASTING	p		
ci		7400000	7400000	-			Broadcasting (terrestrial),  Inductive applications
ci		7400000	7400000	BROADCASTING	p		
ci		7450000	7450000	-			Inductive applications
ci		7450000	7450000	FIXED	p		
ci		7450000	7450000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ci		8100000	8100000	-			Inductive applications,  Maritime communications
ci		8100000	8100000	FIXED	p		
ci		8100000	8100000	MARITIME MOBILE	p		
ci		8195000	8195000	-			DSC,  MSI,  Inductive applications,  Maritime communications
ci		8195000	8195000	MARITIME MOBILE	p		
ci		8815000	8815000	-			Inductive applications,  Aeronautical communications
ci		8815000	8815000	AERONAUTICAL MOBILE (R)	p		
ci		8965000	8965000	-			Inductive applications,  Aeronautical communications
ci		8965000	8965000	AERONAUTICAL MOBILE (OR)	p		
ci		9040000	9040000	-			Inductive applications
ci		9040000	9040000	FIXED	p		
ci		9400000	9400000	-			Inductive applications,  Broadcasting
ci		9400000	9400000	BROADCASTING	p		
ci		9500000	9500000	-			Broadcasting (terrestrial),  Inductive applications
ci		9500000	9500000	BROADCASTING	p		
ci		9900000	9900000	-			Inductive applications
ci		9900000	9900000	FIXED	p		
ci		9995000	9995000	-			Inductive applications
ci		9995000	9995000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ci		10003000	10003000	-			SAR (communications),  Inductive applications
ci		10003000	10003000	Space Research	s		
ci		10003000	10003000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ci		10005000	10005000	-			Inductive applications
ci		10005000	10005000	AERONAUTICAL MOBILE (R)	p		
ci		10100000	10100000	-			Amateur,  Inductive applications
ci		10100000	10100000	FIXED	p		
ci		10100000	10100000	Amateur	s		
ci		10150000	10150000	-			Railway applications,  Inductive applications
ci		10150000	10150000	Mobile except aeronautical mobile (R)	s		
ci		10150000	10150000	FIXED	p		
ci		11175000	11175000	-			Aeronautical communications,  Inductive applications,  Railway applications
ci		11175000	11175000	AERONAUTICAL MOBILE (OR)	p		
ci		11275000	11275000	-			Aeronautical communications,  Inductive applications,  Railway applications
ci		11275000	11275000	AERONAUTICAL MOBILE (R)	p		
ci		11400000	11400000	-			Inductive applications,  Railway applications
ci		11400000	11400000	FIXED	p		
ci		11600000	11600000	-			Railway applications,  Inductive applications,  Broadcasting (terrestrial)
ci		11600000	11600000	BROADCASTING	p		
ci		11650000	11650000	-			Railway applications,  Broadcasting (terrestrial),  Inductive applications
ci		11650000	11650000	BROADCASTING	p		
ci		12050000	12050000	-			Railway applications,  Broadcasting (terrestrial),  Inductive applications
ci		12050000	12050000	BROADCASTING	p		
ci		12100000	12100000	-			Inductive applications,  Railway applications
ci		12100000	12100000	FIXED	p		
ci		12230000	12230000	-			Inductive applications,  Maritime communications,  DSC,  MSI,  Active medical implants,  Railway applications
ci		12230000	12230000	MARITIME MOBILE	p		
ci		13200000	13200000	-			Active medical implants,  Aeronautical communications,  Railway applications,  Inductive applications
ci		13200000	13200000	AERONAUTICAL MOBILE (OR)	p		
ci		13260000	13260000	-			Aeronautical communications,  Inductive applications,  Railway applications,  Active medical implants
ci		13260000	13260000	AERONAUTICAL MOBILE (R)	p		
ci		13360000	13360000	-			Active medical implants,  Inductive applications,  Railway applications,  Radio astronomy
ci		13360000	13360000	RADIO ASTRONOMY	p		
ci		13360000	13360000	FIXED	p		
ci		13410000	13410000	-			ISM,  Inductive applications,  Railway applications,  Non-specific SRDs,  Active medical implants
ci		13410000	13410000	FIXED	p		
ci		13410000	13410000	Mobile except aeronautical mobile (R)	s		
ci		13570000	13570000	-			Railway applications,  Inductive applications,  Active medical implants,  Broadcasting (terrestrial)
ci		13570000	13570000	BROADCASTING	p		
ci		13600000	13600000	-			Broadcasting (terrestrial),  Inductive applications,  Railway applications,  Active medical implants
ci		13600000	13600000	BROADCASTING	p		
ci		13800000	13800000	-			Broadcasting (terrestrial),  Inductive applications,  Railway applications,  Active medical implants
ci		13800000	13800000	BROADCASTING	p		
ci		13870000	13870000	-			Inductive applications,  Railway applications,  Active medical implants
ci		13870000	13870000	FIXED	p		
ci		13870000	13870000	Mobile except aeronautical mobile (R)	s		
ci		14000000	14000000	-			Inductive applications,  Amateur,  Active medical implants,  Railway applications
ci		14000000	14000000	AMATEUR	p		
ci		14000000	14000000	AMATEUR-SATELLITE	p		
ci		14250000	14250000	-			Amateur,  Inductive applications,  Railway applications,  Active medical implants
ci		14250000	14250000	AMATEUR	p		
ci		14350000	14350000	-			Inductive applications,  Railway applications,  Active medical implants
ci		14350000	14350000	Mobile except aeronautical mobile (R)	s		
ci		14350000	14350000	FIXED	p		
ci		14990000	14990000	-			Railway applications,  Active medical implants,  SAR (communications),  Inductive applications
ci		14990000	14990000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ci		15005000	15005000	-			Inductive applications,  Railway applications,  Active medical implants
ci		15005000	15005000	Space Research	s		
ci		15005000	15005000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ci		15010000	15010000	-			Active medical implants,  Railway applications,  Inductive applications,  Aeronautical communications
ci		15010000	15010000	AERONAUTICAL MOBILE (OR)	p		
ci		15100000	15100000	-			Active medical implants,  Railway applications,  Broadcasting (terrestrial),  Inductive applications
ci		15100000	15100000	BROADCASTING	p		
ci		15600000	15600000	-			Railway applications,  Active medical implants,  Inductive applications,  Broadcasting (terrestrial)
ci		15600000	15600000	BROADCASTING	p		
ci		15800000	15800000	-			Railway applications,  Inductive applications,  Active medical implants
ci		15800000	15800000	FIXED	p		
ci		16360000	16360000	-			DSC,  MSI,  Inductive applications,  Active medical implants,  Maritime communications
