region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
cy		9000	9000	-			Inductive applications
cy		9000	9000		p		
cy		9000	9000	-			Active medical implants
cy		9000	9000		p		
cy		9000	9000	-			Inductive applications
cy		9000	9000		p		
cy		9000	9000	-			ISM
cy		9000	9000	RADIONAVIGATION	p		
cy		14000	14000	-			Defence systems,  Maritime
cy		14000	14000	FIXED	p		
cy		14000	14000	MARITIME MOBILE	p		
cy		19950	19950	-			
cy		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
cy		20050	20050	-			Inductive applications
cy		20050	20050		p		
cy		20050	20050	-			Maritime,  Defence systems
cy		20050	20050	FIXED	p		
cy		20050	20050	MARITIME MOBILE	p		
cy		70000	70000	-			
cy		70000	70000	RADIONAVIGATION	p		
cy		72000	72000	-			Defence systems
cy		72000	72000		p		
cy		72000	72000	-			Maritime,  Standard frequency and time signal
cy		72000	72000	FIXED	p		
cy		72000	72000	MARITIME MOBILE	p		
cy		72000	72000	RADIONAVIGATION	p		
cy		84000	84000	-			
cy		84000	84000	RADIONAVIGATION	p		
cy		86000	86000	-			Maritime
cy		86000	86000	FIXED	p		
cy		86000	86000	MARITIME MOBILE	p		
cy		86000	86000	RADIONAVIGATION	p		
cy		90000	90000	-			Loran C
cy		90000	90000	Fixed	s		
cy		90000	90000	RADIONAVIGATION	p		
cy		110000	110000	-			Maritime
cy		110000	110000	FIXED	p		
cy		110000	110000	MARITIME MOBILE	p		
cy		110000	110000	RADIONAVIGATION	p		
cy		112000	112000	-			Maritime
cy		112000	112000	RADIONAVIGATION	p		
cy		115000	115000	-			Maritime
cy		115000	115000	Fixed	s		
cy		115000	115000	Maritime Mobile	s		
cy		115000	115000	RADIONAVIGATION	p		
cy		117600	117600	-			Maritime
cy		117600	117600	FIXED	p		
cy		117600	117600	MARITIME MOBILE	p		
cy		117600	117600	RADIONAVIGATION	p		
cy		126000	126000	-			Maritime
cy		126000	126000	RADIONAVIGATION	p		
cy		129000	129000	-			Maritime
cy		129000	129000	FIXED	p		
cy		129000	129000	MARITIME MOBILE	p		
cy		129000	129000	RADIONAVIGATION	p		
cy		130000	130000	-			Maritime
cy		130000	130000	FIXED	p		
cy		130000	130000	MARITIME MOBILE	p		
cy		135700	135700	-			Amateur
cy		135700	135700		p		
cy		148500	148500	-			Broadcasting
cy		148500	148500		p		
cy		148500	148500	-			
cy		148500	148500	BROADCASTING	p		
cy		255000	255000	-			Beacons (aeronautical)
cy		255000	255000		p		
cy		255000	255000	-			
cy		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
cy		255000	255000	BROADCASTING	p		
cy		283500	283500	-			Beacons (maritime)
cy		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
cy		283500	283500	MARITIME RADIONAVIGATION	p		
cy		315000	315000	-			Beacons (maritime)
cy		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
cy		315000	315000	Maritime Radionavigation	s		
cy		325000	325000	-			
cy		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
cy		400000	400000	-			RFID
cy		400000	400000		p		
cy		405000	405000	-			Beacons (maritime)
cy		405000	405000	RADIONAVIGATION	p		
cy		415000	415000	-			Maritime
cy		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
cy		415000	415000	MARITIME MOBILE	p		
