region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
cz		9000	9000	-			
cz		9000	9000	RADIONAVIGATION	p		
cz		14000	14000	-			
cz		14000	14000	FIXED	p		
cz		19950	19950	-			Standard frequency and time signal
cz		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
cz		20050	20050	-			
cz		20050	20050	FIXED	p		
cz		24500	24500	-			Standard frequency and time signal
cz		24500	24500		p		
cz		25500	25500	-			
cz		25500	25500	FIXED	p		
cz		49500	49500	-			Standard frequency and time signal
cz		49500	49500		p		
cz		50500	50500	-			
cz		50500	50500	FIXED	p		
cz		50500	50500	MARITIME MOBILE	p		
cz		65600	65600	-			Standard frequency and time signal
cz		65600	65600	STANDARD FREQUENCY AND TIME SIGNAL	p		
cz		67600	67600	-			
cz		67600	67600	FIXED	p		
cz		67600	67600	MARITIME MOBILE	p		
cz		70000	70000	-			
cz		70000	70000	RADIONAVIGATION	p		
cz		72000	72000	-			
cz		72000	72000	FIXED	p		
cz		72000	72000	MARITIME MOBILE	p		
cz		72000	72000	RADIONAVIGATION	p		
cz		84000	84000	-			
cz		84000	84000	RADIONAVIGATION	p		
cz		86000	86000	-			
cz		86000	86000	FIXED	p		
cz		86000	86000	MARITIME MOBILE	p		
cz		86000	86000	RADIONAVIGATION	p		
cz		90000	90000	-			Defence systems
cz		90000	90000	RADIONAVIGATION	p		
cz		90000	90000	Fixed	s		
cz		110000	110000	-			Defence systems
cz		110000	110000	FIXED	p		
cz		110000	110000	MARITIME MOBILE	p		
cz		110000	110000	RADIONAVIGATION	p		
cz		112000	112000	-			Defence systems
cz		112000	112000	RADIONAVIGATION	p		
cz		115000	115000	-			Defence systems
cz		115000	115000	RADIONAVIGATION	p		
cz		115000	115000	Fixed	s		
cz		115000	115000	Maritime Mobile	s		
cz		117600	117600	-			Defence systems
cz		117600	117600	FIXED	p		
cz		117600	117600	MARITIME MOBILE	p		
cz		117600	117600	RADIONAVIGATION	p		
cz		126000	126000	-			Defence systems
cz		126000	126000	RADIONAVIGATION	p		
cz		129000	129000	-			Defence systems
cz		129000	129000	FIXED	p		
cz		129000	129000	MARITIME MOBILE	p		
cz		129000	129000	RADIONAVIGATION	p		
cz		130000	130000	-			Defence systems
cz		130000	130000	FIXED	p		
cz		130000	130000	MARITIME MOBILE	p		
cz		135700	135700	-			Defence systems
cz		135700	135700	FIXED	p		
cz		135700	135700	MARITIME MOBILE	p		
cz		135700	135700	Amateur	s		
cz		137800	137800	-			Defence systems
cz		137800	137800	FIXED	p		
cz		137800	137800	MARITIME MOBILE	p		
cz		148500	148500	-			Defence systems
cz		148500	148500	BROADCASTING	p		
cz		148500	148500	Aeronautical Radionavigation	s		
cz		255000	255000	-			Defence systems
cz		255000	255000	BROADCASTING	p		
cz		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
cz		283500	283500	-			Defence systems
cz		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
cz		283500	283500	MARITIME RADIONAVIGATION	p		
cz		315000	315000	-			Defence systems
cz		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
cz		315000	315000	Maritime Radionavigation	s		
cz		325000	325000	-			Defence systems
cz		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
cz		402000	402000	-			Sondes
cz		402000	402000		p		
cz		405000	405000	-			Defence systems
cz		405000	405000	RADIONAVIGATION	p		
cz		415000	415000	-			Defence systems
cz		415000	415000	MARITIME MOBILE	p		
cz		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
cz		435000	435000	-			Defence systems
cz		435000	435000	MARITIME MOBILE	p		
cz		435000	435000	AERONAUTICAL RADIONAVIGATION	p		
cz		495000	495000	-			
cz		495000	495000	MOBILE	p		
cz		505000	505000	-			Defence systems
cz		505000	505000	MARITIME MOBILE	p		
cz		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
cz		526500	526500	-			Defence systems
cz		526500	526500	BROADCASTING	p		
cz		526500	526500	Aeronautical Radionavigation	s		
cz		1300000	1300000	-			
cz		1300000	1300000	BROADCASTING	p		
cz		1606500	1606500	-			Defence systems
cz		1606500	1606500	FIXED	p		
cz		1606500	1606500	MARITIME MOBILE	p		
cz		1606500	1606500	LAND MOBILE	p		
cz		1625000	1625000	-			Defence systems
cz		1625000	1625000	FIXED	p		
cz		1625000	1625000	LAND MOBILE	p		
cz		1625000	1625000	RADIOLOCATION	p		
cz		1635000	1635000	-			Defence systems
cz		1635000	1635000	FIXED	p		
cz		1635000	1635000	MARITIME MOBILE	p		
cz		1635000	1635000	LAND MOBILE	p		
cz		1715000	1715000	-			Defence systems
cz		1715000	1715000	FIXED	p		
cz		1715000	1715000	MARITIME MOBILE	p		
cz		1715000	1715000	LAND MOBILE	p		
cz		1715000	1715000	Amateur	s		
cz		1800000	1800000	-			Defence systems
cz		1800000	1800000	FIXED	p		
cz		1800000	1800000	LAND MOBILE	p		
cz		1800000	1800000	RADIOLOCATION	p		
cz		1810000	1810000	-			
cz		1810000	1810000	AMATEUR	p		
cz		1830000	1830000	-			
cz		1830000	1830000	AMATEUR	p		
cz		1850000	1850000	-			Defence systems
cz		1850000	1850000	FIXED	p		
cz		1850000	1850000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
cz		1850000	1850000	Amateur	s		
cz		2000000	2000000	-			Defence systems
cz		2000000	2000000	FIXED	p		
cz		2000000	2000000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
cz		2025000	2025000	-			Defence systems
cz		2025000	2025000	FIXED	p		
cz		2025000	2025000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
cz		2045000	2045000	-			Defence systems
cz		2045000	2045000	FIXED	p		
cz		2045000	2045000	MARITIME MOBILE	p		
cz		2045000	2045000	LAND MOBILE	p		
cz		2160000	2160000	-			Defence systems,  Radiolocation (military)
cz		2160000	2160000	FIXED	p		
cz		2160000	2160000	LAND MOBILE	p		
cz		2160000	2160000	RADIOLOCATION	p		
cz		2170000	2170000	-			
cz		2170000	2170000	MARITIME MOBILE	p		
cz		2173000	2173000	-			GMDSS
cz		2173000	2173000		p		
cz		2173500	2173500	-			
cz		2173500	2173500	MOBILE (DISTRESS AND CALLING)	p		
cz		2190500	2190500	-			
cz		2190500	2190500	MARITIME MOBILE	p		
cz		2194000	2194000	-			Defence systems
cz		2194000	2194000	FIXED	p		
cz		2194000	2194000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
cz		2200000	2200000	-			Space research
cz		2200000	2200000		p		
cz		2200000	2200000	-			Space research
cz		2200000	2200000		p		
cz		2300000	2300000	-			Defence systems
cz		2300000	2300000	FIXED	p		
cz		2300000	2300000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
cz		2498000	2498000	-			Standard frequency and time signal
cz		2498000	2498000	STANDARD FREQUENCY AND TIME SIGNAL	p		
cz		2501000	2501000	-			
cz		2501000	2501000	STANDARD FREQUENCY AND TIME SIGNAL	p		
cz		2501000	2501000	Space Research	s		
