region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
de		2275	2275	-			Emergency detection
de		2275	2275		p		
de		9000	300000000000	-			ISM
de		9000	300000000000		p		
de		9000	30000000	-			PPDR,  Inductive applications
de		9000	30000000		p		
de		9000	600000	-			Medical implants
de		9000	600000		p		
de		9000	14000	-			Defence systems
de		9000	14000	RADIONAVIGATION	p		
de		9000	10000	-			ISM
de		9000	10000		p		
de		14000	19950	-			Point-to-Multipoint,  Maritime communications
de		14000	19950	FIXED	p		
de		14000	19950	MARITIME MOBILE	p		
de		19950	20050	-			Standard frequency and time signal
de		19950	20050	STANDARD FREQUENCY AND TIME SIGNAL	p		
de		20050	70000	-			Point-to-Multipoint,  Maritime communications
de		20050	70000	FIXED	p		
de		20050	70000	MARITIME MOBILE	p		
de		70000	72000	-			
de		70000	72000	RADIONAVIGATION	p		
de		72000	84000	-			Point-to-Multipoint,  Defence systems,  Maritime communications
de		72000	84000	FIXED	p		
de		72000	84000	MARITIME MOBILE	p		
de		84000	86000	-			Defence systems
de		84000	86000	RADIONAVIGATION	p		
de		86000	90000	-			Point-to-Multipoint,  Defence systems,  Maritime communications
de		86000	90000	FIXED	p		
de		86000	90000	MARITIME MOBILE	p		
de		90000	110000	-			Defence systems,  Loran C
de		90000	110000	RADIONAVIGATION	p		
de		110000	112000	-			Point-to-Multipoint,  Defence systems,  Maritime communications
de		110000	112000	FIXED	p		
de		110000	112000	MARITIME MOBILE	p		
de		112000	115000	-			
de		112000	115000	RADIONAVIGATION	p		
de		115000	117600	-			Point-to-Multipoint,  Defence systems,  Maritime communications
de		115000	117600	FIXED	p		
de		115000	117600	MARITIME MOBILE	p		
de		115000	117600	Radionavigation	s		
de		117600	126000	-			Point-to-Multipoint,  Defence systems,  Maritime communications
de		117600	126000	FIXED	p		
de		117600	126000	MARITIME MOBILE	p		
de		117600	126000	RADIONAVIGATION	p		
de		126000	129000	-			
de		126000	129000	RADIONAVIGATION	p		
de		129000	130000	-			Point-to-Multipoint,  Maritime communications
de		129000	130000	FIXED	p		
de		129000	130000	MARITIME MOBILE	p		
de		130000	148500	-			Point-to-Multipoint,  Maritime communications
de		130000	148500	FIXED	p		
de		130000	148500	MARITIME MOBILE	p		
de		135700	137800	-			Amateur
de		135700	137800	Amateur	s		
de		148500	255000	-			Broadcasting (terrestrial)
de		148500	255000	BROADCASTING	p		
de		255000	283500	-			Beacons (aeronautical),  Broadcasting (terrestrial)
de		255000	283500	BROADCASTING	p		
de		255000	283500	RADIONAVIGATION	p		
de		283500	315000	-			Beacons (aeronautical),  Beacons (maritime)
de		283500	315000	AERONAUTICAL RADIONAVIGATION	p		
de		283500	315000	MARITIME RADIONAVIGATION	p		
de		315000	325000	-			Beacons (aeronautical),  Beacons (maritime)
de		315000	325000	AERONAUTICAL RADIONAVIGATION	p		
de		315000	325000	Maritime Radionavigation	s		
de		325000	405000	-			Beacons (aeronautical)
de		325000	405000	AERONAUTICAL RADIONAVIGATION	p		
de		405000	415000	-			Beacons (aeronautical)
de		405000	415000	RADIONAVIGATION	p		
de		415000	435000	-			Beacons (aeronautical),  Maritime communications
de		415000	435000	AERONAUTICAL RADIONAVIGATION	p		
de		415000	435000	MARITIME MOBILE	p		
de		435000	495000	-			Beacons (aeronautical),  GMDSS
de		435000	495000	AERONAUTICAL RADIONAVIGATION	p		
