region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
ee		8300	8300	-			
ee		8300	8300	NOT ALLOCATED 	p	5.54B, 5.54A	
ee		9000	9000	-			Inductive applications
ee		9000	9000		p		
ee		9000	9000	-			
ee		9000	9000	Mobile	s		
ee		9000	9000	RADIONAVIGATION 	p	5.54A	
ee		11300	11300	-			
ee		11300	11300	Mobile	s		
ee		11300	11300	RADIONAVIGATION	p		
ee		14000	14000	-			
ee		14000	14000	FIXED 	p	5.55, 5.56, 5.57	
ee		14000	14000	Mobile	s		
ee		19950	19950	-			
ee		19950	19950	Mobile	s		
ee		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL (20 KHZ)	p		
ee		20050	20050	-			
ee		20050	20050	FIXED 	p	5.58, 5.57	
ee		20050	20050	Mobile	s		
ee		70000	70000	-			
ee		70000	70000	Mobile	s		
ee		70000	70000	RADIONAVIGATION 	p	5.60	
ee		72000	72000	-			
ee		72000	72000	FIXED 	p	5.57	
ee		72000	72000	RADIONAVIGATION 	p	5.56, 5.60	
ee		72000	72000	Mobile	s		
ee		84000	84000	-			
ee		84000	84000	Mobile	s		
ee		84000	84000	RADIONAVIGATION 	p	5.60	
ee		86000	86000	-			
ee		86000	86000	FIXED 	p	5.56, 5.57	
ee		86000	86000	Mobile	s		
ee		90000	90000	-			
ee		90000	90000	Mobile	s		
ee		90000	90000	Fixed 	s	5.62, 5.64	
ee		90000	90000	RADIONAVIGATION	p		
ee		110000	110000	-			
ee		110000	110000	FIXED 	p	5.64	
ee		110000	110000	RADIONAVIGATION	p		
ee		110000	110000	Mobile	s		
ee		112000	112000	-			
ee		112000	112000	Mobile	s		
ee		112000	112000	RADIONAVIGATION 	p	5.60	
ee		115000	115000	-			
ee		115000	115000	RADIONAVIGATION 	p	5.60	
ee		115000	115000	Mobile	s		
ee		117600	117600	-			
ee		117600	117600	Mobile	s		
ee		117600	117600	FIXED 	p	5.64	
ee		117600	117600	RADIONAVIGATION 	p	5.60	
ee		126000	126000	-			
ee		126000	126000	RADIONAVIGATION 	p	5.60	
ee		126000	126000	Mobile	s		
ee		129000	129000	-			
ee		129000	129000	Mobile	s		
ee		129000	129000	FIXED 	p	5.64	
ee		129000	129000	RADIONAVIGATION 	p	5.60	
ee		130000	130000	-			
ee		130000	130000	FIXED 	p	5.64	
ee		130000	130000	MARITIME MOBILE	p		
ee		130000	130000	Mobile	s		
ee		135700	135700	-			Amateur
ee		135700	135700	Amateur 	s	5.67A	
ee		148500	148500	-			Broadcasting
ee		148500	148500	BROADCASTING	p		
ee		148500	148500	Mobile	s		
ee		255000	255000	-			Broadcasting
ee		255000	255000	BROADCASTING	p		
ee		255000	255000	Mobile	s		
ee		283500	283500	-			Beacons (maritime)
ee		283500	283500	Aeronautical Radionavigation	s		
ee		283500	283500	MARITIME RADIONAVIGATION 	p	5.74, 5.73	
ee		283500	283500	Mobile	s		
ee		315000	315000	-			Medical implants
ee		315000	315000		p		
ee		315000	315000	-			Beacons (aeronautical)
ee		315000	315000	AERONAUTICAL RADIONAVIGATION 	p	5.75, 5.73	
ee		315000	315000	Mobile	s		
ee		325000	325000	-			Beacons (aeronautical)
ee		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
ee		325000	325000	Mobile	s		
ee		405000	405000	-			Beacons (aeronautical),  Beacons (maritime)
ee		405000	405000	Mobile	s		
ee		405000	405000	RADIONAVIGATION 	p	5.76	
ee		415000	415000	-			Beacons (aeronautical)
ee		415000	415000	AERONAUTICAL RADIONAVIGATION 	p	5.79	
ee		415000	415000	Mobile	s		
ee		435000	435000	-			
ee		435000	435000	MARITIME MOBILE 	p	5.79, 5.79A, 5.84	
ee		435000	435000	-			Beacons (aeronautical),  NAVTEX,  Maritime communications,  Tracking, tracing and data acquisition
ee		435000	435000	Aeronautical Radionavigation 	s	5.79, 5.77, 5.80, 5.82	
ee		435000	435000	Mobile	s		
ee		475000	475000	-			
ee		475000	475000	Amateur 	s	5.80B, 5.80A	
ee		495000	495000	-			GMDSS
ee		495000	495000	Mobile	s		
ee		505000	505000	-			Maritime communications,  NAVTEX,  Beacons (aeronautical)
ee		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
ee		505000	505000	MARITIME MOBILE	p		
ee		505000	505000	Mobile	s		
ee		526500	526500	-			Broadcasting
ee		526500	526500	BROADCASTING	p		
ee		526500	526500	Mobile	s		
ee		1429000	1429000	-			Point-to-Point
ee		1429000	1429000		p		
ee		1559000	1559000	-			GPR/WPR
ee		1559000	1559000		p		
ee		1606500	1606500	-			Maritime communications,  DSC
ee		1606500	1606500	MARITIME MOBILE 	p	5.92, 5.90	
ee		1606500	1606500	Mobile	s		
ee		1625000	1625000	-			
ee		1625000	1625000	Mobile	s		
ee		1625000	1625000	RADIOLOCATION 	p	5.93	
ee		1635000	1635000	-			Maritime communications
ee		1635000	1635000	MARITIME MOBILE 	p	5.96, 5.92, 5.90	
ee		1635000	1635000	Mobile	s		
ee		1650000	1650000	-			Defence systems
ee		1650000	1650000		p		
ee		1800000	1800000	-			
ee		1800000	1800000	Mobile	s		
ee		1800000	1800000	RADIOLOCATION 	p	5.93	
ee		1810000	1810000	-			Amateur
ee		1810000	1810000	AMATEUR 	p	5.100, 5.98	
ee		1810000	1810000	Mobile	s		
ee		1850000	1850000	-			Maritime communications
ee		1850000	1850000	Amateur	s		
ee		1850000	1850000	LAND MOBILE	p		
ee		1850000	1850000	MARITIME MOBILE 	p	5.103, 5.96, 5.92	
ee		1850000	1850000	Mobile	s		
ee		1850000	1850000	-			Amateur
ee		1850000	1850000		p		
ee		2000000	2000000	-			Maritime communications
ee		2000000	2000000	LAND MOBILE	p		
ee		2000000	2000000	MARITIME MOBILE 	p	5.103, 5.92	
ee		2000000	2000000	Mobile	s		
ee		2025000	2025000	-			Maritime communications
ee		2025000	2025000	LAND MOBILE	p		
ee		2025000	2025000	MARITIME MOBILE 	p	5.103, 5.104, 5.92	
ee		2025000	2025000	Mobile	s		
ee		2045000	2045000	-			Maritime communications,  PMR/PAMR
ee		2045000	2045000	FIXED	p		
ee		2045000	2045000	LAND MOBILE	p		
ee		2045000	2045000	MARITIME MOBILE 	p	5.92	
ee		2045000	2045000	Mobile	s		
ee		2045000	2045000	-			On-board communications
ee		2045000	2045000		p		
ee		2045000	2045000	-			Defence systems
ee		2045000	2045000		p		
ee		2127000	2127000	-			Defence systems
ee		2127000	2127000		p		
ee		2141500	2141500	-			DSC
ee		2141500	2141500		p		
ee		2160000	2160000	-			
ee		2160000	2160000	Mobile	s		
ee		2160000	2160000	RADIOLOCATION 	p	5.93	
ee		2170000	2170000	-			Maritime communications
ee		2170000	2170000	MARITIME MOBILE	p		
ee		2170000	2170000	Mobile	s		
ee		2173500	2173500	-			DSC,  GMDSS,  SAR (communications)
ee		2173500	2173500	Mobile	s		
ee		2173500	2173500	MOBILE (DISTRESS AND CALLING) 	p	5.111, 5.110, 5.108, 5.109	
ee		2190500	2190500	-			
ee		2190500	2190500	MARITIME MOBILE	p		
ee		2190500	2190500	Mobile	s		
ee		2194000	2194000	-			Defence systems,  Maritime communications
ee		2194000	2194000	FIXED	p		
ee		2194000	2194000	MOBILE EXCEPT AERONAUTICAL MOBILE (R) 	p	5.103, 5.92	
ee		2194000	2194000	Mobile	s		
ee		2300000	2300000	-			Maritime communications,  Defence systems
ee		2300000	2300000	FIXED	p		
ee		2300000	2300000	Mobile	s		
ee		2300000	2300000	MOBILE EXCEPT AERONAUTICAL MOBILE (R) 	p	5.103, 5.113	
ee		2391000	2391000	-			SAP/SAB and ENG/OB
ee		2391000	2391000		p		
ee		2498000	2498000	-			
ee		2498000	2498000	Mobile	s		
ee		2498000	2498000	STANDARD FREQUENCY AND TIME SIGNAL (2 500 KHZ)	p		
ee		2501000	2501000	-			
ee		2501000	2501000	Mobile	s		
ee		2501000	2501000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ee		2502000	2502000	-			Maritime communications
ee		2502000	2502000	FIXED	p		
ee		2502000	2502000	Mobile	s		
ee		2502000	2502000	MOBILE EXCEPT AERONAUTICAL MOBILE (R) 	p	5.103, 5.92	
ee		2625000	2625000	-			Maritime communications
ee		2625000	2625000	MARITIME MOBILE 	p	5.92	
ee		2625000	2625000	MARITIME RADIONAVIGATION	p		
ee		2625000	2625000	Mobile	s		
ee		2650000	2650000	-			Maritime communications
ee		2650000	2650000	FIXED	p		
ee		2650000	2650000	Mobile	s		
ee		2650000	2650000	MOBILE EXCEPT AERONAUTICAL MOBILE (R) 	p	5.103, 5.92	
ee		2650000	2650000	-			Defence systems
ee		2650000	2650000		p		
ee		2715000	2715000	-			Defence systems
ee		2715000	2715000		p		
ee		2725000	2725000	-			Defence systems
ee		2725000	2725000		p		
ee		2850000	2850000	-			SAR (communications),  AGA communications (civil)
ee		2850000	2850000	AERONAUTICAL MOBILE (R) 	p	5.115, 5.111	
ee		2850000	2850000	Mobile	s		
ee		3025000	3025000	-			Defence systems
ee		3025000	3025000	AERONAUTICAL MOBILE (OR)	p		
ee		3025000	3025000	Mobile	s		
ee		3155000	3155000	-			
ee		3155000	3155000	FIXED	p		
ee		3155000	3155000	-			Maritime communications
ee		3155000	3155000	MARITIME MOBILE 	p	5.116	
ee		3155000	3155000	Mobile	s		
ee		3155000	3155000	-			Defence systems
ee		3155000	3155000		p		
ee		3200000	3200000	-			Maritime communications,  Defence systems
ee		3200000	3200000	Mobile	s		
ee		3200000	3200000	MOBILE EXCEPT AERONAUTICAL MOBILE (R) 	p	5.116, 5.113	
ee		3230000	3230000	-			Maritime communications
ee		3230000	3230000	MARITIME MOBILE 	p	5.116, 5.113	
ee		3230000	3230000	Mobile	s		
ee		3230000	3230000	-			Defence systems
ee		3230000	3230000		p		
ee		3400000	3400000	-			Radiolocation (military)
ee		3400000	3400000		p		
ee		3400000	3400000	-			AGA communications (civil)
ee		3400000	3400000	AERONAUTICAL MOBILE (R)	p		
ee		3400000	3400000	Mobile	s		
ee		3400000	3400000	-			Amateur
ee		3400000	3400000		p		
ee		3500000	3500000	-			Maritime communications
ee		3500000	3500000	AMATEUR	p		
ee		3500000	3500000	FIXED	p		
ee		3500000	3500000	MARITIME MOBILE 	p	5.92	
ee		3500000	3500000	Mobile	s		
ee		3600000	3600000	-			Defence systems
ee		3600000	3600000		p		
ee		3800000	3800000	-			
ee		3800000	3800000	FIXED	p		
ee		3800000	3800000	LAND MOBILE	p		
ee		3800000	3800000	Mobile	s		
ee		3800000	3800000	-			Defence systems
ee		3800000	3800000		p		
ee		3810000	3810000	-			Defence systems
ee		3810000	3810000		p		
ee		3820000	3820000	-			Defence systems
ee		3820000	3820000		p		
ee		3900000	3900000	-			Defence systems
ee		3900000	3900000	AERONAUTICAL MOBILE (OR)	p		
ee		3900000	3900000	Mobile	s		
ee		3950000	3950000	-			AM sound analogue
ee		3950000	3950000	BROADCASTING	p		
ee		3950000	3950000	Mobile	s		
ee		4000000	4000000	-			Maritime communications
ee		4000000	4000000	FIXED	p		
ee		4000000	4000000	MARITIME MOBILE 	p	5.127	
ee		4000000	4000000	Mobile	s		
ee		4063000	4063000	-			NAVTEX
ee		4063000	4063000	MARITIME MOBILE 	p	5.132A, 5.110, 5.109, 5.128, 5.130, 5.131, 5.132, 5.79A	
ee		4063000	4063000	Mobile	s		
ee		4063000	4063000	-			Maritime communications
ee		4063000	4063000		p		
ee		4065000	4065000	-			Maritime communications,  Defence systems
ee		4065000	4065000		p		
ee		4125000	4125000	-			GMDSS
ee		4125000	4125000		p		
ee		4146000	4146000	-			Maritime communications
ee		4146000	4146000		p		
ee		4152000	4152000	-			Maritime communications
ee		4152000	4152000		p		
ee		4172000	4172000	-			Maritime communications
ee		4172000	4172000		p		
ee		4181750	4181750	-			Maritime communications
ee		4181750	4181750		p		
ee		4186750	4186750	-			Maritime communications
ee		4186750	4186750		p		
ee		4202250	4202250	-			Maritime communications
ee		4202250	4202250		p		
ee		4207250	4207250	-			DSC
ee		4207250	4207250		p		
ee		4209250	4209250	-			Maritime communications
ee		4209250	4209250		p		
ee		4219250	4219250	-			Defence systems
ee		4219250	4219250		p		
ee		4219250	4219250	-			DSC
ee		4219250	4219250		p		
ee		4221000	4221000	-			Maritime communications
ee		4221000	4221000		p		
ee		4234000	4234000	-			Railway applications
ee		4234000	4234000		p		
ee		4351000	4351000	-			Maritime communications
ee		4351000	4351000		p		
ee		4438000	4438000	-			Maritime communications
ee		4438000	4438000	FIXED	p		
ee		4438000	4438000	Mobile 	s	5.132B	
ee		4438000	4438000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ee		4516000	4516000	-			Railway applications
ee		4516000	4516000		p		
ee		4650000	4650000	-			AGA communications (civil)
ee		4650000	4650000	AERONAUTICAL MOBILE (R)	p		
ee		4650000	4650000	Mobile	s		
ee		4700000	4700000	-			Defence systems
ee		4700000	4700000	AERONAUTICAL MOBILE (OR)	p		
ee		4700000	4700000	Mobile	s		
ee		4750000	4750000	-			Defence systems
ee		4750000	4750000	AERONAUTICAL MOBILE (OR)	p		
ee		4750000	4750000	FIXED 	p	5.113	
ee		4750000	4750000	Mobile	s		
ee		4850000	4850000	-			Defence systems
ee		4850000	4850000	FIXED 	p	5.113	
ee		4850000	4850000	LAND MOBILE	p		
ee		4850000	4850000	Mobile	s		
ee		4995000	4995000	-			
ee		4995000	4995000	Mobile	s		
ee		4995000	4995000	STANDARD FREQUENCY AND TIME SIGNAL (5 000 KHZ)	p		
ee		5003000	5003000	-			
ee		5003000	5003000	Mobile	s		
ee		5003000	5003000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ee		5005000	5005000	-			Defence systems
ee		5005000	5005000	FIXED 	p	5.113	
ee		5005000	5005000	Mobile	s		
ee		5060000	5060000	-			
ee		5060000	5060000	Mobile	s		
ee		5060000	5060000	-			
ee		5060000	5060000	FIXED 	p	5.133	
ee		5060000	5060000	Mobile except aeronautical mobile	s		
ee		5150000	5150000	-			Land mobile
ee		5150000	5150000		p		
ee		5250000	5250000	-			
ee		5250000	5250000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ee		5250000	5250000	FIXED	p		
ee		5250000	5250000	-			
ee		5250000	5250000	Radiolocation 	s	5.132A	
ee		5250000	5250000	-			Defence systems
ee		5250000	5250000		p		
ee		5260000	5260000	-			Defence systems
ee		5260000	5260000		p		
ee		5450000	5450000	-			Defence systems
ee		5450000	5450000	FIXED	p		
ee		5450000	5450000	LAND MOBILE	p		
ee		5450000	5450000	Mobile	s		
ee		5480000	5480000	-			AGA communications (civil)
ee		5480000	5480000	AERONAUTICAL MOBILE (R) 	p	5.115, 5.111	
ee		5480000	5480000	Mobile	s		
ee		5679000	5679000	-			GMDSS
ee		5679000	5679000		p		
ee		5680000	5680000	-			Defence systems
ee		5680000	5680000	AERONAUTICAL MOBILE (OR) 	p	5.115, 5.111	
ee		5680000	5680000	Mobile	s		
ee		5730000	5730000	-			
ee		5730000	5730000	FIXED	p		
ee		5730000	5730000	LAND MOBILE	p		
ee		5730000	5730000	Mobile	s		
ee		5730000	5730000	-			Defence systems
ee		5730000	5730000		p		
ee		5830000	5830000	-			Defence systems
ee		5830000	5830000		p		
ee		5900000	5900000	-			AM sound analogue
ee		5900000	5900000	BROADCASTING 	p	5.134, 5.136	
ee		5900000	5900000	Mobile	s		
ee		5950000	5950000	-			AM sound analogue
ee		5950000	5950000	BROADCASTING	p		
ee		5950000	5950000	Mobile	s		
ee		6200000	6200000	-			Defence systems
ee		6200000	6200000	MARITIME MOBILE 	p	5.110, 5.109, 5.130, 5.132, 5.137	
ee		6200000	6200000	Mobile	s		
ee		6200000	6200000	-			Maritime communications
ee		6200000	6200000		p		
ee		6215000	6215000	-			GMDSS
ee		6215000	6215000		p		
ee		6224000	6224000	-			Maritime communications
ee		6224000	6224000		p		
ee		6233000	6233000	-			Maritime communications
ee		6233000	6233000		p		
ee		6261000	6261000	-			Maritime communications
ee		6261000	6261000		p		
ee		6262750	6262750	-			Maritime communications
ee		6262750	6262750		p		
ee		6275750	6275750	-			Maritime communications
ee		6275750	6275750		p		
ee		6280750	6280750	-			Maritime communications
ee		6280750	6280750		p		
ee		6284750	6284750	-			Maritime communications
ee		6284750	6284750		p		
ee		6300250	6300250	-			Maritime communications
ee		6300250	6300250		p		
ee		6311750	6311750	-			DSC
ee		6311750	6311750		p		
ee		6330750	6330750	-			DSC
ee		6330750	6330750		p		
ee		6332500	6332500	-			Maritime communications
ee		6332500	6332500		p		
ee		6501000	6501000	-			Maritime communications
ee		6501000	6501000		p		
ee		6525000	6525000	-			AGA communications (civil)
ee		6525000	6525000	AERONAUTICAL MOBILE (R)	p		
ee		6525000	6525000	Mobile	s		
ee		6685000	6685000	-			Defence systems
ee		6685000	6685000	AERONAUTICAL MOBILE (OR)	p		
ee		6685000	6685000	Mobile	s		
ee		6765000	6765000	-			
ee		6765000	6765000	FIXED	p		
ee		6765000	6765000	MOBILE EXCEPT AERONAUTICAL MOBILE 	p	5.138	
ee		6765000	6765000	Mobile	s		
ee		6765000	6765000	-			Defence systems
ee		6765000	6765000		p		
ee		6765000	6765000	-			ISM,  Non-specific SRDs
ee		6765000	6765000		p		
ee		6900000	6900000	-			Defence systems
ee		6900000	6900000		p		
ee		6935000	6935000	-			Defence systems
ee		6935000	6935000		p		
ee		7000000	7000000	-			Amateur
ee		7000000	7000000	AMATEUR	p		
ee		7000000	7000000	AMATEUR-SATELLITE	p		
ee		7000000	7000000	Mobile	s		
ee		7100000	7100000	-			Amateur
ee		7100000	7100000	AMATEUR	p		
ee		7100000	7100000	Mobile	s		
ee		7200000	7200000	-			AM sound analogue
ee		7200000	7200000	BROADCASTING	p		
ee		7200000	7200000	Mobile	s		
ee		7300000	7300000	-			
ee		7300000	7300000	Mobile	s		
ee		7300000	7300000	-			Broadcasting
ee		7300000	7300000	BROADCASTING 	p	5.143B, 5.134, 5.143	
ee		7350000	7350000	-			Defence systems
ee		7350000	7350000		p		
ee		7400000	7400000	-			Short Range Devices
ee		7400000	7400000	BROADCASTING 	p	5.143B	
ee		7400000	7400000	Land Mobile	s		
ee		7400000	7400000	Fixed	s		
ee		7450000	7450000	-			
ee		7450000	7450000	FIXED	p		
ee		7450000	7450000	-			Short Range Devices
ee		7450000	7450000	MOBILE	p		
