region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
es		0	0	-			
es		0	0	NOT ALLOCATED	p		
es		8300	8300	-			Active medical implants,  Meteorology
es		8300	8300	METEOROLOGICAL AIDS	p		
es		9000	9000	-			Active medical implants,  Meteorology,  Inductive applications,  Defence systems
es		9000	9000	METEOROLOGICAL AIDS	p		
es		9000	9000	RADIONAVIGATION	p		
es		11300	11300	-			Defence systems,  Inductive applications,  LP-AMI
es		11300	11300	RADIONAVIGATION	p		
es		14000	14000	-			Defence systems,  Inductive applications,  LP-AMI
es		14000	14000	MARITIME MOBILE	p		
es		14000	14000	FIXED	p		
es		19950	19950	-			Standard frequency and time signal
es		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL-SATELLITE	p		
es		20050	20050	-			Inductive applications,  Defence systems,  LP-AMI
es		20050	20050	FIXED	p		
es		20050	20050	MARITIME MOBILE	p		
es		70000	70000	-			Inductive applications,  Defence systems,  LP-AMI
es		70000	70000	RADIONAVIGATION	p		
es		72000	72000	-			Inductive applications,  Defence systems,  LP-AMI
es		72000	72000	MARITIME MOBILE	p		
es		72000	72000	FIXED	p		
es		72000	72000	RADIONAVIGATION	p		
es		84000	84000	-			Inductive applications,  Defence systems,  LP-AMI
es		84000	84000	RADIONAVIGATION	p		
es		86000	86000	-			Inductive applications,  Defence systems,  LP-AMI
es		86000	86000	RADIONAVIGATION	p		
es		86000	86000	MARITIME MOBILE	p		
es		86000	86000	FIXED	p		
es		90000	90000	-			Inductive applications,  Defence systems,  LP-AMI
es		90000	90000	RADIONAVIGATION	p		
es		90000	90000	Fixed	s		
es		110000	110000	-			Inductive applications,  LP-AMI
es		110000	110000	FIXED	p		
es		110000	110000	MARITIME MOBILE	p		
es		110000	110000	RADIONAVIGATION	p		
es		112000	112000	-			Inductive applications,  Defence systems,  LP-AMI
es		112000	112000	RADIONAVIGATION	p		
es		115000	115000	-			Inductive applications,  Defence systems,  LP-AMI
es		115000	115000	RADIONAVIGATION	p		
es		115000	115000	Fixed	s		
es		115000	115000	Maritime Mobile	s		
es		117600	117600	-			Inductive applications,  Defence systems,  LP-AMI
es		117600	117600	MARITIME MOBILE	p		
es		117600	117600	RADIONAVIGATION	p		
es		117600	117600	FIXED	p		
