region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
eu		0	0	-		5.53, 5.54	
eu		0	0	Not allocated	s		
eu		8300	8300	-		5.54A	Lightning detection systems
eu		8300	8300	METEOROLOGICAL AIDS 	p	5.54A	
eu		9000	9000	-		EU2	Lightning detection systems,  Inductive applications,  Active medical implants,  ISM
eu		9000	9000	RADIONAVIGATION	p		
eu		9000	9000	METEOROLOGICAL AIDS 	p	5.54A	
eu		11300	11300	-		EU2	Active medical implants,  Inductive applications,  ISM
eu		11300	11300	RADIONAVIGATION	p		
eu		14000	14000	-		5.56, EU2	Defence systems,  Inductive applications,  Active medical implants
eu		14000	14000	FIXED	p		
eu		14000	14000	MARITIME MOBILE 	p	5.57	
eu		19950	19950	-			
eu		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL (20 KHZ)	p		
eu		20050	20050	-		5.56, EU2	Active medical implants,  Defence systems,  Inductive applications
eu		20050	20050	FIXED	p		
eu		20050	20050	MARITIME MOBILE 	p	5.57	
eu		70000	70000	-		EU2	Inductive applications,  Active medical implants
eu		70000	70000	RADIONAVIGATION 	p	5.60	
eu		72000	72000	-		5.56, EU2	Active medical implants,  Standard frequency and time signal,  Defence systems,  Inductive applications
eu		72000	72000	FIXED	p		
eu		72000	72000	MARITIME MOBILE 	p	5.57	
eu		72000	72000	RADIONAVIGATION 	p	5.60	
eu		84000	84000	-		EU2	Defence systems,  Inductive applications,  Active medical implants
eu		84000	84000	RADIONAVIGATION 	p	5.60	
eu		86000	86000	-		5.56, EU2	Active medical implants,  Defence systems,  Inductive applications
eu		86000	86000	FIXED	p		
eu		86000	86000	MARITIME MOBILE 	p	5.57	
eu		86000	86000	RADIONAVIGATION	p		
eu		90000	90000	-		5.64, EU2	Defence systems,  Inductive applications,  Active medical implants
eu		90000	90000	RADIONAVIGATION 	p	5.62	
eu		90000	90000	Fixed	s		
eu		110000	110000	-		5.64, EU2	Active medical implants,  Defence systems,  Inductive applications
eu		110000	110000	FIXED	p		
eu		110000	110000	MARITIME MOBILE	p		
eu		110000	110000	RADIONAVIGATION	p		
eu		112000	112000	-		EU2	Defence systems,  Inductive applications,  Active medical implants
eu		112000	112000	RADIONAVIGATION 	p	5.60	
eu		115000	115000	-		5.64, EU2	Active medical implants,  Defence systems,  Inductive applications
eu		115000	115000	RADIONAVIGATION 	p	5.60	
eu		115000	115000	Fixed	s		
eu		115000	115000	Maritime Mobile	s		
eu		117600	117600	-		5.64, EU2	Defence systems,  Inductive applications,  Active medical implants
eu		117600	117600	FIXED	p		
eu		117600	117600	MARITIME MOBILE	p		
eu		117600	117600	RADIONAVIGATION 	p	5.60	
eu		126000	126000	-		EU2	Active medical implants,  Defence systems,  Inductive applications
eu		126000	126000	RADIONAVIGATION 	p	5.60	
