region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
fi		8300	9000	-			Meteorology
fi		8300	9000	METEOROLOGICAL AIDS	p		
fi		9000	11300	-			Meteorology,  Radiolocation (civil)
fi		9000	11300	METEOROLOGICAL AIDS	p		
fi		9000	11300	RADIONAVIGATION	p		
fi		11300	14000	-			Radiolocation (civil)
fi		11300	14000	RADIONAVIGATION	p		
fi		14000	19950	-			Maritime communications,  Fixed
fi		14000	19950	MARITIME MOBILE	p		
fi		14000	19950	FIXED	p		
fi		19950	20050	-			Standard frequency and time signal
fi		19950	20050	STANDARD FREQUENCY AND TIME SIGNAL	p		
fi		20050	70000	-			Maritime communications,  Fixed
fi		20050	70000	MARITIME MOBILE	p		
fi		20050	70000	FIXED	p		
fi		70000	72000	-			Maritime navigation
fi		70000	72000	RADIONAVIGATION	p		
fi		72000	84000	-			Fixed,  Radiolocation (civil),  Maritime communications
fi		72000	84000	FIXED	p		
fi		72000	84000	RADIONAVIGATION	p		
fi		72000	84000	MARITIME MOBILE	p		
fi		84000	86000	-			Maritime navigation
fi		84000	86000	RADIONAVIGATION	p		
fi		86000	90000	-			Maritime communications,  Fixed,  Radiolocation (civil)
fi		86000	90000	MARITIME MOBILE	p		
fi		86000	90000	FIXED	p		
fi		86000	90000	RADIONAVIGATION	p		
fi		90000	110000	-			Radiolocation (civil),  Fixed
fi		90000	110000	RADIONAVIGATION	p		
fi		90000	110000	Fixed	s		
fi		110000	112000	-			Radiolocation (civil),  Fixed,  Maritime communications
fi		110000	112000	RADIONAVIGATION	p		
fi		110000	112000	FIXED	p		
fi		110000	112000	MARITIME MOBILE	p		
fi		112000	115000	-			Maritime navigation
fi		112000	115000	RADIONAVIGATION	p		
fi		115000	117600	-			Maritime navigation,  Fixed,  Maritime communications
fi		115000	117600	RADIONAVIGATION	p		
fi		115000	117600	Fixed	s		
fi		115000	117600	Maritime Mobile	s		
fi		117600	126000	-			Radiolocation (civil),  Fixed,  Maritime communications
fi		117600	126000	RADIONAVIGATION	p		
fi		117600	126000	FIXED	p		
fi		117600	126000	MARITIME MOBILE	p		
fi		126000	129000	-			Maritime navigation
fi		126000	129000	RADIONAVIGATION	p		
fi		129000	130000	-			Radiolocation (civil),  Fixed,  Maritime communications
fi		129000	130000	RADIONAVIGATION	p		
fi		129000	130000	FIXED	p		
fi		129000	130000	MARITIME MOBILE	p		
fi		130000	148500	-			Maritime communications,  Fixed
fi		130000	148500	Amateur	s		
fi		130000	148500	MARITIME MOBILE	p		
fi		130000	148500	FIXED	p		
fi		135700	137800	-			Amateur
fi		135700	137800		p		
fi		148500	255000	-			Broadcasting (terrestrial)
fi		148500	255000	BROADCASTING	p		
fi		255000	283500	-			Aeronautical navigation,  Broadcasting (terrestrial)
fi		255000	283500	AERONAUTICAL RADIONAVIGATION	p		
fi		255000	283500	BROADCASTING	p		
fi		283500	315000	-			Aeronautical navigation,  Maritime navigation
fi		283500	315000	AERONAUTICAL RADIONAVIGATION	p		
fi		283500	315000	MARITIME RADIONAVIGATION	p		
fi		315000	325000	-			Maritime navigation,  Aeronautical navigation
fi		315000	325000	Maritime Radionavigation	s		
fi		315000	325000	AERONAUTICAL RADIONAVIGATION	p		
fi		325000	405000	-			Aeronautical navigation
fi		325000	405000	AERONAUTICAL RADIONAVIGATION	p		
fi		405000	415000	-			Aeronautical navigation,  Maritime navigation
fi		405000	415000	RADIONAVIGATION	p		
fi		415000	435000	-			Aeronautical navigation,  Maritime communications
fi		415000	435000	AERONAUTICAL RADIONAVIGATION	p		
fi		415000	435000	MARITIME MOBILE	p		
fi		435000	495000	-			Maritime communications,  Aeronautical navigation
fi		435000	495000	MARITIME MOBILE	p		
fi		435000	495000	Aeronautical Radionavigation	s		
fi		435000	495000	Amateur	s		
fi		472000	479000	-			Amateur
fi		472000	479000		p		
fi		495000	505000	-			Maritime communications
fi		495000	505000	MARITIME MOBILE	p		
fi		505000	526500	-			Aeronautical navigation,  Maritime communications
fi		505000	526500	AERONAUTICAL RADIONAVIGATION	p		
fi		505000	526500	MARITIME MOBILE	p		
fi		526500	1606500	-			Broadcasting (terrestrial)
fi		526500	1606500	BROADCASTING	p		
fi		1606500	1625000	-			Land mobile,  Fixed
fi		1606500	1625000	LAND MOBILE	p		
fi		1606500	1625000	FIXED	p		
fi		1606500	1625000	MARITIME MOBILE	p		
fi		1607000	1624500	-			DSC
fi		1607000	1624500		p		
fi		1625000	1635000	-			Radiolocation (civil)
fi		1625000	1635000	RADIOLOCATION	p		
fi		1635000	1800000	-			Maritime communications,  Fixed,  Land mobile
fi		1635000	1800000	MARITIME MOBILE	p		
fi		1635000	1800000	FIXED	p		
fi		1635000	1800000	LAND MOBILE	p		
fi		1800000	1810000	-			Radiolocation (civil)
fi		1800000	1810000	RADIOLOCATION	p		
fi		1810000	1850000	-			Amateur
fi		1810000	1850000	AMATEUR	p		
fi		1850000	2000000	-			Fixed
