region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
fi		8300	8300	-			Meteorology
fi		8300	8300	METEOROLOGICAL AIDS	p		
fi		9000	9000	-			Meteorology,  Radiolocation (civil)
fi		9000	9000	METEOROLOGICAL AIDS	p		
fi		9000	9000	RADIONAVIGATION	p		
fi		11300	11300	-			Radiolocation (civil)
fi		11300	11300	RADIONAVIGATION	p		
fi		14000	14000	-			Maritime communications,  Fixed
fi		14000	14000	MARITIME MOBILE	p		
fi		14000	14000	FIXED	p		
fi		19950	19950	-			Standard frequency and time signal
fi		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
fi		20050	20050	-			Maritime communications,  Fixed
fi		20050	20050	MARITIME MOBILE	p		
fi		20050	20050	FIXED	p		
fi		70000	70000	-			Maritime navigation
fi		70000	70000	RADIONAVIGATION	p		
fi		72000	72000	-			Fixed,  Radiolocation (civil),  Maritime communications
fi		72000	72000	FIXED	p		
fi		72000	72000	RADIONAVIGATION	p		
fi		72000	72000	MARITIME MOBILE	p		
fi		84000	84000	-			Maritime navigation
fi		84000	84000	RADIONAVIGATION	p		
fi		86000	86000	-			Maritime communications,  Fixed,  Radiolocation (civil)
fi		86000	86000	MARITIME MOBILE	p		
fi		86000	86000	FIXED	p		
fi		86000	86000	RADIONAVIGATION	p		
fi		90000	90000	-			Radiolocation (civil),  Fixed
fi		90000	90000	RADIONAVIGATION	p		
fi		90000	90000	Fixed	s		
fi		110000	110000	-			Radiolocation (civil),  Fixed,  Maritime communications
fi		110000	110000	RADIONAVIGATION	p		
fi		110000	110000	FIXED	p		
fi		110000	110000	MARITIME MOBILE	p		
fi		112000	112000	-			Maritime navigation
fi		112000	112000	RADIONAVIGATION	p		
fi		115000	115000	-			Maritime navigation,  Fixed,  Maritime communications
fi		115000	115000	RADIONAVIGATION	p		
fi		115000	115000	Fixed	s		
fi		115000	115000	Maritime Mobile	s		
fi		117600	117600	-			Radiolocation (civil),  Fixed,  Maritime communications
fi		117600	117600	RADIONAVIGATION	p		
fi		117600	117600	FIXED	p		
fi		117600	117600	MARITIME MOBILE	p		
fi		126000	126000	-			Maritime navigation
fi		126000	126000	RADIONAVIGATION	p		
fi		129000	129000	-			Radiolocation (civil),  Fixed,  Maritime communications
fi		129000	129000	RADIONAVIGATION	p		
fi		129000	129000	FIXED	p		
fi		129000	129000	MARITIME MOBILE	p		
fi		130000	130000	-			Maritime communications,  Fixed
fi		130000	130000	Amateur	s		
fi		130000	130000	MARITIME MOBILE	p		
fi		130000	130000	FIXED	p		
fi		135700	135700	-			Amateur
fi		135700	135700		p		
fi		148500	148500	-			Broadcasting (terrestrial)
fi		148500	148500	BROADCASTING	p		
fi		255000	255000	-			Aeronautical navigation,  Broadcasting (terrestrial)
fi		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
fi		255000	255000	BROADCASTING	p		
fi		283500	283500	-			Aeronautical navigation,  Maritime navigation
fi		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
fi		283500	283500	MARITIME RADIONAVIGATION	p		
fi		315000	315000	-			Maritime navigation,  Aeronautical navigation
fi		315000	315000	Maritime Radionavigation	s		
fi		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
fi		325000	325000	-			Aeronautical navigation
fi		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
fi		405000	405000	-			Aeronautical navigation,  Maritime navigation
fi		405000	405000	RADIONAVIGATION	p		
fi		415000	415000	-			Aeronautical navigation,  Maritime communications
fi		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
fi		415000	415000	MARITIME MOBILE	p		
fi		435000	435000	-			Maritime communications,  Aeronautical navigation
fi		435000	435000	MARITIME MOBILE	p		
fi		435000	435000	Aeronautical Radionavigation	s		
fi		435000	435000	Amateur	s		
fi		472000	472000	-			Amateur
fi		472000	472000		p		
fi		495000	495000	-			Maritime communications
fi		495000	495000	MARITIME MOBILE	p		
fi		505000	505000	-			Aeronautical navigation,  Maritime communications
fi		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
fi		505000	505000	MARITIME MOBILE	p		
fi		526500	526500	-			Broadcasting (terrestrial)
fi		526500	526500	BROADCASTING	p		
fi		1606500	1606500	-			Land mobile,  Fixed
fi		1606500	1606500	LAND MOBILE	p		
fi		1606500	1606500	FIXED	p		
fi		1606500	1606500	MARITIME MOBILE	p		
fi		1607000	1607000	-			DSC
fi		1607000	1607000		p		
fi		1625000	1625000	-			Radiolocation (civil)
fi		1625000	1625000	RADIOLOCATION	p		
fi		1635000	1635000	-			Maritime communications,  Fixed,  Land mobile
fi		1635000	1635000	MARITIME MOBILE	p		
fi		1635000	1635000	FIXED	p		
fi		1635000	1635000	LAND MOBILE	p		
fi		1800000	1800000	-			Radiolocation (civil)
fi		1800000	1800000	RADIOLOCATION	p		
fi		1810000	1810000	-			Amateur
fi		1810000	1810000	AMATEUR	p		
fi		1850000	1850000	-			Fixed
fi		1850000	1850000	MOBILE	p		
fi		1850000	1850000	FIXED	p		
fi		1850000	1850000	Amateur	s		
fi		1850000	1850000	-			Maritime communications
fi		1850000	1850000		p		
fi		1850000	1850000	-			Amateur
fi		1850000	1850000		p		
fi		1861000	1861000	-			Amateur
fi		1861000	1861000		p		
fi		1912000	1912000	-			Amateur
fi		1912000	1912000		p		
fi		1950000	1950000	-			Maritime communications
fi		1950000	1950000		p		
fi		2000000	2000000	-			Maritime communications,  Fixed
fi		2000000	2000000	MOBILE	p		
fi		2000000	2000000	FIXED	p		
fi		2025000	2025000	-			Maritime communications,  Meteorology,  Fixed
fi		2025000	2025000	MOBILE	p		
