region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
fm		8300	8300	-			
fm		8300	8300	METEOROLOGICAL AIDS	p		
fm		9000	9000	-			ISM,  Inductive applications,  Active medical implants
fm		9000	9000		p		
fm		9000	9000	-			
fm		9000	9000	RADIONAVIGATION	p		
fm		9000	9000	METEOROLOGICAL AIDS	p		
fm		11300	11300	-			
fm		11300	11300	RADIONAVIGATION	p		
fm		14000	14000	-			Active medical implants,  Inductive applications
fm		14000	14000	FIXED	p		
fm		14000	14000	MARITIME MOBILE	p		
fm		19950	19950	-			Inductive applications,  Active medical implants
fm		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
fm		20050	20050	-			Active medical implants,  Inductive applications
fm		20050	20050	FIXED	p		
fm		20050	20050	MARITIME MOBILE	p		
fm		70000	70000	-			Inductive applications,  Active medical implants
fm		70000	70000	RADIONAVIGATION	p		
fm		72000	72000	-			Active medical implants,  Inductive applications
fm		72000	72000	FIXED	p		
fm		72000	72000	MARITIME MOBILE	p		
fm		72000	72000	RADIONAVIGATION	p		
fm		84000	84000	-			Inductive applications,  Active medical implants
fm		84000	84000	RADIONAVIGATION	p		
fm		86000	86000	-			Active medical implants,  Inductive applications
fm		86000	86000	FIXED	p		
fm		86000	86000	MARITIME MOBILE	p		
fm		86000	86000	RADIONAVIGATION	p		
fm		90000	90000	-			Inductive applications,  Active medical implants
fm		90000	90000	RADIONAVIGATION	p		
fm		90000	90000	Fixed	s		
fm		110000	110000	-			Active medical implants,  Inductive applications
fm		110000	110000	FIXED	p		
fm		110000	110000	MARITIME MOBILE	p		
fm		110000	110000	RADIONAVIGATION	p		
fm		112000	112000	-			Inductive applications,  Active medical implants
fm		112000	112000	RADIONAVIGATION	p		
fm		115000	115000	-			Active medical implants,  Inductive applications
fm		115000	115000	RADIONAVIGATION	p		
fm		115000	115000	Fixed	s		
fm		115000	115000	Maritime Mobile	s		
fm		117600	117600	-			Inductive applications,  Active medical implants
fm		117600	117600	FIXED	p		
fm		117600	117600	MARITIME MOBILE	p		
fm		117600	117600	RADIONAVIGATION	p		
fm		126000	126000	-			Active medical implants,  Inductive applications
fm		126000	126000	RADIONAVIGATION	p		
fm		129000	129000	-			Inductive applications,  Active medical implants
fm		129000	129000	FIXED	p		
fm		129000	129000	MARITIME MOBILE	p		
fm		129000	129000	RADIONAVIGATION	p		
fm		130000	130000	-			Active medical implants,  Inductive applications
fm		130000	130000	FIXED	p		
fm		130000	130000	MARITIME MOBILE	p		
fm		135700	135700	-			Inductive applications,  Amateur,  Active medical implants
fm		135700	135700	FIXED	p		
fm		135700	135700	MARITIME MOBILE	p		
fm		135700	135700	Amateur	s		
fm		137800	137800	-			Active medical implants,  Active medical implants
fm		137800	137800	FIXED	p		
fm		137800	137800	MARITIME MOBILE	p		
fm		148500	148500	-			Active medical implants,  Broadcasting,  Inductive applications
fm		148500	148500	BROADCASTING	p		
fm		255000	255000	-			Inductive applications,  Aeronautical navigation,  AM sound analogue,  Active medical implants
