region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
fr		0	8300	-			
fr		0	8300	Not allocated	s		
fr		8300	9000	-			Lightning detection systems
fr		8300	9000	METEOROLOGICAL AIDS	p		
fr		9000	315000	-			Active medical implants
fr		9000	315000		p		
fr		9000	90000	-			Inductive applications
fr		9000	90000		p		
fr		9000	11300	-			Defence systems,  Lightning detection systems
fr		9000	11300	METEOROLOGICAL AIDS	p		
fr		9000	11300	RADIONAVIGATION	p		
fr		11300	14000	-			Defence systems
fr		11300	14000	RADIONAVIGATION	p		
fr		14000	19950	-			Defence systems
fr		14000	19950	FIXED	p		
fr		14000	19950	MARITIME MOBILE	p		
fr		19950	20050	-			Standard frequency and time signal
fr		19950	20050	STANDARD FREQUENCY AND TIME SIGNAL	p		
fr		20050	70000	-			Defence systems
fr		20050	70000	FIXED	p		
fr		20050	70000	MARITIME MOBILE	p		
fr		20050	70000	STANDARD FREQUENCY AND TIME SIGNAL	p		
fr		70000	72000	-			Defence systems
fr		70000	72000	Fixed	s		
fr		70000	72000	Maritime Mobile	s		
fr		70000	72000	MARITIME RADIONAVIGATION	p		
fr		72000	84000	-			Defence systems
fr		72000	84000	FIXED	p		
fr		72000	84000	MARITIME MOBILE	p		
fr		72000	84000	MARITIME RADIONAVIGATION	p		
fr		72000	84000	STANDARD FREQUENCY AND TIME SIGNAL	p		
fr		84000	86000	-			Defence systems
fr		84000	86000	Fixed	s		
fr		84000	86000	Maritime Mobile	s		
fr		84000	86000	MARITIME RADIONAVIGATION	p		
fr		86000	90000	-			Defence systems
fr		86000	90000	FIXED	p		
fr		86000	90000	MARITIME MOBILE	p		
fr		86000	90000	MARITIME RADIONAVIGATION	p		
fr		86000	90000	STANDARD FREQUENCY AND TIME SIGNAL	p		
fr		90000	119000	-			Inductive applications
fr		90000	119000		p		
fr		90000	110000	-			Defence systems
fr		90000	110000	Fixed	s		
fr		90000	110000	MARITIME RADIONAVIGATION	p		
fr		110000	112000	-			Defence systems
fr		110000	112000	FIXED	p		
fr		110000	112000	MARITIME MOBILE	p		
fr		110000	112000	MARITIME RADIONAVIGATION	p		
fr		112000	117600	-			Defence systems
fr		112000	117600	Fixed	s		
fr		112000	117600	Maritime Mobile	s		
fr		112000	117600	MARITIME RADIONAVIGATION	p		
fr		117600	126000	-			Defence systems
fr		117600	126000	FIXED	p		
fr		117600	126000	MARITIME MOBILE	p		
fr		117600	126000	MARITIME RADIONAVIGATION	p		
fr		119000	135000	-			Inductive applications
fr		119000	135000		p		
fr		126000	129000	-			Defence systems
fr		126000	129000	Fixed	s		
fr		126000	129000	Maritime Mobile	s		
fr		126000	129000	MARITIME RADIONAVIGATION	p		
fr		129000	130000	-			Defence systems
fr		129000	130000	FIXED	p		
fr		129000	130000	MARITIME MOBILE	p		
fr		129000	130000	MARITIME RADIONAVIGATION	p		
fr		130000	135700	-			Defence systems
fr		130000	135700	FIXED	p		
fr		130000	135700	MARITIME MOBILE	p		
fr		135000	140000	-			Inductive applications
fr		135000	140000		p		
fr		135700	137800	-			Defence systems,  Amateur
fr		135700	137800	Amateur	s		
fr		135700	137800	FIXED	p		
fr		135700	137800	MARITIME MOBILE	p		
fr		137800	148500	-			Defence systems
fr		137800	148500	FIXED	p		
fr		137800	148500	MARITIME MOBILE	p		
fr		140000	148500	-			Inductive applications
fr		140000	148500		p		
fr		148500	5000000	-			Inductive applications
fr		148500	5000000		p		
fr		148500	255000	-			AM sound analogue
fr		148500	255000	BROADCASTING	p		
fr		255000	283500	-			Beacons (aeronautical),  AM sound analogue,  Defence systems
fr		255000	283500	AERONAUTICAL RADIONAVIGATION	p		
fr		255000	283500	BROADCASTING	p		
fr		283500	315000	-			Beacons (aeronautical),  Defence systems,  Beacons (maritime)
fr		283500	315000	AERONAUTICAL RADIONAVIGATION	p		
fr		283500	315000	MARITIME RADIONAVIGATION	p		
fr		315000	600000	-			Active medical implants
fr		315000	600000		p		
fr		315000	325000	-			Beacons (aeronautical),  Defence systems,  Beacons (maritime)
fr		315000	325000	AERONAUTICAL RADIONAVIGATION	p		
fr		315000	325000	Maritime Radionavigation	s		
fr		325000	405000	-			Beacons (aeronautical),  Defence systems
fr		325000	405000	AERONAUTICAL RADIONAVIGATION	p		
fr		400000	600000	-			Inductive applications
fr		400000	600000		p		
fr		405000	415000	-			Beacons (aeronautical),  Defence systems,  Maritime navigation
fr		405000	415000	RADIONAVIGATION	p		
