region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
fr		0	0	-			
fr		0	0	Not allocated	s		
fr		8300	8300	-			Lightning detection systems
fr		8300	8300	METEOROLOGICAL AIDS	p		
fr		9000	9000	-			Active medical implants
fr		9000	9000		p		
fr		9000	9000	-			Inductive applications
fr		9000	9000		p		
fr		9000	9000	-			Defence systems,  Lightning detection systems
fr		9000	9000	METEOROLOGICAL AIDS	p		
fr		9000	9000	RADIONAVIGATION	p		
fr		11300	11300	-			Defence systems
fr		11300	11300	RADIONAVIGATION	p		
fr		14000	14000	-			Defence systems
fr		14000	14000	FIXED	p		
fr		14000	14000	MARITIME MOBILE	p		
fr		19950	19950	-			Standard frequency and time signal
fr		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
fr		20050	20050	-			Defence systems
fr		20050	20050	FIXED	p		
fr		20050	20050	MARITIME MOBILE	p		
fr		20050	20050	STANDARD FREQUENCY AND TIME SIGNAL	p		
fr		70000	70000	-			Defence systems
fr		70000	70000	Fixed	s		
fr		70000	70000	Maritime Mobile	s		
fr		70000	70000	MARITIME RADIONAVIGATION	p		
fr		72000	72000	-			Defence systems
fr		72000	72000	FIXED	p		
fr		72000	72000	MARITIME MOBILE	p		
fr		72000	72000	MARITIME RADIONAVIGATION	p		
fr		72000	72000	STANDARD FREQUENCY AND TIME SIGNAL	p		
fr		84000	84000	-			Defence systems
fr		84000	84000	Fixed	s		
fr		84000	84000	Maritime Mobile	s		
fr		84000	84000	MARITIME RADIONAVIGATION	p		
fr		86000	86000	-			Defence systems
fr		86000	86000	FIXED	p		
fr		86000	86000	MARITIME MOBILE	p		
fr		86000	86000	MARITIME RADIONAVIGATION	p		
fr		86000	86000	STANDARD FREQUENCY AND TIME SIGNAL	p		
fr		90000	90000	-			Inductive applications
fr		90000	90000		p		
fr		90000	90000	-			Defence systems
fr		90000	90000	Fixed	s		
fr		90000	90000	MARITIME RADIONAVIGATION	p		
fr		110000	110000	-			Defence systems
fr		110000	110000	FIXED	p		
