region	sub-table	lower_frequency	upper_frequency	category	service	footnotes
gb		10	8300	s	Not Allocated	5.53, 5.54
gb		8300	9000	p	Meteorological Aids	UK1, UK43, 5.A116
gb		9000	11300	p	Radionavigation	UK1, UK11, UK43, EU1
gb		9000	11300	p	Meteorological Aids	UK1, UK11, UK43, EU1, 5.A116
gb		11300	14000	p	Radionavigation	UK1, UK11, EU1
gb		14000	19950	p	Fixed	5.55, 5.56, UK11, UK2, EU1
gb		14000	19950	p	Maritime Mobile	5.55, 5.56, 5.57, UK11, UK2, EU1
gb		19950	20050	p	Standard Frequency and Time Signal	UK1, UK11, EU1
gb		20050	59750	p	Fixed	5.56, UK11, UK13, UK2, EU1
gb		20050	59750	p	Maritime Mobile	5.56, 5.57, UK11, UK13, UK2, EU1
gb		59750	60250	p	Standard Frequency and Time Signal	5.56, UK1
gb		60250	70000	p	Fixed	5.56, UK11, UK13, UK2, EU1
gb		60250	70000	p	Maritime Mobile	5.56, 5.57, UK11, UK13, UK2, EU1
gb		70000	72000	p	Radionavigation	5.60, UK1, UK11, UK13, EU1
gb		72000	84000	p	Fixed	5.56, UK11, UK13, UK2, EU1
gb		72000	84000	p	Maritime Mobile	5.56, 5.57, UK11, UK13, UK2, EU1
gb		72000	84000	p	Radionavigation	5.56, 5.60, UK11, UK13, UK2, EU1
gb		84000	86000	p	Radionavigation	5.60, UK1, UK11, UK13, EU1
gb		86000	90000	p	Fixed	5.56, UK11, UK13, UK2, EU1
gb		86000	90000	p	Maritime Mobile	5.56, 5.57, UK11, UK13, UK2, EU1
gb		86000	90000	p	Radionavigation	5.56, UK11, UK13, UK2, EU1
gb		90000	110000	p	Radionavigation	5.62, 5.64, UK1, UK11, UK13, EU1
gb		110000	112000	p	Fixed	5.64, UK11, UK13, UK2, EU1
gb		110000	112000	p	Maritime Mobile	5.64, UK11, UK13, UK2
gb		110000	112000	p	Radionavigation	5.64, UK11, UK13, UK2, EU1
gb		112000	115000	p	Radionavigation	5.60, UK1, UK11, UK13, EU1
