ref	description
UK1	Except by special agreement having the approval of the NFPG this frequency band, or the allocation to this radio service, is reserved exclusively for CIVIL use in accordance with 'Allocation to Services'.
UK2	Except by special agreement having the approval of the NFPG this frequency band, or the allocation to this radio service, is reserved exclusively for MILITARY use in accordance with the 'Allocation to Services'.
UK3	Responsibility for assigning frequencies in this band in accordance with the Allocation to Services rests with Ofcom and the Scottish Government for emergency services. In all cases where Footnote UK3 is applied in the body of the UK Table, responsibility for planning frequency assignments for the emergency services (for a particular band) rests with: (i) Ofcom (for England, Wales, Northern Ireland, Isle of Man and the Channel Isles); (ii) The Scottish Government, Safer Communities Directorate (for Scotland).                         Specific details of frequency bands available for use by the Emergency Services are contained in Annex I.
UK3.1	70.5 - 71.5 MHz Emergency Services use (see Annex I).
UK3.2	80 - 81.5 MHz and 86.30625 - 86.31875 Emergency Services use (see Annex I).
UK3.3	138.0875 - 138.1125 MHz and 138.2875 - 138.3125 MHz Emergency Services use (see Annex I).
UK3.4	143 - 144 MHz  Emergency Services use (see Annex I).
UK3.5	146 - 148 MHz and 147.46875-147.48125 Emergency Services use (see Annex I).
UK3.6	152 - 153.0125 MHz and 153.0375 - 153.0625 MHz  Emergency Services use (see Annex I).
UK3.7	154 - 156 MHz  and 155.34375 - 155.35625 Emergency Services use (see Annex I).
UK3.8	158.64375 - 158.65625 MHz, 168.3125 - 168.8375 MHz and 173.9875 - 174.4125 MHz Emergency Services use (see Annex I).
UK3.10	380-385 MHz and 390-395 MHz - Ofcom/SG for the public safety services, subject to agreement between Ofcom and the SG  - details contained in SSO(N)(00)11(see Annex I).
UK3.11	410 - 412 MHz Emergency Services use (see Annex I).
UK3.12	420 - 422 MHz Emergency Services use (see Annex I).
UK3.13	450-470 MHz - Ofcom/SG for various frequencies for Emergency Services use (see Annex I).
UK3.14	862-863 MHz - Emergency Services use (see Annex I).
UK3.15	1668-1700 MHz - Emergency Services use (see Annex I).
UK3.17	1677-1685 MHz a - Ofcom/SG for the public safety services (see Annex I).
UK3.18	1698-1700 MHz â&#8220; Ofcom/SG for the public safety services (see Annex I).
UK3.19	1790-1798 MHz - Emergency Services use (see Annex I).
UK3.20	2302-2310 MHz - Emergency Services use (see Annex I).
UK3.21	2310-2320 MHz, 2320-2360 MHz and 2360-2380 MHz - Emergency Services use (see Annex I).
UK3.22	3442-3475 MHz - Emergency Services use (see Annex I).
UK3.23	8340-8360 MHz - Emergency Services use (see Annex I).
