region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
ge		9000	9000	-			ISM,  Inductive applications
ge		9000	9000	RADIONAVIGATION	p		
ge		14000	14000	-			Inductive applications,  Maritime
ge		14000	14000	FIXED	p		
ge		14000	14000	MARITIME MOBILE	p		
ge		19950	19950	-			
ge		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
ge		20050	20050	-			Maritime,  Inductive applications
ge		20050	20050	FIXED	p		
ge		20050	20050	MARITIME MOBILE	p		
ge		70000	70000	-			Inductive applications
ge		70000	70000	RADIONAVIGATION	p		
ge		72000	72000	-			Inductive applications,  Maritime,  Standard frequency and time signal
ge		72000	72000	FIXED	p		
ge		72000	72000	MARITIME MOBILE	p		
ge		72000	72000	RADIONAVIGATION	p		
ge		84000	84000	-			Defence systems,  Inductive applications
ge		84000	84000	RADIONAVIGATION	p		
ge		86000	86000	-			Inductive applications,  Defence systems,  Maritime
ge		86000	86000	FIXED	p		
ge		86000	86000	MARITIME MOBILE	p		
ge		86000	86000	RADIONAVIGATION	p		
ge		90000	90000	-			Defence systems,  Inductive applications
ge		90000	90000	RADIONAVIGATION	p		
ge		90000	90000	Fixed	s		
ge		110000	110000	-			Inductive applications,  Defence systems,  Maritime
ge		110000	110000	FIXED	p		
ge		110000	110000	MARITIME MOBILE	p		
ge		110000	110000	RADIONAVIGATION	p		
ge		112000	112000	-			Maritime,  Defence systems,  Inductive applications
ge		112000	112000	RADIONAVIGATION	p		
ge		115000	115000	-			Inductive applications,  Defence systems,  Maritime
ge		115000	115000	RADIONAVIGATION	p		
ge		115000	115000	Fixed	s		
ge		115000	115000	MARITIME MOBILE	p		
ge		117600	117600	-			Maritime,  Defence systems,  Inductive applications
ge		117600	117600	FIXED	p		
ge		117600	117600	MARITIME MOBILE	p		
ge		117600	117600	RADIONAVIGATION	p		
ge		126000	126000	-			Inductive applications,  Defence systems,  Maritime
ge		126000	126000	RADIONAVIGATION	p		
ge		129000	129000	-			Maritime,  Defence systems,  Inductive applications
ge		129000	129000	FIXED	p		
ge		129000	129000	MARITIME MOBILE	p		
ge		129000	129000	RADIONAVIGATION	p		
ge		130000	130000	-			Inductive applications,  Defence systems,  Maritime
ge		130000	130000	FIXED	p		
ge		130000	130000	MARITIME MOBILE	p		
ge		135700	135700	-			Amateur
ge		135700	135700	AMATEUR	p		
ge		135700	135700	FIXED	p		
ge		135700	135700	MARITIME MOBILE	p		
ge		137800	137800	-			
ge		137800	137800	FIXED	p		
ge		137800	137800	MARITIME MOBILE	p		
ge		148500	148500	-			AM sound analogue,  Beacons (aeronautical)
ge		148500	148500	BROADCASTING	p		
ge		255000	255000	-			Beacons (aeronautical),  Broadcasting
ge		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
ge		255000	255000	BROADCASTING	p		
ge		283500	283500	-			Beacons (aeronautical),  Beacons (maritime)
ge		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
ge		283500	283500	Maritime Radionavigation (radiobeacons)	s		
ge		315000	315000	-			Beacons (maritime),  Beacons (aeronautical)
ge		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
ge		315000	315000	MARITIME RADIONAVIGATION (RADIOBEACONS)	p		
ge		325000	325000	-			Beacons (aeronautical)
ge		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
ge		405000	405000	-			Beacons (aeronautical),  Beacons (maritime)
ge		405000	405000	RADIONAVIGATION	p		
ge		415000	415000	-			Maritime,  Beacons (aeronautical)
ge		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
ge		415000	415000	MARITIME MOBILE	p		
ge		435000	435000	-			Beacons (aeronautical),  Maritime,  NAVTEX
ge		435000	435000	MARITIME MOBILE	p		
ge		435000	435000	AERONAUTICAL RADIONAVIGATION	p		
ge		495000	495000	-			GMDSS
ge		495000	495000	MOBILE (DISTRESS AND CALLING)	p		
ge		505000	505000	-			NAVTEX,  Maritime,  Beacons (aeronautical)
ge		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
ge		505000	505000	MARITIME MOBILE	p		
ge		526500	526500	-			Beacons (aeronautical),  Broadcasting
ge		526500	526500	BROADCASTING	p		
ge		1606500	1606500	-			Defence systems,  Maritime,  Radiolocation (military),  Radiolocation (civil)
ge		1606500	1606500	FIXED	p		
ge		1606500	1606500	LAND MOBILE	p		
ge		1606500	1606500	MARITIME MOBILE	p		
ge		1625000	1625000	-			Radiolocation (military),  Radiolocation (civil)
ge		1625000	1625000	RADIOLOCATION	p		
ge		1635000	1635000	-			Radiolocation (military),  Maritime,  Radiolocation (civil),  Defence systems
ge		1635000	1635000	FIXED	p		
ge		1635000	1635000	LAND MOBILE	p		
ge		1635000	1635000	MARITIME MOBILE	p		
ge		1800000	1800000	-			Radiolocation (civil),  Radiolocation (military)
ge		1800000	1800000	RADIOLOCATION	p		
ge		1810000	1810000	-			Amateur
ge		1810000	1810000	AMATEUR	p		
ge		1850000	1850000	-			Radiolocation (civil),  Maritime,  Defence systems
ge		1850000	1850000	FIXED	p		
ge		1850000	1850000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ge		2000000	2000000	-			Defence systems,  Maritime,  Radiolocation (military),  Radiolocation (civil)
ge		2000000	2000000	FIXED	p		
ge		2000000	2000000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ge		2025000	2025000	-			Radiolocation (civil),  Radiolocation (military),  Maritime,  Defence systems
ge		2025000	2025000	FIXED	p		
ge		2025000	2025000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ge		2025000	2025000	METEOROLOGICAL AIDS	p		
ge		2045000	2045000	-			Defence systems,  Maritime,  Maritime communications
ge		2045000	2045000	FIXED	p		
ge		2045000	2045000	LAND MOBILE	p		
ge		2045000	2045000	MARITIME MOBILE	p		
ge		2160000	2160000	-			Radiolocation (military),  Radiolocation (civil)
ge		2160000	2160000	RADIOLOCATION	p		
ge		2170000	2170000	-			Maritime
ge		2170000	2170000	MARITIME MOBILE	p		
ge		2173500	2173500	-			DSC,  GMDSS
ge		2173500	2173500	MOBILE (DISTRESS AND CALLING)	p		
ge		2190500	2190500	-			Maritime
ge		2190500	2190500	MARITIME MOBILE	p		
ge		2194000	2194000	-			Maritime,  Defence systems
ge		2194000	2194000	FIXED	p		
ge		2194000	2194000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ge		2300000	2300000	-			Defence systems,  Maritime
ge		2300000	2300000	FIXED	p		
ge		2300000	2300000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ge		2300000	2300000	BROADCASTING	p		
ge		2498000	2498000	-			
ge		2498000	2498000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ge		2501000	2501000	-			
ge		2501000	2501000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ge		2501000	2501000	Space Research	s		
ge		2502000	2502000	-			Radiolocation (military),  Radiolocation (civil),  Defence systems
ge		2502000	2502000	FIXED	p		
ge		2502000	2502000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ge		2625000	2625000	-			Defence systems,  Maritime
ge		2625000	2625000	MARITIME MOBILE	p		
ge		2625000	2625000	MARITIME RADIONAVIGATION	p		
ge		2650000	2650000	-			Radiolocation (military),  Radiolocation (civil),  Defence systems,  Aeronautical navigation
ge		2650000	2650000	FIXED	p		
ge		2650000	2650000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ge		2850000	2850000	-			Aeronautical communications
ge		2850000	2850000	AERONAUTICAL MOBILE (R)	p		
ge		3025000	3025000	-			Aeronautical communications,  Aeronautical military systems
ge		3025000	3025000	AERONAUTICAL MOBILE (OR)	p		
ge		3155000	3155000	-			Defence systems,  Maritime
ge		3155000	3155000	FIXED	p		
ge		3155000	3155000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ge		3200000	3200000	-			Maritime,  Defence systems
ge		3200000	3200000	FIXED	p		
ge		3200000	3200000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ge		3200000	3200000	BROADCASTING	p		
ge		3230000	3230000	-			Defence systems,  Maritime
ge		3230000	3230000	BROADCASTING	p		
ge		3230000	3230000	FIXED	p		
ge		3230000	3230000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ge		3400000	3400000	-			Aeronautical communications
ge		3400000	3400000	AERONAUTICAL MOBILE (R)	p		
ge		3500000	3500000	-			Defence systems,  Amateur
ge		3500000	3500000	AMATEUR	p		
ge		3500000	3500000	FIXED	p		
ge		3500000	3500000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ge		3800000	3800000	-			Aeronautical military systems,  Aeronautical navigation
ge		3800000	3800000	AERONAUTICAL MOBILE (OR)	p		
ge		3800000	3800000	FIXED	p		
ge		3800000	3800000	LAND MOBILE	p		
ge		3900000	3900000	-			Aeronautical communications
ge		3900000	3900000	AERONAUTICAL MOBILE (OR)	p		
ge		3950000	3950000	-			Defence systems
ge		3950000	3950000	BROADCASTING	p		
ge		3950000	3950000	FIXED	p		
ge		4000000	4000000	-			Maritime,  Fixed
ge		4000000	4000000	FIXED	p		
ge		4000000	4000000	MARITIME MOBILE	p		
ge		4063000	4063000	-			Maritime,  Maritime communications,  DSC,  Aeronautical navigation
ge		4063000	4063000	MARITIME MOBILE	p		
ge		4438000	4438000	-			Defence systems
ge		4438000	4438000	FIXED	p		
ge		4438000	4438000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ge		4650000	4650000	-			Defence systems,  Aeronautical communications
ge		4650000	4650000	AERONAUTICAL MOBILE (R)	p		
ge		4700000	4700000	-			Aeronautical communications,  Aeronautical navigation,  Defence systems
ge		4700000	4700000	AERONAUTICAL MOBILE (OR)	p		
ge		4750000	4750000	-			Defence systems,  Aeronautical communications
ge		4750000	4750000	AERONAUTICAL MOBILE (OR)	p		
ge		4750000	4750000	FIXED	p		
ge		4750000	4750000	LAND MOBILE	p		
ge		4750000	4750000	BROADCASTING	p		
ge		4850000	4850000	-			Defence systems
ge		4850000	4850000	BROADCASTING	p		
ge		4850000	4850000	FIXED	p		
ge		4850000	4850000	LAND MOBILE	p		
ge		4995000	4995000	-			
ge		4995000	4995000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ge		5003000	5003000	-			
ge		5003000	5003000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ge		5003000	5003000	Space Research	s		
ge		5005000	5005000	-			Defence systems
ge		5005000	5005000	FIXED	p		
ge		5005000	5005000	BROADCASTING	p		
ge		5060000	5060000	-			Defence systems
ge		5060000	5060000	FIXED	p		
ge		5060000	5060000	Mobile except aeronautical mobile	s		
ge		5250000	5250000	-			Defence systems
ge		5250000	5250000	FIXED	p		
ge		5250000	5250000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ge		5450000	5450000	-			Defence systems,  Aeronautical military systems,  Aeronautical communications
ge		5450000	5450000	AERONAUTICAL MOBILE (OR)	p		
ge		5450000	5450000	FIXED	p		
ge		5450000	5450000	LAND MOBILE	p		
ge		5480000	5480000	-			Aeronautical communications
ge		5480000	5480000	AERONAUTICAL MOBILE (R)	p		
ge		5680000	5680000	-			Aeronautical communications,  Aeronautical military systems
ge		5680000	5680000	AERONAUTICAL MOBILE (OR)	p		
ge		5730000	5730000	-			Defence systems
ge		5730000	5730000	FIXED	p		
ge		5730000	5730000	LAND MOBILE	p		
ge		5900000	5900000	-			Broadcasting
ge		5900000	5900000	BROADCASTING	p		
ge		5950000	5950000	-			Broadcasting
ge		5950000	5950000	BROADCASTING	p		
ge		6200000	6200000	-			DSC,  Maritime communications,  Maritime
ge		6200000	6200000	MARITIME MOBILE	p		
ge		6525000	6525000	-			Aeronautical communications,  Defence systems
ge		6525000	6525000	AERONAUTICAL MOBILE (R)	p		
ge		6685000	6685000	-			Aeronautical military systems,  Defence systems,  Aeronautical communications
ge		6685000	6685000	AERONAUTICAL MOBILE (OR)	p		
ge		6765000	6765000	-			Aeronautical communications,  Defence systems
ge		6765000	6765000	FIXED	p		
ge		6765000	6765000	LAND MOBILE	p		
ge		7000000	7000000	-			Amateur,  Amateur-satellite
ge		7000000	7000000	AMATEUR	p		
ge		7000000	7000000	AMATEUR-SATELLITE	p		
ge		7100000	7100000	-			Amateur
ge		7100000	7100000	AMATEUR	p		
ge		7200000	7200000	-			Broadcasting
ge		7200000	7200000	BROADCASTING	p		
ge		7300000	7300000	-			Broadcasting
ge		7300000	7300000	BROADCASTING	p		
ge		7400000	7400000	-			Broadcasting,  Defence systems
ge		7400000	7400000	BROADCASTING	p		
ge		7450000	7450000	-			Defence systems
ge		7450000	7450000	FIXED	p		
ge		7450000	7450000	LAND MOBILE	p		
ge		8100000	8100000	-			Maritime
ge		8100000	8100000	FIXED	p		
ge		8100000	8100000	MARITIME MOBILE	p		
ge		8195000	8195000	-			Maritime,  Maritime communications,  DSC
ge		8195000	8195000	MARITIME MOBILE	p		
ge		8815000	8815000	-			Aeronautical communications
ge		8815000	8815000	AERONAUTICAL MOBILE (R)	p		
ge		8965000	8965000	-			Aeronautical communications,  Aeronautical military systems,  Defence systems
ge		8965000	8965000	AERONAUTICAL MOBILE (OR)	p		
ge		9040000	9040000	-			Defence systems
ge		9040000	9040000	FIXED	p		
ge		9400000	9400000	-			Broadcasting
ge		9400000	9400000	BROADCASTING	p		
ge		9500000	9500000	-			Broadcasting,  Defence systems
ge		9500000	9500000	BROADCASTING	p		
ge		9900000	9900000	-			Defence systems
ge		9900000	9900000	FIXED	p		
ge		9995000	9995000	-			
ge		9995000	9995000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ge		10003000	10003000	-			
ge		10003000	10003000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ge		10003000	10003000	Space Research	s		
ge		10005000	10005000	-			Aeronautical communications
ge		10005000	10005000	AERONAUTICAL MOBILE (R)	p		
ge		10100000	10100000	-			Defence systems,  Amateur
ge		10100000	10100000	FIXED	p		
ge		10100000	10100000	Amateur	s		
ge		10150000	10150000	-			Defence systems
ge		10150000	10150000	FIXED	p		
ge		10150000	10150000	Mobile except aeronautical mobile (R)	s		
ge		11175000	11175000	-			Aeronautical military systems,  Aeronautical communications
ge		11175000	11175000	AERONAUTICAL MOBILE (OR)	p		
ge		11275000	11275000	-			Aeronautical communications
ge		11275000	11275000	AERONAUTICAL MOBILE (R)	p		
ge		11400000	11400000	-			Defence systems
ge		11400000	11400000	FIXED	p		
ge		11600000	11600000	-			Broadcasting
ge		11600000	11600000	BROADCASTING	p		
ge		11650000	11650000	-			Broadcasting
ge		11650000	11650000	BROADCASTING	p		
ge		12050000	12050000	-			Broadcasting
ge		12050000	12050000	BROADCASTING	p		
ge		12100000	12100000	-			Defence systems
ge		12100000	12100000	FIXED	p		
ge		12230000	12230000	-			Defence systems,  Maritime communications
ge		12230000	12230000	MARITIME MOBILE	p		
ge		13200000	13200000	-			Aeronautical military systems,  Aeronautical communications
ge		13200000	13200000	AERONAUTICAL MOBILE (OR)	p		
ge		13260000	13260000	-			Aeronautical communications
ge		13260000	13260000	AERONAUTICAL MOBILE (R)	p		
ge		13360000	13360000	-			Defence systems,  Radio astronomy
ge		13360000	13360000	FIXED	p		
ge		13360000	13360000	RADIO ASTRONOMY	p		
ge		13410000	13410000	-			Defence systems
ge		13410000	13410000	FIXED	p		
ge		13410000	13410000	Mobile except aeronautical mobile (R)	s		
ge		13570000	13570000	-			Broadcasting
ge		13570000	13570000	BROADCASTING	p		
ge		13600000	13600000	-			Broadcasting
ge		13600000	13600000	BROADCASTING	p		
ge		13800000	13800000	-			Broadcasting
ge		13800000	13800000	BROADCASTING	p		
ge		13870000	13870000	-			Defence systems
ge		13870000	13870000	FIXED	p		
ge		13870000	13870000	Mobile except aeronautical mobile (R)	s		
ge		14000000	14000000	-			Oceanographic buoys,  Amateur-satellite
ge		14000000	14000000	AMATEUR	p		
ge		14000000	14000000	AMATEUR-SATELLITE	p		
ge		14250000	14250000	-			Amateur
ge		14250000	14250000	AMATEUR	p		
ge		14350000	14350000	-			Defence systems
ge		14350000	14350000	FIXED	p		
ge		14350000	14350000	Mobile except aeronautical mobile (R)	s		
ge		14990000	14990000	-			
ge		14990000	14990000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ge		15005000	15005000	-			
ge		15005000	15005000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ge		15005000	15005000	Space Research	s		
ge		15010000	15010000	-			Aeronautical military systems,  Aeronautical communications
ge		15010000	15010000	AERONAUTICAL MOBILE (OR)	p		
ge		15100000	15100000	-			Broadcasting
ge		15100000	15100000	BROADCASTING	p		
ge		15600000	15600000	-			Broadcasting
ge		15600000	15600000	BROADCASTING	p		
ge		15800000	15800000	-			Defence systems
ge		15800000	15800000	FIXED	p		
ge		16360000	16360000	-			Defence systems,  DSC,  Maritime communications,  Maritime
ge		16360000	16360000	MARITIME MOBILE	p		
ge		17410000	17410000	-			Defence systems
ge		17410000	17410000	FIXED	p		
ge		17480000	17480000	-			Broadcasting
ge		17480000	17480000	BROADCASTING	p		
ge		17550000	17550000	-			Broadcasting
ge		17550000	17550000	BROADCASTING	p		
ge		17900000	17900000	-			Aeronautical communications
ge		17900000	17900000	AERONAUTICAL MOBILE (R)	p		
ge		17970000	17970000	-			Aeronautical communications,  Defence systems,  Aeronautical military systems
ge		17970000	17970000	AERONAUTICAL MOBILE (OR)	p		
ge		18030000	18030000	-			Defence systems
ge		18030000	18030000	FIXED	p		
ge		18052000	18052000	-			Defence systems
ge		18052000	18052000	FIXED	p		
ge		18052000	18052000	Space Research	s		
ge		18068000	18068000	-			Defence systems,  Amateur,  Amateur-satellite
ge		18068000	18068000	AMATEUR	p		
ge		18068000	18068000	AMATEUR-SATELLITE	p		
ge		18168000	18168000	-			Maritime communications,  Defence systems
ge		18168000	18168000	FIXED	p		
ge		18168000	18168000	Mobile except aeronautical mobile	s		
ge		18780000	18780000	-			Maritime
ge		18780000	18780000	MARITIME MOBILE	p		
ge		18900000	18900000	-			Broadcasting
ge		18900000	18900000	BROADCASTING	p		
ge		19020000	19020000	-			Defence systems
ge		19020000	19020000	FIXED	p		
ge		19680000	19680000	-			Maritime,  Maritime communications
ge		19680000	19680000	MARITIME MOBILE	p		
ge		19800000	19800000	-			Defence systems
ge		19800000	19800000	FIXED	p		
ge		19990000	19990000	-			
ge		19990000	19990000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ge		19990000	19990000	Space Research	s		
ge		19995000	19995000	-			
ge		19995000	19995000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ge		20010000	20010000	-			Defence systems
ge		20010000	20010000	FIXED	p		
ge		20010000	20010000	Mobile	s		
ge		21000000	21000000	-			Amateur,  Amateur-satellite
ge		21000000	21000000	AMATEUR	p		
ge		21000000	21000000	AMATEUR-SATELLITE	p		
ge		21450000	21450000	-			Defence systems,  Broadcasting
ge		21450000	21450000	BROADCASTING	p		
ge		21850000	21850000	-			Defence systems
ge		21850000	21850000	FIXED	p		
ge		21870000	21870000	-			Defence systems
ge		21870000	21870000	FIXED	p		
ge		21924000	21924000	-			Defence systems,  Aeronautical communications
ge		21924000	21924000	AERONAUTICAL MOBILE (R)	p		
ge		22000000	22000000	-			Maritime communications,  Maritime
ge		22000000	22000000	MARITIME MOBILE	p		
ge		22855000	22855000	-			Defence systems
ge		22855000	22855000	FIXED	p		
ge		23000000	23000000	-			Defence systems
ge		23000000	23000000	FIXED	p		
ge		23000000	23000000	Mobile except aeronautical mobile (R)	s		
ge		23200000	23200000	-			Defence systems,  Aeronautical military systems,  Aeronautical communications
ge		23200000	23200000	AERONAUTICAL MOBILE (OR)	p		
ge		23200000	23200000	FIXED	p		
ge		23350000	23350000	-			Defence systems
ge		23350000	23350000	FIXED	p		
ge		23350000	23350000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ge		24000000	24000000	-			Defence systems
ge		24000000	24000000	FIXED	p		
ge		24000000	24000000	LAND MOBILE	p		
ge		24890000	24890000	-			Amateur,  Amateur-satellite
ge		24890000	24890000	AMATEUR	p		
ge		24890000	24890000	AMATEUR-SATELLITE	p		
ge		24990000	24990000	-			
ge		24990000	24990000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ge		25005000	25005000	-			Space research
ge		25005000	25005000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ge		25005000	25005000	Space Research	s		
ge		25010000	25010000	-			Defence systems
ge		25010000	25010000	FIXED	p		
ge		25010000	25010000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ge		25070000	25070000	-			Maritime communications,  Maritime
ge		25070000	25070000	MARITIME MOBILE	p		
ge		25210000	25210000	-			Defence systems
ge		25210000	25210000	FIXED	p		
ge		25210000	25210000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ge		25550000	25550000	-			Radio astronomy
ge		25550000	25550000	RADIO ASTRONOMY	p		
ge		25670000	25670000	-			Broadcasting
ge		25670000	25670000	BROADCASTING	p		
ge		26100000	26100000	-			Maritime communications,  Maritime
ge		26100000	26100000	MARITIME MOBILE	p		
ge		26175000	26175000	-			CB radio,  Defence systems,  Inductive applications,  Model control
ge		26175000	26175000	FIXED	p		
ge		26175000	26175000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ge		27500000	27500000	-			Defence systems
ge		27500000	27500000	FIXED	p		
ge		27500000	27500000	METEOROLOGICAL AIDS	p		
ge		27500000	27500000	MOBILE	p		
ge		28000000	28000000	-			Amateur,  Point-to-Multipoint,  Amateur-satellite,  Fixed
ge		28000000	28000000	AMATEUR	p		
ge		28000000	28000000	AMATEUR-SATELLITE	p		
ge		29700000	29700000	-			Radio microphones and ALD,  Defence systems
ge		29700000	29700000	MOBILE	p		
ge		29700000	29700000	FIXED	p		
ge		30005000	30005000	-			Defence systems,  Radio microphones and ALD
ge		30005000	30005000	FIXED	p		
ge		30005000	30005000	EARTH EXPLORATION-SATELLITE	p		
ge		30005000	30005000	MOBILE	p		
ge		30010000	30010000	-			Radio microphones and ALD,  Flying model control,  Defence systems
ge		30010000	30010000	MOBILE	p		
ge		30010000	30010000	FIXED	p		
ge		37500000	37500000	-			Defence systems,  Radio microphones and ALD
ge		37500000	37500000	FIXED	p		
ge		37500000	37500000	MOBILE	p		
ge		37500000	37500000	Radio Astronomy	s		
ge		38250000	38250000	-			Radio microphones and ALD,  Defence systems
ge		38250000	38250000	MOBILE	p		
ge		38250000	38250000	FIXED	p		
ge		39986000	39986000	-			Defence systems,  Radio microphones and ALD
ge		39986000	39986000	FIXED	p		
ge		39986000	39986000	MOBILE	p		
ge		39986000	39986000	Space Research	s		
ge		40020000	40020000	-			Radio microphones and ALD,  Defence systems
ge		40020000	40020000	MOBILE	p		
ge		40020000	40020000	FIXED	p		
ge		40980000	40980000	-			Defence systems,  Radio microphones and ALD
ge		40980000	40980000	FIXED	p		
ge		40980000	40980000	MOBILE	p		
ge		40980000	40980000	Space Research	s		
ge		41015000	41015000	-			Radio microphones and ALD,  Defence systems
ge		41015000	41015000	MOBILE	p		
ge		41015000	41015000	FIXED	p		
ge		44000000	44000000	-			Defence systems,  Radio microphones and ALD
ge		44000000	44000000	FIXED	p		
ge		44000000	44000000	MOBILE	p		
ge		47000000	47000000	-			Defence systems,  TV analogue (terrestrial)
ge		47000000	47000000	BROADCASTING	p		
ge		68000000	68000000	-			Defence systems,  Land mobile,  Fixed
ge		68000000	68000000	FIXED	p		
ge		68000000	68000000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ge		74800000	74800000	-			Beacons (aeronautical)
ge		74800000	74800000	AERONAUTICAL RADIONAVIGATION	p		
ge		75200000	75200000	-			Defence systems,  TV analogue (terrestrial)
ge		75200000	75200000	FIXED	p		
ge		75200000	75200000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ge		87500000	87500000	-			TV analogue (terrestrial),  FM sound analogue
ge		87500000	87500000	BROADCASTING	p		
ge		100000000	100000000	-			FM sound analogue
ge		100000000	100000000	BROADCASTING	p		
ge		108000000	108000000	-			Beacons (aeronautical)
ge		108000000	108000000	AERONAUTICAL RADIONAVIGATION	p		
ge		117975000	117975000	-			Beacons (aeronautical),  Aeronautical communications
ge		117975000	117975000	AERONAUTICAL MOBILE (R)	p		
ge		137000000	137000000	-			Aeronautical communications,  Defence systems,  Weather satellites,  MSS Earth stations
ge		137000000	137000000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ge		137000000	137000000	FIXED	p		
ge		137000000	137000000	METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH)	p		
ge		137000000	137000000	MOBILE-SATELLITE (SPACE-TO-EARTH)	p		
ge		137000000	137000000	Space Operation (space-to-Earth)	s		
ge		137000000	137000000	Space Research (space-to-Earth)	s		
ge		137025000	137025000	-			MSS Earth stations,  Weather satellites,  Defence systems,  Aeronautical communications
ge		137025000	137025000	METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH)	p		
ge		137025000	137025000	MOBILE-SATELLITE (SPACE-TO-EARTH)	p		
ge		137025000	137025000	Space Operation (space-to-Earth)	s		
ge		137025000	137025000	Space Research (space-to-Earth)	s		
ge		137025000	137025000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ge		137025000	137025000	FIXED	p		
ge		137175000	137175000	-			Aeronautical communications,  Defence systems,  Weather satellites,  MSS Earth stations
ge		137175000	137175000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ge		137175000	137175000	FIXED	p		
ge		137175000	137175000	METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH)	p		
ge		137175000	137175000	MOBILE-SATELLITE (SPACE-TO-EARTH)	p		
ge		137175000	137175000	Space Operation (space-to-Earth)	s		
ge		137175000	137175000	Space Research (space-to-Earth)	s		
ge		137825000	137825000	-			MSS Earth stations,  Weather satellites,  Aeronautical communications,  Defence systems
ge		137825000	137825000	METEOROLOGICAL-SATELLITE (SPACE-TO-EARTH)	p		
ge		137825000	137825000	MOBILE-SATELLITE (SPACE-TO-EARTH)	p		
ge		137825000	137825000	Space Operation (space-to-Earth)	s		
ge		137825000	137825000	Space Research (space-to-Earth)	s		
ge		137825000	137825000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ge		137825000	137825000	FIXED	p		
ge		138000000	138000000	-			Aeronautical communications,  Defence systems,  Land mobile,  Short Range Devices
ge		138000000	138000000	AERONAUTICAL MOBILE (OR)	p		
