region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
hu		1000	8300	-			Short Range Devices
hu		1000	8300		p		
hu		2274	2276	-			Emergency detection
hu		2274	2276		p		
hu		8300	9000	-			Meteorology,  Short Range Devices
hu		8300	9000	METEOROLOGICAL AIDS	p		
hu		8300	9000	RADIONAVIGATION	p		
hu		9000	14000	-			
hu		9000	14000	RADIONAVIGATION	p		
hu		9000	11300	-			
hu		9000	11300	METEOROLOGICAL AIDS	p		
hu		11300	14000	-			Aeronautical navigation,  Short Range Devices
hu		11300	14000		p		
hu		14000	19950	-			Inductive applications,  Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		14000	19950	Fixed	s		
hu		16000	19950	-			On-site paging
hu		16000	19950		p		
hu		19950	20050	-			Inductive applications,  On-site paging,  Short Range Devices,  Standard frequency and time signal
hu		19950	20050	STANDARD FREQUENCY AND TIME SIGNAL	p		
hu		20050	70000	-			Inductive applications,  On-site paging,  Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		20050	70000	FIXED	p		
hu		70000	72000	-			Aeronautical navigation,  Inductive applications,  On-site paging,  Short Range Devices
hu		70000	72000	RADIONAVIGATION	p		
hu		72000	84000	-			Aeronautical navigation,  Inductive applications,  Maritime navigation,  On-site paging,  Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		72000	84000	FIXED	p		
hu		72000	84000	RADIONAVIGATION	p		
hu		84000	86000	-			Aeronautical navigation,  Inductive applications,  Maritime navigation,  On-site paging,  Short Range Devices
hu		84000	86000	RADIONAVIGATION	p		
hu		86000	90000	-			Aeronautical navigation,  Inductive applications,  Maritime navigation,  On-site paging,  Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		86000	90000	FIXED	p		
hu		86000	90000	RADIONAVIGATION	p		
hu		90000	110000	-			Aeronautical navigation,  Inductive applications,  Loran C,  On-site paging,  Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		90000	110000	Fixed	s		
hu		90000	110000	RADIONAVIGATION	p		
hu		110000	112000	-			Aeronautical navigation,  Inductive applications,  Loran C,  On-site paging,  Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		110000	112000	FIXED	p		
hu		110000	112000	RADIONAVIGATION	p		
hu		112000	115000	-			Aeronautical navigation,  Inductive applications,  Loran C,  On-site paging,  Short Range Devices
hu		112000	115000	RADIONAVIGATION	p		
hu		115000	117600	-			Aeronautical navigation,  Inductive applications,  Loran C,  On-site paging,  Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		115000	117600	Fixed	s		
hu		115000	117600	RADIONAVIGATION	p		
hu		117600	126000	-			Aeronautical navigation,  Inductive applications,  Loran C,  On-site paging,  Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		117600	126000	FIXED	p		
hu		117600	126000	RADIONAVIGATION	p		
hu		126000	129000	-			Aeronautical navigation,  Inductive applications,  Loran C,  On-site paging,  Short Range Devices
hu		126000	129000	RADIONAVIGATION	p		
hu		129000	130000	-			Aeronautical navigation,  Inductive applications,  Loran C,  On-site paging,  Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		129000	130000	FIXED	p		
hu		129000	130000	RADIONAVIGATION	p		
hu		130000	148500	-			Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		130000	148500	Amateur	s		
hu		130000	148500	FIXED	p		
hu		130000	146000	-			On-site paging
hu		130000	146000		p		
hu		135700	137800	-			Amateur
hu		135700	137800	Amateur	s		
hu		148500	255000	-			Broadcasting,  Inductive applications,  Short Range Devices
hu		148500	255000	BROADCASTING	p		
hu		255000	283500	-			Beacons (aeronautical),  Broadcasting,  Inductive applications,  Short Range Devices
hu		255000	283500	AERONAUTICAL RADIONAVIGATION	p		
hu		255000	283500	BROADCASTING	p		
hu		283500	315000	-			Beacons (aeronautical),  Inductive applications,  Short Range Devices
hu		283500	315000	AERONAUTICAL RADIONAVIGATION	p		
hu		315000	325000	-			Beacons (aeronautical),  Inductive applications
hu		315000	325000	AERONAUTICAL RADIONAVIGATION	p		
hu		325000	405000	-			Beacons (aeronautical),  Inductive applications
hu		325000	405000	AERONAUTICAL RADIONAVIGATION	p		
hu		405000	415000	-			Beacons (aeronautical),  Inductive applications
hu		405000	415000	AERONAUTICAL RADIONAVIGATION	p		
hu		415000	435000	-			Beacons (aeronautical),  Inductive applications
hu		415000	435000	AERONAUTICAL RADIONAVIGATION	p		
hu		435000	472000	-			Beacons (aeronautical),  GMDSS,  Inductive applications
hu		435000	472000	AERONAUTICAL RADIONAVIGATION	p		
hu		435000	472000	MARITIME MOBILE	p		
hu		456900	457100	-			Emergency detection
hu		456900	457100		p		
hu		472000	495000	-			Beacons (aeronautical),  GMDSS,  Inductive applications,  Amateur
hu		472000	495000	MARITIME MOBILE	p		
hu		472000	495000	Amateur	s		
hu		472000	495000	AERONAUTICAL RADIONAVIGATION	p		
hu		495000	505000	-			Inductive applications,  MSI,  NAVTEX
hu		495000	505000	MARITIME MOBILE	p		
hu		499900	500100	-			SAR (communications)
hu		499900	500100		p		
hu		505000	526500	-			Beacons (aeronautical),  Inductive applications,  GMDSS
hu		505000	526500	AERONAUTICAL RADIONAVIGATION	p		
hu		505000	526500	MARITIME MOBILE	p		
hu		517990	518010	-			GMDSS,  MSI,  NAVTEX
hu		517990	518010		p		
hu		526500	1606500	-			Beacons (aeronautical),  Broadcasting,  Inductive applications
hu		526500	1606500	Aeronautical Radionavigation	s		
hu		526500	1606500	BROADCASTING	p		
hu		1606500	1625000	-			Land military systems,  Point-to-Point
hu		1606500	1625000	FIXED	p		
hu		1606500	1625000	LAND MOBILE	p		
hu		1606500	1625000	RADIODETERMINATION	p		
