region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
hu		1000	1000	-			Short Range Devices
hu		1000	1000		p		
hu		2274	2274	-			Emergency detection
hu		2274	2274		p		
hu		8300	8300	-			Meteorology,  Short Range Devices
hu		8300	8300	METEOROLOGICAL AIDS	p		
hu		8300	8300	RADIONAVIGATION	p		
hu		9000	9000	-			
hu		9000	9000	RADIONAVIGATION	p		
hu		9000	9000	-			
hu		9000	9000	METEOROLOGICAL AIDS	p		
hu		11300	11300	-			Aeronautical navigation,  Short Range Devices
hu		11300	11300		p		
hu		14000	14000	-			Inductive applications,  Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		14000	14000	Fixed	s		
hu		16000	16000	-			On-site paging
hu		16000	16000		p		
hu		19950	19950	-			Inductive applications,  On-site paging,  Short Range Devices,  Standard frequency and time signal
hu		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
hu		20050	20050	-			Inductive applications,  On-site paging,  Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		20050	20050	FIXED	p		
hu		70000	70000	-			Aeronautical navigation,  Inductive applications,  On-site paging,  Short Range Devices
hu		70000	70000	RADIONAVIGATION	p		
hu		72000	72000	-			Aeronautical navigation,  Inductive applications,  Maritime navigation,  On-site paging,  Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		72000	72000	FIXED	p		
hu		72000	72000	RADIONAVIGATION	p		
hu		84000	84000	-			Aeronautical navigation,  Inductive applications,  Maritime navigation,  On-site paging,  Short Range Devices
hu		84000	84000	RADIONAVIGATION	p		
hu		86000	86000	-			Aeronautical navigation,  Inductive applications,  Maritime navigation,  On-site paging,  Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		86000	86000	FIXED	p		
hu		86000	86000	RADIONAVIGATION	p		
hu		90000	90000	-			Aeronautical navigation,  Inductive applications,  Loran C,  On-site paging,  Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		90000	90000	Fixed	s		
hu		90000	90000	RADIONAVIGATION	p		
hu		110000	110000	-			Aeronautical navigation,  Inductive applications,  Loran C,  On-site paging,  Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		110000	110000	FIXED	p		
hu		110000	110000	RADIONAVIGATION	p		
hu		112000	112000	-			Aeronautical navigation,  Inductive applications,  Loran C,  On-site paging,  Short Range Devices
hu		112000	112000	RADIONAVIGATION	p		
hu		115000	115000	-			Aeronautical navigation,  Inductive applications,  Loran C,  On-site paging,  Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		115000	115000	Fixed	s		
hu		115000	115000	RADIONAVIGATION	p		
hu		117600	117600	-			Aeronautical navigation,  Inductive applications,  Loran C,  On-site paging,  Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		117600	117600	FIXED	p		
hu		117600	117600	RADIONAVIGATION	p		
hu		126000	126000	-			Aeronautical navigation,  Inductive applications,  Loran C,  On-site paging,  Short Range Devices
hu		126000	126000	RADIONAVIGATION	p		
hu		129000	129000	-			Aeronautical navigation,  Inductive applications,  Loran C,  On-site paging,  Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		129000	129000	FIXED	p		
hu		129000	129000	RADIONAVIGATION	p		
hu		130000	130000	-			Point-to-Multipoint,  Point-to-Point,  Short Range Devices
hu		130000	130000	Amateur	s		
hu		130000	130000	FIXED	p		
hu		130000	130000	-			On-site paging
hu		130000	130000		p		
hu		135700	135700	-			Amateur
hu		135700	135700	Amateur	s		
hu		148500	148500	-			Broadcasting,  Inductive applications,  Short Range Devices
hu		148500	148500	BROADCASTING	p		
hu		255000	255000	-			Beacons (aeronautical),  Broadcasting,  Inductive applications,  Short Range Devices
hu		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
hu		255000	255000	BROADCASTING	p		
hu		283500	283500	-			Beacons (aeronautical),  Inductive applications,  Short Range Devices
hu		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
hu		315000	315000	-			Beacons (aeronautical),  Inductive applications
hu		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
hu		325000	325000	-			Beacons (aeronautical),  Inductive applications
hu		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
hu		405000	405000	-			Beacons (aeronautical),  Inductive applications
hu		405000	405000	AERONAUTICAL RADIONAVIGATION	p		
hu		415000	415000	-			Beacons (aeronautical),  Inductive applications
hu		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
hu		435000	435000	-			Beacons (aeronautical),  GMDSS,  Inductive applications
hu		435000	435000	AERONAUTICAL RADIONAVIGATION	p		
hu		435000	435000	MARITIME MOBILE	p		
hu		456900	456900	-			Emergency detection
hu		456900	456900		p		
hu		472000	472000	-			Beacons (aeronautical),  GMDSS,  Inductive applications,  Amateur
hu		472000	472000	MARITIME MOBILE	p		
hu		472000	472000	Amateur	s		
hu		472000	472000	AERONAUTICAL RADIONAVIGATION	p		
hu		495000	495000	-			Inductive applications,  MSI,  NAVTEX
hu		495000	495000	MARITIME MOBILE	p		
hu		499900	499900	-			SAR (communications)
hu		499900	499900		p		
hu		505000	505000	-			Beacons (aeronautical),  Inductive applications,  GMDSS
hu		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
hu		505000	505000	MARITIME MOBILE	p		
hu		517990	517990	-			GMDSS,  MSI,  NAVTEX
hu		517990	517990		p		
hu		526500	526500	-			Beacons (aeronautical),  Broadcasting,  Inductive applications
hu		526500	526500	Aeronautical Radionavigation	s		
hu		526500	526500	BROADCASTING	p		
hu		1606500	1606500	-			Land military systems,  Point-to-Point
hu		1606500	1606500	FIXED	p		
hu		1606500	1606500	LAND MOBILE	p		
hu		1606500	1606500	RADIODETERMINATION	p		
hu		1625000	1625000	-			Land mobile,  Point-to-Point,  Radiolocation (military)
hu		1625000	1625000	FIXED	p		
hu		1625000	1625000	LAND MOBILE	p		
hu		1625000	1625000	RADIOLOCATION	p		
hu		1635000	1635000	-			Fixed,  Land mobile
hu		1635000	1635000	FIXED	p		
hu		1635000	1635000	LAND MOBILE	p		
hu		1800000	1800000	-			Fixed,  Land mobile
hu		1800000	1800000	FIXED	p		
hu		1800000	1800000	LAND MOBILE	p		
hu		1810000	1810000	-			Amateur
hu		1810000	1810000	AMATEUR	p		
hu		1850000	1850000	-			Aeronautical navigation,  Amateur,  Fixed,  Land mobile
hu		1850000	1850000	AERONAUTICAL RADIONAVIGATION	p		
hu		1850000	1850000	Amateur	s		
hu		1850000	1850000	FIXED	p		
hu		1850000	1850000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
hu		1850000	1850000	RADIODETERMINATION	p		
hu		2000000	2000000	-			Aeronautical navigation,  Fixed,  Land mobile
hu		2000000	2000000	FIXED	p		
hu		2000000	2000000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
hu		2000000	2000000	RADIODETERMINATION	p		
hu		2025000	2025000	-			Aeronautical navigation,  Fixed,  Land mobile
hu		2025000	2025000	FIXED	p		
hu		2025000	2025000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
hu		2025000	2025000	RADIODETERMINATION	p		
hu		2045000	2045000	-			Aeronautical navigation,  Fixed,  Land mobile
hu		2045000	2045000	FIXED	p		
hu		2045000	2045000	LAND MOBILE	p		
hu		2045000	2045000	RADIODETERMINATION	p		
hu		2160000	2160000	-			Digital cellular
hu		2160000	2160000	FIXED	p		
hu		2160000	2160000	MOBILE	p		
hu		2170000	2170000	-			Radiolocation (military),  CGC
hu		2170000	2170000	Radiolocation	s		
hu		2170000	2170000	Mobile-Satellite (space-to-Earth)	s		
hu		2170000	2170000	Mobile	s		
hu		2200000	2200000	-			Radiolocation (military),  Earth exploration-satellite,  Land military systems,  DSC,  Maritime communications,  GMDSS,  SAR (communications),  Aeronautical navigation,  Fixed
hu		2200000	2200000	Radiolocation	s		
hu		2200000	2200000	Mobile	s		
hu		2200000	2200000	Earth Exploration-Satellite (space-to-Earth)	s		
hu		2200000	2200000	Space Research (space-to-Earth)	s		
hu		2200000	2200000	MARITIME MOBILE	p		
hu		2200000	2200000	MOBILE (DISTRESS AND CALLING)	p		
hu		2200000	2200000	MARITIME MOBILE	p		
hu		2200000	2200000	FIXED	p		
hu		2200000	2200000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
hu		2200000	2200000	RADIODETERMINATION	p		
hu		2245000	2245000	-			Point-to-Point,  Earth exploration-satellite,  Radiodetermination applications
hu		2245000	2245000	Radiolocation	s		
hu		2245000	2245000	Earth Exploration-Satellite (space-to-Earth)	s		
hu		2245000	2245000	Space Research (space-to-Earth)	s		
hu		2245000	2245000	FIXED	p		
hu		2290000	2290000	-			Radiolocation (military)
hu		2290000	2290000	RADIOLOCATION	p		
hu		2290000	2290000	SPACE RESEARCH (SPACE-TO-EARTH)	p		
hu		2300000	2300000	-			
hu		2300000	2300000	MOBILE	p		
hu		2300000	2300000	AMATEUR	p		
hu		2300000	2300000	RADIOLOCATION	p		
hu		2300000	2300000	FIXED	p		
hu		2400000	2400000	-			Fixed,  Land military systems,  Standard frequency and time signal,  Inland waterway communications,  Point-to-Multipoint,  Point-to-Point,  Maritime communications,  Aeronautical communications
hu		2400000	2400000	FIXED	p		
hu		2400000	2400000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
hu		2400000	2400000	STANDARD FREQUENCY AND TIME SIGNAL	p		
hu		2400000	2400000	Space Research	s		
hu		2400000	2400000	STANDARD FREQUENCY AND TIME SIGNAL	p		
hu		2400000	2400000	MARITIME MOBILE	p		
hu		2400000	2400000	AERONAUTICAL MOBILE (R)	p		
hu		2450000	2450000	-			Fixed,  Land military systems,  Standard frequency and time signal,  Inland waterway communications,  Point-to-Point,  Maritime communications,  Aeronautical communications
hu		2450000	2450000	FIXED	p		
