region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
ie		9000	14000	-			Short Range Devices
ie		9000	14000	RADIONAVIGATION	p		
ie		14000	19950	-			Short Range Devices
ie		14000	19950	FIXED	p		
ie		14000	19950	MARITIME MOBILE	p		
ie		19950	20050	-			Short Range Devices,  Standard frequency and time signal
ie		19950	20050	STANDARD FREQUENCY AND TIME SIGNAL	p		
ie		20050	70000	-			Short Range Devices
ie		20050	70000	FIXED	p		
ie		20050	70000	MARITIME MOBILE	p		
ie		70000	72000	-			Short Range Devices
ie		70000	72000	RADIONAVIGATION	p		
ie		72000	84000	-			Short Range Devices
ie		72000	84000	FIXED	p		
ie		72000	84000	MARITIME MOBILE	p		
ie		72000	84000	RADIONAVIGATION	p		
ie		84000	86000	-			Short Range Devices
ie		84000	86000	RADIONAVIGATION	p		
ie		86000	90000	-			Short Range Devices,  Paging
ie		86000	90000	FIXED	p		
ie		86000	90000	MARITIME MOBILE	p		
ie		86000	90000	RADIONAVIGATION	p		
ie		90000	110000	-			Short Range Devices
ie		90000	110000	Fixed	s		
ie		90000	110000	RADIONAVIGATION	p		
ie		110000	112000	-			Short Range Devices
ie		110000	112000	FIXED	p		
ie		110000	112000	MARITIME MOBILE	p		
ie		110000	112000	RADIONAVIGATION	p		
ie		112000	115000	-			Short Range Devices
ie		112000	115000	RADIONAVIGATION	p		
ie		115000	117600	-			Short Range Devices
ie		115000	117600	Fixed	s		
ie		115000	117600	Maritime Mobile	s		
ie		115000	117600	RADIONAVIGATION	p		
ie		117600	126000	-			Short Range Devices
ie		117600	126000	FIXED	p		
ie		117600	126000	MARITIME MOBILE	p		
ie		117600	126000	RADIONAVIGATION	p		
ie		126000	129000	-			Short Range Devices
ie		126000	129000	RADIONAVIGATION	p		
ie		129000	130000	-			Short Range Devices
ie		129000	130000	FIXED	p		
ie		129000	130000	MARITIME MOBILE	p		
ie		129000	130000	RADIONAVIGATION	p		
ie		130000	135700	-			Short Range Devices
ie		130000	135700	FIXED	p		
ie		130000	135700	MARITIME MOBILE	p		
ie		135700	137800	-			Short Range Devices,  Amateur
ie		135700	137800	Amateur	s		
ie		135700	137800	FIXED	p		
ie		135700	137800	MARITIME MOBILE	p		
ie		137800	148500	-			Short Range Devices
ie		137800	148500	FIXED	p		
ie		137800	148500	MARITIME MOBILE	p		
ie		148500	255000	-			Short Range Devices,  Broadcasting
ie		148500	255000	BROADCASTING	p		
ie		255000	283500	-			Broadcasting,  Short Range Devices
ie		255000	283500	BROADCASTING	p		
ie		255000	283500	AERONAUTICAL RADIONAVIGATION	p		
ie		283500	315000	-			Short Range Devices,  Maritime
ie		283500	315000	AERONAUTICAL RADIONAVIGATION	p		
ie		283500	315000	MARITIME RADIONAVIGATION	p		
ie		315000	325000	-			Short Range Devices,  Aeronautical
ie		315000	325000	AERONAUTICAL RADIONAVIGATION	p		
ie		315000	325000	Maritime Radionavigation	s		
ie		325000	405000	-			Aeronautical,  Short Range Devices
ie		325000	405000	AERONAUTICAL RADIONAVIGATION	p		
ie		405000	415000	-			Short Range Devices,  Aeronautical
ie		405000	415000	RADIONAVIGATION	p		
ie		415000	435000	-			Aeronautical,  Short Range Devices,  Maritime
ie		415000	435000	MARITIME MOBILE	p		
ie		415000	435000	AERONAUTICAL RADIONAVIGATION	p		
ie		435000	495000	-			Maritime,  NAVTEX,  Short Range Devices
ie		435000	495000	MARITIME MOBILE	p		
ie		435000	495000	Aeronautical Radionavigation	s		
ie		495000	505000	-			Short Range Devices,  Maritime
ie		495000	505000	Mobile (distress and calling)	s		
ie		505000	526500	-			Maritime,  NAVTEX,  Short Range Devices,  Aeronautical
ie		505000	526500	MARITIME MOBILE	p		
ie		505000	526500	AERONAUTICAL RADIONAVIGATION	p		
ie		526500	1606500	-			Short Range Devices,  Broadcasting
ie		526500	1606500	BROADCASTING	p		
ie		1606500	1625000	-			Maritime
ie		1606500	1625000	FIXED	p		
ie		1606500	1625000	LAND MOBILE	p		
ie		1606500	1625000	MARITIME MOBILE	p		
ie		1625000	1635000	-			Radiolocation (civil)
ie		1625000	1635000	RADIOLOCATION	p		
ie		1635000	1800000	-			Short Range Devices,  Maritime
ie		1635000	1800000	FIXED	p		
ie		1635000	1800000	LAND MOBILE	p		
ie		1635000	1800000	MARITIME MOBILE	p		
ie		1800000	1810000	-			Short Range Devices
ie		1800000	1810000	RADIOLOCATION	p		
