region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
ie		9000	9000	-			Short Range Devices
ie		9000	9000	RADIONAVIGATION	p		
ie		14000	14000	-			Short Range Devices
ie		14000	14000	FIXED	p		
ie		14000	14000	MARITIME MOBILE	p		
ie		19950	19950	-			Short Range Devices,  Standard frequency and time signal
ie		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
ie		20050	20050	-			Short Range Devices
ie		20050	20050	FIXED	p		
ie		20050	20050	MARITIME MOBILE	p		
ie		70000	70000	-			Short Range Devices
ie		70000	70000	RADIONAVIGATION	p		
ie		72000	72000	-			Short Range Devices
ie		72000	72000	FIXED	p		
ie		72000	72000	MARITIME MOBILE	p		
ie		72000	72000	RADIONAVIGATION	p		
ie		84000	84000	-			Short Range Devices
ie		84000	84000	RADIONAVIGATION	p		
ie		86000	86000	-			Short Range Devices,  Paging
ie		86000	86000	FIXED	p		
ie		86000	86000	MARITIME MOBILE	p		
ie		86000	86000	RADIONAVIGATION	p		
ie		90000	90000	-			Short Range Devices
ie		90000	90000	Fixed	s		
ie		90000	90000	RADIONAVIGATION	p		
ie		110000	110000	-			Short Range Devices
ie		110000	110000	FIXED	p		
ie		110000	110000	MARITIME MOBILE	p		
ie		110000	110000	RADIONAVIGATION	p		
ie		112000	112000	-			Short Range Devices
ie		112000	112000	RADIONAVIGATION	p		
ie		115000	115000	-			Short Range Devices
ie		115000	115000	Fixed	s		
ie		115000	115000	Maritime Mobile	s		
ie		115000	115000	RADIONAVIGATION	p		
ie		117600	117600	-			Short Range Devices
ie		117600	117600	FIXED	p		
ie		117600	117600	MARITIME MOBILE	p		
ie		117600	117600	RADIONAVIGATION	p		
ie		126000	126000	-			Short Range Devices
ie		126000	126000	RADIONAVIGATION	p		
ie		129000	129000	-			Short Range Devices
ie		129000	129000	FIXED	p		
ie		129000	129000	MARITIME MOBILE	p		
ie		129000	129000	RADIONAVIGATION	p		
ie		130000	130000	-			Short Range Devices
ie		130000	130000	FIXED	p		
ie		130000	130000	MARITIME MOBILE	p		
ie		135700	135700	-			Short Range Devices,  Amateur
ie		135700	135700	Amateur	s		
ie		135700	135700	FIXED	p		
ie		135700	135700	MARITIME MOBILE	p		
ie		137800	137800	-			Short Range Devices
ie		137800	137800	FIXED	p		
ie		137800	137800	MARITIME MOBILE	p		
ie		148500	148500	-			Short Range Devices,  Broadcasting
ie		148500	148500	BROADCASTING	p		
