region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
is		9000	9000	-			Inductive applications
is		9000	9000	Mobile	s		
is		9000	9000	RADIONAVIGATION	p		
is		14000	14000	-			Inductive applications
is		14000	14000	FIXED	p		
is		14000	14000	MARITIME MOBILE	p		
is		14000	14000	Mobile	s		
is		19950	19950	-			Inductive applications
is		19950	19950	Mobile	s		
is		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
is		20050	20050	-			Inductive applications,  Maritime communications
is		20050	20050	FIXED	p		
is		20050	20050	MARITIME MOBILE	p		
is		20050	20050	Mobile	s		
is		70000	70000	-			Inductive applications
is		70000	70000	Mobile	s		
is		70000	70000	RADIONAVIGATION	p		
is		72000	72000	-			Inductive applications
is		72000	72000	FIXED	p		
is		72000	72000	MARITIME MOBILE	p		
is		72000	72000	Mobile	s		
is		72000	72000	RADIONAVIGATION	p		
is		84000	84000	-			Inductive applications
is		84000	84000	Mobile	s		
is		84000	84000	RADIONAVIGATION	p		
is		86000	86000	-			Inductive applications
is		86000	86000	FIXED	p		
is		86000	86000	MARITIME MOBILE	p		
is		86000	86000	Mobile	s		
is		86000	86000	RADIONAVIGATION	p		
is		90000	90000	-			Inductive applications
is		90000	90000	Fixed	s		
is		90000	90000	Mobile	s		
is		90000	90000	RADIONAVIGATION	p		
is		110000	110000	-			Inductive applications
is		110000	110000	FIXED	p		
is		110000	110000	MARITIME MOBILE	p		
is		110000	110000	Mobile	s		
is		110000	110000	RADIONAVIGATION	p		
is		112000	112000	-			Inductive applications
is		112000	112000	Mobile	s		
is		112000	112000	RADIONAVIGATION	p		
is		115000	115000	-			Inductive applications
is		115000	115000	Fixed	s		
is		115000	115000	Maritime Mobile	s		
is		115000	115000	Mobile	s		
is		115000	115000	RADIONAVIGATION	p		
is		117600	117600	-			Inductive applications
is		117600	117600	FIXED	p		
is		117600	117600	MARITIME MOBILE	p		
is		117600	117600	Mobile	s		
is		117600	117600	RADIONAVIGATION	p		
is		126000	126000	-			Inductive applications
is		126000	126000	Mobile	s		
is		126000	126000	RADIONAVIGATION	p		
is		129000	129000	-			Inductive applications
is		129000	129000	FIXED	p		
is		129000	129000	MARITIME MOBILE	p		
is		129000	129000	Mobile	s		
is		129000	129000	RADIONAVIGATION	p		
is		130000	130000	-			
is		130000	130000	FIXED	p		
is		130000	130000	MARITIME MOBILE	p		
is		130000	130000	Mobile	s		
is		130000	130000	-			Inductive applications
is		130000	130000		p		
is		135000	135000	-			Inductive applications
is		135000	135000		p		
is		135700	135700	-			Amateur
is		135700	135700		p		
is		148500	148500	-			Inductive applications
is		148500	148500		p		
is		148500	148500	-			AM sound analogue
is		148500	148500	BROADCASTING	p		
is		255000	255000	-			
is		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
is		255000	255000	BROADCASTING	p		
is		283500	283500	-			Beacons (aeronautical),  Beacons (maritime)
is		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
is		283500	283500	MARITIME RADIONAVIGATION	p		
is		315000	315000	-			Maritime navigation,  Aeronautical navigation
is		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
is		315000	315000	Maritime Radionavigation	s		
is		325000	325000	-			Aeronautical navigation
is		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
is		405000	405000	-			Aeronautical navigation,  Maritime navigation
is		405000	405000	RADIONAVIGATION	p		
is		415000	415000	-			Maritime communications
is		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
is		415000	415000	MARITIME MOBILE	p		
is		435000	435000	-			Maritime communications
is		435000	435000	Aeronautical Radionavigation	s		
is		435000	435000	MARITIME MOBILE	p		
is		456900	456900	-			Emergency detection
is		456900	456900		p		
is		489900	489900	-			NAVTEX
is		489900	489900		p		
is		495000	495000	-			Maritime communications
is		495000	495000	MOBILE (DISTRESS AND CALLING)	p		
is		505000	505000	-			Maritime communications
is		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
is		505000	505000	MARITIME MOBILE	p		
is		517900	517900	-			NAVTEX
is		517900	517900		p		
is		526500	526500	-			AM sound analogue
is		526500	526500	BROADCASTING	p		
is		1606500	1606500	-			Maritime communications
is		1606500	1606500	FIXED	p		
is		1606500	1606500	LAND MOBILE	p		
is		1606500	1606500	MARITIME MOBILE	p		
is		1625000	1625000	-			
is		1625000	1625000	RADIOLOCATION	p		
is		1635000	1635000	-			Maritime communications
is		1635000	1635000	FIXED	p		
is		1635000	1635000	LAND MOBILE	p		
is		1635000	1635000	MARITIME MOBILE	p		
is		1800000	1800000	-			
is		1800000	1800000	RADIOLOCATION	p		
is		1810000	1810000	-			Amateur
is		1810000	1810000	AMATEUR	p		
is		1850000	1850000	-			
is		1850000	1850000	FIXED	p		
is		1850000	1850000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
is		1850000	1850000	-			Maritime communications
is		1850000	1850000		p		
is		1900000	1900000	-			Amateur
is		1900000	1900000		p		
is		2000000	2000000	-			Maritime communications
is		2000000	2000000	FIXED	p		
is		2025000	2025000	-			
is		2025000	2025000	FIXED	p		
is		2025000	2025000	Meteorological Aids	s		
is		2045000	2045000	-			Maritime communications
is		2045000	2045000	FIXED	p		
is		2045000	2045000	LAND MOBILE	p		
is		2045000	2045000	MARITIME MOBILE	p		
is		2160000	2160000	-			
is		2160000	2160000	RADIOLOCATION	p		
is		2170000	2170000	-			
is		2170000	2170000	MARITIME MOBILE	p		
is		2173500	2173500	-			DSC,  Maritime communications,  SAR (communications)
is		2173500	2173500	MOBILE (DISTRESS AND CALLING)	p		
is		2190500	2190500	-			
is		2190500	2190500	MARITIME MOBILE	p		
is		2194000	2194000	-			Land mobile,  Maritime communications
is		2194000	2194000	FIXED	p		
is		2194000	2194000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
is		2300000	2300000	-			Maritime communications
is		2300000	2300000	BROADCASTING	p		
is		2300000	2300000	FIXED	p		
is		2300000	2300000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
is		2498000	2498000	-			Standard frequency and time signal
is		2498000	2498000	STANDARD FREQUENCY AND TIME SIGNAL	p		
is		2501000	2501000	-			Standard frequency and time signal
is		2501000	2501000	Space Research	s		
is		2501000	2501000	STANDARD FREQUENCY AND TIME SIGNAL	p		
is		2502000	2502000	-			Maritime communications
is		2502000	2502000	FIXED	p		
is		2502000	2502000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
is		2625000	2625000	-			Maritime communications
is		2625000	2625000	MARITIME MOBILE	p		
is		2625000	2625000	MARITIME RADIONAVIGATION	p		
is		2650000	2650000	-			Maritime communications,  Land mobile
is		2650000	2650000	FIXED	p		
is		2650000	2650000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
is		2850000	2850000	-			Aeronautical communications
is		2850000	2850000	AERONAUTICAL MOBILE (R)	p		
is		3025000	3025000	-			AGA communications (civil),  AGA communications (military)
is		3025000	3025000	AERONAUTICAL MOBILE (OR)	p		
is		3155000	3155000	-			Inductive applications
is		3155000	3155000		p		
is		3155000	3155000	-			Maritime communications
is		3155000	3155000	FIXED	p		
is		3155000	3155000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
is		3200000	3200000	-			Maritime communications
is		3200000	3200000	BROADCASTING	p		
is		3200000	3200000	FIXED	p		
is		3200000	3200000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
is		3230000	3230000	-			Maritime communications,  Land mobile
is		3230000	3230000	BROADCASTING	p		
is		3230000	3230000	FIXED	p		
is		3230000	3230000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
is		3400000	3400000	-			
is		3400000	3400000	AERONAUTICAL MOBILE (R)	p		
is		3500000	3500000	-			Land mobile,  Amateur,  Maritime communications
is		3500000	3500000	AMATEUR	p		
is		3500000	3500000	FIXED	p		
is		3500000	3500000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
is		3800000	3800000	-			Land mobile,  Fixed radio relay (military)
is		3800000	3800000	AERONAUTICAL MOBILE (OR)	p		
is		3800000	3800000	FIXED	p		
is		3800000	3800000	LAND MOBILE	p		
is		3900000	3900000	-			AGA communications (military)
is		3900000	3900000	AERONAUTICAL MOBILE (OR)	p		
is		3950000	3950000	-			Fixed radio relay (military),  AM sound analogue
is		3950000	3950000	BROADCASTING	p		
is		3950000	3950000	FIXED	p		
is		4000000	4000000	-			Fixed radio relay (military),  Maritime communications
is		4000000	4000000	FIXED	p		
is		4000000	4000000	MARITIME MOBILE	p		
