region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
it		9000	9000	-			Inductive applications
it		9000	9000	RADIONAVIGATION	p		
it		14000	14000	-			Inductive applications,  Maritime communications
it		14000	14000	FIXED	p		
it		14000	14000	MARITIME MOBILE	p		
it		19950	19950	-			Inductive applications
it		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
it		20050	20050	-			Inductive applications,  Maritime communications
it		20050	20050	FIXED	p		
it		20050	20050	MARITIME MOBILE	p		
it		70000	70000	-			Inductive applications
it		70000	70000	RADIONAVIGATION	p		
it		72000	72000	-			Inductive applications,  Maritime communications
it		72000	72000	FIXED	p		
it		72000	72000	MARITIME MOBILE	p		
it		72000	72000	RADIONAVIGATION	p		
it		84000	84000	-			Inductive applications
it		84000	84000	RADIONAVIGATION	p		
it		86000	86000	-			Inductive applications,  Maritime communications
it		86000	86000	FIXED	p		
it		86000	86000	MARITIME MOBILE	p		
it		86000	86000	RADIONAVIGATION	p		
it		90000	90000	-			Inductive applications
it		90000	90000	Fixed	s		
it		90000	90000	RADIONAVIGATION	p		
it		110000	110000	-			Inductive applications
it		110000	110000	FIXED	p		
it		110000	110000	MARITIME MOBILE	p		
it		110000	110000	RADIONAVIGATION	p		
it		112000	112000	-			Inductive applications
it		112000	112000	RADIONAVIGATION	p		
it		115000	115000	-			Inductive applications
it		115000	115000	Fixed	s		
it		115000	115000	Maritime Mobile	s		
it		115000	115000	RADIONAVIGATION	p		
it		117600	117600	-			Inductive applications
it		117600	117600	FIXED	p		
it		117600	117600	MARITIME MOBILE	p		
it		117600	117600	RADIONAVIGATION	p		
it		126000	126000	-			Inductive applications
it		126000	126000	RADIONAVIGATION	p		
it		129000	129000	-			Inductive applications
it		129000	129000	FIXED	p		
it		129000	129000	MARITIME MOBILE	p		
it		129000	129000	RADIONAVIGATION	p		
it		130000	130000	-			Inductive applications,  Amateur
it		130000	130000	FIXED	p		
it		130000	130000	MARITIME MOBILE	p		
it		148500	148500	-			Broadcasting (terrestrial)
it		148500	148500	BROADCASTING	p		
it		255000	255000	-			Broadcasting (terrestrial),  Beacons (aeronautical)
it		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
it		255000	255000	BROADCASTING	p		
it		283500	283500	-			Beacons (aeronautical),  Beacons (maritime)
it		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
it		283500	283500	MARITIME RADIONAVIGATION	p		
it		315000	315000	-			Beacons (aeronautical),  Beacons (maritime)
it		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
it		315000	315000	Maritime Radionavigation	s		
it		325000	325000	-			Beacons (aeronautical)
it		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
it		405000	405000	-			Beacons (aeronautical),  Maritime navigation
it		405000	405000	RADIONAVIGATION	p		
it		415000	415000	-			Maritime communications,  Beacons (aeronautical)
it		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
it		415000	415000	MARITIME MOBILE	p		
it		435000	435000	-			Maritime communications,  GMDSS,  NAVTEX,  Emergency detection
it		435000	435000	Aeronautical Radionavigation	s		
it		435000	435000	MARITIME MOBILE	p		
it		495000	495000	-			Maritime communications
it		495000	495000	MOBILE (DISTRESS AND CALLING)	p		
it		505000	505000	-			NAVTEX,  Maritime communications,  Beacons (aeronautical)
it		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
it		505000	505000	MARITIME MOBILE	p		
it		526500	526500	-			Broadcasting (terrestrial)
it		526500	526500	BROADCASTING	p		
it		1606500	1606500	-			Maritime
it		1606500	1606500	FIXED	p		
it		1606500	1606500	LAND MOBILE	p		
it		1606500	1606500	MARITIME MOBILE	p		
it		1625000	1625000	-			
it		1625000	1625000	RADIOLOCATION	p		
it		1635000	1635000	-			Maritime
