Region	Sub-table	Start Frequency	End Frequency	Allocations	Footnotes
ITU Region 1		0	9000	-	5.53  5.54
ITU Region 1		9000	14000	RADIONAVIGATION	
ITU Region 1		14000	19950	-	5.55  5.56
ITU Region 1		14000	19950	FIXED	
ITU Region 1		14000	19950	MARITIME MOBILE	5.57
ITU Region 1		19950	20050	STANDARD FREQUENCY AND TIME SIGNAL (20 kHz)	
ITU Region 1		20050	70000	-	5.56  5.58
ITU Region 1		20050	70000	FIXED	
ITU Region 1		20050	70000	MARITIME MOBILE	5.57
ITU Region 1		70000	72000	RADIONAVIGATION	5.6
ITU Region 1		72000	84000	-	5.56
ITU Region 1		72000	84000	FIXED	
ITU Region 1		72000	84000	MARITIME MOBILE	5.57
ITU Region 1		72000	84000	RADIONAVIGATION	5.6
ITU Region 1		84000	86000	RADIONAVIGATION	5.6
ITU Region 1		86000	90000	-	5.56
ITU Region 1		86000	90000	FIXED	
ITU Region 1		86000	90000	MARITIME MOBILE	5.57
ITU Region 1		86000	90000	RADIONAVIGATION	
ITU Region 1		90000	110000	-	5.64
ITU Region 1		90000	110000	RADIONAVIGATION	5.62
ITU Region 1		90000	110000	Fixed	
ITU Region 1		110000	112000	-	5.64
ITU Region 1		110000	112000	FIXED	
ITU Region 1		110000	112000	MARITIME MOBILE	
ITU Region 1		110000	112000	RADIONAVIGATION	
ITU Region 1		112000	115000	RADIONAVIGATION	5.6
ITU Region 1		115000	117600	-	5.64  5.66
ITU Region 1		115000	117600	RADIONAVIGATION	5.6
ITU Region 1		115000	117600	Fixed	
ITU Region 1		115000	117600	Maritime mobile	
ITU Region 1		117600	126000	-	5.64
ITU Region 1		117600	126000	FIXED	
ITU Region 1		117600	126000	MARITIME MOBILE	
ITU Region 1		117600	126000	RADIONAVIGATION	5.6
ITU Region 1		126000	129000	RADIONAVIGATION	5.6
ITU Region 1		129000	130000	-	5.64
ITU Region 1		129000	130000	FIXED	
ITU Region 1		129000	130000	MARITIME MOBILE	
ITU Region 1		129000	130000	RADIONAVIGATION	5.6
ITU Region 1		130000	137500	-	5.64  5.67
ITU Region 1		130000	137500	FIXED	
ITU Region 1		130000	137500	MARITIME MOBILE	
ITU Region 1		137500	137800	-	5.64  5.67  5.67B
ITU Region 1		137500	137800	FIXED	
ITU Region 1		137500	137800	MARITIME MOBILE	
ITU Region 1		137500	137800	Amateur	5.67A
ITU Region 1		137800	148500	-	5.64  5.67
ITU Region 1		137800	148500	FIXED	
ITU Region 1		137800	148500	MARITIME MOBILE	
ITU Region 1		148500	255000	-	5.68  5.69  5.70
ITU Region 1		148500	255000	BROADCASTING	
ITU Region 1		255000	283500	-	5.70  5.71
ITU Region 1		255000	283500	BROADCASTING	
ITU Region 1		255000	283500	AERONAUTICAL RADIONAVIGATION	
ITU Region 1		283500	315000	-	5.72  5.74
ITU Region 1		283500	315000	AERONAUTICAL RADIONAVIGATION	
ITU Region 1		283500	315000	MARITIME RADIONAVIGATION (radiobeacons) 	5.73
ITU Region 1		315000	325000	-	5.72  5.75
ITU Region 1		315000	325000	AERONAUTICAL RADIONAVIGATION	
ITU Region 1		315000	325000	Maritime radionavigation (radiobeacons) 	5.73
ITU Region 1		325000	405000	-	5.72
ITU Region 1		325000	405000	AERONAUTICAL RADIONAVIGATION	
ITU Region 1		405000	415000	-	5.72
ITU Region 1		405000	415000	RADIONAVIGATION	5.76
ITU Region 1		415000	435000	-	5.72
ITU Region 1		415000	435000	MARITIME MOBILE	5.79
ITU Region 1		415000	435000	AERONAUTICAL RADIONAVIGATION	
ITU Region 1		435000	495000	-	5.72  5.82
ITU Region 1		435000	495000	MARITIME MOBILE	5.79  5.79A
ITU Region 1		435000	495000	AERONAUTICAL RADIONAVIGATION	
ITU Region 1		495000	505000	-	5.82B
ITU Region 1		495000	505000	MOBILE	5.82A
ITU Region 1		505000	526500	-	5.72
ITU Region 1		505000	526500	MARITIME MOBILE	5.79  5.79A  5.84
ITU Region 1		505000	526500	AERONAUTICAL RADIONAVIGATION	
ITU Region 1		526500	1606500	-	5.87  5.87A
ITU Region 1		526500	1606500	BROADCASTING	
ITU Region 1		1606500	1625000	-	5.92
ITU Region 1		1606500	1625000	FIXED	
ITU Region 1		1606500	1625000	MARITIME MOBILE	5.9
ITU Region 1		1606500	1625000	LAND MOBILE	
ITU Region 1		1625000	1635000	-	5.93
ITU Region 1		1625000	1635000	RADIOLOCATION	
ITU Region 1		1635000	1800000	-	5.92  5.96
ITU Region 1		1635000	1800000	FIXED	
ITU Region 1		1635000	1800000	MARITIME MOBILE	5.9
ITU Region 1		1635000	1800000	LAND MOBILE	
ITU Region 1		1800000	1810000	-	5.93
ITU Region 1		1800000	1810000	RADIOLOCATION	
ITU Region 1		1810000	1850000	-	5.98  5.99  5.100  5.101
ITU Region 1		1810000	1850000	AMATEUR	
ITU Region 1		1850000	2000000	-	5.92  5.96  5.103
ITU Region 1		1850000	2000000	FIXED	
ITU Region 1		1850000	2000000	MOBILE except aeronautical mobile	
ITU Region 1		2000000	2025000	-	5.92  5.103
ITU Region 1		2000000	2025000	FIXED	
ITU Region 1		2000000	2025000	MOBILE except aeronautical mobile (R)	
ITU Region 1		2025000	2045000	-	5.92  5.103
ITU Region 1		2025000	2045000	FIXED	
ITU Region 1		2025000	2045000	MOBILE except aeronautical mobile (R)	
ITU Region 1		2025000	2045000	Meteorological aids	5.104
ITU Region 1		2045000	2160000	-	5.92
ITU Region 1		2045000	2160000	FIXED	
ITU Region 1		2045000	2160000	MARITIME MOBILE	
