Region	Sub-table	lower_frequency	upper_frequency	Category	Service	Footnotes
ITU Region 1		0	9000		-	5.53,5.54
ITU Region 1		9000	14000	p	Radionavigation	
ITU Region 1		14000	19950		-	5.55,5.56
ITU Region 1		14000	19950	p	Fixed	
ITU Region 1		14000	19950	p	Maritime Mobile	5.57
ITU Region 1		19950	20050	p	Standard Frequency And Time Signal (20 kHz)	
ITU Region 1		20050	70000		-	5.56,5.58
ITU Region 1		20050	70000	p	Fixed	
ITU Region 1		20050	70000	p	Maritime Mobile	5.57
ITU Region 1		70000	72000	p	Radionavigation	5.6
ITU Region 1		72000	84000		-	5.56
ITU Region 1		72000	84000	p	Fixed	
ITU Region 1		72000	84000	p	Maritime Mobile	5.57
ITU Region 1		72000	84000	p	Radionavigation	5.6
ITU Region 1		84000	86000	p	Radionavigation	5.6
ITU Region 1		86000	90000		-	5.56
ITU Region 1		86000	90000	p	Fixed	
ITU Region 1		86000	90000	p	Maritime Mobile	5.57
ITU Region 1		86000	90000	p	Radionavigation	
ITU Region 1		90000	110000		-	5.64
ITU Region 1		90000	110000	p	Radionavigation	5.62
ITU Region 1		90000	110000	s	Fixed	
ITU Region 1		110000	112000		-	5.64
ITU Region 1		110000	112000	p	Fixed	
ITU Region 1		110000	112000	p	Maritime Mobile	
ITU Region 1		110000	112000	p	Radionavigation	
ITU Region 1		112000	115000	p	Radionavigation	5.6
ITU Region 1		115000	117600		-	5.64,5.66
ITU Region 1		115000	117600	p	Radionavigation	5.6
ITU Region 1		115000	117600	s	Fixed	
ITU Region 1		115000	117600	s	Maritime Mobile	
ITU Region 1		117600	126000		-	5.64
ITU Region 1		117600	126000	p	Fixed	
ITU Region 1		117600	126000	p	Maritime Mobile	
ITU Region 1		117600	126000	p	Radionavigation	5.6
ITU Region 1		126000	129000	p	Radionavigation	5.6
ITU Region 1		129000	130000		-	5.64
ITU Region 1		129000	130000	p	Fixed	
ITU Region 1		129000	130000	p	Maritime Mobile	
ITU Region 1		129000	130000	p	Radionavigation	5.6
ITU Region 1		130000	137500		-	5.64,5.67
ITU Region 1		130000	137500	p	Fixed	
ITU Region 1		130000	137500	p	Maritime Mobile	
ITU Region 1		137500	137800		-	5.64,5.67,5.67B
ITU Region 1		137500	137800	p	Fixed	
ITU Region 1		137500	137800	p	Maritime Mobile	
ITU Region 1		137500	137800	s	Amateur	5.67A
ITU Region 1		137800	148500		-	5.64,5.67
ITU Region 1		137800	148500	p	Fixed	
ITU Region 1		137800	148500	p	Maritime Mobile	
ITU Region 1		148500	255000		-	5.68,5.69,5.70
ITU Region 1		148500	255000	p	Broadcasting	
ITU Region 1		255000	283500		-	5.70,5.71
ITU Region 1		255000	283500	p	Broadcasting	
ITU Region 1		255000	283500	p	Aeronautical Radionavigation	
ITU Region 1		283500	315000		-	5.72,5.74
ITU Region 1		283500	315000	p	Aeronautical Radionavigation	
ITU Region 1		283500	315000	p	Maritime Radionavigation (radiobeacons) 	5.73
ITU Region 1		315000	325000		-	5.72,5.75
ITU Region 1		315000	325000	p	Aeronautical Radionavigation	
ITU Region 1		315000	325000	s	Maritime Radionavigation (radiobeacons) 	5.73
ITU Region 1		325000	405000		-	5.72
ITU Region 1		325000	405000	p	Aeronautical Radionavigation	
ITU Region 1		405000	415000		-	5.72
ITU Region 1		405000	415000	p	Radionavigation	5.76
ITU Region 1		415000	435000		-	5.72
ITU Region 1		415000	435000	p	Maritime Mobile	5.79
ITU Region 1		415000	435000	p	Aeronautical Radionavigation	
ITU Region 1		435000	495000		-	5.72,5.82
ITU Region 1		435000	495000	p	Maritime Mobile	5.79,5.79A
ITU Region 1		435000	495000	p	Aeronautical Radionavigation	
ITU Region 1		495000	505000		-	5.82B
ITU Region 1		495000	505000	p	Mobile	5.82A
ITU Region 1		505000	526500		-	5.72
ITU Region 1		505000	526500	p	Maritime Mobile	5.79,5.79A,5.84
ITU Region 1		505000	526500	p	Aeronautical Radionavigation	
ITU Region 1		526500	1606500		-	5.87,5.87A
ITU Region 1		526500	1606500	p	Broadcasting	
ITU Region 1		1606500	1625000		-	5.92
ITU Region 1		1606500	1625000	p	Fixed	
ITU Region 1		1606500	1625000	p	Maritime Mobile	5.9
ITU Region 1		1606500	1625000	p	Land Mobile	
ITU Region 1		1625000	1635000		-	5.93
ITU Region 1		1625000	1635000	p	Radiolocation	
ITU Region 1		1635000	1800000		-	5.92,5.96
ITU Region 1		1635000	1800000	p	Fixed	
ITU Region 1		1635000	1800000	p	Maritime Mobile	5.9
ITU Region 1		1635000	1800000	p	Land Mobile	
ITU Region 1		1800000	1810000		-	5.93
ITU Region 1		1800000	1810000	p	Radiolocation	
ITU Region 1		1810000	1850000		-	5.98,5.99,5.100,5.101
ITU Region 1		1810000	1850000	p	Amateur	
ITU Region 1		1850000	2000000		-	5.92,5.96,5.103
ITU Region 1		1850000	2000000	p	Fixed	
ITU Region 1		1850000	2000000	p	Mobile except aeronautical mobile	
ITU Region 1		2000000	2025000		-	5.92,5.103
ITU Region 1		2000000	2025000	p	Fixed	
ITU Region 1		2000000	2025000	p	Mobile except aeronautical mobile (R)	
ITU Region 1		2025000	2045000		-	5.92,5.103
ITU Region 1		2025000	2045000	p	Fixed	
ITU Region 1		2025000	2045000	p	Mobile except aeronautical mobile (R)	
ITU Region 1		2025000	2045000	s	Meteorological Aids	5.104
ITU Region 1		2045000	2160000		-	5.92
ITU Region 1		2045000	2160000	p	Fixed	
ITU Region 1		2045000	2160000	p	Maritime Mobile	
ITU Region 1		2045000	2160000	p	Land Mobile	
ITU Region 1		2160000	2170000		-	5.93,5.107
ITU Region 1		2160000	2170000	p	Radiolocation	
ITU Region 1		2170000	2173500	p	Maritime Mobile	
ITU Region 1		2173500	2190500		-	5.108,5.109,5.110,5.111
ITU Region 1		2173500	2190500	p	Mobile (distress and calling)	
ITU Region 1		2190500	2194000	p	Maritime Mobile	
ITU Region 1		2194000	2300000		-	5.92,5.103,5.112
ITU Region 1		2194000	2300000	p	Fixed	
ITU Region 1		2194000	2300000	p	Mobile except aeronautical mobile (R)	
ITU Region 1		2300000	2498000		-	5.103
ITU Region 1		2300000	2498000	p	Fixed	
ITU Region 1		2300000	2498000	p	Mobile except aeronautical mobile (R)	
ITU Region 1		2300000	2498000	p	Broadcasting	5.113
ITU Region 1		2498000	2501000	p	Standard Frequency And Time Signal (2500 kHz)	
ITU Region 1		2501000	2502000	p	Standard Frequency And Time Signal	
ITU Region 1		2501000	2502000	s	Space Research	
ITU Region 1		2502000	2625000		-	5.92,5.103,5.114
ITU Region 1		2502000	2625000	p	Fixed	
ITU Region 1		2502000	2625000	p	Mobile except aeronautical mobile (R)	
ITU Region 1		2625000	2650000		-	5.92
ITU Region 1		2625000	2650000	p	Maritime Mobile	
ITU Region 1		2625000	2650000	p	Maritime Radionavigation	
ITU Region 1		2650000	2850000		-	5.92,5.103
ITU Region 1		2650000	2850000	p	Fixed	
ITU Region 1		2650000	2850000	p	Mobile except aeronautical mobile (R)	
