region	sub-table	lower_frequency	upper_frequency	Category	service	footnotes
itu3		0	9000		-	5.53,5.54
itu3		9000	14000	p	Radionavigation	
itu3		14000	19950		-	5.55,5.56
itu3		14000	19950	p	Fixed	
itu3		14000	19950	p	Maritime Mobile	5.57
itu3		19950	20050	p	Standard Frequency And Time Signal (20 kHz)	
itu3		20050	70000		-	5.56,5.58
itu3		20050	70000	p	Fixed	
itu3		20050	70000	p	Maritime Mobile	5.57
itu3		70000	72000		-	5.59
itu3		70000	72000	p	Radionavigation	5.6
itu3		70000	72000	s	Fixed	
itu3		70000	72000	s	Maritime Mobile	5.57
itu3		72000	84000	p	Fixed	
itu3		72000	84000	p	Maritime Mobile	5.57
itu3		72000	84000	p	Radionavigation	5.6
itu3		84000	86000		-	5.59
itu3		84000	86000	p	Radionavigation	5.6
itu3		84000	86000	s	Fixed	
itu3		84000	86000	s	Maritime Mobile	5.57
itu3		86000	90000	p	Fixed	
itu3		86000	90000	p	Maritime Mobile	5.57
itu3		86000	90000	p	Radionavigation	5.6
itu3		90000	110000		-	5.64
itu3		90000	110000	p	Radionavigation	5.62
itu3		90000	110000	s	Fixed	
itu3		110000	112000		-	5.64
itu3		110000	112000	p	Fixed	
itu3		110000	112000	p	Maritime Mobile	
itu3		110000	112000	p	Radionavigation	5.6
itu3		112000	117600		-	5.64,5.65
itu3		112000	117600	p	Radionavigation	5.6
itu3		112000	117600	s	Fixed	
itu3		112000	117600	s	Maritime Mobile	
itu3		117600	126000		-	5.64
itu3		117600	126000	p	Fixed	
itu3		117600	126000	p	Maritime Mobile	
itu3		117600	126000	p	Radionavigation	5.6
itu3		126000	129000		-	5.64,5.65
itu3		126000	129000	p	Radionavigation	5.6
itu3		126000	129000	s	Fixed	
itu3		126000	129000	s	Maritime Mobile	
itu3		129000	130000		-	5.64
itu3		129000	130000	p	Fixed	
itu3		129000	130000	p	Maritime Mobile	
itu3		129000	130000	p	Radionavigation	5.6
itu3		130000	137500		-	5.64
itu3		130000	137500	p	Fixed	
itu3		130000	137500	p	Maritime Mobile	
itu3		130000	137500	p	Radionavigation	
itu3		137500	137800		-	5.64,5.67B
itu3		137500	137800	p	Fixed	
itu3		137500	137800	p	Maritime Mobile	
itu3		137500	137800	p	Radionavigation	
itu3		137500	137800	s	Amateur	5.67A
itu3		137800	160000		-	5.64
itu3		137800	160000	p	Fixed	
itu3		137800	160000	p	Maritime Mobile	
itu3		137800	160000	p	Radionavigation	
itu3		160000	190000	p	Fixed	
itu3		160000	190000	s	Aeronautical Radionavigation	
itu3		190000	200000	p	Aeronautical Radionavigation	
itu3		200000	285000	p	Aeronautical Radionavigation	
itu3		200000	285000	s	Aeronautical Mobile	
itu3		285000	315000	p	Aeronautical Radionavigation	
itu3		285000	315000	p	Maritime Radionavigation (radiobeacons) 	5.73
itu3		315000	325000	p	Aeronautical Radionavigation	
itu3		315000	325000	p	Maritime Radionavigation (radiobeacons) 	5.73
itu3		325000	405000	p	Aeronautical Radionavigation	
itu3		325000	405000	s	Aeronautical Mobile	
itu3		405000	415000	p	Radionavigation	5.76
itu3		405000	415000	s	Aeronautical Mobile	
itu3		415000	495000		-	5.77,5.78,5.82
itu3		415000	495000	p	Maritime Mobile	5.79,5.79A
itu3		415000	495000	s	Aeronautical Radionavigation	5.8
itu3		495000	505000		-	5.82B
itu3		495000	505000	p	Mobile	5.82A
itu3		505000	526500	p	Maritime Mobile	5.79,5.79A,5.84
itu3		505000	526500	p	Aeronautical Radionavigation	
itu3		505000	526500	s	Aeronautical Mobile	
itu3		505000	526500	s	Land Mobile	
itu3		526500	535000		-	5.88
itu3		526500	535000	p	Broadcasting	
itu3		526500	535000	s	Mobile	
itu3		535000	1606500	p	Broadcasting	
itu3		1606500	1800000		-	5.91
itu3		1606500	1800000	p	Fixed	
itu3		1606500	1800000	p	Mobile	
itu3		1606500	1800000	p	Radiolocation	
itu3		1606500	1800000	p	Radionavigation	
itu3		1800000	2000000		-	5.97
itu3		1800000	2000000	p	Amateur	
itu3		1800000	2000000	p	Fixed	
itu3		1800000	2000000	p	Mobile except aeronautical mobile	
itu3		1800000	2000000	p	Radionavigation	
itu3		1800000	2000000	s	Radiolocation	
itu3		2000000	2065000	p	Fixed	
itu3		2000000	2065000	p	Mobile	
itu3		2065000	2107000		-	5.106
itu3		2065000	2107000	p	Maritime Mobile	5.105
itu3		2107000	2170000	p	Fixed	
itu3		2107000	2170000	p	Mobile	
itu3		2170000	2173500	p	Maritime Mobile	
itu3		2173500	2190500		-	5.108,5.109,5.110,5.111
itu3		2173500	2190500	p	Mobile (distress and calling)	
itu3		2190500	2194000	p	Maritime Mobile	
itu3		2194000	2300000		-	5.112
itu3		2194000	2300000	p	Fixed	
itu3		2194000	2300000	p	Mobile	
itu3		2300000	2495000	p	Fixed	
itu3		2300000	2495000	p	Mobile	
itu3		2300000	2495000	p	Broadcasting	5.113
itu3		2495000	2501000	p	Standard Frequency And Time Signal (2500 kHz)	
itu3		2501000	2502000	p	Standard Frequency And Time Signal	
itu3		2501000	2502000	s	Space Research	
itu3		2502000	2505000	p	Standard Frequency And Time Signal	
itu3		2505000	2850000	p	Fixed	
itu3		2505000	2850000	p	Mobile	
itu3		2850000	3025000		-	5.111,5.115
itu3		2850000	3025000	p	Aeronautical Mobile (R)	
itu3		3025000	3155000	p	Aeronautical Mobile (OR)	
itu3		3155000	3200000		-	5.116,5.117
itu3		3155000	3200000	p	Fixed	
itu3		3155000	3200000	p	Mobile except aeronautical mobile (R)	
itu3		3200000	3230000		-	5.116
itu3		3200000	3230000	p	Fixed	
itu3		3200000	3230000	p	Mobile except aeronautical mobile (R)	
itu3		3200000	3230000	p	Broadcasting	5.113
itu3		3230000	3400000		-	5.116,5.118
itu3		3230000	3400000	p	Fixed	
itu3		3230000	3400000	p	Mobile except aeronautical mobile	
itu3		3230000	3400000	p	Broadcasting	5.113
itu3		3400000	3500000	p	Aeronautical Mobile (R)	
itu3		3500000	3900000	p	Amateur	
itu3		3500000	3900000	p	Fixed	
itu3		3500000	3900000	p	Mobile	
itu3		3900000	3950000	p	Aeronautical Mobile	
itu3		3900000	3950000	p	Broadcasting	
itu3		3950000	4000000		-	5.126
itu3		3950000	4000000	p	Fixed	
itu3		3950000	4000000	p	Broadcasting	
itu3		4000000	4063000		-	5.126
itu3		4000000	4063000	p	Fixed	
itu3		4000000	4063000	p	Maritime Mobile	5.127
itu3		4063000	4438000		-	5.128
itu3		4063000	4438000	p	Maritime Mobile	5.79A,5.109,5.110,5.130,5.131,5.132
itu3		4438000	4650000	p	Fixed	
itu3		4438000	4650000	p	Mobile except aeronautical mobile	
itu3		4650000	4700000	p	Aeronautical Mobile (R)	
itu3		4700000	4750000	p	Aeronautical Mobile (OR)	
itu3		4750000	4850000	p	Fixed	
itu3		4750000	4850000	p	Broadcasting	5.113
itu3		4750000	4850000	s	Land Mobile	
itu3		4850000	4995000	p	Fixed	
itu3		4850000	4995000	p	Land Mobile	
itu3		4850000	4995000	p	Broadcasting	5.113
itu3		4995000	5003000	p	Standard Frequency And Time Signal (5000 kHz)	
itu3		5003000	5005000	p	Standard Frequency And Time Signal	
itu3		5003000	5005000	s	Space Research	
itu3		5005000	5060000	p	Fixed	
itu3		5005000	5060000	p	Broadcasting	5.113
itu3		5060000	5250000		-	5.133
itu3		5060000	5250000	p	Fixed	
