region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
kr		9000	9000	-			
kr		9000	9000	RADIONAVIGATION	p		
kr		14000	14000	-			
kr		14000	14000	FIXED	p		
kr		14000	14000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
kr		19950	19950	-			
kr		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
kr		20050	20050	-			
kr		20050	20050	MARITIME MOBILE	p		
kr		20050	20050	FIXED	p		
kr		20050	20050	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
kr		70000	70000	-			
kr		70000	70000	RADIONAVIGATION	p		
kr		72000	72000	-			
kr		72000	72000	FIXED	p		
kr		72000	72000	RADIONAVIGATION	p		
kr		84000	84000	-			
kr		84000	84000	RADIONAVIGATION	p		
kr		86000	86000	-			
kr		86000	86000	FIXED	p		
kr		86000	86000	RADIONAVIGATION	p		
kr		86000	86000	MOBILE	p		
kr		90000	90000	-			
kr		90000	90000	RADIONAVIGATION	p		
kr		90000	90000	Fixed	s		
kr		110000	110000	-			
kr		110000	110000	FIXED	p		
kr		110000	110000	RADIONAVIGATION	p		
kr		110000	110000	MARITIME MOBILE	p		
kr		112000	112000	-			
kr		112000	112000	RADIONAVIGATION	p		
kr		115000	115000	-			
kr		115000	115000	RADIONAVIGATION	p		
kr		115000	115000	Fixed	s		
kr		115000	115000	Maritime Mobile	s		
kr		117600	117600	-			
kr		117600	117600	FIXED	p		
kr		117600	117600	RADIONAVIGATION	p		
kr		117600	117600	MARITIME MOBILE	p		
kr		126000	126000	-			
kr		126000	126000	RADIONAVIGATION	p		
kr		129000	129000	-			
kr		129000	129000	FIXED	p		
kr		129000	129000	RADIONAVIGATION	p		
kr		130000	130000	-			
kr		130000	130000	FIXED	p		
kr		130000	130000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
kr		135700	135700	-			
kr		135700	135700	Amateur	s		
kr		135700	135700	FIXED	p		
kr		135700	135700	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
kr		137800	137800	-			
kr		137800	137800	FIXED	p		
kr		137800	137800	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
kr		148500	148500	-			
kr		148500	148500	BROADCASTING	p		
kr		255000	255000	-			
kr		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
kr		255000	255000	BROADCASTING	p		
kr		283500	283500	-			
kr		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
kr		315000	315000	-			
kr		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
kr		325000	325000	-			
kr		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
kr		405000	405000	-			
kr		405000	405000	RADIONAVIGATION	p		
kr		415000	415000	-			
kr		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
kr		415000	415000	MARITIME MOBILE	p		
kr		435000	435000	-			
kr		435000	435000	MOBILE	p		
kr		435000	435000	Aeronautical Radionavigation	s		
kr		495000	495000	-			
kr		495000	495000	MOBILE	p		
kr		505000	505000	-			
kr		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
kr		505000	505000	MARITIME MOBILE	p		
kr		526500	526500	-			
kr		526500	526500	BROADCASTING	p		
kr		1606500	1606500	-			
kr		1606500	1606500	FIXED	p		
kr		1606500	1606500	LAND MOBILE	p		
kr		1606500	1606500	MARITIME MOBILE	p		
kr		1606500	1606500	Radiodetermination	s		
kr		1625000	1625000	-			
kr		1625000	1625000	RADIOLOCATION	p		
kr		1635000	1635000	-			
kr		1635000	1635000	FIXED	p		
kr		1635000	1635000	LAND MOBILE	p		
kr		1800000	1800000	-			
kr		1800000	1800000	RADIOLOCATION	p		
kr		1810000	1810000	-			
kr		1810000	1810000	AMATEUR	p		
kr		1850000	1850000	-			
kr		1850000	1850000	FIXED	p		
kr		1850000	1850000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
kr		2000000	2000000	-			
kr		2000000	2000000	FIXED	p		
kr		2000000	2000000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
kr		2025000	2025000	-			
kr		2025000	2025000	FIXED	p		
kr		2025000	2025000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
kr		2045000	2045000	-			
kr		2045000	2045000	FIXED	p		
kr		2045000	2045000	LAND MOBILE	p		
kr		2160000	2160000	-			
kr		2160000	2160000	RADIOLOCATION	p		
kr		2170000	2170000	-			
kr		2170000	2170000	MOBILE	p		
kr		2173500	2173500	-			
kr		2173500	2173500	MOBILE	p		
kr		2190500	2190500	-			
kr		2190500	2190500	MOBILE	p		
kr		2194000	2194000	-			
kr		2194000	2194000	FIXED	p		
kr		2194000	2194000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
kr		2300000	2300000	-			
kr		2300000	2300000	FIXED	p		
kr		2300000	2300000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
kr		2498000	2498000	-			
kr		2498000	2498000	STANDARD FREQUENCY AND TIME SIGNAL	p		
kr		2501000	2501000	-			
kr		2501000	2501000	STANDARD FREQUENCY AND TIME SIGNAL	p		
kr		2502000	2502000	-			
kr		2502000	2502000	FIXED	p		
kr		2502000	2502000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
kr		2625000	2625000	-			
kr		2625000	2625000	FIXED	p		
kr		2625000	2625000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
kr		2650000	2650000	-			
kr		2650000	2650000	FIXED	p		
kr		2650000	2650000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
kr		2850000	2850000	-			
kr		2850000	2850000	AERONAUTICAL MOBILE (R)	p		
kr		3025000	3025000	-			
kr		3025000	3025000	AERONAUTICAL MOBILE (OR)	p		
kr		3155000	3155000	-			
kr		3155000	3155000	FIXED	p		
kr		3155000	3155000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
kr		3200000	3200000	-			
kr		3200000	3200000	FIXED	p		
kr		3200000	3200000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
kr		3230000	3230000	-			
kr		3230000	3230000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
kr		3230000	3230000	FIXED	p		
kr		3400000	3400000	-			
kr		3400000	3400000	AERONAUTICAL MOBILE (R)	p		
kr		3500000	3500000	-			
kr		3500000	3500000	AMATEUR	p		
kr		3500000	3500000	FIXED	p		
kr		3500000	3500000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
kr		3800000	3800000	-			
kr		3800000	3800000	LAND MOBILE	p		
kr		3800000	3800000	AERONAUTICAL MOBILE (OR)	p		
kr		3800000	3800000	FIXED	p		
kr		3900000	3900000	-			
kr		3900000	3900000	AERONAUTICAL MOBILE (OR)	p		
kr		3950000	3950000	-			
kr		3950000	3950000	BROADCASTING	p		
kr		3950000	3950000	FIXED	p		
kr		4000000	4000000	-			
kr		4000000	4000000	FIXED	p		
kr		4000000	4000000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
kr		4063000	4063000	-			
kr		4063000	4063000	FIXED	p		
kr		4063000	4063000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
kr		4438000	4438000	-			
kr		4438000	4438000	FIXED	p		
kr		4438000	4438000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
kr		4650000	4650000	-			
kr		4650000	4650000	AERONAUTICAL MOBILE (R)	p		
kr		4700000	4700000	-			
kr		4700000	4700000	AERONAUTICAL MOBILE (OR)	p		
kr		4750000	4750000	-			
kr		4750000	4750000	AERONAUTICAL MOBILE (OR)	p		
kr		4750000	4750000	FIXED	p		
kr		4750000	4750000	LAND MOBILE	p		
kr		4850000	4850000	-			
kr		4850000	4850000	FIXED	p		
kr		4850000	4850000	LAND MOBILE	p		
kr		4995000	4995000	-			
kr		4995000	4995000	STANDARD FREQUENCY AND TIME SIGNAL	p		
kr		5003000	5003000	-			
kr		5003000	5003000	STANDARD FREQUENCY AND TIME SIGNAL	p		
kr		5003000	5003000	Space Research	s		
kr		5005000	5005000	-			
kr		5005000	5005000	FIXED	p		
kr		5060000	5060000	-			
kr		5060000	5060000	FIXED	p		
kr		5060000	5060000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
kr		5250000	5250000	-			
kr		5250000	5250000	FIXED	p		
kr		5250000	5250000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
kr		5450000	5450000	-			
kr		5450000	5450000	AERONAUTICAL MOBILE (OR)	p		
kr		5450000	5450000	FIXED	p		
kr		5450000	5450000	LAND MOBILE	p		
kr		5480000	5480000	-			
kr		5480000	5480000	AERONAUTICAL MOBILE (R)	p		
kr		5680000	5680000	-			
kr		5680000	5680000	AERONAUTICAL MOBILE (OR)	p		
kr		5730000	5730000	-			
kr		5730000	5730000	FIXED	p		
kr		5730000	5730000	LAND MOBILE	p		
kr		5900000	5900000	-			
kr		5900000	5900000	BROADCASTING	p		
kr		5950000	5950000	-			
kr		5950000	5950000	BROADCASTING	p		
kr		6200000	6200000	-			
kr		6200000	6200000	FIXED	p		
kr		6200000	6200000	LAND MOBILE	p		
kr		6525000	6525000	-			
kr		6525000	6525000	AERONAUTICAL MOBILE (R)	p		
kr		6685000	6685000	-			
kr		6685000	6685000	AERONAUTICAL MOBILE (OR)	p		
kr		6765000	6765000	-			
kr		6765000	6765000	FIXED	p		
kr		6765000	6765000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
kr		7000000	7000000	-			
kr		7000000	7000000	AMATEUR	p		
kr		7000000	7000000	AMATEUR-SATELLITE	p		
kr		7100000	7100000	-			
kr		7100000	7100000	AMATEUR	p		
kr		7200000	7200000	-			
kr		7200000	7200000	BROADCASTING	p		
kr		7300000	7300000	-			
kr		7300000	7300000	BROADCASTING	p		
kr		7400000	7400000	-			
kr		7400000	7400000	BROADCASTING	p		
kr		7450000	7450000	-			
kr		7450000	7450000	FIXED	p		
kr		7450000	7450000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
kr		8100000	8100000	-			
kr		8100000	8100000	FIXED	p		
kr		8195000	8195000	-			
kr		8195000	8195000	FIXED	p		
kr		8815000	8815000	-			
kr		8815000	8815000	AERONAUTICAL MOBILE (R)	p		
kr		8965000	8965000	-			
kr		8965000	8965000	AERONAUTICAL MOBILE (OR)	p		
kr		9040000	9040000	-			
kr		9040000	9040000	FIXED	p		
kr		9400000	9400000	-			
kr		9400000	9400000	BROADCASTING	p		
kr		9500000	9500000	-			
kr		9500000	9500000	BROADCASTING	p		
kr		9775000	9775000	-			
kr		9775000	9775000	BROADCASTING	p		
kr		9900000	9900000	-			
kr		9900000	9900000	FIXED	p		
kr		9995000	9995000	-			
kr		9995000	9995000	STANDARD FREQUENCY AND TIME SIGNAL	p		
kr		10003000	10003000	-			
kr		10003000	10003000	STANDARD FREQUENCY AND TIME SIGNAL	p		
kr		10003000	10003000	Space Research	s		
kr		10005000	10005000	-			
kr		10005000	10005000	AERONAUTICAL MOBILE (R)	p		
kr		10100000	10100000	-			
kr		10100000	10100000	FIXED	p		
kr		10100000	10100000	Amateur	s		
kr		10150000	10150000	-			
kr		10150000	10150000	FIXED	p		
kr		10150000	10150000	Mobile except aeronautical mobile (R)	s		
kr		11175000	11175000	-			
kr		11175000	11175000	AERONAUTICAL MOBILE (OR)	p		
kr		11275000	11275000	-			
kr		11275000	11275000	AERONAUTICAL MOBILE (R)	p		
kr		11400000	11400000	-			
kr		11400000	11400000	FIXED	p		
kr		11600000	11600000	-			
kr		11600000	11600000	BROADCASTING	p		
kr		11650000	11650000	-			
kr		11650000	11650000	BROADCASTING	p		
kr		12050000	12050000	-			
kr		12050000	12050000	BROADCASTING	p		
kr		12100000	12100000	-			
kr		12100000	12100000	FIXED	p		
kr		12230000	12230000	-			
kr		12230000	12230000	FIXED	p		
kr		13200000	13200000	-			
kr		13200000	13200000	AERONAUTICAL MOBILE (OR)	p		
kr		13260000	13260000	-			
kr		13260000	13260000	AERONAUTICAL MOBILE (R)	p		
kr		13360000	13360000	-			
kr		13360000	13360000	FIXED	p		
kr		13360000	13360000	RADIO ASTRONOMY	p		
kr		13410000	13410000	-			
kr		13410000	13410000	FIXED	p		
kr		13410000	13410000	Mobile except aeronautical mobile (R)	s		
kr		13570000	13570000	-			
kr		13570000	13570000	BROADCASTING	p		
kr		13600000	13600000	-			
kr		13600000	13600000	BROADCASTING	p		
kr		13800000	13800000	-			
kr		13800000	13800000	FIXED	p		
