region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
li		0	8300	-			
li		0	8300	Not allocated	s		
li		8300	9000	-			Lightning detection systems
li		8300	9000	METEOROLOGICAL AIDS	p		
li		9000	11300	-			Inductive applications,  ULP-AMI,  Lightning detection systems
li		9000	11300	METEOROLOGICAL AIDS	p		
li		9000	11300	RADIONAVIGATION	p		
li		11300	16000	-			Inductive applications,  ULP-AMI
li		11300	16000		p		
li		11300	14000	-			
li		11300	14000	RADIONAVIGATION	p		
li		14000	19950	-			
li		14000	19950	FIXED	p		
li		16000	19950	-			Inductive applications,  ULP-AMI,  On-site paging
li		16000	19950		p		
li		19950	20050	-			Inductive applications,  ULP-AMI,  On-site paging
li		19950	20050	STANDARD FREQUENCY AND TIME SIGNAL (20 KHZ)	p		
li		20050	70000	-			
li		20050	70000	FIXED	p		
li		20050	40000	-			Inductive applications,  ULP-AMI,  On-site paging
li		20050	40000		p		
li		40000	72000	-			Inductive applications,  ULP-AMI
li		40000	72000		p		
li		70000	72000	-			
li		70000	72000	RADIONAVIGATION	p		
li		72000	84000	-			
li		72000	84000	FIXED	p		
li		72000	84000	RADIONAVIGATION	p		
li		72000	84000	STANDARD FREQUENCY AND TIME SIGNAL	p		
li		72000	74950	-			Inductive applications,  ULP-AMI
li		72000	74950		p		
li		74950	75050	-			Inductive applications,  ULP-AMI
li		74950	75050		p		
li		75050	84000	-			Inductive applications,  ULP-AMI
li		75050	84000		p		
li		84000	135000	-			Inductive applications,  ULP-AMI
li		84000	135000		p		
li		84000	86000	-			
li		84000	86000	RADIONAVIGATION	p		
li		86000	90000	-			
li		86000	90000	FIXED	p		
li		86000	90000	RADIONAVIGATION	p		
li		90000	110000	-			
li		90000	110000	RADIONAVIGATION	p		
li		90000	110000	Fixed	s		
li		110000	112000	-			
li		110000	112000	FIXED	p		
li		110000	112000	RADIONAVIGATION	p		
li		112000	115000	-			
li		112000	115000	RADIONAVIGATION	p		
li		115000	117600	-			
li		115000	117600	RADIONAVIGATION	p		
li		115000	117600	Fixed	s		
li		117600	126000	-			
li		117600	126000	FIXED	p		
li		117600	126000	RADIONAVIGATION	p		
li		126000	129000	-			
li		126000	129000	RADIONAVIGATION	p		
li		129000	130000	-			
li		129000	130000	FIXED	p		
li		129000	130000	RADIONAVIGATION	p		
li		130000	135700	-			
li		130000	135700	FIXED	p		
li		135000	135700	-			Inductive applications,  ULP-AMI
li		135000	135700		p		
li		135700	137800	-			Amateur,  Inductive applications,  ULP-AMI
li		135700	137800	Amateur	s		
li		135700	137800	FIXED	p		
li		137800	148500	-			Inductive applications,  ULP-AMI
li		137800	148500	FIXED	p		
li		148500	255000	-			Inductive applications,  ULP-AMI
li		148500	255000	BROADCASTING	p		
li		255000	283500	-			Inductive applications,  ULP-AMI
li		255000	283500	BROADCASTING	p		
li		255000	283500	AERONAUTICAL RADIONAVIGATION	p		
li		283500	405000	-			
li		283500	405000	AERONAUTICAL RADIONAVIGATION	p		
li		283500	300000	-			Inductive applications,  ULP-AMI
li		283500	300000		p		
li		300000	315000	-			Inductive applications,  ULP-AMI
li		300000	315000		p		
li		315000	405000	-			Inductive applications,  ULP-AID
li		315000	405000		p		
li		405000	415000	-			Inductive applications,  RFID,  ULP-AID
li		405000	415000	RADIONAVIGATION	p		
li		415000	435000	-			Inductive applications,  RFID,  ULP-AID
li		415000	435000	AERONAUTICAL RADIONAVIGATION	p		
li		435000	472000	-			
li		435000	472000	Aeronautical Radionavigation	s		
li		435000	456900	-			Inductive applications,  RFID,  ULP-AID
li		435000	456900		p		
li		456900	457100	-			Emergency detection,  Inductive applications,  RFID,  ULP-AID
li		456900	457100		p		
li		457100	472000	-			Inductive applications,  RFID,  ULP-AID
li		457100	472000		p		
li		472000	479000	-			Amateur,  Inductive applications,  RFID,  ULP-AID
li		472000	479000	Amateur	s		
li		472000	479000	Aeronautical Radionavigation	s		
li		479000	495000	-			Inductive applications,  RFID,  ULP-AID
li		479000	495000	Aeronautical Radionavigation	s		
li		495000	505000	-			Inductive applications,  RFID,  ULP-AID
li		495000	505000	MARITIME MOBILE	p		
li		505000	526500	-			
li		505000	526500	AERONAUTICAL RADIONAVIGATION	p		
li		505000	516000	-			Inductive applications,  RFID,  ULP-AID
li		505000	516000		p		
li		516000	526500	-			Inductive applications,  RFID,  ULP-AID,  Euroloop
li		516000	526500		p		
li		526500	1606500	-			
li		526500	1606500	BROADCASTING	p		
li		526500	600000	-			Inductive applications,  RFID,  ULP-AID,  Euroloop
li		526500	600000		p		
li		600000	1606500	-			Inductive applications,  Railway applications
li		600000	1606500		p		
li		1606500	1625000	-			Inductive applications,  Euroloop,  Eurobalise
li		1606500	1625000	MARITIME MOBILE	p		
li		1606500	1625000	LAND MOBILE	p		
li		1625000	1635000	-			Inductive applications,  Euroloop,  Eurobalise
li		1625000	1635000	RADIOLOCATION	p		
li		1635000	1800000	-			Inductive applications,  Euroloop,  Eurobalise
li		1635000	1800000	MARITIME MOBILE	p		
li		1635000	1800000	LAND MOBILE	p		
li		1800000	1810000	-			Inductive applications,  Euroloop,  Eurobalise
li		1800000	1810000	RADIOLOCATION	p		
li		1810000	1850000	-			Amateur,  Inductive applications,  Euroloop,  Eurobalise
li		1810000	1850000	AMATEUR	p		
li		1850000	2000000	-			Amateur,  Inductive applications,  Euroloop,  Eurobalise
li		1850000	2000000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
li		2000000	2025000	-			Inductive applications,  Euroloop,  Eurobalise
li		2000000	2025000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
li		2025000	2045000	-			Inductive applications,  Euroloop,  Eurobalise
li		2025000	2045000	FIXED	p		
li		2025000	2045000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
li		2045000	2160000	-			Inductive applications,  Euroloop,  Eurobalise
li		2045000	2160000	FIXED	p		
li		2045000	2160000	MARITIME MOBILE	p		
li		2045000	2160000	LAND MOBILE	p		
li		2160000	2170000	-			Inductive applications,  Euroloop,  Eurobalise
li		2160000	2170000	RADIOLOCATION	p		
li		2170000	2173500	-			Inductive applications,  Euroloop,  Eurobalise
li		2170000	2173500	MARITIME MOBILE	p		
li		2173500	2190500	-			GMDSS,  Inductive applications,  Euroloop,  Eurobalise
li		2173500	2190500	MOBILE (DISTRESS AND CALLING)	p		
li		2190500	2194000	-			Inductive applications,  Euroloop,  Eurobalise
li		2190500	2194000	MARITIME MOBILE	p		
li		2194000	2300000	-			Inductive applications,  Euroloop,  Eurobalise
li		2194000	2300000	FIXED	p		
li		2194000	2300000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
li		2300000	2498000	-			Inductive applications,  Euroloop,  Eurobalise
li		2300000	2498000	FIXED	p		
li		2300000	2498000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
li		2498000	2502000	-			Inductive applications,  Euroloop,  Eurobalise,  Standard frequency and time signal
li		2498000	2502000		p		
li		2498000	2501000	-			
li		2498000	2501000	STANDARD FREQUENCY AND TIME SIGNAL (2 500 KHZ)	p		
li		2501000	2502000	-			
li		2501000	2502000	STANDARD FREQUENCY AND TIME SIGNAL	p		
li		2501000	2502000	Space Research	s		
li		2502000	2625000	-			Inductive applications,  Euroloop,  Eurobalise
li		2502000	2625000	FIXED	p		
li		2502000	2625000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
li		2625000	2650000	-			Inductive applications,  Euroloop,  Eurobalise
li		2625000	2650000	MARITIME MOBILE	p		
li		2625000	2650000	MARITIME RADIONAVIGATION	p		
li		2650000	2850000	-			Inductive applications,  Euroloop,  Eurobalise
li		2650000	2850000	FIXED	p		
li		2650000	2850000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
li		2850000	3025000	-			Aeronautical communications,  Inductive applications,  Euroloop,  Eurobalise
li		2850000	3025000	AERONAUTICAL MOBILE (R)	p		
li		3025000	3155000	-			Inductive applications,  Euroloop,  Eurobalise
li		3025000	3155000	AERONAUTICAL MOBILE (OR)	p		
li		3155000	3200000	-			Fixed,  Inductive applications,  Euroloop,  Eurobalise
li		3155000	3200000	FIXED	p		
li		3155000	3200000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
li		3200000	3230000	-			Inductive applications,  Euroloop,  Eurobalise
li		3200000	3230000	FIXED	p		
li		3200000	3230000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
li		3230000	3400000	-			Fixed,  Inductive applications,  Euroloop,  Eurobalise
li		3230000	3400000	FIXED	p		
li		3230000	3400000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
li		3400000	3500000	-			AGA communications (civil),  Inductive applications,  Euroloop,  Eurobalise
li		3400000	3500000	AERONAUTICAL MOBILE (R)	p		
li		3500000	3800000	-			Amateur,  Inductive applications,  Euroloop,  Eurobalise
li		3500000	3800000	Amateur	s		
li		3500000	3800000	FIXED	p		
li		3500000	3800000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
li		3800000	3900000	-			Fixed,  Inductive applications,  Euroloop,  Eurobalise
li		3800000	3900000	FIXED	p		
li		3800000	3900000	AERONAUTICAL MOBILE (OR)	p		
li		3800000	3900000	LAND MOBILE	p		
li		3900000	3950000	-			Inductive applications,  Euroloop,  Eurobalise
li		3900000	3950000	AERONAUTICAL MOBILE (OR)	p		
li		3950000	4000000	-			Broadcasting,  Inductive applications,  Euroloop,  Eurobalise
li		3950000	4000000	BROADCASTING	p		
li		4000000	4063000	-			Fixed,  Inductive applications,  Euroloop,  Eurobalise
li		4000000	4063000	FIXED	p		
li		4000000	4063000	MARITIME MOBILE	p		
li		4063000	4438000	-			DSC,  Euroloop,  Eurobalise,  Inductive applications
li		4063000	4438000	MARITIME MOBILE	p		
li		4438000	4488000	-			Fixed,  Euroloop,  Eurobalise,  Inductive applications
li		4438000	4488000	FIXED	p		
li		4438000	4488000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
li		4438000	4488000	Radiolocation	s		
li		4488000	4650000	-			Fixed,  Euroloop,  Eurobalise,  Inductive applications
li		4488000	4650000	FIXED	p		
li		4488000	4650000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
li		4650000	4700000	-			Aeronautical communications,  Inductive applications,  Euroloop,  Eurobalise
li		4650000	4700000	AERONAUTICAL MOBILE (R)	p		
li		4700000	4750000	-			Inductive applications,  Euroloop,  Eurobalise
li		4700000	4750000	AERONAUTICAL MOBILE (OR)	p		
li		4750000	4850000	-			Fixed,  Inductive applications,  Euroloop,  Eurobalise
li		4750000	4850000	AERONAUTICAL MOBILE (OR)	p		
li		4750000	4850000	FIXED	p		
li		4750000	4850000	LAND MOBILE	p		
li		4850000	4995000	-			Fixed,  Inductive applications,  Euroloop,  Eurobalise
li		4850000	4995000	FIXED	p		
li		4850000	4995000	LAND MOBILE	p		
li		4995000	5005000	-			Inductive applications,  Euroloop,  Eurobalise,  Standard frequency and time signal
li		4995000	5005000		p		
li		4995000	5003000	-			
li		4995000	5003000	STANDARD FREQUENCY AND TIME SIGNAL (5 000 KHZ)	p		
li		5003000	5005000	-			
li		5003000	5005000	STANDARD FREQUENCY AND TIME SIGNAL	p		
li		5003000	5005000	Space Research	s		
li		5005000	5060000	-			Fixed,  Inductive applications,  Euroloop,  Eurobalise
li		5005000	5060000	FIXED	p		
li		5060000	5250000	-			Fixed,  Inductive applications,  Euroloop,  Eurobalise
li		5060000	5250000	FIXED	p		
li		5060000	5250000	Mobile except aeronautical mobile	s		
li		5250000	5275000	-			Fixed,  Inductive applications,  Euroloop,  Eurobalise
li		5250000	5275000	FIXED	p		
li		5250000	5275000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
li		5250000	5275000	Radiolocation	s		
li		5275000	5450000	-			Fixed,  Inductive applications,  Euroloop,  Eurobalise
li		5275000	5450000	FIXED	p		
li		5275000	5450000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
li		5450000	5480000	-			Fixed,  Inductive applications,  Euroloop,  Eurobalise
li		5450000	5480000	AERONAUTICAL MOBILE (OR)	p		
li		5450000	5480000	FIXED	p		
li		5450000	5480000	LAND MOBILE	p		
li		5480000	5680000	-			AGA communications (civil),  Inductive applications,  Euroloop,  Eurobalise
li		5480000	5680000	AERONAUTICAL MOBILE (R)	p		
li		5680000	5730000	-			GMDSS,  Inductive applications,  Euroloop,  Eurobalise
li		5680000	5730000	AERONAUTICAL MOBILE (OR)	p		
li		5730000	5900000	-			Fixed,  Inductive applications,  Euroloop,  Eurobalise
li		5730000	5900000	FIXED	p		
li		5730000	5900000	LAND MOBILE	p		
li		5900000	6200000	-			Broadcasting,  Inductive applications,  Euroloop,  Eurobalise
li		5900000	6200000		p		
li		5900000	5950000	-			
li		5900000	5950000	BROADCASTING	p		
li		5950000	6200000	-			
li		5950000	6200000	BROADCASTING	p		
li		6200000	6525000	-			Fixed,  Inductive applications,  Euroloop,  Eurobalise
li		6200000	6525000	MARITIME MOBILE	p		
li		6525000	6685000	-			AGA communications (civil),  Inductive applications,  Euroloop,  Eurobalise
li		6525000	6685000	AERONAUTICAL MOBILE (R)	p		
li		6685000	6765000	-			Inductive applications,  Euroloop,  Eurobalise
li		6685000	6765000	AERONAUTICAL MOBILE (OR)	p		
li		6765000	7000000	-			Fixed,  ISM,  Inductive applications,  Non-specific SRDs,  Euroloop,  Eurobalise
li		6765000	7000000	FIXED	p		
li		6765000	7000000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
li		7000000	7100000	-			Amateur,  Amateur-satellite,  Inductive applications,  Euroloop,  Eurobalise
li		7000000	7100000	AMATEUR	p		
li		7000000	7100000	AMATEUR-SATELLITE	p		
li		7100000	7200000	-			Amateur,  Inductive applications,  Euroloop,  Eurobalise
li		7100000	7200000	AMATEUR	p		
li		7200000	7300000	-			Broadcasting,  Inductive applications,  Euroloop,  Eurobalise
li		7200000	7300000	BROADCASTING	p		
li		7300000	7350000	-			Broadcasting,  Inductive applications,  Euroloop,  Eurobalise
li		7300000	7350000	BROADCASTING	p		
li		7350000	7400000	-			Broadcasting,  Inductive applications,  Euroloop,  Eurobalise
li		7350000	7400000	BROADCASTING	p		
