region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
li		0	0	-			
li		0	0	Not allocated	s		
li		8300	8300	-			Lightning detection systems
li		8300	8300	METEOROLOGICAL AIDS	p		
li		9000	9000	-			Inductive applications,  ULP-AMI,  Lightning detection systems
li		9000	9000	METEOROLOGICAL AIDS	p		
li		9000	9000	RADIONAVIGATION	p		
li		11300	11300	-			Inductive applications,  ULP-AMI
li		11300	11300		p		
li		11300	11300	-			
li		11300	11300	RADIONAVIGATION	p		
li		14000	14000	-			
li		14000	14000	FIXED	p		
li		16000	16000	-			Inductive applications,  ULP-AMI,  On-site paging
li		16000	16000		p		
li		19950	19950	-			Inductive applications,  ULP-AMI,  On-site paging
li		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL (20 KHZ)	p		
li		20050	20050	-			
li		20050	20050	FIXED	p		
li		20050	20050	-			Inductive applications,  ULP-AMI,  On-site paging
li		20050	20050		p		
li		40000	40000	-			Inductive applications,  ULP-AMI
li		40000	40000		p		
li		70000	70000	-			
li		70000	70000	RADIONAVIGATION	p		
li		72000	72000	-			
li		72000	72000	FIXED	p		
li		72000	72000	RADIONAVIGATION	p		
li		72000	72000	STANDARD FREQUENCY AND TIME SIGNAL	p		
li		72000	72000	-			Inductive applications,  ULP-AMI
li		72000	72000		p		
li		74950	74950	-			Inductive applications,  ULP-AMI
li		74950	74950		p		
li		75050	75050	-			Inductive applications,  ULP-AMI
li		75050	75050		p		
li		84000	84000	-			Inductive applications,  ULP-AMI
li		84000	84000		p		
li		84000	84000	-			
li		84000	84000	RADIONAVIGATION	p		
li		86000	86000	-			
li		86000	86000	FIXED	p		
li		86000	86000	RADIONAVIGATION	p		
li		90000	90000	-			
li		90000	90000	RADIONAVIGATION	p		
li		90000	90000	Fixed	s		
li		110000	110000	-			
li		110000	110000	FIXED	p		
li		110000	110000	RADIONAVIGATION	p		
li		112000	112000	-			
li		112000	112000	RADIONAVIGATION	p		
li		115000	115000	-			
li		115000	115000	RADIONAVIGATION	p		
li		115000	115000	Fixed	s		
li		117600	117600	-			
li		117600	117600	FIXED	p		
li		117600	117600	RADIONAVIGATION	p		
li		126000	126000	-			
li		126000	126000	RADIONAVIGATION	p		
li		129000	129000	-			
li		129000	129000	FIXED	p		
li		129000	129000	RADIONAVIGATION	p		
li		130000	130000	-			
li		130000	130000	FIXED	p		
li		135000	135000	-			Inductive applications,  ULP-AMI
li		135000	135000		p		
li		135700	135700	-			Amateur,  Inductive applications,  ULP-AMI
li		135700	135700	Amateur	s		
li		135700	135700	FIXED	p		
li		137800	137800	-			Inductive applications,  ULP-AMI
li		137800	137800	FIXED	p		
li		148500	148500	-			Inductive applications,  ULP-AMI
li		148500	148500	BROADCASTING	p		
li		255000	255000	-			Inductive applications,  ULP-AMI
li		255000	255000	BROADCASTING	p		
li		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
li		283500	283500	-			
li		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
li		283500	283500	-			Inductive applications,  ULP-AMI
li		283500	283500		p		
