region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
lt		9000	9000	-			
lt		9000	9000	Mobile	s		
lt		9000	9000	-			Inductive applications,  Medical implants
lt		9000	9000		p		
lt		9000	9000	-			
lt		9000	9000	RADIONAVIGATION	p		
lt		14000	14000	-			Defence systems
lt		14000	14000	FIXED	p		
lt		14000	14000	MARITIME MOBILE	p		
lt		16700	16700	-			ISM
lt		16700	16700		p		
lt		19950	19950	-			ISM,  Inductive applications,  Short Range Devices
lt		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
lt		20050	20050	-			Medical implants
lt		20050	20050		p		
lt		20050	20050	-			Inductive applications
lt		20050	20050		p		
lt		20050	20050	-			Defence systems,  Maritime
lt		20050	20050	FIXED	p		
lt		20050	20050	MARITIME MOBILE	p		
lt		20400	20400	-			ISM
lt		20400	20400		p		
lt		40000	40000	-			ISM
lt		40000	40000		p		
lt		59000	59000	-			ISM
lt		59000	59000		p		
lt		70000	70000	-			
lt		70000	70000	RADIONAVIGATION	p		
lt		70000	70000	-			ISM,  Short Range Devices
lt		70000	70000		p		
lt		72000	72000	-			Defence systems
lt		72000	72000		p		
lt		72000	72000	-			Maritime
lt		72000	72000	FIXED	p		
lt		72000	72000	MARITIME MOBILE	p		
lt		72000	72000	-			ISM
lt		72000	72000		p		
lt		84000	84000	-			Short Range Devices
lt		84000	84000		p		
lt		86000	86000	-			Maritime
lt		86000	86000	FIXED	p		
lt		86000	86000	MARITIME MOBILE	p		
lt		86000	86000	RADIONAVIGATION	p		
lt		90000	90000	-			Loran C
lt		90000	90000	RADIONAVIGATION	p		
lt		90000	90000	Fixed	s		
lt		110000	110000	-			Maritime
lt		110000	110000	FIXED	p		
lt		110000	110000	MARITIME MOBILE	p		
lt		110000	110000	RADIONAVIGATION	p		
lt		112000	112000	-			Maritime,  Short Range Devices
lt		112000	112000	RADIONAVIGATION	p		
lt		112000	112000	Mobile	s		
lt		115000	115000	-			Maritime
lt		115000	115000	RADIONAVIGATION	p		
lt		115000	115000	Fixed	s		
lt		115000	115000	Maritime Mobile	s		
lt		117600	117600	-			Maritime
lt		117600	117600	FIXED	p		
lt		117600	117600	MARITIME MOBILE	p		
lt		117600	117600	RADIONAVIGATION	p		
lt		126000	126000	-			Maritime,  Short Range Devices
lt		126000	126000	RADIONAVIGATION	p		
lt		126000	126000	Mobile	s		
lt		129000	129000	-			Maritime
lt		129000	129000	FIXED	p		
lt		129000	129000	MARITIME MOBILE	p		
lt		129000	129000	RADIONAVIGATION	p		
lt		130000	130000	-			Maritime
lt		130000	130000	FIXED	p		
lt		130000	130000	MARITIME MOBILE	p		
lt		130000	130000	Amateur	s		
lt		135700	135700	-			Amateur
lt		135700	135700		p		
lt		148500	148500	-			Broadcasting
lt		148500	148500		p		
lt		148500	148500	-			
lt		148500	148500	BROADCASTING	p		
lt		255000	255000	-			Beacons (aeronautical)
lt		255000	255000		p		
lt		255000	255000	-			
lt		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
lt		255000	255000	BROADCASTING	p		
lt		283500	283500	-			Defence systems,  Beacons (maritime)
lt		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
lt		283500	283500	MARITIME RADIONAVIGATION	p		
lt		315000	315000	-			Beacons (maritime),  Defence systems
lt		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
lt		315000	315000	Maritime Radionavigation	s		
lt		325000	325000	-			Defence systems
lt		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
lt		405000	405000	-			Defence systems,  Beacons (maritime)
lt		405000	405000	RADIONAVIGATION	p		
lt		415000	415000	-			Defence systems,  Maritime
lt		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
lt		415000	415000	MARITIME MOBILE	p		
lt		429000	429000	-			ISM
lt		429000	429000		p		
lt		435000	435000	-			NAVTEX,  Detection of movement and alert,  Defence systems
lt		435000	435000	MARITIME MOBILE	p		
lt		435000	435000	Aeronautical Radionavigation	s		
lt		435000	435000	Mobile	s		
lt		435000	435000	-			ISM
lt		435000	435000		p		
lt		495000	495000	-			GMDSS
lt		495000	495000	MOBILE (DISTRESS AND CALLING)	p		
lt		505000	505000	-			Defence systems,  Beacons (aeronautical),  NAVTEX
lt		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
lt		505000	505000	MARITIME MOBILE	p		
lt		526500	526500	-			Broadcasting
lt		526500	526500	BROADCASTING	p		
lt		871000	871000	-			ISM
lt		871000	871000		p		
lt		1606500	1606500	-			Radiolocation (military)
lt		1606500	1606500		p		
lt		1606500	1606500	-			Radiolocation (civil),  Defence systems,  Maritime
lt		1606500	1606500	FIXED	p		
lt		1606500	1606500	LAND MOBILE	p		
lt		1606500	1606500	MARITIME MOBILE	p		
lt		1625000	1625000	-			Defence systems,  Radiolocation (civil)
lt		1625000	1625000	FIXED	p		
lt		1625000	1625000	LAND MOBILE	p		
lt		1625000	1625000	RADIOLOCATION	p		
lt		1635000	1635000	-			Radiolocation (civil),  Defence systems,  Maritime
lt		1635000	1635000	AMATEUR	p		
lt		1635000	1635000	FIXED	p		
lt		1635000	1635000	LAND MOBILE	p		
lt		1635000	1635000	MARITIME MOBILE	p		
lt		1715000	1715000	-			Amateur
lt		1715000	1715000		p		
lt		1720000	1720000	-			ISM
lt		1720000	1720000		p		
lt		1800000	1800000	-			Radiolocation (civil),  Defence systems
lt		1800000	1800000	FIXED	p		
lt		1800000	1800000	LAND MOBILE	p		
lt		1800000	1800000	RADIOLOCATION	p		
lt		1810000	1810000	-			Amateur
lt		1810000	1810000		p		
lt		1810000	1810000	-			Defence systems
lt		1810000	1810000	FIXED	p		
lt		1810000	1810000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
lt		1810000	1810000	Amateur	s		
lt		1830000	1830000	-			
lt		1830000	1830000	AMATEUR	p		
lt		1850000	1850000	-			Defence systems
lt		1850000	1850000		p		
lt		1850000	1850000	-			Radiolocation (military)
lt		1850000	1850000		p		
lt		1850000	1850000	-			Radiolocation (civil)
lt		1850000	1850000	FIXED	p		
lt		1850000	1850000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
lt		1850000	1850000	Amateur	s		
lt		2000000	2000000	-			Radiolocation (civil)
lt		2000000	2000000	FIXED	p		
lt		2000000	2000000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
lt		2025000	2025000	-			Radiolocation (civil)
lt		2025000	2025000	FIXED	p		
lt		2025000	2025000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
lt		2025000	2025000	Meteorological Aids	s		
lt		2045000	2045000	-			
lt		2045000	2045000	FIXED	p		
lt		2045000	2045000	LAND MOBILE	p		
lt		2045000	2045000	MARITIME MOBILE	p		
lt		2160000	2160000	-			Radiolocation (civil),  Defence systems,  Radiolocation (military)
lt		2160000	2160000	FIXED	p		
lt		2160000	2160000	LAND MOBILE	p		
lt		2160000	2160000	RADIOLOCATION	p		
lt		2170000	2170000	-			Maritime
lt		2170000	2170000	MARITIME MOBILE	p		
lt		2173500	2173500	-			DSC,  GMDSS,  SAR (communications)
lt		2173500	2173500	MOBILE (DISTRESS AND CALLING)	p		
lt		2190500	2190500	-			Maritime
lt		2190500	2190500	MARITIME MOBILE	p		
lt		2194000	2194000	-			Defence systems
lt		2194000	2194000		p		
lt		2194000	2194000	-			Maritime
lt		2194000	2194000	FIXED	p		
lt		2194000	2194000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
lt		2300000	2300000	-			
lt		2300000	2300000	FIXED	p		
lt		2300000	2300000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
lt		2498000	2498000	-			
lt		2498000	2498000	STANDARD FREQUENCY AND TIME SIGNAL	p		
lt		2501000	2501000	-			
lt		2501000	2501000	STANDARD FREQUENCY AND TIME SIGNAL	p		
lt		2501000	2501000	Space Research	s		
lt		2502000	2502000	-			Defence systems,  Radiolocation (military),  Radiolocation (civil)
lt		2502000	2502000	FIXED	p		
lt		2502000	2502000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
lt		2610000	2610000	-			ISM
lt		2610000	2610000		p		
lt		2625000	2625000	-			Defence systems
lt		2625000	2625000		p		
lt		2625000	2625000	-			ISM
lt		2625000	2625000	MARITIME MOBILE	p		
lt		2625000	2625000	MARITIME RADIONAVIGATION	p		
lt		2650000	2650000	-			Radiolocation (civil),  Radiolocation (military)
lt		2650000	2650000	FIXED	p		
lt		2650000	2650000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
lt		2650000	2650000	-			ISM
lt		2650000	2650000		p		
lt		2850000	2850000	-			Aeronautical communications
lt		2850000	2850000		p		
lt		2850000	2850000	-			SAR (communications)
lt		2850000	2850000	AERONAUTICAL MOBILE (R)	p		
lt		3025000	3025000	-			Aeronautical military systems
lt		3025000	3025000	AERONAUTICAL MOBILE (OR)	p		
lt		3155000	3155000	-			Defence systems,  Inductive applications
lt		3155000	3155000		p		
lt		3155000	3155000	-			
lt		3155000	3155000	FIXED	p		
lt		3155000	3155000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
lt		3200000	3200000	-			
lt		3200000	3200000	FIXED	p		
lt		3200000	3200000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
lt		3230000	3230000	-			
lt		3230000	3230000	FIXED	p		
lt		3230000	3230000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
lt		3400000	3400000	-			Aeronautical communications
lt		3400000	3400000	AERONAUTICAL MOBILE (R)	p		
lt		3500000	3500000	-			Defence systems,  Amateur
lt		3500000	3500000	AMATEUR	p		
lt		3500000	3500000	FIXED	p		
lt		3500000	3500000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
lt		3800000	3800000	-			Defence systems
lt		3800000	3800000		p		
lt		3800000	3800000	-			
lt		3800000	3800000	AERONAUTICAL MOBILE (OR)	p		
lt		3800000	3800000	FIXED	p		
lt		3800000	3800000	LAND MOBILE	p		
lt		3900000	3900000	-			
lt		3900000	3900000	AERONAUTICAL MOBILE (OR)	p		
lt		3950000	3950000	-			Defence systems,  Broadcasting
lt		3950000	3950000	BROADCASTING	p		
lt		3950000	3950000	FIXED	p		
lt		4000000	4000000	-			Maritime
lt		4000000	4000000	FIXED	p		
lt		4000000	4000000	MARITIME MOBILE	p		
lt		4063000	4063000	-			Maritime,  DSC,  MSI,  Maritime communications,  SAR (communications)
lt		4063000	4063000	MARITIME MOBILE	p		
lt		4438000	4438000	-			Euroloop,  Defence systems
lt		4438000	4438000	FIXED	p		
lt		4438000	4438000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
lt		4650000	4650000	-			
lt		4650000	4650000	AERONAUTICAL MOBILE (R)	p		
lt		4700000	4700000	-			
lt		4700000	4700000	AERONAUTICAL MOBILE (OR)	p		
lt		4750000	4750000	-			Aeronautical communications
lt		4750000	4750000	AERONAUTICAL MOBILE (OR)	p		
lt		4750000	4750000	FIXED	p		
lt		4750000	4750000	LAND MOBILE	p		
lt		4850000	4850000	-			Defence systems
lt		4850000	4850000	FIXED	p		
lt		4850000	4850000	LAND MOBILE	p		
lt		4995000	4995000	-			
lt		4995000	4995000	STANDARD FREQUENCY AND TIME SIGNAL	p		
lt		5003000	5003000	-			
lt		5003000	5003000	STANDARD FREQUENCY AND TIME SIGNAL	p		
lt		5003000	5003000	Space Research	s		
lt		5005000	5005000	-			Defence systems
lt		5005000	5005000		p		
lt		5005000	5005000	-			
lt		5005000	5005000	BROADCASTING	p		
lt		5005000	5005000	FIXED	p		
lt		5060000	5060000	-			
lt		5060000	5060000	FIXED	p		
lt		5060000	5060000	Mobile except aeronautical mobile	s		
lt		5150000	5150000	-			ISM
lt		5150000	5150000		p		
lt		5250000	5250000	-			
lt		5250000	5250000	FIXED	p		
lt		5250000	5250000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
lt		5250000	5250000	-			ISM
lt		5250000	5250000		p		
lt		5450000	5450000	-			
lt		5450000	5450000	AERONAUTICAL MOBILE (OR)	p		
lt		5450000	5450000	FIXED	p		
lt		5450000	5450000	LAND MOBILE	p		
lt		5480000	5480000	-			Aeronautical communications,  SAR (communications)
lt		5480000	5480000	AERONAUTICAL MOBILE (R)	p		
lt		5680000	5680000	-			SAR (communications),  Aeronautical communications,  Defence systems
lt		5680000	5680000	AERONAUTICAL MOBILE (OR)	p		
lt		5730000	5730000	-			Defence systems
