region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
lu		9000	9000	-			BMA,  Inductive applications,  Material Sensing,  ULP-AMI,  UWB applications
lu		9000	9000	METEOROLOGICAL AIDS	p		
lu		9000	9000	RADIONAVIGATION	p		
lu		11300	11300	-			BMA,  Inductive applications,  Material Sensing,  ULP-AMI,  UWB applications
lu		11300	11300	RADIONAVIGATION	p		
lu		14000	14000	-			BMA,  Inductive applications,  Material Sensing,  ULP-AMI,  UWB applications
lu		14000	14000	FIXED	p		
lu		14000	14000	MARITIME MOBILE	p		
lu		19950	19950	-			BMA,  Inductive applications,  Material Sensing,  Standard frequency and time signal,  ULP-AMI,  UWB applications
lu		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
lu		20050	20050	-			BMA,  Inductive applications,  Material Sensing,  ULP-AMI,  UWB applications
lu		20050	20050	FIXED	p		
lu		20050	20050	MARITIME MOBILE	p		
lu		70000	70000	-			BMA,  Inductive applications,  Material Sensing,  ULP-AMI,  UWB applications
lu		70000	70000	RADIONAVIGATION	p		
lu		72000	72000	-			BMA,  Inductive applications,  Material Sensing,  Standard frequency and time signal,  ULP-AMI,  UWB applications
lu		72000	72000	FIXED	p		
lu		72000	72000	MARITIME MOBILE	p		
lu		72000	72000	RADIONAVIGATION	p		
lu		84000	84000	-			BMA,  Inductive applications,  Material Sensing,  ULP-AMI,  UWB applications
lu		84000	84000	RADIONAVIGATION	p		
lu		86000	86000	-			BMA,  Inductive applications,  Material Sensing,  ULP-AMI,  UWB applications
lu		86000	86000	FIXED	p		
lu		86000	86000	MARITIME MOBILE	p		
lu		86000	86000	RADIONAVIGATION	p		
lu		90000	90000	-			BMA,  Inductive applications,  Material Sensing,  ULP-AMI,  UWB applications
lu		90000	90000	Fixed	s		
lu		90000	90000	RADIONAVIGATION	p		
lu		110000	110000	-			BMA,  Inductive applications,  Material Sensing,  ULP-AMI,  UWB applications
lu		110000	110000	FIXED	p		
lu		110000	110000	MARITIME MOBILE	p		
lu		110000	110000	RADIONAVIGATION	p		
lu		112000	112000	-			BMA,  Inductive applications,  Material Sensing,  ULP-AMI,  UWB applications
lu		112000	112000	RADIONAVIGATION	p		
lu		115000	115000	-			BMA,  Inductive applications,  Material Sensing,  ULP-AMI,  UWB applications
lu		115000	115000	Fixed	s		
lu		115000	115000	Maritime Mobile	s		
lu		115000	115000	RADIONAVIGATION	p		
lu		117600	117600	-			BMA,  Inductive applications,  Material Sensing,  ULP-AMI,  UWB applications
lu		117600	117600	FIXED	p		
lu		117600	117600	MARITIME MOBILE	p		
lu		117600	117600	RADIONAVIGATION	p		
lu		126000	126000	-			BMA,  Inductive applications,  Material Sensing,  ULP-AMI,  UWB applications
lu		126000	126000	Mobile	s		
lu		126000	126000	RADIONAVIGATION	p		
lu		129000	129000	-			BMA,  Inductive applications,  Material Sensing,  ULP-AMI,  UWB applications
lu		129000	129000	FIXED	p		
lu		129000	129000	MARITIME MOBILE	p		
lu		129000	129000	Mobile	s		
lu		129000	129000	RADIONAVIGATION	p		
lu		130000	130000	-			BMA,  Inductive applications,  Material Sensing,  Tracking systems,  ULP-AMI,  UWB applications
lu		130000	130000	FIXED	p		
lu		130000	130000	MARITIME MOBILE	p		
lu		130000	130000	Mobile	s		
lu		135700	135700	-			Amateur,  BMA,  Inductive applications,  Material Sensing,  Tracking systems,  ULP-AMI,  UWB applications
lu		135700	135700	Amateur	s		
lu		135700	135700	FIXED	p		
lu		135700	135700	MARITIME MOBILE	p		
lu		135700	135700	Mobile	s		
lu		137800	137800	-			BMA,  Inductive applications,  Material Sensing,  Tracking systems,  ULP-AMI,  UWB applications
lu		137800	137800	FIXED	p		
lu		137800	137800	MARITIME MOBILE	p		
lu		137800	137800	Mobile	s		
lu		148500	148500	-			AM sound analogue,  BMA,  DRM,  Inductive applications,  Material Sensing,  ULP-AMI,  UWB applications
lu		148500	148500	BROADCASTING	p		
lu		148500	148500	Mobile	s		
lu		255000	255000	-			AM sound analogue,  BMA,  DRM,  Inductive applications,  Material Sensing,  ULP-AMI,  UWB applications
lu		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
lu		255000	255000	BROADCASTING	p		
lu		255000	255000	Mobile	s		
lu		283500	283500	-			Beacons (aeronautical),  BMA,  Inductive applications,  Material Sensing,  ULP-AMI,  UWB applications
lu		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
lu		283500	283500	MARITIME RADIONAVIGATION (RADIOBEACONS)	p		
lu		283500	283500	Mobile	s		
lu		315000	315000	-			Beacons (aeronautical),  BMA,  Inductive applications,  Material Sensing,  ULP-AID,  UWB applications
lu		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
lu		315000	315000	Maritime Radionavigation (radiobeacons)	s		
lu		315000	315000	Mobile	s		
lu		325000	325000	-			Beacons (aeronautical),  BMA,  Inductive applications,  Material Sensing,  ULP-AID,  UWB applications
lu		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
lu		325000	325000	Mobile	s		
lu		405000	405000	-			BMA,  Inductive applications,  Material Sensing,  ULP-AID,  UWB applications
lu		405000	405000	Mobile	s		
lu		405000	405000	RADIONAVIGATION	p		
lu		415000	415000	-			BMA,  Inductive applications,  Material Sensing,  ULP-AID,  UWB applications
lu		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
lu		415000	415000	MARITIME MOBILE	p		
lu		415000	415000	Mobile	s		
lu		435000	435000	-			BMA,  Emergency detection,  Inductive applications,  Material Sensing,  ULP-AID,  UWB applications
lu		435000	435000	Aeronautical Radionavigation	s		
lu		435000	435000	MARITIME MOBILE	p		
lu		435000	435000	Mobile	s		
lu		472000	472000	-			Amateur,  BMA,  Inductive applications,  Material Sensing,  ULP-AID,  UWB applications
