region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
mn		0	0	-			
mn		0	0	NOT ALLOCATED	p		
mn		8300	8300	-			Lightning detection systems
mn		8300	8300	METEOROLOGICAL AIDS	p		
mn		9000	9000	-			ISM,  Active medical implants,  Lightning detection systems,  Inductive applications
mn		9000	9000	RADIONAVIGATION	p		
mn		9000	9000	METEOROLOGICAL AIDS	p		
mn		11300	11300	-			Inductive applications,  Active medical implants,  ISM
mn		11300	11300	RADIONAVIGATION	p		
mn		14000	14000	-			Inductive applications,  Defence systems,  Active medical implants
mn		14000	14000	FIXED	p		
mn		14000	14000	MARITIME MOBILE	p		
mn		19950	19950	-			
mn		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
mn		20050	20050	-			Active medical implants,  Defence systems,  Inductive applications
mn		20050	20050	MARITIME MOBILE	p		
mn		20050	20050	FIXED	p		
mn		70000	70000	-			Inductive applications,  Active medical implants
mn		70000	70000	RADIONAVIGATION	p		
mn		72000	72000	-			Active medical implants,  Inductive applications,  Defence systems,  Standard frequency and time signal
mn		72000	72000	RADIONAVIGATION	p		
mn		72000	72000	FIXED	p		
mn		72000	72000	MARITIME MOBILE	p		
mn		84000	84000	-			
mn		84000	84000	MARITIME MOBILE	p		
mn		84000	84000	FIXED	p		
mn		84000	84000	RADIONAVIGATION	p		
mn		84000	84000	-			Defence systems,  Inductive applications,  Active medical implants
mn		84000	84000		p		
mn		86000	86000	-			Active medical implants,  Defence systems,  Inductive applications
mn		86000	86000		p		
mn		90000	90000	-			Defence systems,  Inductive applications,  Active medical implants
mn		90000	90000	Fixed	s		
mn		90000	90000	RADIONAVIGATION	p		
mn		110000	110000	-			Active medical implants,  Defence systems,  Inductive applications
mn		110000	110000	FIXED	p		
mn		110000	110000	MARITIME MOBILE	p		
mn		110000	110000	RADIONAVIGATION	p		
mn		112000	112000	-			Inductive applications,  Defence systems,  Active medical implants
mn		112000	112000	RADIONAVIGATION	p		
mn		115000	115000	-			Defence systems,  Active medical implants,  Inductive applications
mn		115000	115000	Maritime Mobile	s		
mn		115000	115000	RADIONAVIGATION	p		
mn		115000	115000	Fixed	s		
mn		117600	117600	-			Defence systems,  Inductive applications,  Active medical implants
mn		117600	117600	FIXED	p		
mn		117600	117600	RADIONAVIGATION	p		
mn		117600	117600	MARITIME MOBILE	p		
mn		126000	126000	-			Active medical implants,  Defence systems,  Inductive applications
mn		126000	126000	RADIONAVIGATION	p		
mn		129000	129000	-			Defence systems,  Active medical implants,  Inductive applications
mn		129000	129000	RADIONAVIGATION	p		
mn		129000	129000	MARITIME MOBILE	p		
mn		129000	129000	FIXED	p		
mn		130000	130000	-			Active medical implants,  Defence systems,  Inductive applications
mn		130000	130000	MARITIME MOBILE	p		
mn		130000	130000	FIXED	p		
mn		135700	135700	-			Active medical implants,  Amateur,  Inductive applications,  Defence systems
mn		135700	135700	FIXED	p		
mn		135700	135700	MARITIME MOBILE	p		
mn		135700	135700	Amateur	s		
mn		137800	137800	-			Defence systems,  Inductive applications,  Active medical implants
mn		137800	137800	FIXED	p		
mn		137800	137800	MARITIME MOBILE	p		
mn		148500	148500	-			Active medical implants,  Broadcasting,  Inductive applications
mn		148500	148500	BROADCASTING	p		
mn		255000	255000	-			Broadcasting,  Beacons (aeronautical),  Inductive applications,  Active medical implants
mn		255000	255000	BROADCASTING	p		
mn		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
mn		283500	283500	-			Active medical implants,  Beacons (maritime),  Beacons (aeronautical),  Inductive applications
mn		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
mn		283500	283500	MARITIME RADIONAVIGATION	p		
mn		315000	315000	-			Inductive applications,  Beacons (aeronautical),  Active medical implants,  Beacons (maritime)
mn		315000	315000	Maritime Radionavigation	s		
mn		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
mn		325000	325000	-			Active medical implants,  Beacons (aeronautical),  Inductive applications
mn		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
mn		405000	405000	-			Inductive applications,  Active medical implants,  Beacons (aeronautical),  Beacons (maritime)
mn		405000	405000	RADIONAVIGATION	p		
mn		415000	415000	-			Maritime communications,  Beacons (aeronautical),  Active medical implants,  Inductive applications
mn		415000	415000	MARITIME MOBILE	p		
mn		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
mn		435000	435000	-			Tracking, tracing and data acquisition,  Active medical implants,  Maritime communications,  Inductive applications
mn		435000	435000	MARITIME MOBILE	p		
mn		435000	435000	Aeronautical Radionavigation	s		
mn		472000	472000	-			Amateur,  Inductive applications,  Maritime communications,  Active medical implants
mn		472000	472000	Aeronautical Radionavigation	s		
mn		472000	472000	MARITIME MOBILE	p		
mn		472000	472000	Amateur	s		
mn		479000	479000	-			NAVTEX,  Maritime communications,  Inductive applications,  Active medical implants
mn		479000	479000	Aeronautical Radionavigation	s		
mn		479000	479000	MARITIME MOBILE	p		
mn		495000	495000	-			Inductive applications,  Active medical implants
mn		495000	495000	MOBILE	p		
mn		505000	505000	-			Beacons (aeronautical),  NAVTEX,  Active medical implants,  Inductive applications,  Maritime communications
mn		505000	505000	MARITIME MOBILE	p		
mn		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
mn		526500	526500	-			Active medical implants,  Inductive applications,  Broadcasting
mn		526500	526500	BROADCASTING	p		
mn		1606500	1606500	-			Defence systems,  Radiodetermination applications,  Inductive applications,  Maritime communications
mn		1606500	1606500	FIXED	p		
mn		1606500	1606500	LAND MOBILE	p		
mn		1606500	1606500	MARITIME MOBILE	p		
mn		1606500	1606500	Radiolocation	s		
mn		1625000	1625000	-			Radiodetermination applications,  Inductive applications
mn		1625000	1625000	RADIOLOCATION	p		
mn		1635000	1635000	-			Defence systems,  Radiodetermination applications,  Inductive applications,  Maritime communications
mn		1635000	1635000	LAND MOBILE	p		
mn		1635000	1635000	FIXED	p		
mn		1635000	1635000	MARITIME MOBILE	p		
mn		1800000	1800000	-			Inductive applications,  Radiodetermination applications
mn		1800000	1800000	RADIOLOCATION	p		
mn		1810000	1810000	-			Amateur,  Inductive applications
mn		1810000	1810000	AMATEUR	p		
mn		1850000	1850000	-			Inductive applications,  Maritime communications,  Defence systems,  Radiodetermination applications,  Amateur
mn		1850000	1850000	FIXED	p		
mn		1850000	1850000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
mn		2000000	2000000	-			Radiodetermination applications,  Maritime communications,  Defence systems,  Inductive applications
mn		2000000	2000000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
mn		2000000	2000000	FIXED	p		
mn		2025000	2025000	-			Radiodetermination applications,  Defence systems,  Maritime communications,  Oceanographic buoys,  Inductive applications
mn		2025000	2025000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
mn		2025000	2025000	FIXED	p		
mn		2045000	2045000	-			Inductive applications,  Defence systems,  Maritime communications
mn		2045000	2045000	FIXED	p		
mn		2045000	2045000	LAND MOBILE	p		
mn		2045000	2045000	MARITIME MOBILE	p		
mn		2160000	2160000	-			Inductive applications,  Radiodetermination applications
mn		2160000	2160000	RADIOLOCATION	p		
mn		2170000	2170000	-			Maritime communications,  Inductive applications
mn		2170000	2170000	MARITIME MOBILE	p		
mn		2173500	2173500	-			DSC,  Inductive applications,  Maritime communications,  GMDSS
mn		2173500	2173500	MOBILE (DISTRESS AND CALLING)	p		
mn		2190500	2190500	-			Inductive applications,  Maritime communications
mn		2190500	2190500	MARITIME MOBILE	p		
mn		2194000	2194000	-			Defence systems,  Maritime communications,  Inductive applications,  Radiodetermination applications
mn		2194000	2194000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
mn		2194000	2194000	FIXED	p		
mn		2300000	2300000	-			Inductive applications,  Maritime communications,  Defence systems
mn		2300000	2300000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
mn		2300000	2300000	FIXED	p		
mn		2498000	2498000	-			Inductive applications
mn		2498000	2498000	STANDARD FREQUENCY AND TIME SIGNAL	p		
mn		2501000	2501000	-			Inductive applications
mn		2501000	2501000	STANDARD FREQUENCY AND TIME SIGNAL	p		
mn		2501000	2501000	Space Research	s		
mn		2502000	2502000	-			Inductive applications,  Radiodetermination applications,  Defence systems
mn		2502000	2502000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
mn		2502000	2502000	FIXED	p		
mn		2625000	2625000	-			Defence systems,  Maritime communications,  Inductive applications
mn		2625000	2625000	MARITIME RADIONAVIGATION	p		
mn		2625000	2625000	MARITIME MOBILE	p		
mn		2650000	2650000	-			Inductive applications,  Radiodetermination applications,  Defence systems
mn		2650000	2650000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
mn		2650000	2650000	FIXED	p		
mn		2850000	2850000	-			Aeronautical communications,  SAR (communications),  Inductive applications
mn		2850000	2850000	AERONAUTICAL MOBILE (R)	p		
mn		3025000	3025000	-			Inductive applications,  Aeronautical communications
mn		3025000	3025000	AERONAUTICAL MOBILE (OR)	p		
mn		3155000	3155000	-			Maritime communications,  Inductive applications,  Defence systems
mn		3155000	3155000	FIXED	p		
mn		3155000	3155000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
mn		3200000	3200000	-			Maritime communications,  Inductive applications,  Defence systems
mn		3200000	3200000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
mn		3200000	3200000	FIXED	p		
mn		3230000	3230000	-			Maritime communications,  Inductive applications,  Defence systems
mn		3230000	3230000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
mn		3230000	3230000	FIXED	p		
mn		3400000	3400000	-			Aeronautical communications,  Inductive applications
mn		3400000	3400000	AERONAUTICAL MOBILE (R)	p		
mn		3500000	3500000	-			Amateur,  Maritime communications,  Defence systems,  Inductive applications
mn		3500000	3500000	FIXED	p		
mn		3500000	3500000	AMATEUR	p		
mn		3500000	3500000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
mn		3800000	3800000	-			Inductive applications,  Aeronautical communications
mn		3800000	3800000	AERONAUTICAL MOBILE (OR)	p		
mn		3800000	3800000	FIXED	p		
mn		3800000	3800000	LAND MOBILE	p		
mn		3900000	3900000	-			Inductive applications,  Aeronautical communications
mn		3900000	3900000	AERONAUTICAL MOBILE (OR)	p		
mn		3950000	3950000	-			Defence systems,  Inductive applications,  Broadcasting
mn		3950000	3950000	FIXED	p		
mn		3950000	3950000	BROADCASTING	p		
mn		4000000	4000000	-			Maritime communications,  Inductive applications
mn		4000000	4000000	MARITIME MOBILE	p		
mn		4000000	4000000	FIXED	p		
mn		4063000	4063000	-			MSI,  GMDSS,  Inductive applications,  NAVTEX,  Railway applications,  Maritime communications,  DSC
