region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
mo		9000	9000	-			Inductive applications,  Medical implants
mo		9000	9000	RADIONAVIGATION	p		
mo		14000	14000	-			Medical implants,  Inductive applications
mo		14000	14000	FIXED	p		
mo		19950	19950	-			Medical implants
mo		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL (20 KHZ)	p		
mo		20050	20050	-			Medical implants,  Inductive applications
mo		20050	20050	FIXED	p		
mo		70000	70000	-			Inductive applications,  Medical implants
mo		70000	70000	RADIONAVIGATION	p		
mo		72000	72000	-			Medical implants,  Inductive applications,  Standard frequency and time signal
mo		72000	72000	FIXED	p		
mo		72000	72000	RADIONAVIGATION	p		
mo		84000	84000	-			Inductive applications,  Medical implants
mo		84000	84000	RADIONAVIGATION	p		
mo		86000	86000	-			Medical implants,  Inductive applications
mo		86000	86000	FIXED	p		
mo		86000	86000	RADIONAVIGATION	p		
mo		90000	90000	-			Inductive applications,  Loran C,  Medical implants
mo		90000	90000	RADIONAVIGATION	p		
mo		90000	90000	Fixed	s		
mo		110000	110000	-			Medical implants,  Inductive applications
mo		110000	110000	FIXED	p		
mo		110000	110000	RADIONAVIGATION	p		
mo		112000	112000	-			Inductive applications,  Medical implants
mo		112000	112000	RADIONAVIGATION	p		
mo		115000	115000	-			Medical implants,  Inductive applications
mo		115000	115000	RADIONAVIGATION	p		
mo		115000	115000	Fixed	s		
mo		117600	117600	-			Inductive applications,  Medical implants
mo		117600	117600	FIXED	p		
mo		117600	117600	RADIONAVIGATION	p		
mo		126000	126000	-			Medical implants,  Inductive applications
mo		126000	126000	RADIONAVIGATION	p		
mo		129000	129000	-			Inductive applications,  Medical implants
mo		129000	129000	FIXED	p		
mo		129000	129000	RADIONAVIGATION	p		
mo		130000	130000	-			Medical implants,  Inductive applications,  Amateur
mo		130000	130000	FIXED	p		
mo		148500	148500	-			Inductive applications,  Medical implants
mo		148500	148500	BROADCASTING	p		
mo		255000	255000	-			Medical implants,  Inductive applications
mo		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
mo		255000	255000	BROADCASTING	p		
mo		283500	283500	-			Inductive applications,  Medical implants
mo		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
