region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
mt		8300	11300	-			Lightning detection systems
mt		8300	11300		p		
mt		8300	9000	-			
mt		8300	9000	METEOROLOGICAL AIDS	p		
mt		9000	5000000	-			Inductive applications
mt		9000	5000000		p		
mt		9000	315000	-			Active medical implants
mt		9000	315000		p		
mt		9000	11300	-			
mt		9000	11300	RADIONAVIGATION	p		
mt		9000	11300	METEOROLOGICAL AIDS	p		
mt		11300	14000	-			
mt		11300	14000	RADIONAVIGATION	p		
mt		14000	19950	-			Private fixed networks,  Maritime communications
mt		14000	19950	MARITIME MOBILE	p		
mt		14000	19950	FIXED	p		
mt		19950	20050	-			Standard frequency and time signal
mt		19950	20050	STANDARD FREQUENCY AND TIME SIGNAL (20 KHZ)	p		
mt		20050	70000	-			Maritime communications,  Private fixed networks
mt		20050	70000	MARITIME MOBILE	p		
mt		20050	70000	FIXED	p		
mt		70000	72000	-			
mt		70000	72000	RADIONAVIGATION	p		
mt		72000	84000	-			Private fixed networks,  Maritime communications
mt		72000	84000	FIXED	p		
mt		72000	84000	MARITIME MOBILE	p		
mt		72000	84000	RADIONAVIGATION	p		
mt		84000	86000	-			
mt		84000	86000	RADIONAVIGATION	p		
mt		86000	90000	-			Maritime communications,  Private fixed networks
mt		86000	90000	MARITIME MOBILE	p		
mt		86000	90000	RADIONAVIGATION	p		
mt		86000	90000	FIXED	p		
mt		90000	110000	-			Private fixed networks
mt		90000	110000	Fixed	s		
mt		90000	110000	RADIONAVIGATION	p		
mt		110000	112000	-			Private fixed networks,  Maritime communications
mt		110000	112000	MARITIME MOBILE	p		
mt		110000	112000	RADIONAVIGATION	p		
mt		110000	112000	FIXED	p		
mt		112000	115000	-			
mt		112000	115000	RADIONAVIGATION	p		
mt		115000	126000	-			Maritime communications,  Private fixed networks
mt		115000	126000		p		
mt		115000	117600	-			
mt		115000	117600	Fixed	s		
mt		115000	117600	Maritime Mobile	s		
mt		115000	117600	RADIONAVIGATION	p		
mt		117600	126000	-			
mt		117600	126000	MARITIME MOBILE	p		
mt		117600	126000	RADIONAVIGATION	p		
mt		117600	126000	FIXED	p		
mt		126000	129000	-			
mt		126000	129000	RADIONAVIGATION	p		
mt		129000	148500	-			Private fixed networks,  Maritime communications
mt		129000	148500		p		
mt		129000	130000	-			
mt		129000	130000	FIXED	p		
mt		129000	130000	MARITIME MOBILE	p		
mt		129000	130000	RADIONAVIGATION	p		
mt		130000	135700	-			
mt		130000	135700	MARITIME MOBILE	p		
mt		130000	135700	FIXED	p		
mt		135700	137800	-			Amateur
mt		135700	137800	MARITIME MOBILE	p		
mt		135700	137800	Amateur	s		
mt		135700	137800	FIXED	p		
mt		137800	148500	-			
mt		137800	148500	MARITIME MOBILE	p		
mt		137800	148500	FIXED	p		
mt		148500	283500	-			Broadcasting
mt		148500	283500		p		
mt		148500	255000	-			
mt		148500	255000	BROADCASTING	p		
mt		255000	325000	-			Aeronautical navigation
mt		255000	325000		p		
mt		255000	283500	-			
mt		255000	283500	BROADCASTING	p		
mt		255000	283500	AERONAUTICAL RADIONAVIGATION	p		
mt		283500	325000	-			Beacons (maritime)
mt		283500	325000		p		
mt		283500	315000	-			
mt		283500	315000	MARITIME RADIONAVIGATION (RADIOBEACONS)	p		
mt		283500	315000	AERONAUTICAL RADIONAVIGATION	p		
mt		315000	600000	-			Active medical implants
mt		315000	600000		p		
mt		315000	325000	-			
mt		315000	325000	Maritime Radionavigation (radiobeacons)	s		
mt		315000	325000	AERONAUTICAL RADIONAVIGATION	p		
mt		325000	405000	-			Beacons (aeronautical)
mt		325000	405000	AERONAUTICAL RADIONAVIGATION	p		
mt		400000	600000	-			RFID
mt		400000	600000		p		
mt		405000	415000	-			Aeronautical navigation,  Maritime navigation
mt		405000	415000	RADIONAVIGATION	p		
mt		415000	495000	-			Maritime communications,  Aeronautical navigation
mt		415000	495000		p		
mt		415000	435000	-			
mt		415000	435000	MARITIME MOBILE	p		
mt		415000	435000	AERONAUTICAL RADIONAVIGATION	p		
mt		435000	472000	-			
mt		435000	472000	MARITIME MOBILE	p		
mt		435000	472000	Aeronautical Radionavigation	s		
mt		456900	457100	-			Non-specific SRDs
mt		456900	457100		p		
mt		472000	479000	-			Amateur
mt		472000	479000	Amateur	s		
mt		472000	479000	Aeronautical Radionavigation	s		
mt		472000	479000	MARITIME MOBILE	p		
mt		479000	495000	-			NAVTEX
mt		479000	495000	MARITIME MOBILE	p		
mt		479000	495000	Aeronautical Radionavigation	s		
mt		495000	505000	-			
mt		495000	505000	MOBILE	p		
mt		505000	526500	-			NAVTEX,  Maritime communications,  Aeronautical navigation
mt		505000	526500	MARITIME MOBILE	p		
mt		505000	526500	AERONAUTICAL RADIONAVIGATION	p		
mt		526500	1606500	-			Broadcasting
mt		526500	1606500	BROADCASTING	p		
mt		984000	7484000	-			TTT
mt		984000	7484000		p		
mt		1606500	1635000	-			Radiolocation (civil)
mt		1606500	1635000		p		
mt		1606500	1625000	-			Private fixed networks,  Land mobile,  Maritime communications
mt		1606500	1625000	MARITIME MOBILE	p		
mt		1606500	1625000	LAND MOBILE	p		
mt		1606500	1625000	Radiolocation	s		
mt		1606500	1625000	FIXED	p		
mt		1625000	1635000	-			
mt		1625000	1635000	RADIOLOCATION	p		
mt		1635000	1800000	-			Maritime communications,  Land mobile,  Private fixed networks
mt		1635000	1800000	LAND MOBILE	p		
mt		1635000	1800000	MARITIME MOBILE	p		
mt		1635000	1800000	FIXED	p		
mt		1800000	1810000	-			Radiolocation (civil)
mt		1800000	1810000	RADIOLOCATION	p		
mt		1810000	2000000	-			Amateur
mt		1810000	2000000		p		
mt		1810000	1850000	-			
mt		1810000	1850000	AMATEUR	p		
mt		1850000	2160000	-			Private fixed networks
mt		1850000	2160000		p		
mt		1850000	2000000	-			Maritime communications
mt		1850000	2000000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
mt		1850000	2000000	Amateur	s		
mt		1850000	2000000	FIXED	p		
mt		2000000	2045000	-			Maritime communications
mt		2000000	2045000		p		
mt		2000000	2025000	-			
mt		2000000	2025000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
mt		2000000	2025000	FIXED	p		
mt		2025000	2045000	-			
