region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
mt		8300	8300	-			Lightning detection systems
mt		8300	8300		p		
mt		8300	8300	-			
mt		8300	8300	METEOROLOGICAL AIDS	p		
mt		9000	9000	-			Inductive applications
mt		9000	9000		p		
mt		9000	9000	-			Active medical implants
mt		9000	9000		p		
mt		9000	9000	-			
mt		9000	9000	RADIONAVIGATION	p		
mt		9000	9000	METEOROLOGICAL AIDS	p		
mt		11300	11300	-			
mt		11300	11300	RADIONAVIGATION	p		
mt		14000	14000	-			Private fixed networks,  Maritime communications
mt		14000	14000	MARITIME MOBILE	p		
mt		14000	14000	FIXED	p		
mt		19950	19950	-			Standard frequency and time signal
mt		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL (20 KHZ)	p		
mt		20050	20050	-			Maritime communications,  Private fixed networks
mt		20050	20050	MARITIME MOBILE	p		
mt		20050	20050	FIXED	p		
mt		70000	70000	-			
mt		70000	70000	RADIONAVIGATION	p		
mt		72000	72000	-			Private fixed networks,  Maritime communications
mt		72000	72000	FIXED	p		
mt		72000	72000	MARITIME MOBILE	p		
mt		72000	72000	RADIONAVIGATION	p		
mt		84000	84000	-			
mt		84000	84000	RADIONAVIGATION	p		
mt		86000	86000	-			Maritime communications,  Private fixed networks
mt		86000	86000	MARITIME MOBILE	p		
mt		86000	86000	RADIONAVIGATION	p		
mt		86000	86000	FIXED	p		
mt		90000	90000	-			Private fixed networks
mt		90000	90000	Fixed	s		
mt		90000	90000	RADIONAVIGATION	p		
mt		110000	110000	-			Private fixed networks,  Maritime communications
mt		110000	110000	MARITIME MOBILE	p		
mt		110000	110000	RADIONAVIGATION	p		
mt		110000	110000	FIXED	p		
mt		112000	112000	-			
mt		112000	112000	RADIONAVIGATION	p		
mt		115000	115000	-			Maritime communications,  Private fixed networks
mt		115000	115000		p		
mt		115000	115000	-			
mt		115000	115000	Fixed	s		
mt		115000	115000	Maritime Mobile	s		
mt		115000	115000	RADIONAVIGATION	p		
mt		117600	117600	-			
mt		117600	117600	MARITIME MOBILE	p		
mt		117600	117600	RADIONAVIGATION	p		
mt		117600	117600	FIXED	p		
mt		126000	126000	-			
mt		126000	126000	RADIONAVIGATION	p		
mt		129000	129000	-			Private fixed networks,  Maritime communications
mt		129000	129000		p		
mt		129000	129000	-			
mt		129000	129000	FIXED	p		
mt		129000	129000	MARITIME MOBILE	p		
mt		129000	129000	RADIONAVIGATION	p		
mt		130000	130000	-			
mt		130000	130000	MARITIME MOBILE	p		
mt		130000	130000	FIXED	p		
mt		135700	135700	-			Amateur
mt		135700	135700	MARITIME MOBILE	p		
mt		135700	135700	Amateur	s		
mt		135700	135700	FIXED	p		
mt		137800	137800	-			
mt		137800	137800	MARITIME MOBILE	p		
mt		137800	137800	FIXED	p		
mt		148500	148500	-			Broadcasting
mt		148500	148500		p		
mt		148500	148500	-			
mt		148500	148500	BROADCASTING	p		
mt		255000	255000	-			Aeronautical navigation
mt		255000	255000		p		
mt		255000	255000	-			
mt		255000	255000	BROADCASTING	p		
mt		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
mt		283500	283500	-			Beacons (maritime)
mt		283500	283500		p		
mt		283500	283500	-			
mt		283500	283500	MARITIME RADIONAVIGATION (RADIOBEACONS)	p		
mt		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
mt		315000	315000	-			Active medical implants
mt		315000	315000		p		
mt		315000	315000	-			
mt		315000	315000	Maritime Radionavigation (radiobeacons)	s		
mt		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
mt		325000	325000	-			Beacons (aeronautical)
mt		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
mt		400000	400000	-			RFID
mt		400000	400000		p		
mt		405000	405000	-			Aeronautical navigation,  Maritime navigation
mt		405000	405000	RADIONAVIGATION	p		
mt		415000	415000	-			Maritime communications,  Aeronautical navigation
mt		415000	415000		p		
mt		415000	415000	-			
mt		415000	415000	MARITIME MOBILE	p		
mt		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
mt		435000	435000	-			
mt		435000	435000	MARITIME MOBILE	p		
mt		435000	435000	Aeronautical Radionavigation	s		
