region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
nl		0	0	-			
nl		0	0	NOT ALLOCATED	p		
nl		8300	8300	-			
nl		8300	8300	METEOROLOGICAL AIDS	p		
nl		9000	9000	-			
nl		9000	9000	METEOROLOGICAL AIDS	p		
nl		9000	9000	Mobile	s		
nl		9000	9000	RADIONAVIGATION	p		
nl		11300	11300	-			
nl		11300	11300	Mobile	s		
nl		11300	11300	RADIONAVIGATION	p		
nl		14000	14000	-			
nl		14000	14000	Mobile	s		
nl		19950	19950	-			
nl		19950	19950	Mobile	s		
nl		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
nl		20050	20050	-			
nl		20050	20050	Mobile	s		
nl		70000	70000	-			
nl		70000	70000	Mobile	s		
nl		70000	70000	RADIONAVIGATION	p		
nl		72000	72000	-			
nl		72000	72000	Mobile	s		
nl		72000	72000	RADIONAVIGATION	p		
nl		84000	84000	-			
nl		84000	84000	Mobile	s		
nl		84000	84000	RADIONAVIGATION	p		
nl		86000	86000	-			
nl		86000	86000	Mobile	s		
nl		86000	86000	RADIONAVIGATION	p		
nl		90000	90000	-			
nl		90000	90000	Mobile	s		
nl		90000	90000	RADIONAVIGATION	p		
nl		110000	110000	-			
nl		110000	110000	Mobile	s		
nl		110000	110000	RADIONAVIGATION	p		
nl		112000	112000	-			
nl		112000	112000	Mobile	s		
nl		112000	112000	RADIONAVIGATION	p		
nl		115000	115000	-			
nl		115000	115000	Mobile	s		
nl		115000	115000	RADIONAVIGATION	p		
nl		117600	117600	-			
nl		117600	117600	Mobile	s		
nl		117600	117600	RADIONAVIGATION	p		
nl		126000	126000	-			
nl		126000	126000	Mobile	s		
nl		126000	126000	RADIONAVIGATION	p		
nl		129000	129000	-			
nl		129000	129000	Mobile	s		
nl		129000	129000	RADIONAVIGATION	p		
nl		130000	130000	-			
nl		130000	130000	MARITIME MOBILE	p		
nl		130000	130000	Mobile	s		
nl		135700	135700	-			
nl		135700	135700	Amateur	s		
nl		135700	135700	MARITIME MOBILE	p		
nl		135700	135700	Mobile	s		
nl		137800	137800	-			
nl		137800	137800	MARITIME MOBILE	p		
nl		137800	137800	Mobile	s		
nl		148500	148500	-			
nl		148500	148500	BROADCASTING	p		
nl		148500	148500	Mobile	s		
nl		255000	255000	-			
nl		255000	255000	BROADCASTING	p		
nl		255000	255000	Mobile	s		
nl		283500	283500	-			
nl		283500	283500	MARITIME RADIONAVIGATION	p		
nl		283500	283500	Mobile	s		
nl		283500	283500	Radiolocation	s		
nl		315000	315000	-			
nl		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
nl		315000	315000	Maritime Radionavigation	s		
nl		325000	325000	-			
nl		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
nl		405000	405000	-			
nl		405000	405000	RADIONAVIGATION	p		
nl		415000	415000	-			
nl		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
nl		435000	435000	-			
nl		435000	435000	Aeronautical Radionavigation	s		
nl		435000	435000	MARITIME MOBILE	p		
nl		435000	435000	Mobile	s		
nl		472000	472000	-			
nl		472000	472000	Aeronautical Radionavigation	s		
nl		472000	472000	Amateur	s		
nl		472000	472000	MARITIME MOBILE	p		
nl		479000	479000	-			
nl		479000	479000	Aeronautical Radionavigation	s		
nl		479000	479000	MARITIME MOBILE	p		
nl		495000	495000	-			
nl		495000	495000	MARITIME MOBILE	p		
nl		505000	505000	-			
nl		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
nl		505000	505000	MARITIME MOBILE	p		
nl		526500	526500	-			
nl		526500	526500	BROADCASTING	p		
nl		1606500	1606500	-			
nl		1606500	1606500	MARITIME MOBILE	p		
nl		1625000	1625000	-			
nl		1625000	1625000	RADIOLOCATION	p		
nl		1635000	1635000	-			
nl		1635000	1635000	MARITIME MOBILE	p		
nl		1800000	1800000	-			
nl		1800000	1800000	RADIOLOCATION	p		
nl		1810000	1810000	-			
nl		1810000	1810000	AMATEUR	p		
nl		1850000	1850000	-			
nl		1850000	1850000	Amateur	s		
nl		1850000	1850000	FIXED	p		
nl		1850000	1850000	MOBILE	p		
nl		1880000	1880000	-			
nl		1880000	1880000	FIXED	p		
nl		1880000	1880000	MOBILE	p		
nl		2000000	2000000	-			
nl		2000000	2000000	FIXED	p		
nl		2000000	2000000	MOBILE	p		
nl		2025000	2025000	-			
nl		2025000	2025000	FIXED	p		
nl		2025000	2025000	MOBILE	p		
nl		2045000	2045000	-			
nl		2045000	2045000	FIXED	p		
nl		2045000	2045000	LAND MOBILE	p		
nl		2045000	2045000	MARITIME MOBILE	p		
nl		2160000	2160000	-			
nl		2160000	2160000	RADIOLOCATION	p		
nl		2170000	2170000	-			
nl		2170000	2170000	MARITIME MOBILE	p		
nl		2173500	2173500	-			
nl		2173500	2173500	MOBILE (DISTRESS AND CALLING)	p		
nl		2190500	2190500	-			
nl		2190500	2190500	MARITIME MOBILE	p		
nl		2194000	2194000	-			
nl		2194000	2194000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
nl		2300000	2300000	-			
nl		2300000	2300000	MOBILE	p		
nl		2498000	2498000	-			
nl		2498000	2498000	STANDARD FREQUENCY AND TIME SIGNAL	p		
nl		2501000	2501000	-			
nl		2501000	2501000	STANDARD FREQUENCY AND TIME SIGNAL	p		
nl		2502000	2502000	-			
nl		2502000	2502000	MARITIME MOBILE	p		
nl		2625000	2625000	-			
nl		2625000	2625000	MARITIME MOBILE	p		
nl		2625000	2625000	MARITIME RADIONAVIGATION	p		
nl		2650000	2650000	-			
nl		2650000	2650000	FIXED	p		
nl		2650000	2650000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
nl		2850000	2850000	-			
nl		2850000	2850000	AERONAUTICAL MOBILE (R)	p		
nl		3025000	3025000	-			
nl		3025000	3025000	AERONAUTICAL MOBILE (OR)	p		
nl		3155000	3155000	-			
nl		3155000	3155000	MARITIME MOBILE	p		
nl		3200000	3200000	-			
nl		3200000	3200000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
nl		3230000	3230000	-			
nl		3230000	3230000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
nl		3400000	3400000	-			
nl		3400000	3400000	AERONAUTICAL MOBILE (R)	p		
nl		3500000	3500000	-			
nl		3500000	3500000	AMATEUR	p		
nl		3500000	3500000	FIXED	p		
nl		3500000	3500000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
nl		3800000	3800000	-			
nl		3800000	3800000	AERONAUTICAL MOBILE (OR)	p		
nl		3800000	3800000	FIXED	p		
nl		3800000	3800000	LAND MOBILE	p		
nl		3900000	3900000	-			
nl		3900000	3900000	AERONAUTICAL MOBILE (OR)	p		
nl		3950000	3950000	-			
nl		3950000	3950000	Broadcasting	s		
nl		3950000	3950000	FIXED	p		
nl		4000000	4000000	-			
nl		4000000	4000000	MARITIME MOBILE	p		
nl		4063000	4063000	-			
nl		4063000	4063000	MARITIME MOBILE	p		
nl		4438000	4438000	-			
nl		4438000	4438000	FIXED	p		
nl		4438000	4438000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
nl		4438000	4438000	Radiolocation	s		
nl		4488000	4488000	-			
nl		4488000	4488000	FIXED	p		
nl		4488000	4488000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
nl		4650000	4650000	-			
nl		4650000	4650000	AERONAUTICAL MOBILE (R)	p		
nl		4700000	4700000	-			
nl		4700000	4700000	AERONAUTICAL MOBILE (OR)	p		
nl		4750000	4750000	-			
nl		4750000	4750000	AERONAUTICAL MOBILE (OR)	p		
nl		4750000	4750000	FIXED	p		
nl		4750000	4750000	LAND MOBILE	p		
nl		4850000	4850000	-			
nl		4850000	4850000	FIXED	p		
nl		4850000	4850000	LAND MOBILE	p		
nl		4995000	4995000	-			
nl		4995000	4995000	STANDARD FREQUENCY AND TIME SIGNAL	p		
nl		5003000	5003000	-			
nl		5003000	5003000	STANDARD FREQUENCY AND TIME SIGNAL	p		
nl		5003000	5003000	Space Research	s		
nl		5005000	5005000	-			
nl		5005000	5005000	FIXED	p		
nl		5005000	5005000	LAND MOBILE	p		
