region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
pl		3000	3000	-			
pl		3000	3000	NOT ALLOCATED	p		
pl		9000	9000	-			Medical implants
pl		9000	9000		p		
pl		9000	9000	-			Inductive applications
pl		9000	9000		p		
pl		9000	9000	-			Defence systems
pl		9000	9000	RADIONAVIGATION	p		
pl		14000	14000	-			Defence systems,  Maritime communications
pl		14000	14000	FIXED	p		
pl		14000	14000	MARITIME MOBILE	p		
pl		19950	19950	-			Standard frequency and time signal
pl		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
pl		20050	20050	-			Maritime communications
pl		20050	20050	FIXED	p		
pl		20050	20050	MARITIME MOBILE	p		
pl		70000	70000	-			Inductive applications
pl		70000	70000		p		
pl		70000	70000	-			Maritime military systems
pl		70000	70000	RADIONAVIGATION	p		
pl		72000	72000	-			Maritime military systems
pl		72000	72000	FIXED	p		
pl		72000	72000	MARITIME MOBILE	p		
pl		72000	72000	RADIONAVIGATION	p		
pl		84000	84000	-			Maritime military systems
pl		84000	84000	RADIONAVIGATION	p		
pl		86000	86000	-			Maritime military systems
pl		86000	86000	FIXED	p		
pl		86000	86000	MARITIME MOBILE	p		
pl		86000	86000	RADIONAVIGATION	p		
pl		90000	90000	-			Maritime military systems
pl		90000	90000	Fixed	s		
pl		90000	90000	MARITIME MOBILE	p		
pl		110000	110000	-			Inductive applications
pl		110000	110000	FIXED	p		
pl		110000	110000	MARITIME MOBILE	p		
pl		110000	110000	RADIONAVIGATION	p		
pl		112000	112000	-			Maritime military systems
pl		112000	112000	RADIONAVIGATION	p		
pl		115000	115000	-			Inductive applications
pl		115000	115000	Fixed	s		
pl		115000	115000	Maritime Mobile	s		
pl		115000	115000	RADIONAVIGATION	p		
pl		117600	117600	-			Maritime military systems
pl		117600	117600	FIXED	p		
pl		117600	117600	MARITIME MOBILE	p		
pl		117600	117600	RADIONAVIGATION	p		
pl		126000	126000	-			Inductive applications
pl		126000	126000	RADIONAVIGATION	p		
pl		129000	129000	-			Maritime military systems
pl		129000	129000	FIXED	p		
pl		129000	129000	MARITIME MOBILE	p		
pl		129000	129000	RADIONAVIGATION	p		
pl		130000	130000	-			
pl		130000	130000	FIXED	p		
pl		130000	130000	MARITIME MOBILE	p		
pl		148500	148500	-			AM sound analogue
pl		148500	148500	BROADCASTING	p		
pl		255000	255000	-			Aeronautical military systems,  AM sound analogue
pl		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
pl		255000	255000	BROADCASTING	p		
pl		283500	283500	-			Aeronautical military systems,  Beacons (aeronautical),  Beacons (maritime),  D-GPS,  Maritime military systems
pl		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
pl		283500	283500	MARITIME RADIONAVIGATION	p		
pl		315000	315000	-			Medical implants
pl		315000	315000		p		
pl		315000	315000	-			Aeronautical military systems,  Beacons (aeronautical),  Maritime military systems
pl		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
pl		315000	315000	Maritime Radionavigation	s		
pl		325000	325000	-			Aeronautical military systems,  Beacons (aeronautical)
pl		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
pl		405000	405000	-			Aeronautical military systems,  Beacons (aeronautical)
pl		405000	405000	RADIONAVIGATION	p		
pl		415000	415000	-			Aeronautical military systems,  Beacons (aeronautical),  Maritime communications
pl		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
pl		415000	415000	MARITIME MOBILE	p		
pl		435000	435000	-			Aeronautical military systems,  Beacons (aeronautical),  Maritime navigation
pl		435000	435000	Aeronautical Radionavigation	s		
pl		435000	435000	MARITIME MOBILE	p		
pl		456900	456900	-			Detection of movement and alert
pl		456900	456900		p		
pl		495000	495000	-			Maritime communications
pl		495000	495000	MOBILE (DISTRESS AND CALLING)	p		
pl		505000	505000	-			Aeronautical military systems,  Beacons (aeronautical),  Maritime navigation
pl		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
pl		505000	505000	MARITIME MOBILE	p		
pl		526500	526500	-			AM sound analogue,  Beacons (aeronautical)
pl		526500	526500	BROADCASTING	p		
pl		1606500	1606500	-			Land military systems,  Maritime military systems
pl		1606500	1606500	FIXED	p		
pl		1606500	1606500	LAND MOBILE	p		
pl		1606500	1606500	MARITIME MOBILE	p		
pl		1625000	1625000	-			Land military systems,  Maritime communications,  Maritime military systems
pl		1625000	1625000	FIXED	p		
pl		1625000	1625000	LAND MOBILE	p		
pl		1625000	1625000	RADIOLOCATION	p		
pl		1635000	1635000	-			Land military systems,  Maritime communications
pl		1635000	1635000	FIXED	p		
pl		1635000	1635000	LAND MOBILE	p		
pl		1635000	1635000	MARITIME MOBILE	p		
pl		1800000	1800000	-			Land military systems,  Radiolocation (military)
pl		1800000	1800000	FIXED	p		
pl		1800000	1800000	LAND MOBILE	p		
pl		1800000	1800000	RADIOLOCATION	p		
pl		1810000	1810000	-			Amateur
pl		1810000	1810000	AMATEUR	p		
pl		1850000	1850000	-			
pl		1850000	1850000	AMATEUR	p		
pl		1850000	1850000	FIXED	p		
pl		1850000	1850000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
pl		1850000	1850000	-			Amateur
pl		1850000	1850000		p		
pl		1980000	1980000	-			Land military systems,  Maritime military systems
pl		1980000	1980000		p		
pl		2000000	2000000	-			Land military systems,  Maritime military systems
pl		2000000	2000000	FIXED	p		
pl		2000000	2000000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
pl		2025000	2025000	-			Land military systems,  Maritime military systems
pl		2025000	2025000	FIXED	p		
pl		2025000	2025000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
pl		2045000	2045000	-			Land military systems,  Maritime communications
pl		2045000	2045000	FIXED	p		
pl		2045000	2045000	LAND MOBILE	p		
pl		2045000	2045000	MARITIME MOBILE	p		
pl		2160000	2160000	-			Land military systems
pl		2160000	2160000	FIXED	p		
pl		2160000	2160000	LAND MOBILE	p		
pl		2160000	2160000	RADIOLOCATION	p		
pl		2170000	2170000	-			Maritime communications
pl		2170000	2170000	MARITIME MOBILE	p		
pl		2173500	2173500	-			DSC,  SAR (communications)
pl		2173500	2173500	MOBILE (DISTRESS AND CALLING)	p		
pl		2190500	2190500	-			Maritime communications
pl		2190500	2190500	MARITIME MOBILE	p		
pl		2194000	2194000	-			Land military systems,  Maritime military systems
pl		2194000	2194000	FIXED	p		
pl		2194000	2194000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
pl		2300000	2300000	-			Fixed radio relay (military),  Land military systems
pl		2300000	2300000	FIXED	p		
pl		2300000	2300000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
pl		2498000	2498000	-			Standard frequency and time signal
pl		2498000	2498000	STANDARD FREQUENCY AND TIME SIGNAL	p		
pl		2501000	2501000	-			Standard frequency and time signal
pl		2501000	2501000	Space Research	s		
pl		2501000	2501000	STANDARD FREQUENCY AND TIME SIGNAL	p		
pl		2502000	2502000	-			Land military systems,  Maritime communications,  Maritime military systems
pl		2502000	2502000	FIXED	p		
pl		2502000	2502000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
pl		2625000	2625000	-			Maritime communications,  Maritime military systems
pl		2625000	2625000	MARITIME MOBILE	p		
pl		2625000	2625000	MARITIME RADIONAVIGATION	p		
pl		2650000	2650000	-			Land military systems,  Maritime communications,  Maritime military systems
pl		2650000	2650000	FIXED	p		
pl		2650000	2650000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
pl		2850000	2850000	-			Aeronautical military systems,  SAR (communications)
pl		2850000	2850000	AERONAUTICAL MOBILE (R)	p		
pl		3025000	3025000	-			Aeronautical military systems
pl		3025000	3025000	AERONAUTICAL MOBILE (OR)	p		
pl		3155000	3155000	-			Inductive applications,  Land military systems,  Maritime military systems
pl		3155000	3155000	FIXED	p		
pl		3155000	3155000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
pl		3200000	3200000	-			Inductive applications,  Land military systems,  Maritime military systems
pl		3200000	3200000	FIXED	p		
pl		3200000	3200000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
pl		3230000	3230000	-			Inductive applications,  Land military systems,  Maritime military systems,  Point-to-Multipoint
pl		3230000	3230000	FIXED	p		
pl		3230000	3230000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
pl		3400000	3400000	-			Aeronautical military systems
pl		3400000	3400000	AERONAUTICAL MOBILE (R)	p		
pl		3500000	3500000	-			Amateur,  Land military systems,  Maritime military systems
pl		3500000	3500000	AMATEUR	p		
pl		3500000	3500000	FIXED	p		
pl		3500000	3500000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
pl		3800000	3800000	-			Aeronautical military systems,  Land military systems
pl		3800000	3800000	AERONAUTICAL MOBILE (OR)	p		
pl		3800000	3800000	FIXED	p		
pl		3800000	3800000	LAND MOBILE	p		
pl		3900000	3900000	-			Aeronautical military systems
pl		3900000	3900000	AERONAUTICAL MOBILE (OR)	p		
pl		3950000	3950000	-			Land military systems
pl		3950000	3950000	BROADCASTING	p		
pl		3950000	3950000	FIXED	p		
pl		4000000	4000000	-			Land military systems,  Maritime communications,  Maritime military systems,  Point-to-Multipoint
pl		4000000	4000000	FIXED	p		
pl		4000000	4000000	MARITIME MOBILE	p		
pl		4063000	4063000	-			Land military systems,  Maritime communications,  Maritime military systems,  MSI
pl		4063000	4063000	FIXED	p		
pl		4063000	4063000	MARITIME MOBILE	p		
pl		4438000	4438000	-			Land military systems,  Maritime military systems,  Point-to-Point
pl		4438000	4438000	FIXED	p		
pl		4438000	4438000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
pl		4514900	4514900	-			Euroloop
pl		4514900	4514900		p		
pl		4650000	4650000	-			Aeronautical military systems
pl		4650000	4650000	AERONAUTICAL MOBILE (R)	p		
pl		4700000	4700000	-			Aeronautical military systems
pl		4700000	4700000	AERONAUTICAL MOBILE (OR)	p		
pl		4750000	4750000	-			Aeronautical military systems,  Land military systems
pl		4750000	4750000	AERONAUTICAL MOBILE (OR)	p		
pl		4750000	4750000	FIXED	p		
pl		4750000	4750000	LAND MOBILE	p		
pl		4850000	4850000	-			Land military systems,  Point-to-Multipoint
pl		4850000	4850000	FIXED	p		
pl		4850000	4850000	LAND MOBILE	p		
pl		4995000	4995000	-			Standard frequency and time signal
pl		4995000	4995000	STANDARD FREQUENCY AND TIME SIGNAL	p		
pl		5003000	5003000	-			Space research,  Standard frequency and time signal
pl		5003000	5003000	Space Research	s		
pl		5003000	5003000	STANDARD FREQUENCY AND TIME SIGNAL	p		
pl		5005000	5005000	-			Land military systems
pl		5005000	5005000	FIXED	p		
pl		5060000	5060000	-			Land military systems,  Maritime military systems
pl		5060000	5060000	FIXED	p		
pl		5060000	5060000	Mobile except aeronautical mobile	s		
pl		5250000	5250000	-			Land military systems,  Maritime military systems,  Point-to-Multipoint
pl		5250000	5250000	FIXED	p		
pl		5250000	5250000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
pl		5450000	5450000	-			Aeronautical military systems,  Land military systems
pl		5450000	5450000	AERONAUTICAL MOBILE (OR)	p		
pl		5450000	5450000	FIXED	p		
pl		5450000	5450000	LAND MOBILE	p		
pl		5480000	5480000	-			Aeronautical military systems
pl		5480000	5480000	AERONAUTICAL MOBILE (R)	p		
pl		5680000	5680000	-			Aeronautical military systems
pl		5680000	5680000	AERONAUTICAL MOBILE (OR)	p		
pl		5730000	5730000	-			Land military systems,  Point-to-Multipoint
pl		5730000	5730000	FIXED	p		
pl		5730000	5730000	LAND MOBILE	p		
pl		5900000	5900000	-			Land military systems,  Point-to-Multipoint
pl		5900000	5900000	BROADCASTING	p		
pl		5900000	5900000	FIXED	p		
pl		5900000	5900000	LAND MOBILE	p		
pl		5950000	5950000	-			AM sound analogue
pl		5950000	5950000	BROADCASTING	p		
pl		6200000	6200000	-			Maritime communications,  Maritime military systems,  MSI
pl		6200000	6200000	MARITIME MOBILE	p		
pl		6525000	6525000	-			Aeronautical military systems
pl		6525000	6525000	AERONAUTICAL MOBILE (R)	p		
pl		6685000	6685000	-			Aeronautical military systems
pl		6685000	6685000	AERONAUTICAL MOBILE (OR)	p		
pl		6765000	6765000	-			Land military systems,  Point-to-Multipoint
pl		6765000	6765000	FIXED	p		
pl		6765000	6765000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
pl		6765000	6765000	-			Inductive applications,  ISM,  Non-specific SRDs
pl		6765000	6765000		p		
pl		7000000	7000000	-			Amateur,  Amateur-satellite
pl		7000000	7000000	AMATEUR	p		
pl		7000000	7000000	AMATEUR-SATELLITE	p		
pl		7100000	7100000	-			Amateur
pl		7100000	7100000	AMATEUR	p		
pl		7100000	7100000	BROADCASTING	p		
pl		7200000	7200000	-			
pl		7200000	7200000	BROADCASTING	p		
pl		7300000	7300000	-			
pl		7300000	7300000	BROADCASTING	p		
pl		7300000	7300000	FIXED	p		
pl		7300000	7300000	Land Mobile	s		
pl		7300000	7300000	-			Land military systems
pl		7300000	7300000		p		
pl		7350000	7350000	-			Land military systems,  Point-to-Multipoint
pl		7350000	7350000		p		
pl		7400000	7400000	-			Inductive applications
pl		7400000	7400000		p		
pl		7400000	7400000	-			
pl		7400000	7400000	BROADCASTING	p		
pl		7400000	7400000	FIXED	p		
pl		7400000	7400000	Land Mobile	s		
pl		7450000	7450000	-			
pl		7450000	7450000	FIXED	p		
pl		7450000	7450000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
pl		8100000	8100000	-			Land military systems,  Maritime military systems,  Point-to-Multipoint
pl		8100000	8100000	FIXED	p		
pl		8100000	8100000	MARITIME MOBILE	p		
pl		8195000	8195000	-			Maritime communications,  Maritime military systems,  MSI
pl		8195000	8195000	MARITIME MOBILE	p		
pl		8815000	8815000	-			AGA communications (civil),  AGA communications (military)
pl		8815000	8815000	AERONAUTICAL MOBILE (R)	p		
pl		8965000	8965000	-			Aeronautical military systems
pl		8965000	8965000	AERONAUTICAL MOBILE (OR)	p		
pl		9040000	9040000	-			Land military systems,  Point-to-Multipoint
pl		9040000	9040000	FIXED	p		
pl		9400000	9400000	-			Land military systems,  Point-to-Multipoint
pl		9400000	9400000	BROADCASTING	p		
pl		9400000	9400000	FIXED	p		
pl		9500000	9500000	-			Land military systems
pl		9500000	9500000	BROADCASTING	p		
pl		9500000	9500000	FIXED	p		
pl		9900000	9900000	-			Land military systems,  Point-to-Multipoint
pl		9900000	9900000	FIXED	p		
pl		9995000	9995000	-			Standard frequency and time signal
pl		9995000	9995000	STANDARD FREQUENCY AND TIME SIGNAL	p		
pl		10003000	10003000	-			Space research,  Standard frequency and time signal
pl		10003000	10003000	Space Research	s		
pl		10003000	10003000	STANDARD FREQUENCY AND TIME SIGNAL	p		
pl		10005000	10005000	-			Broadcasting
