region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
pt		9000	9000	-			Inductive applications,  Medical implants
pt		9000	9000	RADIONAVIGATION	p		
pt		14000	14000	-			Medical implants,  Inductive applications,  Defence systems
pt		14000	14000	FIXED	p		
pt		14000	14000	MARITIME MOBILE	p		
pt		19950	19950	-			Defence systems,  Inductive applications,  Medical implants
pt		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
pt		20050	20050	-			Medical implants,  Inductive applications,  Defence systems
pt		20050	20050	FIXED	p		
pt		20050	20050	MARITIME MOBILE	p		
pt		70000	70000	-			Inductive applications,  Medical implants
pt		70000	70000	RADIONAVIGATION	p		
pt		72000	72000	-			Medical implants,  Inductive applications
pt		72000	72000	FIXED	p		
pt		72000	72000	MARITIME MOBILE	p		
pt		72000	72000	RADIONAVIGATION	p		
pt		84000	84000	-			Inductive applications,  Medical implants
pt		84000	84000	RADIONAVIGATION	p		
pt		86000	86000	-			Medical implants,  Inductive applications
pt		86000	86000	FIXED	p		
pt		86000	86000	MARITIME MOBILE	p		
pt		86000	86000	RADIONAVIGATION	p		
pt		90000	90000	-			Inductive applications,  Loran C,  Medical implants
pt		90000	90000	Fixed	s		
pt		90000	90000	RADIONAVIGATION	p		
pt		110000	110000	-			Inductive applications,  Medical implants
pt		110000	110000	FIXED	p		
pt		110000	110000	MARITIME MOBILE	p		
pt		110000	110000	RADIONAVIGATION	p		
pt		112000	112000	-			Medical implants,  Inductive applications
pt		112000	112000	RADIONAVIGATION	p		
pt		115000	115000	-			Inductive applications,  Medical implants
pt		115000	115000	Fixed	s		
pt		115000	115000	Maritime Mobile	s		
pt		115000	115000	RADIONAVIGATION	p		
pt		117600	117600	-			Medical implants,  Inductive applications
pt		117600	117600	FIXED	p		
pt		117600	117600	MARITIME MOBILE	p		
pt		117600	117600	RADIONAVIGATION	p		
pt		126000	126000	-			Inductive applications,  Medical implants
pt		126000	126000	RADIONAVIGATION	p		
pt		129000	129000	-			Medical implants,  Inductive applications
pt		129000	129000	FIXED	p		
pt		129000	129000	MARITIME MOBILE	p		
pt		129000	129000	RADIONAVIGATION	p		
pt		130000	130000	-			Inductive applications,  Medical implants
pt		130000	130000	FIXED	p		
pt		130000	130000	MARITIME MOBILE	p		
pt		135700	135700	-			Medical implants,  Inductive applications,  Amateur
pt		135700	135700	FIXED	p		
pt		135700	135700	MARITIME MOBILE	p		
