region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
ro		9000	9000	-			ISM,  Inductive applications,  Active medical implants
ro		9000	9000	RADIONAVIGATION	p		
ro		14000	14000	-			Active medical implants,  Inductive applications,  Defence systems
ro		14000	14000	FIXED	p		
ro		14000	14000	MARITIME MOBILE	p		
ro		19950	19950	-			Active medical implants,  Inductive applications
ro		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
ro		20050	20050	-			Inductive applications,  Defence systems,  Medical implants
ro		20050	20050	FIXED	p		
ro		20050	20050	MARITIME MOBILE	p		
ro		70000	70000	-			Medical implants,  Defence systems,  Inductive applications
ro		70000	70000	RADIONAVIGATION	p		
ro		72000	72000	-			Inductive applications,  Defence systems,  Standard frequency and time signal,  Medical implants
ro		72000	72000	FIXED	p		
ro		72000	72000	MARITIME MOBILE	p		
ro		72000	72000	RADIONAVIGATION	p		
ro		84000	84000	-			Medical implants,  Defence systems,  Inductive applications
ro		84000	84000	RADIONAVIGATION	p		
ro		86000	86000	-			Inductive applications,  Defence systems,  Medical implants
ro		86000	86000	FIXED	p		
ro		86000	86000	MARITIME MOBILE	p		
ro		86000	86000	RADIONAVIGATION	p		
ro		90000	90000	-			Medical implants,  Defence systems,  Loran C,  Inductive applications
ro		90000	90000	Fixed	s		
ro		90000	90000	RADIONAVIGATION	p		
ro		110000	110000	-			Inductive applications,  Defence systems,  Medical implants
ro		110000	110000	FIXED	p		
ro		110000	110000	MARITIME MOBILE	p		
ro		110000	110000	RADIONAVIGATION	p		
ro		112000	112000	-			Medical implants,  Defence systems,  Inductive applications
ro		112000	112000	RADIONAVIGATION	p		
ro		115000	115000	-			Inductive applications,  Defence systems,  Medical implants
ro		115000	115000	Fixed	s		
ro		115000	115000	Maritime Mobile	s		
ro		115000	115000	RADIONAVIGATION	p		
ro		117600	117600	-			Medical implants,  Defence systems,  Inductive applications
ro		117600	117600	FIXED	p		
ro		117600	117600	MARITIME MOBILE	p		
ro		117600	117600	RADIONAVIGATION	p		
ro		126000	126000	-			Inductive applications,  Defence systems,  Medical implants
ro		126000	126000	RADIONAVIGATION	p		
ro		129000	129000	-			Medical implants,  Defence systems,  Inductive applications
ro		129000	129000	FIXED	p		
ro		129000	129000	MARITIME MOBILE	p		
ro		129000	129000	RADIONAVIGATION	p		
ro		130000	130000	-			Inductive applications,  Defence systems,  Medical implants
ro		130000	130000	FIXED	p		
ro		130000	130000	MARITIME MOBILE	p		
ro		135700	135700	-			Inductive applications,  Defence systems,  Amateur,  Medical implants
ro		135700	135700	FIXED	p		
ro		135700	135700	MARITIME MOBILE	p		
ro		135700	135700	Amateur	s		
ro		137800	137800	-			Medical implants,  Inductive applications,  Defence systems
ro		137800	137800	FIXED	p		
ro		137800	137800	MARITIME MOBILE	p		
ro		148500	148500	-			Inductive applications,  Medical implants,  AM sound analogue,  Broadcasting
ro		148500	148500	BROADCASTING	p		
ro		255000	255000	-			Broadcasting,  AM sound analogue,  Beacons (aeronautical),  Medical implants,  Inductive applications
ro		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
ro		255000	255000	BROADCASTING	p		
ro		283500	283500	-			Inductive applications,  Medical implants,  Beacons (aeronautical),  Beacons (maritime)
ro		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
ro		283500	283500	MARITIME RADIONAVIGATION	p		
ro		315000	315000	-			Beacons (maritime),  Beacons (aeronautical),  Inductive applications,  Active medical implants
ro		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
ro		315000	315000	Maritime Radionavigation (radiobeacons)	s		
ro		325000	325000	-			Active medical implants,  Inductive applications,  Beacons (aeronautical)
ro		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
ro		405000	405000	-			Beacons (aeronautical),  Beacons (maritime),  Inductive applications,  Active medical implants
ro		405000	405000	RADIONAVIGATION	p		
ro		415000	415000	-			Active medical implants,  Inductive applications,  Maritime,  Beacons (aeronautical)
ro		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
ro		415000	415000	MARITIME MOBILE	p		
ro		435000	435000	-			Maritime,  NAVTEX,  PPDR,  Inductive applications,  Active medical implants
ro		435000	435000	Aeronautical Radionavigation	s		
ro		435000	435000	MARITIME MOBILE	p		
ro		495000	495000	-			Active medical implants,  Inductive applications
ro		495000	495000	MOBILE	p		
ro		505000	505000	-			Inductive applications,  Maritime,  NAVTEX,  Beacons (aeronautical),  Active medical implants
ro		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
ro		505000	505000	MARITIME MOBILE	p		
ro		526500	526500	-			Active medical implants,  AM sound analogue,  Broadcasting,  Inductive applications
ro		526500	526500	BROADCASTING	p		
ro		1606500	1606500	-			Inductive applications,  Defence systems,  Maritime
ro		1606500	1606500	FIXED	p		
ro		1606500	1606500	LAND MOBILE	p		
ro		1606500	1606500	MARITIME MOBILE	p		
ro		1625000	1625000	-			Inductive applications
ro		1625000	1625000	RADIOLOCATION	p		
ro		1635000	1635000	-			Inductive applications,  Defence systems,  Maritime
ro		1635000	1635000	FIXED	p		
ro		1635000	1635000	LAND MOBILE	p		
ro		1635000	1635000	MARITIME MOBILE	p		
ro		1800000	1800000	-			Inductive applications
ro		1800000	1800000	RADIOLOCATION	p		
ro		1810000	1810000	-			Inductive applications,  Amateur
ro		1810000	1810000	AMATEUR	p		
ro		1810000	1810000	FIXED	p		
ro		1810000	1810000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ro		1830000	1830000	-			Amateur,  Inductive applications
ro		1830000	1830000	AMATEUR	p		
ro		1850000	1850000	-			Inductive applications,  Amateur,  Maritime,  Defence systems
ro		1850000	1850000	FIXED	p		
ro		1850000	1850000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ro		2000000	2000000	-			Defence systems,  Maritime,  Inductive applications
ro		2000000	2000000	FIXED	p		
ro		2000000	2000000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ro		2025000	2025000	-			Inductive applications,  Oceanographic buoys,  Maritime,  Defence systems
ro		2025000	2025000	FIXED	p		
ro		2025000	2025000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ro		2025000	2025000	Meteorological Aids	s		
ro		2045000	2045000	-			Defence systems,  Maritime,  Inductive applications
ro		2045000	2045000	FIXED	p		
ro		2045000	2045000	LAND MOBILE	p		
ro		2045000	2045000	MARITIME MOBILE	p		
ro		2160000	2160000	-			Inductive applications
ro		2160000	2160000	RADIOLOCATION	p		
ro		2170000	2170000	-			Inductive applications,  Maritime
ro		2170000	2170000	MARITIME MOBILE	p		
ro		2173500	2173500	-			GMDSS,  DSC,  Inductive applications
ro		2173500	2173500	MOBILE (DISTRESS AND CALLING)	p		
ro		2190500	2190500	-			Inductive applications,  Maritime
ro		2190500	2190500	MARITIME MOBILE	p		
ro		2194000	2194000	-			Maritime,  Defence systems,  Inductive applications
ro		2194000	2194000	FIXED	p		
ro		2194000	2194000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ro		2300000	2300000	-			Inductive applications,  Defence systems,  Maritime
ro		2300000	2300000	FIXED	p		
ro		2300000	2300000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ro		2498000	2498000	-			Inductive applications
ro		2498000	2498000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ro		2501000	2501000	-			Inductive applications
ro		2501000	2501000	Space Research	s		
ro		2501000	2501000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ro		2502000	2502000	-			Inductive applications,  Radiodetermination applications,  Defence systems
ro		2502000	2502000	FIXED	p		
ro		2502000	2502000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ro		2625000	2625000	-			Defence systems,  Maritime,  Inductive applications
ro		2625000	2625000	MARITIME MOBILE	p		
ro		2625000	2625000	MARITIME RADIONAVIGATION	p		
ro		2650000	2650000	-			Inductive applications,  Radiodetermination applications,  Defence systems
ro		2650000	2650000	FIXED	p		
ro		2650000	2650000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ro		2850000	2850000	-			Inductive applications,  Aeronautical communications
ro		2850000	2850000	AERONAUTICAL MOBILE (R)	p		
ro		3025000	3025000	-			Aeronautical communications,  Inductive applications
ro		3025000	3025000	AERONAUTICAL MOBILE (OR)	p		
ro		3155000	3155000	-			Defence systems,  Maritime,  Inductive applications
ro		3155000	3155000	FIXED	p		
ro		3155000	3155000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ro		3200000	3200000	-			Inductive applications,  Maritime,  Defence systems
ro		3200000	3200000	FIXED	p		
ro		3200000	3200000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ro		3230000	3230000	-			Defence systems,  Maritime,  Inductive applications
ro		3230000	3230000	FIXED	p		
ro		3230000	3230000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ro		3400000	3400000	-			Aeronautical communications,  Inductive applications
ro		3400000	3400000	AERONAUTICAL MOBILE (R)	p		
ro		3500000	3500000	-			Maritime,  Inductive applications,  Defence systems,  Amateur
ro		3500000	3500000	AMATEUR	p		
ro		3500000	3500000	FIXED	p		
ro		3500000	3500000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ro		3800000	3800000	-			Aeronautical communications,  Inductive applications
ro		3800000	3800000	AERONAUTICAL MOBILE (OR)	p		
ro		3800000	3800000	FIXED	p		
ro		3800000	3800000	LAND MOBILE	p		
ro		3900000	3900000	-			Aeronautical communications,  Inductive applications
ro		3900000	3900000	AERONAUTICAL MOBILE (OR)	p		
ro		3950000	3950000	-			Inductive applications,  Broadcasting,  Defence systems
ro		3950000	3950000	BROADCASTING	p		
ro		3950000	3950000	FIXED	p		
ro		4000000	4000000	-			Maritime,  Inductive applications
ro		4000000	4000000	FIXED	p		
ro		4000000	4000000	MARITIME MOBILE	p		
ro		4063000	4063000	-			Inductive applications,  Railway applications,  Maritime,  DSC,  MSI
ro		4063000	4063000	MARITIME MOBILE	p		
ro		4438000	4438000	-			Defence systems,  Railway applications,  Inductive applications
ro		4438000	4438000	FIXED	p		
ro		4438000	4438000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
ro		4650000	4650000	-			Aeronautical communications,  Inductive applications
ro		4650000	4650000	AERONAUTICAL MOBILE (R)	p		
ro		4700000	4700000	-			Aeronautical communications,  Inductive applications
ro		4700000	4700000	AERONAUTICAL MOBILE (OR)	p		
ro		4750000	4750000	-			Aeronautical communications,  Inductive applications
ro		4750000	4750000	AERONAUTICAL MOBILE (OR)	p		
ro		4750000	4750000	FIXED	p		
ro		4750000	4750000	LAND MOBILE	p		
ro		4850000	4850000	-			Inductive applications,  Defence systems
ro		4850000	4850000	FIXED	p		
ro		4850000	4850000	LAND MOBILE	p		
ro		4995000	4995000	-			Inductive applications
ro		4995000	4995000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ro		5003000	5003000	-			Inductive applications
ro		5003000	5003000	Space Research	s		
ro		5003000	5003000	STANDARD FREQUENCY AND TIME SIGNAL	p		
ro		5005000	5005000	-			Inductive applications,  Defence systems
ro		5005000	5005000	FIXED	p		
ro		5060000	5060000	-			Defence systems,  Inductive applications
ro		5060000	5060000	FIXED	p		
ro		5060000	5060000	Mobile except aeronautical mobile	s		
ro		5250000	5250000	-			Inductive applications,  Defence systems
ro		5250000	5250000	FIXED	p		
ro		5250000	5250000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ro		5450000	5450000	-			Defence systems,  Aeronautical communications,  Inductive applications
ro		5450000	5450000	AERONAUTICAL MOBILE (OR)	p		
ro		5450000	5450000	FIXED	p		
ro		5450000	5450000	LAND MOBILE	p		
ro		5480000	5480000	-			Aeronautical communications,  Inductive applications
ro		5480000	5480000	AERONAUTICAL MOBILE (R)	p		
ro		5680000	5680000	-			Aeronautical communications,  Inductive applications
ro		5680000	5680000	AERONAUTICAL MOBILE (OR)	p		
ro		5730000	5730000	-			Inductive applications,  Defence systems
ro		5730000	5730000	FIXED	p		
ro		5730000	5730000	LAND MOBILE	p		
ro		5900000	5900000	-			Broadcasting,  AM sound analogue,  Inductive applications
ro		5900000	5900000	BROADCASTING	p		
ro		5950000	5950000	-			Inductive applications,  AM sound analogue,  Broadcasting
ro		5950000	5950000	BROADCASTING	p		
ro		6200000	6200000	-			DSC,  MSI,  Maritime,  Inductive applications
ro		6200000	6200000	MARITIME MOBILE	p		
ro		6525000	6525000	-			Aeronautical communications,  Inductive applications
ro		6525000	6525000	AERONAUTICAL MOBILE (R)	p		
ro		6685000	6685000	-			Aeronautical communications,  Inductive applications
ro		6685000	6685000	AERONAUTICAL MOBILE (OR)	p		
ro		6765000	6765000	-			Defence systems,  ISM,  Inductive applications,  Non-specific SRDs
ro		6765000	6765000	FIXED	p		
ro		6765000	6765000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ro		6795000	6795000	-			Defence systems,  Inductive applications
ro		6795000	6795000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
ro		6795000	6795000	FIXED	p		
ro		7000000	7000000	-			Inductive applications,  Amateur,  Amateur-satellite
ro		7000000	7000000	AMATEUR	p		
ro		7000000	7000000	AMATEUR-SATELLITE	p		
ro		7100000	7100000	-			Inductive applications,  Amateur
ro		7100000	7100000	AMATEUR	p		
ro		7200000	7200000	-			Inductive applications,  Broadcasting,  AM sound analogue
ro		7200000	7200000	BROADCASTING	p		
ro		7300000	7300000	-			AM sound analogue,  Inductive applications,  Broadcasting
ro		7300000	7300000	BROADCASTING	p		
ro		7350000	7350000	-			Broadcasting,  AM sound analogue,  Inductive applications,  Defence systems
ro		7350000	7350000	BROADCASTING	p		
ro		7350000	7350000	FIXED	p		
