region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
se		0	0	-			
se		0	0	NOT ALLOCATED	p		
se		8300	8300	-			
se		8300	8300	METEOROLOGICAL AIDS	p		
se		9000	9000	-			ULP-AMI
se		9000	9000		p		
se		9000	9000	-			Inductive applications
se		9000	9000		p		
se		9000	9000	-			Defence systems
se		9000	9000		p		
se		9000	9000	-			Aeronautical navigation,  Maritime navigation
se		9000	9000		p		
se		9000	9000	-			
se		9000	9000	METEOROLOGICAL AIDS	p		
se		14000	14000	-		5.56	Maritime,  Fixed
se		14000	14000	FIXED	p		
se		19950	19950	-			Standard frequency and time signal
se		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
se		20050	20050	-			Maritime,  Defence systems,  Fixed
se		20050	20050	MARITIME MOBILE	p		
se		20050	20050	FIXED	p		
se		70000	70000	-			
se		70000	70000	RADIONAVIGATION	p		
se		72000	72000	-			
se		72000	72000	FIXED	p		
se		72000	72000	MARITIME MOBILE	p		
se		72000	72000	RADIONAVIGATION	p		
se		84000	84000	-			
se		84000	84000	RADIONAVIGATION	p		
se		86000	86000	-			
se		86000	86000	MARITIME MOBILE	p		
se		86000	86000	RADIONAVIGATION	p		
se		86000	86000	FIXED	p		
se		90000	90000	-			
se		90000	90000	RADIONAVIGATION	p		
se		90000	90000	FIXED	p		
se		110000	110000	-			
se		110000	110000	FIXED	p		
se		110000	110000	MARITIME MOBILE	p		
se		110000	110000	RADIONAVIGATION	p		
se		112000	112000	-			
se		112000	112000	RADIONAVIGATION	p		
se		115000	115000	-			
se		115000	115000	Maritime Mobile	s		
se		115000	115000	RADIONAVIGATION	p		
se		115000	115000	Fixed	s		
se		117600	117600	-			Defence systems,  Maritime
se		117600	117600	MARITIME MOBILE	p		
se		117600	117600	RADIONAVIGATION	p		
se		117600	117600	FIXED	p		
se		126000	126000	-			
se		126000	126000	RADIONAVIGATION	p		
se		129000	129000	-			Maritime,  Defence systems
se		129000	129000		p		
se		129000	129000	-			
se		129000	129000	FIXED	p		
se		129000	129000	MARITIME MOBILE	p		
se		129000	129000	RADIONAVIGATION	p		
se		130000	130000	-			
se		130000	130000	MARITIME MOBILE	p		
se		130000	130000	FIXED	p		
se		135700	135700	-			Amateur
se		135700	135700	FIXED	p		
se		135700	135700	MARITIME MOBILE	p		
se		135700	135700	Amateur	s		
se		137800	137800	-			
se		137800	137800	MARITIME MOBILE	p		
se		137800	137800	FIXED	p		
se		148500	148500	-			Broadcasting
se		148500	148500		p		
se		148500	148500	-			
se		148500	148500	BROADCASTING	p		
se		255000	255000	-			
se		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
se		255000	255000	BROADCASTING	p		
se		283500	283500	-			Aeronautical navigation,  Beacons (aeronautical)
