region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
sg		0	0	-			
sg		0	0	Not allocated	s		
sg		8300	8300	-			
sg		8300	8300	METEOROLOGICAL AIDS	p		
sg		9000	9000	-			UWB applications,  Non-specific SRDs
sg		9000	9000	Not allocated	s		
sg		9000	9000	-			Inductive applications,  ULP-AMI
sg		9000	9000	METEOROLOGICAL AIDS	p		
sg		9000	9000	RADIONAVIGATION	p		
sg		11300	11300	-			Inductive applications,  ULP-AMI
sg		11300	11300	RADIONAVIGATION	p		
sg		14000	14000	-			Inductive applications,  ULP-AMI
sg		14000	14000	FIXED	p		
sg		19950	19950	-			Inductive applications,  ULP-AMI
sg		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
sg		20050	20050	-			Inductive applications,  ULP-AMI
sg		20050	20050	FIXED	p		
sg		70000	70000	-			Defence systems,  Inductive applications,  ULP-AMI
sg		70000	70000	AERONAUTICAL RADIONAVIGATION	p		
sg		72000	72000	-			Defence systems,  Inductive applications,  ULP-AMI
sg		72000	72000	AERONAUTICAL RADIONAVIGATION	p		
sg		72000	72000	FIXED	p		
sg		84000	84000	-			Defence systems,  Inductive applications,  ULP-AMI
sg		84000	84000	AERONAUTICAL RADIONAVIGATION	p		
sg		86000	86000	-			Defence systems,  Inductive applications,  ULP-AMI
sg		86000	86000	AERONAUTICAL RADIONAVIGATION	p		
sg		86000	86000	FIXED	p		
sg		90000	90000	-			Defence systems,  Inductive applications,  ULP-AMI
sg		90000	90000	AERONAUTICAL RADIONAVIGATION	p		
sg		90000	90000	Fixed	s		
sg		110000	110000	-			Defence systems,  Inductive applications,  ULP-AMI
sg		110000	110000	AERONAUTICAL RADIONAVIGATION	p		
sg		110000	110000	FIXED	p		
sg		112000	112000	-			Defence systems,  Inductive applications,  ULP-AMI
sg		112000	112000	AERONAUTICAL RADIONAVIGATION	p		
sg		115000	115000	-			Defence systems,  Inductive applications,  ULP-AMI
sg		115000	115000	AERONAUTICAL RADIONAVIGATION	p		
sg		115000	115000	Fixed	s		
sg		117600	117600	-			Defence systems,  Inductive applications,  ULP-AMI
sg		117600	117600	AERONAUTICAL RADIONAVIGATION	p		
sg		117600	117600	FIXED	p		
sg		126000	126000	-			Defence systems,  Inductive applications,  ULP-AMI
sg		126000	126000	AERONAUTICAL RADIONAVIGATION	p		
sg		129000	129000	-			Defence systems,  Inductive applications,  ULP-AMI
sg		129000	129000	AERONAUTICAL RADIONAVIGATION	p		
sg		129000	129000	FIXED	p		
sg		130000	130000	-			Inductive applications,  ULP-AMI
sg		130000	130000	FIXED	p		
sg		135700	135700	-			Amateur,  Inductive applications,  ULP-AMI
sg		135700	135700	FIXED	p		
sg		135700	135700	Amateur	s		
sg		137800	137800	-			Inductive applications,  ULP-AMI
sg		137800	137800	FIXED	p		
sg		148500	148500	-			Defence systems,  Broadcasting (terrestrial),  Inductive applications,  ULP-AMI
sg		148500	148500	AERONAUTICAL RADIONAVIGATION	p		
sg		148500	148500	BROADCASTING	p		
sg		255000	255000	-			Defence systems,  Broadcasting (terrestrial),  Inductive applications,  ULP-AMI
sg		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
sg		255000	255000	BROADCASTING	p		
sg		262500	262500	-			Broadcasting (terrestrial),  Inductive applications,  ULP-AMI
sg		262500	262500	BROADCASTING	p		
sg		282500	282500	-			Defence systems,  Inductive applications,  ULP-AMI
sg		282500	282500	AERONAUTICAL RADIONAVIGATION	p		
sg		283500	283500	-			Beacons (aeronautical),  Defence systems,  Inductive applications,  ULP-AMI
sg		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
sg		283500	283500	MARITIME RADIONAVIGATION	p		
sg		315000	315000	-			Defence systems,  Beacons (aeronautical),  Inductive applications,  ULP-AID
sg		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
sg		325000	325000	-			Defence systems,  Beacons (aeronautical),  Inductive applications,  RFID,  ULP-AID
sg		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
sg		405000	405000	-			Beacons (aeronautical),  Defence systems,  Inductive applications,  RFID,  ULP-AID
sg		405000	405000	RADIONAVIGATION	p		
sg		415000	415000	-			Beacons (aeronautical),  Defence systems,  Inductive applications,  RFID,  ULP-AID
sg		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
sg		435000	435000	-			Beacons (aeronautical),  Defence systems,  Emergency detection,  Non-specific SRDs,  Inductive applications,  RFID,  ULP-AID
sg		435000	435000	AERONAUTICAL RADIONAVIGATION	p		
sg		435000	435000	Maritime Mobile	s		
sg		472000	472000	-			Beacons (aeronautical),  Amateur,  Defence systems,  Inductive applications,  RFID,  ULP-AID
sg		472000	472000	AERONAUTICAL RADIONAVIGATION	p		
sg		472000	472000	Amateur	s		
sg		472000	472000	Maritime Mobile	s		
sg		479000	479000	-			Beacons (aeronautical),  Defence systems,  Inductive applications,  RFID,  ULP-AID
sg		479000	479000	AERONAUTICAL RADIONAVIGATION	p		
sg		479000	479000	Maritime Mobile	s		
sg		490000	490000	-			Beacons (aeronautical),  Defence systems,  Inductive applications,  RFID,  ULP-AID
sg		490000	490000	AERONAUTICAL RADIONAVIGATION	p		
sg		490000	490000	Maritime Mobile	s		
sg		495000	495000	-			Beacons (aeronautical),  GMDSS,  Inductive applications,  RFID,  ULP-AID
sg		495000	495000	AERONAUTICAL RADIONAVIGATION	p		
sg		495000	495000	MOBILE (DISTRESS AND CALLING)	p		
sg		505000	505000	-			Beacons (aeronautical),  Inductive applications,  RFID,  ULP-AID
sg		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
sg		510000	510000	-			Beacons (aeronautical),  Defence systems,  Inductive applications,  RFID,  ULP-AID
sg		510000	510000	AERONAUTICAL RADIONAVIGATION	p		
sg		526500	526500	-			Broadcasting (terrestrial),  Defence systems,  Eurobalise,  Inductive applications,  RFID,  ULP-AID
sg		526500	526500	BROADCASTING	p		
sg		526500	526500	Aeronautical Radionavigation	s		
sg		1606500	1606500	-			Defence systems,  Eurobalise,  Inductive applications
sg		1606500	1606500	FIXED	p		
sg		1606500	1606500	LAND MOBILE	p		
sg		1625000	1625000	-			Defence systems,  Eurobalise,  Inductive applications
sg		1625000	1625000	RADIOLOCATION	p		
sg		1625000	1625000	Fixed	s		
sg		1625000	1625000	Mobile	s		
sg		1635000	1635000	-			Defence systems,  Eurobalise,  Inductive applications
sg		1635000	1635000	FIXED	p		
sg		1635000	1635000	LAND MOBILE	p		
sg		1800000	1800000	-			Defence systems,  Eurobalise,  Inductive applications
sg		1800000	1800000	RADIOLOCATION	p		
sg		1800000	1800000	Fixed	s		
sg		1800000	1800000	Mobile	s		
sg		1810000	1810000	-			Amateur,  Defence systems,  Eurobalise,  Inductive applications
sg		1810000	1810000	AMATEUR	p		
sg		1810000	1810000	Fixed	s		
sg		1810000	1810000	Mobile	s		
sg		1850000	1850000	-			Defence systems,  Amateur,  Eurobalise,  Inductive applications
sg		1850000	1850000	FIXED	p		
sg		1850000	1850000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
sg		1850000	1850000	Amateur	s		
sg		2000000	2000000	-			Defence systems,  Eurobalise,  Inductive applications
sg		2000000	2000000	FIXED	p		
sg		2000000	2000000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
sg		2025000	2025000	-			Defence systems,  Eurobalise,  Inductive applications
sg		2025000	2025000	FIXED	p		
sg		2025000	2025000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
sg		2045000	2045000	-			Defence systems,  Eurobalise,  Inductive applications
sg		2045000	2045000	FIXED	p		
sg		2045000	2045000	LAND MOBILE	p		
sg		2160000	2160000	-			Defence systems,  Eurobalise,  Inductive applications
sg		2160000	2160000	RADIOLOCATION	p		
sg		2160000	2160000	Fixed	s		
sg		2160000	2160000	Mobile	s		
sg		2170000	2170000	-			Defence systems,  Eurobalise,  Inductive applications
sg		2170000	2170000	MARITIME MOBILE	p		
sg		2173500	2173500	-			GMDSS,  Eurobalise,  Inductive applications
sg		2173500	2173500	MOBILE (DISTRESS AND CALLING)	p		
sg		2190500	2190500	-			Defence systems,  Eurobalise,  Inductive applications
sg		2190500	2190500	MARITIME MOBILE	p		
sg		2194000	2194000	-			Eurobalise,  Inductive applications
sg		2194000	2194000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
sg		2194500	2194500	-			Defence systems,  Eurobalise,  Inductive applications
sg		2194500	2194500	FIXED	p		
sg		2194500	2194500	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
sg		2300000	2300000	-			Defence systems,  Eurobalise,  Inductive applications
sg		2300000	2300000	FIXED	p		
sg		2300000	2300000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
sg		2300000	2300000	BROADCASTING	p		
sg		2498000	2498000	-			Eurobalise,  Inductive applications
sg		2498000	2498000	STANDARD FREQUENCY AND TIME SIGNAL	p		
sg		2501000	2501000	-			Eurobalise,  Inductive applications
sg		2501000	2501000	STANDARD FREQUENCY AND TIME SIGNAL	p		
sg		2502000	2502000	-			Defence systems,  Eurobalise,  Inductive applications
sg		2502000	2502000	FIXED	p		
sg		2502000	2502000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
sg		2625000	2625000	-			Defence systems,  Eurobalise,  Inductive applications
sg		2625000	2625000	RADIONAVIGATION	p		
sg		2625000	2625000	MOBILE	p		
sg		2625000	2625000	Fixed	s		
sg		2650000	2650000	-			Defence systems,  Eurobalise,  Inductive applications
sg		2650000	2650000	FIXED	p		
sg		2650000	2650000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
sg		2850000	2850000	-			Defence systems,  Eurobalise,  Inductive applications
sg		2850000	2850000	AERONAUTICAL MOBILE (R)	p		
sg		3025000	3025000	-			Defence systems,  Eurobalise,  Inductive applications
sg		3025000	3025000	AERONAUTICAL MOBILE (OR)	p		
sg		3155000	3155000	-			Defence systems,  Eurobalise,  Inductive applications
sg		3155000	3155000	FIXED	p		
sg		3155000	3155000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
sg		3200000	3200000	-			Broadcasting (terrestrial),  Defence systems,  Eurobalise,  Inductive applications
sg		3200000	3200000	FIXED	p		
sg		3200000	3200000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
sg		3200000	3200000	BROADCASTING	p		
sg		3230000	3230000	-			Broadcasting (terrestrial),  Defence systems,  Eurobalise,  Inductive applications
sg		3230000	3230000	FIXED	p		
sg		3230000	3230000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
sg		3230000	3230000	BROADCASTING	p		
sg		3400000	3400000	-			Defence systems,  Eurobalise,  Inductive applications
sg		3400000	3400000	AERONAUTICAL MOBILE (R)	p		
sg		3500000	3500000	-			Amateur,  Defence systems,  Eurobalise,  Inductive applications
sg		3500000	3500000	FIXED	p		
sg		3500000	3500000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
sg		3500000	3500000	AMATEUR	p		
sg		3800000	3800000	-			Defence systems,  Eurobalise,  Inductive applications
sg		3800000	3800000	FIXED	p		
sg		3800000	3800000	AERONAUTICAL MOBILE (OR)	p		
sg		3800000	3800000	LAND MOBILE	p		
sg		3900000	3900000	-			Defence systems,  Eurobalise,  Inductive applications
sg		3900000	3900000	AERONAUTICAL MOBILE (OR)	p		
sg		3950000	3950000	-			Broadcasting (terrestrial),  Defence systems,  Eurobalise,  Inductive applications
sg		3950000	3950000	BROADCASTING	p		
sg		3950000	3950000	Fixed	s		
sg		4000000	4000000	-			Defence systems,  Eurobalise,  Inductive applications
sg		4000000	4000000	FIXED	p		
sg		4000000	4000000	Maritime Mobile	s		
sg		4063000	4063000	-			Defence systems,  Eurobalise,  Inductive applications
sg		4063000	4063000	MARITIME MOBILE	p		
sg		4063000	4063000	Fixed	s		
sg		4438000	4438000	-			Defence systems,  Eurobalise,  Inductive applications
sg		4438000	4438000	FIXED	p		
sg		4438000	4438000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
sg		4488000	4488000	-			Defence systems,  Eurobalise,  Inductive applications
sg		4488000	4488000	FIXED	p		
sg		4488000	4488000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
sg		4650000	4650000	-			Defence systems,  Eurobalise,  Inductive applications
sg		4650000	4650000	AERONAUTICAL MOBILE (R)	p		
sg		4700000	4700000	-			Defence systems,  Eurobalise,  Inductive applications
sg		4700000	4700000	AERONAUTICAL MOBILE (OR)	p		
sg		4750000	4750000	-			Defence systems,  Eurobalise,  Inductive applications
sg		4750000	4750000	AERONAUTICAL MOBILE (OR)	p		
sg		4750000	4750000	Fixed	s		
sg		4750000	4750000	Land Mobile	s		
sg		4850000	4850000	-			Defence systems,  Eurobalise,  Inductive applications
sg		4850000	4850000	FIXED	p		
sg		4850000	4850000	LAND MOBILE	p		
sg		4995000	4995000	-			Standard frequency and time signal,  Eurobalise,  Inductive applications
sg		4995000	4995000	STANDARD FREQUENCY AND TIME SIGNAL	p		
sg		5003000	5003000	-			Eurobalise,  Inductive applications
sg		5003000	5003000	STANDARD FREQUENCY AND TIME SIGNAL	p		
sg		5005000	5005000	-			Broadcasting (terrestrial),  Defence systems,  Eurobalise,  Inductive applications
sg		5005000	5005000	FIXED	p		
sg		5005000	5005000	BROADCASTING	p		
sg		5005000	5005000	Mobile	s		
sg		5060000	5060000	-			Defence systems,  Eurobalise,  Inductive applications
sg		5060000	5060000	FIXED	p		
sg		5060000	5060000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
sg		5250000	5250000	-			Defence systems,  Eurobalise,  Inductive applications
sg		5250000	5250000	FIXED	p		
sg		5250000	5250000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
sg		5275000	5275000	-			Defence systems,  Eurobalise,  Inductive applications
sg		5275000	5275000	FIXED	p		
sg		5275000	5275000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
sg		5450000	5450000	-			Defence systems,  Eurobalise,  Inductive applications
sg		5450000	5450000	FIXED	p		
sg		5450000	5450000	AERONAUTICAL MOBILE (OR)	p		
sg		5450000	5450000	Land Mobile	s		
sg		5480000	5480000	-			Defence systems,  Eurobalise,  Inductive applications
sg		5480000	5480000	AERONAUTICAL MOBILE (R)	p		
sg		5680000	5680000	-			Defence systems,  Eurobalise,  Inductive applications
sg		5680000	5680000	AERONAUTICAL MOBILE (OR)	p		
sg		5730000	5730000	-			Defence systems,  Eurobalise,  Inductive applications
sg		5730000	5730000	FIXED	p		
sg		5730000	5730000	LAND MOBILE	p		
sg		5900000	5900000	-			Broadcasting (terrestrial),  Eurobalise,  Inductive applications
sg		5900000	5900000	BROADCASTING	p		
sg		5950000	5950000	-			Defence systems,  Broadcasting (terrestrial),  Eurobalise,  Inductive applications
sg		5950000	5950000	FIXED	p		
sg		5950000	5950000	MOBILE	p		
sg		5950000	5950000	BROADCASTING	p		
sg		6200000	6200000	-			SAR (communications),  Defence systems,  Eurobalise,  Inductive applications
sg		6200000	6200000	FIXED	p		
sg		6200000	6200000	MARITIME MOBILE	p		
sg		6525000	6525000	-			Defence systems,  Eurobalise,  Inductive applications
sg		6525000	6525000	AERONAUTICAL MOBILE (R)	p		
sg		6685000	6685000	-			Defence systems,  Eurobalise,  Inductive applications
sg		6685000	6685000	AERONAUTICAL MOBILE (OR)	p		
sg		6765000	6765000	-			Defence systems,  Eurobalise,  Non-specific SRDs,  Inductive applications
sg		6765000	6765000	FIXED	p		
sg		6765000	6765000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
sg		7000000	7000000	-			Amateur,  Amateur-satellite,  Eurobalise,  Inductive applications
sg		7000000	7000000	AMATEUR	p		
sg		7000000	7000000	AMATEUR-SATELLITE	p		
sg		7100000	7100000	-			Amateur,  Eurobalise,  Inductive applications
sg		7100000	7100000	AMATEUR	p		
sg		7200000	7200000	-			Broadcasting (terrestrial),  Eurobalise,  Inductive applications
sg		7200000	7200000	BROADCASTING	p		
sg		7300000	7300000	-			Broadcasting (terrestrial),  Eurobalise,  Inductive applications
sg		7300000	7300000	BROADCASTING	p		
sg		7400000	7400000	-			Broadcasting (terrestrial),  Eurobalise,  Euroloop,  Inductive applications
sg		7400000	7400000	BROADCASTING	p		
sg		7450000	7450000	-			Defence systems,  Eurobalise,  Euroloop,  Inductive applications
sg		7450000	7450000	FIXED	p		
sg		7450000	7450000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
sg		7450000	7450000	Mobile except aeronautical mobile	s		
sg		8100000	8100000	-			Defence systems,  Euroloop,  Inductive applications
sg		8100000	8100000	FIXED	p		
sg		8100000	8100000	MARITIME MOBILE	p		
sg		8195000	8195000	-			Defence systems,  Euroloop,  Inductive applications
sg		8195000	8195000	MARITIME MOBILE	p		
sg		8195000	8195000	Fixed	s		
sg		8815000	8815000	-			Defence systems,  Euroloop,  Inductive applications
sg		8815000	8815000	AERONAUTICAL MOBILE (R)	p		
sg		8965000	8965000	-			Defence systems,  Euroloop,  Inductive applications
sg		8965000	8965000	AERONAUTICAL MOBILE (OR)	p		
sg		9040000	9040000	-			Defence systems,  Euroloop,  Inductive applications
sg		9040000	9040000	FIXED	p		
sg		9305000	9305000	-			Defence systems,  Euroloop,  Inductive applications
sg		9305000	9305000	FIXED	p		
sg		9355000	9355000	-			Defence systems,  Euroloop,  Inductive applications
sg		9355000	9355000	FIXED	p		
sg		9400000	9400000	-			Broadcasting (terrestrial),  Euroloop,  Inductive applications
sg		9400000	9400000	BROADCASTING	p		
sg		9500000	9500000	-			Broadcasting (terrestrial),  Euroloop,  Inductive applications
sg		9500000	9500000	BROADCASTING	p		
sg		9900000	9900000	-			Defence systems,  Euroloop,  Inductive applications
sg		9900000	9900000	FIXED	p		
sg		9900000	9900000	Mobile	s		
sg		9995000	9995000	-			Euroloop,  Inductive applications
sg		9995000	9995000	STANDARD FREQUENCY AND TIME SIGNAL	p		
sg		10003000	10003000	-			Euroloop,  Inductive applications
sg		10003000	10003000	STANDARD FREQUENCY AND TIME SIGNAL	p		
sg		10005000	10005000	-			Defence systems,  Euroloop,  Inductive applications
sg		10005000	10005000	AERONAUTICAL MOBILE (R)	p		
sg		10100000	10100000	-			Amateur,  Defence systems,  Euroloop,  Inductive applications
sg		10100000	10100000	FIXED	p		
sg		10100000	10100000	Amateur	s		
sg		10100000	10100000	Mobile	s		
sg		10150000	10150000	-			Defence systems,  Euroloop,  Inductive applications
sg		10150000	10150000	FIXED	p		
sg		10150000	10150000	Mobile except aeronautical mobile (R)	s		
sg		11175000	11175000	-			Defence systems,  Euroloop,  Inductive applications
sg		11175000	11175000	AERONAUTICAL MOBILE (OR)	p		
sg		11275000	11275000	-			Defence systems,  Euroloop,  Inductive applications
sg		11275000	11275000	AERONAUTICAL MOBILE (R)	p		
sg		11400000	11400000	-			Defence systems,  Euroloop,  Inductive applications
sg		11400000	11400000	FIXED	p		
sg		11600000	11600000	-			Broadcasting (terrestrial),  Euroloop,  Inductive applications
sg		11600000	11600000	BROADCASTING	p		
sg		11650000	11650000	-			Broadcasting (terrestrial),  Euroloop,  Inductive applications
sg		11650000	11650000	BROADCASTING	p		
sg		12050000	12050000	-			Broadcasting (terrestrial),  Euroloop,  Inductive applications
sg		12050000	12050000	BROADCASTING	p		
sg		12100000	12100000	-			Defence systems,  Euroloop,  Inductive applications
sg		12100000	12100000	FIXED	p		
sg		12230000	12230000	-			Defence systems,  Euroloop,  Inductive applications,  ULP-AID
sg		12230000	12230000	MARITIME MOBILE	p		
sg		12230000	12230000	Fixed	s		
sg		13200000	13200000	-			Defence systems,  Euroloop,  Inductive applications,  ULP-AID
sg		13200000	13200000	AERONAUTICAL MOBILE (OR)	p		
sg		13260000	13260000	-			Defence systems,  Euroloop,  Inductive applications,  ULP-AID
sg		13260000	13260000	AERONAUTICAL MOBILE (R)	p		
sg		13360000	13360000	-			Defence systems,  Euroloop,  Inductive applications,  ULP-AID
sg		13360000	13360000	FIXED	p		
sg		13410000	13410000	-			Defence systems,  Euroloop,  Inductive applications,  Non-specific SRDs,  RFID,  Model control,  ULP-AID
sg		13410000	13410000	FIXED	p		
sg		13410000	13410000	Mobile except aeronautical mobile (R)	s		
sg		13450000	13450000	-			Defence systems,  Euroloop,  Inductive applications,  RFID,  Model control,  ULP-AID
sg		13450000	13450000	FIXED	p		
sg		13450000	13450000	Mobile except aeronautical mobile (R)	s		
sg		13550000	13550000	-			Defence systems,  Euroloop,  Inductive applications,  Non-specific SRDs,  RFID,  Model control,  ULP-AID
sg		13550000	13550000	FIXED	p		
sg		13550000	13550000	Mobile except aeronautical mobile (R)	s		
sg		13570000	13570000	-			Broadcasting (terrestrial),  Euroloop,  Inductive applications,  ULP-AID
sg		13570000	13570000	BROADCASTING	p		
