region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
si		0	0	-		5.53, 5.54	
si		0	0	NOT ALLOCATED	p		
si		8300	8300	-			Lightning detection systems
si		8300	8300	METEOROLOGICAL AIDS 	p	5.54A	
si		9000	9000	-			UWB applications
si		9000	9000		p		
si		9000	9000	-			Active medical implants
si		9000	9000		p		
si		9000	9000	-			Inductive applications
si		9000	9000		p		
si		9000	9000	-			Lightning detection systems,  Maritime navigation,  Aeronautical navigation
si		9000	9000	METEOROLOGICAL AIDS 	p	5.54A	
si		9000	9000	RADIONAVIGATION	p		
si		11300	11300	-			Maritime navigation,  Aeronautical navigation
si		11300	11300	RADIONAVIGATION	p		
si		14000	14000	-			Defence systems,  Maritime
si		14000	14000	FIXED	p		
si		14000	14000	MARITIME MOBILE 	p	5.57	
si		19950	19950	-			Standard frequency and time signal
si		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL (20 KHZ)	p		
si		20050	20050	-			Defence systems
si		20050	20050		p		
si		20050	20050	-			Maritime,  Standard frequency and time signal
si		20050	20050	FIXED	p		
si		20050	20050	MARITIME MOBILE	p		
si		59750	59750	-			Inductive applications
si		59750	59750		p		
si		60250	60250	-			Inductive applications
si		60250	60250		p		
si		70000	70000	-			Aeronautical navigation,  Maritime navigation
si		70000	70000	RADIONAVIGATION 	p	5.60	
si		72000	72000	-			Aeronautical navigation,  Maritime navigation,  Standard frequency and time signal
si		72000	72000	FIXED	p		
si		72000	72000	MARITIME MOBILE 	p	5.57	
si		72000	72000	RADIONAVIGATION 	p	5.60	
si		74750	74750	-			Inductive applications
si		74750	74750		p		
si		75250	75250	-			Inductive applications
si		75250	75250		p		
si		77250	77250	-			Inductive applications
si		77250	77250		p		
si		77750	77750	-			Inductive applications
si		77750	77750		p		
si		84000	84000	-			Aeronautical navigation,  Maritime navigation
si		84000	84000	RADIONAVIGATION 	p	5.60	
si		86000	86000	-			Aeronautical navigation,  Maritime navigation
si		86000	86000	FIXED	p		
si		86000	86000	MARITIME MOBILE 	p	5.57	
si		86000	86000	RADIONAVIGATION	p		
si		90000	90000	-			Inductive applications
si		90000	90000		p		
si		90000	90000	-		5.64	Aeronautical navigation,  Maritime navigation
si		90000	90000	Fixed	s		
si		90000	90000	RADIONAVIGATION 	p	5.62	
si		110000	110000	-		5.64	Aeronautical navigation,  Maritime navigation
si		110000	110000	FIXED	p		
si		110000	110000	MARITIME MOBILE	p		
si		110000	110000	RADIONAVIGATION	p		
si		112000	112000	-			Aeronautical navigation,  Maritime navigation
si		112000	112000	RADIONAVIGATION 	p	5.60	
si		115000	115000	-		5.64	Aeronautical navigation,  Maritime navigation
si		115000	115000	Fixed	s		
si		115000	115000	Maritime Mobile	s		
si		115000	115000	RADIONAVIGATION 	p	5.60	
si		117600	117600	-		5.64	Aeronautical navigation,  Maritime navigation
si		117600	117600	FIXED	p		
si		117600	117600	MARITIME MOBILE	p		
si		117600	117600	RADIONAVIGATION 	p	5.60	
si		119000	119000	-			Inductive applications
si		119000	119000		p		
si		126000	126000	-			Aeronautical navigation,  Maritime navigation
si		126000	126000	RADIONAVIGATION 	p	5.60	
si		128600	128600	-			Inductive applications
si		128600	128600		p		
si		129000	129000	-		5.64	Aeronautical navigation,  Maritime navigation,  Standard frequency and time signal
si		129000	129000	FIXED	p		
si		129000	129000	MARITIME MOBILE	p		
si		129000	129000	RADIONAVIGATION 	p	5.60	
si		129600	129600	-			Inductive applications
si		129600	129600		p		
si		130000	130000	-		5.64	Maritime,  Amateur
si		130000	130000	Amateur 	s	5.67A	
si		130000	130000	FIXED	p		
si		130000	130000	MARITIME MOBILE	p		
si		135000	135000	-			Inductive applications
si		135000	135000		p		
si		140000	140000	-			Inductive applications
si		140000	140000		p		
si		148500	148500	-			Inductive applications
si		148500	148500		p		
si		148500	148500	-			AM sound analogue,  DRM
si		148500	148500	BROADCASTING	p		
si		255000	255000	-			Beacons (aeronautical),  AM sound analogue,  DRM
si		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
si		255000	255000	BROADCASTING	p		
si		283500	283500	-			Defence systems
si		283500	283500		p		
si		283500	283500	-		5.74	Beacons (aeronautical),  Beacons (maritime)
si		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
si		283500	283500	MARITIME RADIONAVIGATION (RADIOBEACONS) 	p	5.73	
si		315000	315000	-			Active medical implants
si		315000	315000		p		
si		315000	315000	-			Beacons (aeronautical),  Beacons (maritime)
si		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
si		315000	315000	Maritime Radionavigation 	s	5.73	
si		325000	325000	-			Beacons (aeronautical)
si		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
si		400000	400000	-			Inductive applications
si		400000	400000		p		
si		405000	405000	-			Beacons (aeronautical),  Maritime navigation
si		405000	405000	RADIONAVIGATION 	p	5.76	
si		415000	415000	-			Maritime,  Beacons (aeronautical)
si		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
si		415000	415000	MARITIME MOBILE 	p	5.79	
si		435000	435000	-		5.82	Beacons (aeronautical),  Maritime
si		435000	435000	Aeronautical Radionavigation	s		
si		435000	435000	MARITIME MOBILE 	p	5.79	
si		456900	456900	-			Emergency detection,  Non-specific SRDs
si		456900	456900		p		
si		472000	472000	-		5.82	Amateur,  Beacons (aeronautical),  Maritime
si		472000	472000	MARITIME MOBILE 	p	5.79	
si		472000	472000	Amateur 	s	5.80A	
si		472000	472000	Aeronautical Radionavigation	s		
si		479000	479000	-		5.82	Beacons (aeronautical),  Maritime,  NAVTEX
si		479000	479000	MARITIME MOBILE 	p	5.79, 5.79A	
si		479000	479000	Aeronautical Radionavigation 	s	5.82	
si		495000	495000	-			Beacons (aeronautical),  Maritime
si		495000	495000	MARITIME MOBILE	p		
si		505000	505000	-			Beacons (aeronautical),  Maritime,  NAVTEX
si		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
si		505000	505000	MARITIME MOBILE 	p	5.79A, 5.84	
si		526500	526500	-			AM sound analogue,  DRM
si		526500	526500	BROADCASTING	p		
si		984000	984000	-			Eurobalise,  TTT
si		984000	984000		p		
si		1606500	1606500	-			Defence systems
si		1606500	1606500		p		
si		1606500	1606500	-		5.92	Land military systems,  Maritime
si		1606500	1606500	FIXED	p		
si		1606500	1606500	LAND MOBILE	p		
si		1606500	1606500	MARITIME MOBILE 	p	5.90	
si		1625000	1625000	-			Radiolocation (military)
si		1625000	1625000	RADIOLOCATION	p		
si		1635000	1635000	-		5.92	Land military systems,  Maritime
si		1635000	1635000	FIXED	p		
si		1635000	1635000	LAND MOBILE	p		
si		1635000	1635000	MARITIME MOBILE 	p	5.90	
si		1800000	1800000	-			Radiolocation (military)
si		1800000	1800000	RADIOLOCATION	p		
si		1810000	1810000	-		5.100, 5.99	Amateur
si		1810000	1810000	AMATEUR	p		
si		1850000	1850000	-			Defence systems
si		1850000	1850000		p		
si		1850000	1850000	-		5.103, 5.92	Land military systems,  Maritime,  Amateur
si		1850000	1850000	Amateur	s		
si		1850000	1850000	FIXED	p		
si		1850000	1850000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
si		2000000	2000000	-		5.103, 5.92	Land military systems,  Maritime
si		2000000	2000000	FIXED	p		
si		2000000	2000000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
si		2025000	2025000	-		5.103, 5.92	Land military systems,  Maritime,  Oceanographic buoys
si		2025000	2025000	FIXED	p		
si		2025000	2025000	Meteorological Aids 	s	5.104	
si		2025000	2025000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
si		2045000	2045000	-		5.92	Land military systems,  Maritime
si		2045000	2045000	FIXED	p		
si		2045000	2045000	LAND MOBILE	p		
si		2045000	2045000	MARITIME MOBILE	p		
si		2160000	2160000	-			Radiolocation (military)
si		2160000	2160000	RADIOLOCATION	p		
si		2170000	2170000	-			Maritime
si		2170000	2170000	MARITIME MOBILE	p		
si		2173500	2173500	-		5.108, 5.109, 5.110, 5.111	Maritime,  GMDSS,  NAVTEX,  DSC
si		2173500	2173500	MOBILE (DISTRESS AND CALLING)	p		
si		2190500	2190500	-			Maritime
si		2190500	2190500	MARITIME MOBILE	p		
si		2194000	2194000	-		5.103, 5.92	Land military systems
si		2194000	2194000	FIXED	p		
si		2194000	2194000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
si		2300000	2300000	-		5.103	Land military systems
si		2300000	2300000	FIXED	p		
si		2300000	2300000	BROADCASTING 	p	5.113	
si		2300000	2300000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
si		2498000	2498000	-			Standard frequency and time signal
si		2498000	2498000	STANDARD FREQUENCY AND TIME SIGNAL (2 500 KHZ)	p		
si		2501000	2501000	-			Standard frequency and time signal,  Space research
si		2501000	2501000	Space Research	s		
si		2501000	2501000	STANDARD FREQUENCY AND TIME SIGNAL (2 500 KHZ)	p		
si		2502000	2502000	-		5.103, 5.92	Land military systems
si		2502000	2502000	FIXED	p		
si		2502000	2502000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
si		2625000	2625000	-		5.92	Maritime
si		2625000	2625000	MARITIME MOBILE	p		
si		2625000	2625000	MARITIME RADIONAVIGATION	p		
si		2650000	2650000	-		5.103, 5.92	Land military systems
si		2650000	2650000	FIXED	p		
si		2650000	2650000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
si		2850000	2850000	-		5.111, 5.115	SAR (communications),  Aeronautical communications
si		2850000	2850000	AERONAUTICAL MOBILE (R)	p		
si		3025000	3025000	-			Defence systems
si		3025000	3025000		p		
si		3025000	3025000	-			Aeronautical military systems
si		3025000	3025000	AERONAUTICAL MOBILE (OR)	p		
si		3155000	3155000	-			Inductive applications
si		3155000	3155000		p		
si		3155000	3155000	-		5.116	Land military systems,  Maritime
si		3155000	3155000	FIXED	p		
si		3155000	3155000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
si		3200000	3200000	-		5.116	Land military systems,  Maritime
si		3200000	3200000	BROADCASTING 	p	5.113	
si		3200000	3200000	FIXED	p		
si		3200000	3200000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
si		3230000	3230000	-		5.116	Land military systems,  Maritime
si		3230000	3230000	BROADCASTING 	p	5.113	
si		3230000	3230000	FIXED	p		
si		3230000	3230000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
si		3400000	3400000	-			Aeronautical communications
si		3400000	3400000	AERONAUTICAL MOBILE (R)	p		
si		3500000	3500000	-			Defence systems
si		3500000	3500000		p		
si		3500000	3500000	-		5.92	Amateur,  Land military systems
si		3500000	3500000	AMATEUR	p		
si		3500000	3500000	FIXED	p		
si		3500000	3500000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
si		3800000	3800000	-			Land military systems,  Aeronautical military systems
si		3800000	3800000	AERONAUTICAL MOBILE (OR)	p		
si		3800000	3800000	FIXED	p		
si		3800000	3800000	LAND MOBILE	p		
si		3900000	3900000	-			Aeronautical military systems
si		3900000	3900000	AERONAUTICAL MOBILE (OR)	p		
si		3950000	3950000	-			Land military systems,  AM sound analogue,  DRM
si		3950000	3950000	BROADCASTING	p		
si		3950000	3950000	FIXED	p		
si		4000000	4000000	-			Land military systems,  Maritime
si		4000000	4000000	FIXED	p		
si		4000000	4000000	MARITIME MOBILE 	p	5.127	
si		4063000	4063000	-			Maritime,  GMDSS,  DSC,  NAVTEX,  MSI
si		4063000	4063000	MARITIME MOBILE 	p	5.110, 5.109, 5.130, 5.131, 5.132, 5.79A	
si		4438000	4438000	-			Land military systems,  Radiolocation (civil)
si		4438000	4438000	FIXED	p		
si		4438000	4438000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
si		4438000	4438000	Radiolocation 	s	5.132A	
si		4488000	4488000	-			Land military systems
si		4488000	4488000	FIXED	p		
si		4488000	4488000	MOBILE EXCEPT AERONAUTICAL MOBILE (R)	p		
si		4650000	4650000	-			Aeronautical communications
si		4650000	4650000	AERONAUTICAL MOBILE (R)	p		
si		4700000	4700000	-			Aeronautical military systems
si		4700000	4700000	AERONAUTICAL MOBILE (OR)	p		
si		4750000	4750000	-			Defence systems
si		4750000	4750000		p		
si		4750000	4750000	-			Land military systems,  Aeronautical military systems
si		4750000	4750000	AERONAUTICAL MOBILE (OR)	p		
si		4750000	4750000	BROADCASTING 	p	5.113	
si		4750000	4750000	FIXED	p		
si		4750000	4750000	LAND MOBILE	p		
si		4850000	4850000	-			Land military systems
si		4850000	4850000	BROADCASTING 	p	5.113	
si		4850000	4850000	FIXED	p		
si		4850000	4850000	LAND MOBILE	p		
si		4995000	4995000	-			Standard frequency and time signal
si		4995000	4995000	STANDARD FREQUENCY AND TIME SIGNAL (5 000 KHZ)	p		
si		5000000	5000000	-			Inductive applications
si		5000000	5000000		p		
si		5003000	5003000	-			Standard frequency and time signal
si		5003000	5003000	Space Research	s		
si		5003000	5003000	STANDARD FREQUENCY AND TIME SIGNAL (5 000 KHZ)	p		
si		5005000	5005000	-			Defence systems
si		5005000	5005000		p		
si		5005000	5005000	-			Land military systems
si		5005000	5005000	BROADCASTING 	p	5.113	
si		5005000	5005000	FIXED	p		
si		5060000	5060000	-			Land military systems
si		5060000	5060000	FIXED	p		
si		5060000	5060000	Mobile except aeronautical mobile	s		
si		5250000	5250000	-			Land military systems,  Radiolocation (civil)
si		5250000	5250000	FIXED	p		
si		5250000	5250000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
si		5250000	5250000	Radiolocation 	s	5.132A	
si		5275000	5275000	-			Land military systems
si		5275000	5275000	FIXED	p		
si		5275000	5275000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
si		5450000	5450000	-			Land military systems,  Aeronautical military systems
si		5450000	5450000	AERONAUTICAL MOBILE (OR)	p		
si		5450000	5450000	FIXED	p		
si		5450000	5450000	LAND MOBILE	p		
