region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
sn		0	0	-			
sn		0	0	NOT ALLOCATED	p		
sn		9000	9000	-			Maritime communications,  PMR/PAMR,  Inductive applications,  Medical implants
sn		9000	9000	RADIONAVIGATION	p		
sn		9000	9000	Fixed	s		
sn		14000	14000	-			Defence systems,  Inductive applications,  Medical implants,  Maritime communications
sn		14000	14000	FIXED	p		
sn		14000	14000	MARITIME MOBILE	p		
sn		19950	19950	-			
sn		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
sn		20050	20050	-			Defence systems,  Inductive applications,  Medical implants,  Maritime communications
sn		20050	20050	FIXED	p		
sn		20050	20050	MARITIME MOBILE	p		
sn		70000	70000	-			Maritime communications,  Inductive applications,  Medical implants
sn		70000	70000	RADIONAVIGATION	p		
sn		72000	72000	-			Defence systems,  Standard frequency and time signal,  Inductive applications,  Medical implants,  Maritime communications
sn		72000	72000	FIXED	p		
sn		72000	72000	MARITIME MOBILE	p		
sn		72000	72000	RADIONAVIGATION	p		
sn		84000	84000	-			Defence systems,  Inductive applications,  Medical implants
sn		84000	84000	RADIONAVIGATION	p		
sn		86000	86000	-			Defence systems,  Inductive applications,  Medical implants,  Maritime communications
sn		86000	86000	FIXED	p		
sn		86000	86000	MARITIME MOBILE	p		
sn		86000	86000	RADIONAVIGATION	p		
sn		90000	90000	-			Defence systems,  Inductive applications,  Medical implants
sn		90000	90000	Radionavigation	s		
sn		90000	90000	Fixed	s		
sn		110000	110000	-			Defence systems,  Inductive applications,  Medical implants,  Maritime communications
sn		110000	110000	FIXED	p		
sn		110000	110000	MARITIME MOBILE	p		
sn		110000	110000	RADIONAVIGATION	p		
sn		112000	112000	-			Maritime communications,  Defence systems,  Inductive applications,  Medical implants
sn		112000	112000	RADIONAVIGATION	p		
sn		115000	115000	-			Defence systems,  Maritime communications,  Inductive applications,  Medical implants
sn		115000	115000	RADIONAVIGATION	p		
sn		115000	115000	Maritime Mobile	s		
sn		115000	115000	Fixed	s		
sn		117600	117600	-			Maritime communications,  Defence systems,  Inductive applications,  Medical implants
sn		117600	117600	MARITIME MOBILE	p		
sn		117600	117600	RADIONAVIGATION	p		
sn		117600	117600	Fixed	s		
sn		126000	126000	-			Defence systems,  Inductive applications,  Medical implants
sn		126000	126000	RADIONAVIGATION	p		
sn		129000	129000	-			Defence systems,  Inductive applications,  Medical implants,  Maritime communications
sn		129000	129000	FIXED	p		
sn		129000	129000	MARITIME MOBILE	p		
sn		129000	129000	RADIONAVIGATION	p		
sn		130000	130000	-			Defence systems,  Inductive applications,  Medical implants,  Maritime communications
sn		130000	130000	FIXED	p		
sn		130000	130000	MARITIME MOBILE	p		
sn		135700	135700	-			Defence systems,  Amateur,  Inductive applications,  Medical implants
sn		135700	135700	FIXED	p		
sn		135700	135700	MARITIME MOBILE	p		
sn		135700	135700	Amateur	s		
sn		137800	137800	-			Defence systems,  Inductive applications,  Medical implants
sn		137800	137800	FIXED	p		
sn		137800	137800	MARITIME MOBILE	p		
sn		148500	148500	-			Defence systems,  Inductive applications,  Active medical implants
sn		148500	148500	Aeronautical Radionavigation	s		
sn		255000	255000	-			Beacons (aeronautical),  Inductive applications,  Active medical implants
sn		255000	255000	AERONAUTICAL RADIONAVIGATION	p		
sn		283500	283500	-			Beacons (aeronautical),  Beacons (maritime),  Inductive applications,  Medical implants
sn		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
sn		283500	283500	MARITIME RADIONAVIGATION	p		
sn		315000	315000	-			Beacons (aeronautical),  Beacons (maritime),  Inductive applications,  Active medical implants
sn		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
sn		315000	315000	Maritime Radionavigation	s		
sn		325000	325000	-			Beacons (aeronautical),  Inductive applications,  Active medical implants
sn		325000	325000	AERONAUTICAL RADIONAVIGATION	p		
sn		405000	405000	-			Beacons (maritime),  Beacons (aeronautical),  Inductive applications,  Active medical implants
sn		405000	405000	RADIONAVIGATION	p		
sn		415000	415000	-			Beacons (aeronautical),  Maritime communications,  Inductive applications,  Active medical implants
sn		415000	415000	AERONAUTICAL RADIONAVIGATION	p		
sn		415000	415000	MARITIME MOBILE	p		
sn		435000	435000	-			Maritime communications,  NAVTEX,  Beacons (aeronautical),  Emergency detection,  Inductive applications,  Active medical implants
sn		435000	435000	MARITIME MOBILE	p		
sn		435000	435000	Aeronautical Radionavigation	s		
sn		495000	495000	-			Defence systems,  Inductive applications,  Active medical implants
sn		495000	495000	MOBILE	p		
sn		495000	495000	Aeronautical Radionavigation	s		
sn		505000	505000	-			Beacons (aeronautical),  NAVTEX,  Inductive applications,  Active medical implants
sn		505000	505000	AERONAUTICAL RADIONAVIGATION	p		
sn		505000	505000	MARITIME MOBILE	p		
sn		526500	526500	-			Broadcasting,  Inductive applications,  Active medical implants
sn		526500	526500	BROADCASTING	p		
sn		1606500	1606500	-			Maritime communications,  Defence systems,  Inductive applications
sn		1606500	1606500	MARITIME MOBILE	p		
sn		1606500	1606500	FIXED	p		
sn		1606500	1606500	LAND MOBILE	p		
sn		1625000	1625000	-			Radiodetermination applications,  Inductive applications
sn		1625000	1625000	RADIOLOCATION	p		
sn		1635000	1635000	-			Maritime communications,  Radiodetermination applications,  Defence systems,  Inductive applications
sn		1635000	1635000	MARITIME MOBILE	p		
sn		1635000	1635000	FIXED	p		
sn		1635000	1635000	LAND MOBILE	p		
sn		1800000	1800000	-			Radiodetermination applications,  Inductive applications
sn		1800000	1800000	RADIOLOCATION	p		
sn		1810000	1810000	-			Amateur,  Inductive applications
sn		1810000	1810000	AMATEUR	p		
sn		1850000	1850000	-			Radiodetermination applications,  Maritime communications,  Defence systems,  Inductive applications
sn		1850000	1850000	FIXED	p		
sn		1850000	1850000	MOBILE EXCEPT AERONAUTICAL MOBILE	p		
