region	sub-table	lower_frequency	upper_frequency	service	category	footnotes	applications
tr		9000	9000	-			Inductive applications
tr		9000	9000	RADIONAVIGATION	p		
tr		14000	14000	-			Inductive applications
tr		14000	14000	FIXED	p		
tr		14000	14000	MARITIME MOBILE	p		
tr		19950	19950	-			Standard frequency and time signal
tr		19950	19950	STANDARD FREQUENCY AND TIME SIGNAL	p		
tr		20050	20050	-			Inductive applications
tr		20050	20050	FIXED	p		
tr		20050	20050	MOBILE	p		
tr		70000	70000	-			Inductive applications
tr		70000	70000	RADIONAVIGATION	p		
tr		72000	72000	-			Inductive applications
tr		72000	72000	RADIONAVIGATION	p		
tr		84000	84000	-			Inductive applications
tr		84000	84000	RADIONAVIGATION	p		
tr		86000	86000	-			Inductive applications
tr		86000	86000	RADIONAVIGATION	p		
tr		90000	90000	-			Inductive applications
tr		90000	90000	RADIONAVIGATION	p		
tr		110000	110000	-			Inductive applications
tr		110000	110000	FIXED	p		
tr		110000	110000	MARITIME MOBILE	p		
tr		110000	110000	RADIONAVIGATION	p		
tr		112000	112000	-			Inductive applications
tr		112000	112000	RADIONAVIGATION	p		
tr		115000	115000	-			Inductive applications
tr		115000	115000	FIXED	p		
tr		115000	115000	MARITIME MOBILE	p		
tr		115000	115000	RADIONAVIGATION	p		
tr		117600	117600	-			Inductive applications
tr		117600	117600	FIXED	p		
tr		117600	117600	MARITIME MOBILE	p		
tr		117600	117600	RADIONAVIGATION	p		
tr		126000	126000	-			Inductive applications
tr		126000	126000	RADIONAVIGATION	p		
tr		129000	129000	-			Inductive applications
tr		129000	129000	FIXED	p		
tr		129000	129000	MARITIME MOBILE	p		
tr		129000	129000	RADIONAVIGATION	p		
tr		130000	130000	-			Inductive applications
tr		130000	130000	FIXED	p		
tr		130000	130000	MARITIME MOBILE	p		
tr		148500	148500	-			
tr		148500	148500	BROADCASTING	p		
tr		255000	255000	-			
tr		255000	255000	BROADCASTING	p		
tr		283500	283500	-			
tr		283500	283500	AERONAUTICAL RADIONAVIGATION	p		
tr		283500	283500	MARITIME RADIONAVIGATION	p		
tr		315000	315000	-			
tr		315000	315000	AERONAUTICAL RADIONAVIGATION	p		
tr		315000	315000	MARITIME RADIONAVIGATION	p		
tr		325000	325000	-			
