Region	Sub-table	Start Frequency	End Frequency	Service	Footnotes
US	Federal Government	0	9000	-	5.53  5.54
US	Federal Government	9000	14000	-	US2
US	Federal Government	9000	14000	RADIONAVIGATION	US18
US	Federal Government	14000	19950	-	US2
US	Federal Government	14000	19950	FIXED	
US	Federal Government	14000	19950	MARITIME MOBILE	5.57
US	Federal Government	19950	20050	-	US2
US	Federal Government	19950	20050	STANDARD FREQUENCY AND TIME SIGNAL (20 kHz)	
US	Federal Government	20050	59000	-	US2
US	Federal Government	20050	59000	FIXED	
US	Federal Government	20050	59000	MARITIME MOBILE	5.57
US	Federal Government	59000	61000	-	US2
US	Federal Government	59000	61000	STANDARD FREQUENCY AND TIME SIGNAL (60 kHz)	
US	Federal Government	61000	70000	-	US2
US	Federal Government	61000	70000	FIXED	
US	Federal Government	61000	70000	MARITIME MOBILE	5.57
US	Federal Government	70000	90000	-	US2
US	Federal Government	70000	90000	FIXED	
US	Federal Government	70000	90000	MARITIME MOBILE	5.57
US	Federal Government	70000	90000	Radiolocation	
US	Federal Government	90000	110000	-	US2  US104
US	Federal Government	90000	110000	RADIONAVIGATION	5.62  US18
US	Federal Government	110000	130000	-	5.64  US2
US	Federal Government	110000	130000	FIXED	
US	Federal Government	110000	130000	MARITIME MOBILE	
US	Federal Government	110000	130000	Radiolocation	
US	Federal Government	130000	160000	-	5.64  US2
US	Federal Government	130000	160000	FIXED	
US	Federal Government	130000	160000	MARITIME MOBILE	
US	Federal Government	160000	190000	-	US2
US	Federal Government	160000	190000	FIXED	
US	Federal Government	160000	190000	MARITIME MOBILE	
US	Federal Government	190000	200000	-	US2
US	Federal Government	190000	200000	AERONAUTICAL RADIONAVIGATION	US18
US	Federal Government	200000	275000	-	US2
US	Federal Government	200000	275000	Aeronautical mobile	
US	Federal Government	200000	275000	AERONAUTICAL RADIONAVIGATION	US18
US	Federal Government	275000	285000	-	US2  US18
US	Federal Government	275000	285000	Aeronautical mobile	
US	Federal Government	275000	285000	AERONAUTICAL RADIONAVIGATION	
US	Federal Government	275000	285000	Maritime radionavigation (radiobeacons)	
US	Federal Government	285000	325000	-	US2  US18  US364
US	Federal Government	285000	325000	Aeronautical radionavigation (radiobeacons)	
US	Federal Government	285000	325000	MARITIME RADIONAVIGATION (radiobeacons) 	5.73
US	Federal Government	325000	335000	-	US2  US18
US	Federal Government	325000	335000	Aeronautical mobile	
US	Federal Government	325000	335000	AERONAUTICAL RADIONAVIGATION (radiobeacons)	
US	Federal Government	325000	335000	Maritime radionavigation (radiobeacons)	
US	Federal Government	335000	405000	-	US2
US	Federal Government	335000	405000	Aeronautical mobile	
US	Federal Government	335000	405000	AERONAUTICAL RADIONAVIGATION (radiobeacons) 	US18
US	Federal Government	405000	415000	-	US2
US	Federal Government	405000	415000	Aeronautical mobile	
US	Federal Government	405000	415000	RADIONAVIGATION	5.76  US18
US	Federal Government	415000	435000	-	US2
US	Federal Government	415000	435000	AERONAUTICAL RADIONAVIGATION	
US	Federal Government	415000	435000	MARITIME MOBILE	5.79
US	Federal Government	435000	495000	-	5.82  US2  US231
US	Federal Government	435000	495000	Aeronautical radionavigation	
US	Federal Government	435000	495000	MARITIME MOBILE	5.79  5.79A
US	Federal Government	495000	505000	MOBILE (distress and calling)	
US	Federal Government	505000	510000	MARITIME MOBILE	5.79
US	Federal Government	510000	525000	-	US14  US225
US	Federal Government	510000	525000	AERONAUTICAL RADIONAVIGATION (radiobeacons) 	US18
US	Federal Government	510000	525000	MARITIME MOBILE (ships only) 	5.79A  5.84
US	Federal Government	525000	535000	-	US239
US	Federal Government	525000	535000	AERONAUTICAL RADIONAVIGATION (radiobeacons) 	US18
US	Federal Government	525000	535000	MOBILE	US221
US	Federal Government	535000	1605000	-	
US	Federal Government	1605000	1615000	MOBILE	US221  G127
US	Federal Government	1615000	1705000	-	US299
US	Federal Government	1705000	1800000	-	US240
US	Federal Government	1705000	1800000	FIXED	
US	Federal Government	1705000	1800000	MOBILE	
US	Federal Government	1705000	1800000	RADIOLOCATION	
US	Federal Government	1800000	1900000	-	
US	Federal Government	1900000	2000000	-	US290
US	Federal Government	1900000	2000000	RADIOLOCATION	
US	Federal Government	2000000	2065000	-	US340
US	Federal Government	2000000	2065000	FIXED	
US	Federal Government	2000000	2065000	MOBILE	
US	Federal Government	2065000	2107000	-	US296  US340
US	Federal Government	2065000	2107000	MARITIME MOBILE	5.105
US	Federal Government	2107000	2170000	-	US340
US	Federal Government	2107000	2170000	FIXED	
US	Federal Government	2107000	2170000	MOBILE	
US	Federal Government	2170000	2173500	-	US340
US	Federal Government	2170000	2173500	MARITIME MOBILE (telephony)	
US	Federal Government	2173500	2190500	-	5.108  5.109  5.110  5.111  US279  US340
US	Federal Government	2173500	2190500	MOBILE (distress and calling)	
US	Federal Government	2190500	2194000	-	US340
US	Federal Government	2190500	2194000	MARITIME MOBILE (telephony)	
US	Federal Government	2194000	2495000	-	US22  US340
US	Federal Government	2194000	2495000	FIXED	
US	Federal Government	2194000	2495000	MOBILE	
US	Federal Government	2495000	2505000	-	US1  US340
US	Federal Government	2495000	2505000	STANDARD FREQUENCY AND TIME SIGNAL (2500 kHz)	
US	Federal Government	2505000	2850000	-	US22  US340
US	Federal Government	2505000	2850000	FIXED	
US	Federal Government	2505000	2850000	MOBILE	US285
US	Federal Government	2850000	3025000	-	5.111  5.115  US283  US340
US	Federal Government	2850000	3025000	AERONAUTICAL MOBILE (R)	
US	Federal Government	3025000	3155000	-	US340
US	Federal Government	3025000	3155000	AERONAUTICAL MOBILE (OR)	
US	Federal Government	3155000	3230000	-	US22  US340
US	Federal Government	3155000	3230000	FIXED	
US	Federal Government	3155000	3230000	MOBILE except aeronautical mobile (R)	
US	Federal Government	3230000	3400000	-	US340
US	Federal Government	3230000	3400000	FIXED	
US	Federal Government	3230000	3400000	MOBILE except aeronautical mobile	
US	Federal Government	3230000	3400000	Radiolocation	
US	Federal Government	3400000	3500000	-	US283  US340
US	Federal Government	3400000	3500000	AERONAUTICAL MOBILE (R)	
US	Federal Government	3500000	4000000	-	US340
US	Federal Government	4000000	4063000	-	US340
US	Federal Government	4000000	4063000	FIXED	
US	Federal Government	4000000	4063000	MARITIME MOBILE	
US	Federal Government	4063000	4438000	-	US296  US340
US	Federal Government	4063000	4438000	MARITIME MOBILE	5.79A  5.109  5.110  5.130  5.131  5.132  US82
US	Federal Government	4438000	4650000	-	US22  US340
US	Federal Government	4438000	4650000	FIXED	
US	Federal Government	4438000	4650000	MOBILE except aeronautical mobile (R)	
US	Federal Government	4650000	4700000	-	US282  US283  US340
US	Federal Government	4650000	4700000	AERONAUTICAL MOBILE (R)	
US	Federal Government	4700000	4750000	-	US340
US	Federal Government	4700000	4750000	AERONAUTICAL MOBILE (OR)	
US	Federal Government	4750000	4850000	-	US340
US	Federal Government	4750000	4850000	FIXED	
US	Federal Government	4750000	4850000	MOBILE except aeronautical mobile (R)	
US	Federal Government	4850000	4995000	-	US340
