Region	Sub-table	Start Frequency	End Frequency	Service	Footnotes
US	Non-Federal-Government	0	9000	-	5.53  5.54
US	Non-Federal-Government	9000	14000	-	US2
US	Non-Federal-Government	9000	14000	RADIONAVIGATION	US18
US	Non-Federal-Government	14000	19950	-	US2
US	Non-Federal-Government	14000	19950	Fixed	
US	Non-Federal-Government	19950	20050	-	US2
US	Non-Federal-Government	19950	20050	STANDARD FREQUENCY AND TIME SIGNAL (20 kHz)	
US	Non-Federal-Government	20050	59000	-	US2
US	Non-Federal-Government	20050	59000	FIXED	
US	Non-Federal-Government	59000	61000	-	US2
US	Non-Federal-Government	59000	61000	STANDARD FREQUENCY AND TIME SIGNAL (60 kHz)	
US	Non-Federal-Government	61000	70000	-	US2
US	Non-Federal-Government	61000	70000	FIXED	
US	Non-Federal-Government	70000	90000	-	US2
US	Non-Federal-Government	70000	90000	FIXED	
US	Non-Federal-Government	70000	90000	Radiolocation	
US	Non-Federal-Government	90000	110000	-	US2  US104
US	Non-Federal-Government	90000	110000	RADIONAVIGATION	5.62  US18
US	Non-Federal-Government	110000	130000	-	5.64  US2
US	Non-Federal-Government	110000	130000	FIXED	
US	Non-Federal-Government	110000	130000	MARITIME MOBILE	
US	Non-Federal-Government	110000	130000	Radiolocation	
US	Non-Federal-Government	130000	160000	-	5.64  US2
US	Non-Federal-Government	130000	160000	FIXED	
US	Non-Federal-Government	130000	160000	MARITIME MOBILE	
US	Non-Federal-Government	160000	190000	-	US2
US	Non-Federal-Government	160000	190000	FIXED	
US	Non-Federal-Government	190000	200000	-	US2
US	Non-Federal-Government	190000	200000	AERONAUTICAL RADIONAVIGATION	US18
US	Non-Federal-Government	200000	275000	-	US2
US	Non-Federal-Government	200000	275000	Aeronautical mobile	
US	Non-Federal-Government	200000	275000	AERONAUTICAL RADIONAVIGATION	US18
US	Non-Federal-Government	275000	285000	-	US2  US18
US	Non-Federal-Government	275000	285000	Aeronautical mobile	
US	Non-Federal-Government	275000	285000	AERONAUTICAL RADIONAVIGATION	
US	Non-Federal-Government	275000	285000	Maritime radionavigation (radiobeacons)	
US	Non-Federal-Government	285000	325000	-	US2  US18  US364
US	Non-Federal-Government	285000	325000	Aeronautical radionavigation (radiobeacons)	
US	Non-Federal-Government	285000	325000	MARITIME RADIONAVIGATION (radiobeacons) 	5.73
US	Non-Federal-Government	325000	335000	-	US2  US18
US	Non-Federal-Government	325000	335000	Aeronautical mobile	
US	Non-Federal-Government	325000	335000	AERONAUTICAL RADIONAVIGATION (radiobeacons)	
US	Non-Federal-Government	325000	335000	Maritime radionavigation (radiobeacons)	
US	Non-Federal-Government	335000	405000	-	US2
US	Non-Federal-Government	335000	405000	Aeronautical mobile	
US	Non-Federal-Government	335000	405000	AERONAUTICAL RADIONAVIGATION (radiobeacons) 	US18
US	Non-Federal-Government	405000	415000	-	US2
US	Non-Federal-Government	405000	415000	Aeronautical mobile	
US	Non-Federal-Government	405000	415000	RADIONAVIGATION	5.76  US18
US	Non-Federal-Government	415000	435000	-	US2
US	Non-Federal-Government	415000	435000	AERONAUTICAL RADIONAVIGATION	
US	Non-Federal-Government	415000	435000	MARITIME MOBILE	5.79
US	Non-Federal-Government	435000	495000	-	5.82  US2  US231
US	Non-Federal-Government	435000	495000	MARITIME MOBILE	5.79  5.79A
US	Non-Federal-Government	495000	505000	MOBILE (distress and calling)	
US	Non-Federal-Government	505000	510000	MARITIME MOBILE	5.79
US	Non-Federal-Government	510000	525000	-	US14  US225
US	Non-Federal-Government	510000	525000	AERONAUTICAL RADIONAVIGATION (radiobeacons) 	US18
US	Non-Federal-Government	510000	525000	MARITIME MOBILE (ships only) 	5.79A  5.84
US	Non-Federal-Government	525000	535000	-	US239
US	Non-Federal-Government	525000	535000	AERONAUTICAL RADIONAVIGATION (radiobeacons) 	US18
US	Non-Federal-Government	525000	535000	MOBILE	US221
US	Non-Federal-Government	535000	1605000	BROADCASTING	
US	Non-Federal-Government	535000	1605000	NG1  NG5	
US	Non-Federal-Government	1605000	1705000	-	US299  NG1  NG5
US	Non-Federal-Government	1605000	1705000	BROADCASTING	5.89
US	Non-Federal-Government	1705000	1800000	-	US240
US	Non-Federal-Government	1705000	1800000	FIXED	
US	Non-Federal-Government	1705000	1800000	MOBILE	
US	Non-Federal-Government	1705000	1800000	RADIOLOCATION	
US	Non-Federal-Government	1800000	1900000	AMATEUR	
US	Non-Federal-Government	1900000	2000000	-	US290
US	Non-Federal-Government	1900000	2000000	RADIOLOCATION	
US	Non-Federal-Government	2000000	2065000	-	US340  NG7
US	Non-Federal-Government	2000000	2065000	MARITIME MOBILE	
US	Non-Federal-Government	2065000	2107000	-	US296  US340
US	Non-Federal-Government	2065000	2107000	MARITIME MOBILE	5.105
US	Non-Federal-Government	2107000	2170000	-	US340  NG7
US	Non-Federal-Government	2107000	2170000	FIXED	
US	Non-Federal-Government	2107000	2170000	MOBILE except aeronautical mobile	
US	Non-Federal-Government	2170000	2173500	-	US340
US	Non-Federal-Government	2170000	2173500	MARITIME MOBILE	
US	Non-Federal-Government	2173500	2190500	-	5.108  5.109  5.110  5.111  US279  US340
US	Non-Federal-Government	2173500	2190500	MOBILE (distress and calling)	
US	Non-Federal-Government	2190500	2194000	-	US340
US	Non-Federal-Government	2190500	2194000	MARITIME MOBILE	
US	Non-Federal-Government	2194000	2495000	-	US22  US340  NG7
US	Non-Federal-Government	2194000	2495000	FIXED	
US	Non-Federal-Government	2194000	2495000	MOBILE except aeronautical mobile	
US	Non-Federal-Government	2495000	2505000	-	US1  US340
US	Non-Federal-Government	2495000	2505000	STANDARD FREQUENCY AND TIME SIGNAL (2500 kHz)	
US	Non-Federal-Government	2505000	2850000	-	US22  US340
US	Non-Federal-Government	2505000	2850000	FIXED	
US	Non-Federal-Government	2505000	2850000	MOBILE except aeronautical mobile	US285
