Region	Sub-table	Start Frequency	End Frequency	Allocations	Footnotes
ITU Region 2		0	9000	-	5.53  5.54
ITU Region 2		9000	14000	RADIONAVIGATION	
ITU Region 2		14000	19950	-	5.55  5.56
ITU Region 2		14000	19950	FIXED	
ITU Region 2		14000	19950	MARITIME MOBILE	5.57
ITU Region 2		19950	20050	STANDARD FREQUENCY AND TIME SIGNAL (20 kHz)	
ITU Region 2		20050	70000	-	5.56  5.58
ITU Region 2		20050	70000	FIXED	
ITU Region 2		20050	70000	MARITIME MOBILE	5.57
ITU Region 2		70000	90000	-	5.61
ITU Region 2		70000	90000	FIXED	
ITU Region 2		70000	90000	MARITIME MOBILE	5.57
ITU Region 2		70000	90000	MARITIME RADIONAVIGATION	5.6
ITU Region 2		70000	90000	Radiolocation	
ITU Region 2		90000	110000	-	5.64
ITU Region 2		90000	110000	RADIONAVIGATION	5.62
ITU Region 2		90000	110000	Fixed	
ITU Region 2		110000	130000	-	5.61  5.64
ITU Region 2		110000	130000	FIXED	
ITU Region 2		110000	130000	MARITIME MOBILE	
ITU Region 2		110000	130000	MARITIME RADIONAVIGATION	5.6
ITU Region 2		110000	130000	Radiolocation	
ITU Region 2		130000	137500	-	5.64
ITU Region 2		130000	137500	FIXED	
ITU Region 2		130000	137500	MARITIME MOBILE	
ITU Region 2		137500	137800	-	5.64
ITU Region 2		137500	137800	FIXED	
ITU Region 2		137500	137800	MARITIME MOBILE	
ITU Region 2		137500	137800	Amateur	5.67A
ITU Region 2		137800	160000	-	5.64
ITU Region 2		137800	160000	FIXED	
ITU Region 2		137800	160000	MARITIME MOBILE	
ITU Region 2		160000	190000	FIXED	
ITU Region 2		190000	200000	AERONAUTICAL RADIONAVIGATION	
ITU Region 2		200000	275000	AERONAUTICAL RADIONAVIGATION	
ITU Region 2		200000	275000	Aeronautical mobile	
ITU Region 2		275000	285000	AERONAUTICAL RADIONAVIGATION	
ITU Region 2		275000	285000	Aeronautical mobile	
ITU Region 2		275000	285000	Maritime radionavigation (radiobeacons)	
ITU Region 2		285000	315000	AERONAUTICAL RADIONAVIGATION	
ITU Region 2		285000	315000	MARITIME RADIONAVIGATION (radiobeacons) 	5.73
ITU Region 2		315000	325000	MARITIME RADIONAVIGATION (radiobeacons) 	5.73
ITU Region 2		315000	325000	Aeronautical radionavigation	
ITU Region 2		325000	335000	AERONAUTICAL RADIONAVIGATION	
ITU Region 2		325000	335000	Aeronautical mobile	
ITU Region 2		325000	335000	Maritime radionavigation (radiobeacons)	
ITU Region 2		335000	405000	AERONAUTICAL RADIONAVIGATION	
ITU Region 2		335000	405000	Aeronautical mobile	
ITU Region 2		405000	415000	RADIONAVIGATION	5.76
